access,w_eff,n_vis,c,T,rho,T_fs,rho_fs
basic,100,10,1.1,0.65407,0.21053,0.54348,0.80408
basic,100,10,1.2,0.64686,0.21281,0.54348,0.80408
basic,100,10,1.3,0.62905,0.24424,0.54348,0.80408
basic,100,10,1.4,0.62181,0.26735,0.54348,0.80408
basic,100,10,1.5,0.62256,0.305,0.54348,0.80408
basic,100,10,1.65,0.62688,0.31901,0.54348,0.80408
basic,100,10,1.8,0.63176,0.37381,0.54348,0.80408
basic,100,10,2.0,0.61621,0.36647,0.54348,0.80408
basic,100,10,2.25,0.59454,0.44677,0.54348,0.80408
basic,100,10,2.5,0.59955,0.42859,0.54348,0.80408
basic,100,20,1.1,0.63651,0.32754,0.51125,0.72387
basic,100,20,1.2,0.63326,0.35386,0.51125,0.72387
basic,100,20,1.3,0.63252,0.34189,0.51125,0.72387
basic,100,20,1.4,0.62042,0.33447,0.51125,0.72387
basic,100,20,1.5,0.6246,0.35833,0.51125,0.72387
basic,100,20,1.65,0.58728,0.38317,0.51125,0.72387
basic,100,20,1.8,0.58686,0.41417,0.51125,0.72387
basic,100,20,2.0,0.5649,0.39766,0.51125,0.72387
basic,100,20,2.25,0.54698,0.48199,0.51125,0.72387
basic,100,20,2.5,0.53999,0.52251,0.51125,0.72387
basic,100,50,1.1,0.54322,0.44132,0.44764,0.705
basic,100,50,1.2,0.52857,0.47467,0.44764,0.705
basic,100,50,1.3,0.53729,0.4964,0.44764,0.705
basic,100,50,1.4,0.51408,0.4947,0.44764,0.705
basic,100,50,1.5,0.52521,0.4903,0.44764,0.705
basic,100,50,1.65,0.50666,0.52757,0.44764,0.705
basic,100,50,1.8,0.51384,0.50738,0.44764,0.705
basic,100,50,2.0,0.48938,0.53085,0.44764,0.705
basic,100,50,2.25,0.49433,0.52544,0.44764,0.705
basic,100,50,2.5,0.45795,0.54396,0.44764,0.705
basic,200,10,1.1,0.65958,0.20883,0.55319,1.15551
basic,200,10,1.2,0.63545,0.27799,0.55319,1.15551
basic,200,10,1.3,0.63838,0.31141,0.55319,1.15551
basic,200,10,1.4,0.65566,0.36755,0.55319,1.15551
basic,200,10,1.5,0.6314,0.39163,0.55319,1.15551
basic,200,10,1.65,0.61708,0.48411,0.55319,1.15551
basic,200,10,1.8,0.59537,0.52532,0.55319,1.15551
basic,200,10,2.0,0.60014,0.53204,0.55319,1.15551
basic,200,10,2.25,0.58092,0.64339,0.55319,1.15551
basic,200,10,2.5,0.55939,0.71449,0.55319,1.15551
basic,200,20,1.1,0.65834,0.30448,0.51438,0.96086
basic,200,20,1.2,0.63987,0.35696,0.51438,0.96086
basic,200,20,1.3,0.64036,0.38857,0.51438,0.96086
basic,200,20,1.4,0.62475,0.45133,0.51438,0.96086
basic,200,20,1.5,0.60944,0.46197,0.51438,0.96086
basic,200,20,1.65,0.59654,0.4934,0.51438,0.96086
basic,200,20,1.8,0.58681,0.52912,0.51438,0.96086
basic,200,20,2.0,0.57191,0.55774,0.51438,0.96086
basic,200,20,2.25,0.56429,0.60895,0.51438,0.96086
basic,200,20,2.5,0.53758,0.61854,0.51438,0.96086
basic,200,50,1.1,0.607,0.46481,0.47866,0.84622
basic,200,50,1.2,0.59507,0.51717,0.47866,0.84622
basic,200,50,1.3,0.57516,0.52661,0.47866,0.84622
