access,w_eff,n_vis,n_nat,r,eps_i,eps_c,tau_nat,tau_settled,tau_eq_pred,T,rho
rts,420,5,5,0.25,0.03,0.0075,0.06867,0.402926,0.337437,0.59084,1.88596
rts,420,5,5,0.5,0.03,0.015,0.06867,0.331073,0.260792,0.65356,1.8699
rts,420,5,5,0.75,0.03,0.0225,0.06867,0.283546,0.218052,0.69424,1.83978
rts,420,5,5,1.0,0.03,0.03,0.06867,0.263471,0.189169,0.70683,1.83834
rts,420,5,5,1.5,0.03,0.045,0.06867,0.216744,0.150974,0.72702,1.80114
rts,420,5,5,2.0,0.03,0.06,0.06867,0.18855,0.125906,0.73999,1.73647
rts,420,5,5,3.0,0.03,0.09,0.06867,0.14549,0.093732,0.7529,1.61057
rts,420,5,5,5.0,0.03,0.15,0.06867,0.097068,0.058765,0.75727,1.41079
rts,420,5,10,0.25,0.03,0.0075,0.05593,0.390301,0.297067,0.59649,2.80354
rts,420,5,10,0.5,0.03,0.015,0.05593,0.312357,0.215314,0.66285,2.75754
rts,420,5,10,0.75,0.03,0.0225,0.05593,0.266633,0.169867,0.69307,2.7268
rts,420,5,10,1.0,0.03,0.03,0.05593,0.233937,0.139276,0.70909,2.65233
rts,420,5,10,1.5,0.03,0.045,0.05593,0.18115,0.099072,0.72515,2.44995
rts,420,5,10,2.0,0.03,0.06,0.05593,0.142755,0.072917,0.72909,2.32301
rts,420,5,10,3.0,0.03,0.09,0.05593,0.0627,0.039757,0.73461,1.52045
rts,420,5,10,5.0,0.03,0.15,0.05593,0.00097,0.004512,0.72036,0.04474
rts,420,5,20,0.25,0.03,0.0075,0.04487,0.36916,0.230308,0.60357,4.66757
rts,420,5,20,0.5,0.03,0.015,0.04487,0.285142,0.140745,0.65534,4.53515
rts,420,5,20,0.75,0.03,0.0225,0.04487,0.215004,0.091422,0.68308,4.33258
rts,420,5,20,1.0,0.03,0.03,0.04487,0.161394,0.058551,0.68927,3.998
rts,420,5,20,1.5,0.03,0.045,0.04487,0.052241,0.015952,0.67558,2.23382
rts,420,5,20,2.0,0.03,0.06,0.04487,0.001932,nan,0.62984,0.12372
rts,420,5,20,3.0,0.03,0.09,0.04487,0.000106,nan,0.63034,0.00594
rts,420,5,20,5.0,0.03,0.15,0.04487,0.000105,nan,0.63212,0.00149
rts,420,20,5,0.25,0.03,0.0075,0.06359,0.099251,0.08183,0.61271,1.16807
rts,420,20,5,0.5,0.03,0.015,0.06359,0.076087,0.060741,0.6802,1.16162
rts,420,20,5,0.75,0.03,0.0225,0.06359,0.064267,0.049852,0.70382,1.13675
rts,420,20,5,1.0,0.03,0.03,0.06359,0.056841,0.042809,0.7203,1.10686
rts,420,20,5,1.5,0.03,0.045,0.06359,0.045736,0.033849,0.73744,1.06144
rts,420,20,5,2.0,0.03,0.06,0.06359,0.038188,0.028169,0.7478,1.01846
rts,420,20,5,3.0,0.03,0.09,0.06359,0.027885,0.021083,0.75581,0.91676
rts,420,20,5,5.0,0.03,0.15,0.06359,0.01721,0.013593,0.76235,0.73438
rts,420,20,10,0.25,0.03,0.0075,0.05309,0.097349,0.07117,0.60797,1.38648
rts,420,20,10,0.5,0.03,0.015,0.05309,0.07269,0.04983,0.66843,1.33745
rts,420,20,10,0.75,0.03,0.0225,0.05309,0.057171,0.038823,0.70055,1.28402
rts,420,20,10,1.0,0.03,0.03,0.05309,0.049531,0.031712,0.7072,1.23298
rts,420,20,10,1.5,0.03,0.045,0.05309,0.036342,0.022682,0.72137,1.13904
rts,420,20,10,2.0,0.03,0.06,0.05309,0.027112,0.016972,0.72761,0.99941
