access,w_eff,n_vis,n_nat,arm,eps,T,rho,tau0
rts,210,5,0,cold_w,0.008,0.4644,1.0,0.004762
rts,210,5,0,cold_w,0.01041,0.46935,1.0,0.004762
rts,210,5,0,cold_w,0.01356,0.50381,1.0,0.004762
rts,210,5,0,cold_w,0.01765,0.49438,1.0,0.004762
rts,210,5,0,cold_w,0.02297,0.52175,1.0,0.004762
rts,210,5,0,cold_w,0.02991,0.54264,1.0,0.004762
rts,210,5,0,cold_w,0.03893,0.57607,1.0,0.004762
rts,210,5,0,cold_w,0.05068,0.59567,1.0,0.004762
rts,210,5,0,cold_w,0.06597,0.62552,1.0,0.004762
rts,210,5,0,cold_w,0.08588,0.63883,1.0,0.004762
rts,210,5,0,cold_w,0.11179,0.64992,1.0,0.004762
rts,210,5,0,cold_w,0.14552,0.66883,1.0,0.004762
rts,210,5,0,cold_w,0.18944,0.67605,1.0,0.004762
rts,210,5,0,cold_w,0.2466,0.68958,1.0,0.004762
rts,210,5,0,cold_w,0.32102,0.68119,1.0,0.004762
rts,210,5,0,cold_w,0.41788,0.68085,1.0,0.004762
rts,210,5,0,cold_w,0.54399,0.66754,1.0,0.004762
rts,210,5,0,cold_w,0.70814,0.65885,1.0,0.004762
rts,210,5,0,cold_w,0.92183,0.6447,1.0,0.004762
rts,210,5,0,cold_w,1.2,0.59534,1.0,0.004762
rts,210,5,0,cold_nv,0.008,0.69222,1.0,0.2
rts,210,5,0,cold_nv,0.01041,0.69284,1.0,0.2
rts,210,5,0,cold_nv,0.01356,0.69141,1.0,0.2
rts,210,5,0,cold_nv,0.01765,0.68937,1.0,0.2
rts,210,5,0,cold_nv,0.02297,0.68575,1.0,0.2
rts,210,5,0,cold_nv,0.02991,0.68016,1.0,0.2
rts,210,5,0,cold_nv,0.03893,0.68952,1.0,0.2
rts,210,5,0,cold_nv,0.05068,0.68198,1.0,0.2
rts,210,5,0,cold_nv,0.06597,0.68819,1.0,0.2
rts,210,5,0,cold_nv,0.08588,0.68056,1.0,0.2
rts,210,5,0,cold_nv,0.11179,0.68413,1.0,0.2
rts,210,5,0,cold_nv,0.14552,0.6805,1.0,0.2
rts,210,5,0,cold_nv,0.18944,0.68077,1.0,0.2
rts,210,5,0,cold_nv,0.2466,0.6704,1.0,0.2
rts,210,5,0,cold_nv,0.32102,0.66476,1.0,0.2
rts,210,5,0,cold_nv,0.41788,0.65403,1.0,0.2
rts,210,5,0,cold_nv,0.54399,0.63786,1.0,0.2
rts,210,5,0,cold_nv,0.70814,0.62976,1.0,0.2
rts,210,5,0,cold_nv,0.92183,0.57851,1.0,0.2
rts,210,5,0,cold_nv,1.2,0.56835,1.0,0.2
rts,210,5,0,warm,0.008,0.7095,1.0,0.083632
rts,210,5,0,warm,0.01041,0.71183,1.0,0.10379
rts,210,5,0,warm,0.01356,0.69127,1.0,0.134208
rts,210,5,0,warm,0.01765,0.70054,1.0,0.170283
rts,210,5,0,warm,0.02297,0.68214,1.0,0.220013
rts,210,5,0,warm,0.02991,0.67294,1.0,0.238256
rts,210,5,0,warm,0.03893,0.66018,1.0,0.27015
rts,210,5,0,warm,0.05068,0.64389,1.0,0.288174
rts,210,5,0,warm,0.06597,0.62917,1.0,0.30726
rts,210,5,0,warm,0.08588,0.62518,1.0,0.309175
rts,210,5,0,warm,0.11179,0.61673,1.0,0.32064
rts,210,5,0,warm,0.14552,0.58488,1.0,0.360697
rts,210,5,0,warm,0.18944,0.54937,1.0,0.403154
rts,210,5,0,warm,0.2466,0.35909,1.0,0.66652
rts,210,5,0,warm,0.32102,0.24284,1.0,0.845595
rts,210,5,0,warm,0.41788,0.1373,1.0,0.976196
rts,210,5,0,warm,0.54399,0.1273,1.0,1.0
rts,210,5,0,warm,0.70814,0.1273,1.0,1.0
rts,210,5,0,warm,0.92183,0.1273,1.0,1.0
rts,210,5,0,warm,1.2,0.1273,1.0,1.0
rts,210,5,5,cold_w,0.008,0.73359,0.13047,0.004762
rts,210,5,5,cold_w,0.01041,0.73341,0.13537,0.004762
rts,210,5,5,cold_w,0.01356,0.73121,0.13687,0.004762
rts,210,5,5,cold_w,0.01765,0.73097,0.14218,0.004762
rts,210,5,5,cold_w,0.02297,0.73246,0.14352,0.004762
rts,210,5,5,cold_w,0.02991,0.73181,0.14001,0.004762
rts,210,5,5,cold_w,0.03893,0.73431,0.14861,0.004762
rts,210,5,5,cold_w,0.05068,0.73397,0.13862,0.004762
rts,210,5,5,cold_w,0.06597,0.73179,0.13085,0.004762
rts,210,5,5,cold_w,0.08588,0.73692,0.22401,0.004762
rts,210,5,5,cold_w,0.11179,0.72978,0.21304,0.004762
rts,210,5,5,cold_w,0.14552,0.73351,0.22846,0.004762
rts,210,5,5,cold_w,0.18944,0.73141,0.2582,0.004762
rts,210,5,5,cold_w,0.2466,0.73925,0.30426,0.004762
rts,210,5,5,cold_w,0.32102,0.73079,0.4324,0.004762
rts,210,5,5,cold_w,0.41788,0.72663,0.58555,0.004762
rts,210,5,5,cold_w,0.54399,0.72319,0.80266,0.004762
rts,210,5,5,cold_w,0.70814,0.71728,0.95317,0.004762
rts,210,5,5,cold_w,0.92183,0.69361,1.12369,0.004762
rts,210,5,5,cold_w,1.2,0.68288,1.27298,0.004762
rts,210,5,5,cold_nv,0.008,0.71688,1.61385,0.2
rts,210,5,5,cold_nv,0.01041,0.71742,1.61624,0.2
