access,w_eff,n_vis,n_nat,c_idle,c_coll,T,rho,tau_cv
basic,420,5,10,1.0,1.02,0.63101,0.0859,0.00026
basic,420,5,10,1.0,1.05,0.63144,0.08301,0.00064
basic,420,5,10,1.0,1.1,0.62846,0.07873,0.00123
basic,420,5,10,1.0,1.15,0.62981,0.07655,0.00179
basic,420,5,10,1.0,1.2,0.63066,0.0745,0.00231
basic,420,5,10,1.0,1.3,0.62945,0.06908,0.00289
basic,420,5,10,1.0,1.4,0.63357,0.06867,0.00361
basic,420,5,10,1.0,1.55,0.63437,0.06131,0.00418
basic,420,5,10,1.0,1.7,0.63308,0.05664,0.00476
basic,420,5,10,1.0,1.85,0.63221,0.05337,0.00591
basic,420,5,10,1.0,2.0,0.63261,0.0531,0.00653
basic,420,5,10,1.2,1.02,0.63295,0.24628,0.0005
basic,420,5,10,1.2,1.05,0.63209,0.23733,0.0013
basic,420,5,10,1.2,1.1,0.63221,0.22392,0.00247
basic,420,5,10,1.2,1.15,0.63622,0.21745,0.00377
basic,420,5,10,1.2,1.2,0.63328,0.20892,0.005
basic,420,5,10,1.2,1.3,0.6376,0.19693,0.00656
basic,420,5,10,1.2,1.4,0.6412,0.16598,0.00812
basic,420,5,10,1.2,1.55,0.63445,0.15823,0.00932
basic,420,5,10,1.2,1.7,0.63305,0.13811,0.01072
basic,420,5,10,1.2,1.85,0.63188,0.12209,0.0134
basic,420,5,10,1.2,2.0,0.63024,0.11949,0.01518
basic,420,5,10,1.4,1.02,0.61287,0.60654,0.0009
basic,420,5,10,1.4,1.05,0.61428,0.56711,0.0024
basic,420,5,10,1.4,1.1,0.61548,0.5528,0.00454
basic,420,5,10,1.4,1.15,0.61565,0.51425,0.00668
basic,420,5,10,1.4,1.2,0.62541,0.4849,0.00824
basic,420,5,10,1.4,1.3,0.61975,0.44786,0.01258
basic,420,5,10,1.4,1.4,0.62069,0.40259,0.01641
basic,420,5,10,1.4,1.55,0.6235,0.37911,0.02067
basic,420,5,10,1.4,1.7,0.62506,0.35074,0.0243
basic,420,5,10,1.4,1.85,0.63045,0.32731,0.02589
basic,420,5,10,1.4,2.0,0.63315,0.32629,0.02916
basic,420,5,10,1.6,1.02,0.59053,0.91553,0.00127
basic,420,5,10,1.6,1.05,0.59281,0.92464,0.00307
basic,420,5,10,1.6,1.1,0.59129,0.91032,0.00614
basic,420,5,10,1.6,1.15,0.59794,0.87532,0.00898
basic,420,5,10,1.6,1.2,0.59477,0.84299,0.01179
basic,420,5,10,1.6,1.3,0.60042,0.8092,0.01768
basic,420,5,10,1.6,1.4,0.60779,0.78621,0.02242
basic,420,5,10,1.6,1.55,0.60986,0.74855,0.02811
basic,420,5,10,1.6,1.7,0.6058,0.68517,0.03565
basic,420,5,10,1.6,1.85,0.60883,0.62258,0.0405
basic,420,5,10,1.6,2.0,0.6085,0.58819,0.04752
basic,420,5,10,1.8,1.02,0.56433,1.16544,0.00144
basic,420,5,10,1.8,1.05,0.56671,1.15983,0.00361
basic,420,5,10,1.8,1.1,0.56369,1.11271,0.00749
basic,420,5,10,1.8,1.15,0.56764,1.13576,0.01055
basic,420,5,10,1.8,1.2,0.5685,1.11596,0.01451
basic,420,5,10,1.8,1.3,0.56729,1.06151,0.02121
basic,420,5,10,1.8,1.4,0.58228,1.0523,0.02799
basic,420,5,10,1.8,1.55,0.57611,0.97283,0.03705
basic,420,5,10,1.8,1.7,0.57836,0.95003,0.04663
basic,420,5,10,1.8,1.85,0.58947,0.91621,0.05234
basic,420,5,10,1.8,2.0,0.59918,0.88189,0.05669
basic,420,5,10,2.0,1.02,0.53594,1.31162,0.00167
basic,420,5,10,2.0,1.05,0.53922,1.30913,0.00409
basic,420,5,10,2.0,1.1,0.54038,1.30907,0.00825
basic,420,5,10,2.0,1.15,0.53915,1.3064,0.01251
basic,420,5,10,2.0,1.2,0.54148,1.29105,0.01662
basic,420,5,10,2.0,1.3,0.54843,1.24892,0.02388
basic,420,5,10,2.0,1.4,0.55567,1.21563,0.03025
basic,420,5,10,2.0,1.55,0.55598,1.18144,0.0398
basic,420,5,10,2.0,1.7,0.55869,1.15662,0.05194
basic,420,5,10,2.0,1.85,0.55643,1.12501,0.05924
basic,420,5,10,2.0,2.0,0.56379,1.11711,0.06823
basic,420,5,10,2.4,1.02,0.49408,1.4932,0.00189
basic,420,5,10,2.4,1.05,0.486,1.49148,0.00494
basic,420,5,10,2.4,1.1,0.49927,1.48799,0.00965
basic,420,5,10,2.4,1.15,0.49696,1.47619,0.0149
basic,420,5,10,2.4,1.2,0.50202,1.43169,0.01923
basic,420,5,10,2.4,1.3,0.50011,1.3934,0.02813
basic,420,5,10,2.4,1.4,0.50756,1.40586,0.0365
basic,420,5,10,2.4,1.55,0.51096,1.42907,0.04833
basic,420,5,10,2.4,1.7,0.51996,1.42112,0.0589
basic,420,5,10,2.4,1.85,0.51023,1.37077,0.07213
basic,420,5,10,2.4,2.0,0.51049,1.35885,0.08339
basic,420,10,10,1.0,1.02,0.63839,0.11796,0.00038
basic,420,10,10,1.0,1.05,0.63865,0.11281,0.00096
basic,420,10,10,1.0,1.1,0.64016,0.10512,0.00191
basic,420,10,10,1.0,1.15,0.64,0.10143,0.00277
basic,420,10,10,1.0,1.2,0.63773,0.09356,0.0037
basic,420,10,10,1.0,1.3,0.63751,0.08987,0.00531
basic,420,10,10,1.0,1.4,0.63759,0.08499,0.0066
basic,420,10,10,1.0,1.55,0.63712,0.07974,0.00875
basic,420,10,10,1.0,1.7,0.63569,0.07348,0.01097
basic,420,10,10,1.0,1.85,0.63745,0.06974,0.01264
basic,420,10,10,1.0,2.0,0.64027,0.06684,0.01372
basic,420,10,10,1.2,1.02,0.62731,0.29844,0.00074
basic,420,10,10,1.2,1.05,0.62571,0.28294,0.00176
basic,420,10,10,1.2,1.1,0.62931,0.27457,0.00353
basic,420,10,10,1.2,1.15,0.63047,0.26154,0.00503
basic,420,10,10,1.2,1.2,0.62844,0.25405,0.00688
basic,420,10,10,1.2,1.3,0.63093,0.24745,0.00922
basic,420,10,10,1.2,1.4,0.62722,0.22456,0.01199
basic,420,10,10,1.2,1.55,0.62466,0.19603,0.01616
basic,420,10,10,1.2,1.7,0.62398,0.18088,0.01878
basic,420,10,10,1.2,1.85,0.62805,0.16986,0.021
basic,420,10,10,1.2,2.0,0.62758,0.16422,0.02269
basic,420,10,10,1.4,1.02,0.60625,0.55972,0.00105
basic,420,10,10,1.4,1.05,0.60394,0.54868,0.00269
basic,420,10,10,1.4,1.1,0.60711,0.52927,0.00516
basic,420,10,10,1.4,1.15,0.61115,0.52376,0.00783
basic,420,10,10,1.4,1.2,0.60979,0.50668,0.01059
basic,420,10,10,1.4,1.3,0.60806,0.49026,0.01488
basic,420,10,10,1.4,1.4,0.61814,0.47276,0.01929
basic,420,10,10,1.4,1.55,0.61611,0.43087,0.02491
basic,420,10,10,1.4,1.7,0.61295,0.39919,0.03368
basic,420,10,10,1.4,1.85,0.61409,0.36375,0.03786
basic,420,10,10,1.4,2.0,0.61798,0.33911,0.04282
basic,420,10,10,1.6,1.02,0.57636,0.79242,0.00132
basic,420,10,10,1.6,1.05,0.57744,0.7936,0.00318
basic,420,10,10,1.6,1.1,0.58187,0.76619,0.00665
basic,420,10,10,1.6,1.15,0.58479,0.75957,0.00978
basic,420,10,10,1.6,1.2,0.57541,0.72911,0.01366
basic,420,10,10,1.6,1.3,0.58397,0.71834,0.01932
basic,420,10,10,1.6,1.4,0.59036,0.67914,0.02531
basic,420,10,10,1.6,1.55,0.58282,0.65497,0.0353
basic,420,10,10,1.6,1.7,0.59214,0.62516,0.042
basic,420,10,10,1.6,1.85,0.59522,0.58495,0.05293
basic,420,10,10,1.6,2.0,0.59703,0.55942,0.0568
basic,420,10,10,1.8,1.02,0.54473,0.91104,0.00159
basic,420,10,10,1.8,1.05,0.54232,0.90861,0.004
basic,420,10,10,1.8,1.1,0.54601,0.89993,0.00777
basic,420,10,10,1.8,1.15,0.54785,0.89604,0.01144
basic,420,10,10,1.8,1.2,0.54488,0.88612,0.01544
basic,420,10,10,1.8,1.3,0.54987,0.85637,0.02303
basic,420,10,10,1.8,1.4,0.55397,0.82687,0.03058
basic,420,10,10,1.8,1.55,0.55939,0.82169,0.04152
basic,420,10,10,1.8,1.7,0.55969,0.77995,0.05079
basic,420,10,10,1.8,1.85,0.56828,0.76681,0.06197
basic,420,10,10,1.8,2.0,0.56858,0.72078,0.07118
basic,420,10,10,2.0,1.02,0.50968,0.9926,0.00177
basic,420,10,10,2.0,1.05,0.5103,0.99442,0.00446
basic,420,10,10,2.0,1.1,0.51244,0.97855,0.0088
basic,420,10,10,2.0,1.15,0.51156,0.96742,0.01343
basic,420,10,10,2.0,1.2,0.52333,0.98051,0.01726
basic,420,10,10,2.0,1.3,0.5273,0.96567,0.02624
basic,420,10,10,2.0,1.4,0.53044,0.94788,0.03439
basic,420,10,10,2.0,1.55,0.53349,0.94357,0.04557
basic,420,10,10,2.0,1.7,0.54073,0.91145,0.05663
basic,420,10,10,2.0,1.85,0.53381,0.86568,0.07091
basic,420,10,10,2.0,2.0,0.5425,0.86459,0.08272
basic,420,10,10,2.4,1.02,0.46249,1.08911,0.00212
basic,420,10,10,2.4,1.05,0.46765,1.06977,0.00526
basic,420,10,10,2.4,1.1,0.46796,1.08705,0.01045
basic,420,10,10,2.4,1.15,0.47087,1.08271,0.01563
basic,420,10,10,2.4,1.2,0.47783,1.09247,0.02051
basic,420,10,10,2.4,1.3,0.48554,1.08216,0.02994
basic,420,10,10,2.4,1.4,0.47712,1.07439,0.03926
basic,420,10,10,2.4,1.55,0.49223,1.06738,0.05446
basic,420,10,10,2.4,1.7,0.49647,1.03924,0.0686
basic,420,10,10,2.4,1.85,0.50298,1.04451,0.07976
basic,420,10,10,2.4,2.0,0.49326,1.00571,0.09364
basic,420,20,10,1.0,1.02,0.62775,0.16179,0.00055
basic,420,20,10,1.0,1.05,0.62932,0.15342,0.00143
basic,420,20,10,1.0,1.1,0.62974,0.15176,0.00268
basic,420,20,10,1.0,1.15,0.63017,0.14171,0.00397
basic,420,20,10,1.0,1.2,0.63045,0.13356,0.00542
basic,420,20,10,1.0,1.3,0.62754,0.1244,0.00744
basic,420,20,10,1.0,1.4,0.62885,0.12011,0.00956
basic,420,20,10,1.0,1.55,0.62725,0.11241,0.01308
basic,420,20,10,1.0,1.7,0.63125,0.10641,0.01614
basic,420,20,10,1.0,1.85,0.63329,0.10328,0.01829
basic,420,20,10,1.0,2.0,0.63292,0.09779,0.02029
basic,420,20,10,1.2,1.02,0.62367,0.37454,0.00081
basic,420,20,10,1.2,1.05,0.62089,0.36125,0.00207
basic,420,20,10,1.2,1.1,0.62156,0.34907,0.0041
basic,420,20,10,1.2,1.15,0.62011,0.3351,0.00597
basic,420,20,10,1.2,1.2,0.62345,0.32701,0.00798
basic,420,20,10,1.2,1.3,0.62209,0.2943,0.0124
basic,420,20,10,1.2,1.4,0.6188,0.27064,0.01609
basic,420,20,10,1.2,1.55,0.62847,0.25864,0.02041
basic,420,20,10,1.2,1.7,0.62384,0.243,0.02679
basic,420,20,10,1.2,1.85,0.62635,0.21751,0.03038
basic,420,20,10,1.2,2.0,0.6293,0.21574,0.03373
basic,420,20,10,1.4,1.02,0.58092,0.58268,0.00109
basic,420,20,10,1.4,1.05,0.58786,0.5694,0.00277
basic,420,20,10,1.4,1.1,0.5902,0.56195,0.00556
basic,420,20,10,1.4,1.15,0.58964,0.55642,0.00815
basic,420,20,10,1.4,1.2,0.59246,0.55833,0.01075
basic,420,20,10,1.4,1.3,0.59322,0.51345,0.01648
basic,420,20,10,1.4,1.4,0.60187,0.48791,0.02186
basic,420,20,10,1.4,1.55,0.59698,0.45969,0.02981
basic,420,20,10,1.4,1.7,0.60698,0.43788,0.03534
basic,420,20,10,1.4,1.85,0.60618,0.41102,0.04578
basic,420,20,10,1.4,2.0,0.60796,0.38341,0.05136
basic,420,20,10,1.6,1.02,0.54676,0.72755,0.00131
