access,w_eff,n_vis,n_nat,c_coll,c_idle,eps_idle,T,rho
rts,105,5,10,1.2,1.08329,0.08,0.69024,0.15295
rts,105,5,10,1.2,1.0993,0.09467,0.68979,0.15132
rts,105,5,10,1.2,1.11855,0.11203,0.6893,0.15424
rts,105,5,10,1.2,1.14177,0.13258,0.68937,0.15706
rts,105,5,10,1.2,1.16987,0.15689,0.69051,0.16459
rts,105,5,10,1.2,1.20402,0.18566,0.69065,0.17145
rts,105,5,10,1.2,1.24572,0.21971,0.68995,0.17963
rts,105,5,10,1.2,1.29694,0.26,0.6907,0.20288
rts,105,5,10,1.2,1.36027,0.30769,0.69076,0.21685
rts,105,5,10,1.2,1.43924,0.36411,0.68703,0.26357
rts,105,5,10,1.2,1.53862,0.43089,0.6853,0.27663
rts,105,5,10,1.2,1.66514,0.50991,0.68656,0.34435
rts,105,5,10,1.2,1.82836,0.60342,0.68386,0.37356
rts,105,5,10,1.2,2.0423,0.71408,0.6823,0.4328
rts,105,5,10,1.2,2.32805,0.84503,0.67293,0.5375
rts,105,5,10,1.2,2.71828,1.0,0.66419,0.66875
rts,105,10,10,1.2,1.08329,0.08,0.68252,0.20627
rts,105,10,10,1.2,1.0993,0.09467,0.68246,0.2054
rts,105,10,10,1.2,1.11855,0.11203,0.68253,0.21086
rts,105,10,10,1.2,1.14177,0.13258,0.6815,0.21273
rts,105,10,10,1.2,1.16987,0.15689,0.6824,0.22587
rts,105,10,10,1.2,1.20402,0.18566,0.68515,0.23034
rts,105,10,10,1.2,1.24572,0.21971,0.68533,0.23862
rts,105,10,10,1.2,1.29694,0.26,0.68314,0.26465
rts,105,10,10,1.2,1.36027,0.30769,0.68089,0.28012
rts,105,10,10,1.2,1.43924,0.36411,0.67925,0.32644
rts,105,10,10,1.2,1.53862,0.43089,0.6779,0.36006
rts,105,10,10,1.2,1.66514,0.50991,0.67626,0.38964
rts,105,10,10,1.2,1.82836,0.60342,0.67194,0.44122
rts,105,10,10,1.2,2.0423,0.71408,0.67043,0.49203
rts,105,10,10,1.2,2.32805,0.84503,0.6697,0.5164
rts,105,10,10,1.2,2.71828,1.0,0.65752,0.61991
rts,105,20,10,1.2,1.08329,0.08,0.68643,0.28705
rts,105,20,10,1.2,1.0993,0.09467,0.68477,0.29328
rts,105,20,10,1.2,1.11855,0.11203,0.68431,0.29126
rts,105,20,10,1.2,1.14177,0.13258,0.68472,0.28469
rts,105,20,10,1.2,1.16987,0.15689,0.68422,0.30393
rts,105,20,10,1.2,1.20402,0.18566,0.68387,0.31982
rts,105,20,10,1.2,1.24572,0.21971,0.68198,0.33013
rts,105,20,10,1.2,1.29694,0.26,0.68048,0.34738
rts,105,20,10,1.2,1.36027,0.30769,0.67757,0.38902
rts,105,20,10,1.2,1.43924,0.36411,0.68096,0.40799
rts,105,20,10,1.2,1.53862,0.43089,0.67402,0.40376
rts,105,20,10,1.2,1.66514,0.50991,0.67904,0.45347
rts,105,20,10,1.2,1.82836,0.60342,0.67413,0.46239
rts,105,20,10,1.2,2.0423,0.71408,0.67037,0.49826
rts,105,20,10,1.2,2.32805,0.84503,0.65559,0.58008
rts,105,20,10,1.2,2.71828,1.0,0.649,0.58994
rts,105,50,10,1.2,1.08329,0.08,0.66769,0.46491
rts,105,50,10,1.2,1.0993,0.09467,0.66721,0.4643
rts,105,50,10,1.2,1.11855,0.11203,0.66525,0.46446
rts,105,50,10,1.2,1.14177,0.13258,0.66371,0.47208
rts,105,50,10,1.2,1.16987,0.15689,0.66491,0.46404
rts,105,50,10,1.2,1.20402,0.18566,0.66643,0.48935
rts,105,50,10,1.2,1.24572,0.21971,0.66491,0.49774
rts,105,50,10,1.2,1.29694,0.26,0.67164,0.51701
rts,105,50,10,1.2,1.36027,0.30769,0.66241,0.53812
rts,105,50,10,1.2,1.43924,0.36411,0.66326,0.55626
rts,105,50,10,1.2,1.53862,0.43089,0.66041,0.56522
rts,105,50,10,1.2,1.66514,0.50991,0.65254,0.60318
rts,105,50,10,1.2,1.82836,0.60342,0.64023,0.59296
rts,105,50,10,1.2,2.0423,0.71408,0.63797,0.64857
rts,105,50,10,1.2,2.32805,0.84503,0.62672,0.65247
rts,105,50,10,1.2,2.71828,1.0,0.62021,0.66861
rts,210,5,10,1.2,1.08329,0.08,0.7113,0.16067
rts,210,5,10,1.2,1.0993,0.09467,0.71105,0.16462
rts,210,5,10,1.2,1.11855,0.11203,0.71062,0.1714
rts,210,5,10,1.2,1.14177,0.13258,0.71083,0.18339
rts,210,5,10,1.2,1.16987,0.15689,0.70995,0.19984
rts,210,5,10,1.2,1.20402,0.18566,0.70915,0.21721
rts,210,5,10,1.2,1.24572,0.21971,0.7097,0.25803
rts,210,5,10,1.2,1.29694,0.26,0.70793,0.29197
rts,210,5,10,1.2,1.36027,0.30769,0.70914,0.35053
rts,210,5,10,1.2,1.43924,0.36411,0.70993,0.44039
rts,210,5,10,1.2,1.53862,0.43089,0.70939,0.5486
rts,210,5,10,1.2,1.66514,0.50991,0.70439,0.67402
rts,210,5,10,1.2,1.82836,0.60342,0.70313,0.80174
rts,210,5,10,1.2,2.0423,0.71408,0.6969,0.96212
rts,210,5,10,1.2,2.32805,0.84503,0.68863,1.14318
rts,210,5,10,1.2,2.71828,1.0,0.67049,1.29582
rts,210,10,10,1.2,1.08329,0.08,0.71412,0.20067
rts,210,10,10,1.2,1.0993,0.09467,0.71374,0.20319
rts,210,10,10,1.2,1.11855,0.11203,0.71335,0.20268
rts,210,10,10,1.2,1.14177,0.13258,0.71309,0.22998
rts,210,10,10,1.2,1.16987,0.15689,0.71241,0.25892
rts,210,10,10,1.2,1.20402,0.18566,0.71236,0.2699
rts,210,10,10,1.2,1.24572,0.21971,0.71185,0.30811
rts,210,10,10,1.2,1.29694,0.26,0.7099,0.35495
rts,210,10,10,1.2,1.36027,0.30769,0.71059,0.39759
rts,210,10,10,1.2,1.43924,0.36411,0.70937,0.47463
rts,210,10,10,1.2,1.53862,0.43089,0.70442,0.52701
rts,210,10,10,1.2,1.66514,0.50991,0.70319,0.65093
rts,210,10,10,1.2,1.82836,0.60342,0.69934,0.70063
rts,210,10,10,1.2,2.0423,0.71408,0.69081,0.8227
rts,210,10,10,1.2,2.32805,0.84503,0.67493,0.94043
rts,210,10,10,1.2,2.71828,1.0,0.66161,1.03172
rts,210,20,10,1.2,1.08329,0.08,0.71496,0.29222
rts,210,20,10,1.2,1.0993,0.09467,0.71567,0.29638
rts,210,20,10,1.2,1.11855,0.11203,0.71729,0.30143
rts,210,20,10,1.2,1.14177,0.13258,0.71386,0.32143
rts,210,20,10,1.2,1.16987,0.15689,0.71253,0.33228
rts,210,20,10,1.2,1.20402,0.18566,0.71142,0.35822
rts,210,20,10,1.2,1.24572,0.21971,0.71047,0.38573
rts,210,20,10,1.2,1.29694,0.26,0.71358,0.42935
rts,210,20,10,1.2,1.36027,0.30769,0.70969,0.44802
rts,210,20,10,1.2,1.43924,0.36411,0.70873,0.50744
rts,210,20,10,1.2,1.53862,0.43089,0.70307,0.57215
rts,210,20,10,1.2,1.66514,0.50991,0.70473,0.64347
rts,210,20,10,1.2,1.82836,0.60342,0.68777,0.71164
rts,210,20,10,1.2,2.0423,0.71408,0.67869,0.7868
rts,210,20,10,1.2,2.32805,0.84503,0.66254,0.84173
rts,210,20,10,1.2,2.71828,1.0,0.64981,0.90203
rts,210,50,10,1.2,1.08329,0.08,0.71265,0.44501
rts,210,50,10,1.2,1.0993,0.09467,0.71553,0.46688
rts,210,50,10,1.2,1.11855,0.11203,0.71437,0.47178
rts,210,50,10,1.2,1.14177,0.13258,0.71595,0.48717
rts,210,50,10,1.2,1.16987,0.15689,0.71337,0.49849
rts,210,50,10,1.2,1.20402,0.18566,0.71208,0.51743
rts,210,50,10,1.2,1.24572,0.21971,0.70951,0.54533
rts,210,50,10,1.2,1.29694,0.26,0.70612,0.56263
rts,210,50,10,1.2,1.36027,0.30769,0.70663,0.58809
rts,210,50,10,1.2,1.43924,0.36411,0.7014,0.64053
rts,210,50,10,1.2,1.53862,0.43089,0.69795,0.68318
rts,210,50,10,1.2,1.66514,0.50991,0.6931,0.71249
rts,210,50,10,1.2,1.82836,0.60342,0.6801,0.74106
rts,210,50,10,1.2,2.0423,0.71408,0.66665,0.79446
rts,210,50,10,1.2,2.32805,0.84503,0.65998,0.81336
rts,210,50,10,1.2,2.71828,1.0,0.63254,0.85758
rts,420,5,10,1.2,1.08329,0.08,0.7169,0.10922
rts,420,5,10,1.2,1.0993,0.09467,0.71673,0.11633
rts,420,5,10,1.2,1.11855,0.11203,0.71773,0.13895
rts,420,5,10,1.2,1.14177,0.13258,0.71623,0.15945
rts,420,5,10,1.2,1.16987,0.15689,0.71755,0.1962
rts,420,5,10,1.2,1.20402,0.18566,0.71645,0.24329
rts,420,5,10,1.2,1.24572,0.21971,0.71756,0.32404
rts,420,5,10,1.2,1.29694,0.26,0.71984,0.44503
rts,420,5,10,1.2,1.36027,0.30769,0.7175,0.58164
rts,420,5,10,1.2,1.43924,0.36411,0.71645,0.77308
rts,420,5,10,1.2,1.53862,0.43089,0.71733,0.98079
rts,420,5,10,1.2,1.66514,0.50991,0.71312,1.22054
rts,420,5,10,1.2,1.82836,0.60342,0.69728,1.46487
rts,420,5,10,1.2,2.0423,0.71408,0.68445,1.62684
rts,420,5,10,1.2,2.32805,0.84503,0.65932,1.81418
rts,420,5,10,1.2,2.71828,1.0,0.62201,1.85386
rts,420,10,10,1.2,1.08329,0.08,0.71808,0.14253
rts,420,10,10,1.2,1.0993,0.09467,0.71857,0.15847
rts,420,10,10,1.2,1.11855,0.11203,0.71897,0.17779
rts,420,10,10,1.2,1.14177,0.13258,0.71937,0.20997
rts,420,10,10,1.2,1.16987,0.15689,0.72035,0.24412
rts,420,10,10,1.2,1.20402,0.18566,0.72168,0.30165
rts,420,10,10,1.2,1.24572,0.21971,0.72085,0.37421
rts,420,10,10,1.2,1.29694,0.26,0.7197,0.45849
rts,420,10,10,1.2,1.36027,0.30769,0.71928,0.58469
rts,420,10,10,1.2,1.43924,0.36411,0.71383,0.70518
rts,420,10,10,1.2,1.53862,0.43089,0.71404,0.84874
rts,420,10,10,1.2,1.66514,0.50991,0.70462,0.98795
rts,420,10,10,1.2,1.82836,0.60342,0.69569,1.1044
rts,420,10,10,1.2,2.0423,0.71408,0.68094,1.22066
rts,420,10,10,1.2,2.32805,0.84503,0.65988,1.31941
rts,420,10,10,1.2,2.71828,1.0,0.6287,1.36879
rts,420,20,10,1.2,1.08329,0.08,0.72308,0.2019
rts,420,20,10,1.2,1.0993,0.09467,0.72073,0.21568
rts,420,20,10,1.2,1.11855,0.11203,0.72109,0.23028
rts,420,20,10,1.2,1.14177,0.13258,0.72194,0.272
rts,420,20,10,1.2,1.16987,0.15689,0.72282,0.30484
rts,420,20,10,1.2,1.20402,0.18566,0.72275,0.372
rts,420,20,10,1.2,1.24572,0.21971,0.72108,0.42688
rts,420,20,10,1.2,1.29694,0.26,0.7227,0.50798
rts,420,20,10,1.2,1.36027,0.30769,0.72036,0.59815
rts,420,20,10,1.2,1.43924,0.36411,0.71824,0.67735
rts,420,20,10,1.2,1.53862,0.43089,0.71355,0.77752
rts,420,20,10,1.2,1.66514,0.50991,0.70564,0.85331
rts,420,20,10,1.2,1.82836,0.60342,0.68835,0.947
rts,420,20,10,1.2,2.0423,0.71408,0.67498,1.00979
rts,420,20,10,1.2,2.32805,0.84503,0.64883,1.06147
rts,420,20,10,1.2,2.71828,1.0,0.62377,1.11248
rts,420,50,10,1.2,1.08329,0.08,0.72607,0.34217
rts,420,50,10,1.2,1.0993,0.09467,0.72493,0.36826
rts,420,50,10,1.2,1.11855,0.11203,0.72622,0.39627
rts,420,50,10,1.2,1.14177,0.13258,0.72719,0.4285
rts,420,50,10,1.2,1.16987,0.15689,0.72581,0.4624
rts,420,50,10,1.2,1.20402,0.18566,0.72527,0.50041
rts,420,50,10,1.2,1.24572,0.21971,0.72453,0.55191
rts,420,50,10,1.2,1.29694,0.26,0.72518,0.61521
rts,420,50,10,1.2,1.36027,0.30769,0.71886,0.66435
rts,420,50,10,1.2,1.43924,0.36411,0.71606,0.7259
rts,420,50,10,1.2,1.53862,0.43089,0.70551,0.76621
rts,420,50,10,1.2,1.66514,0.50991,0.69521,0.82899
rts,420,50,10,1.2,1.82836,0.60342,0.68172,0.86366
rts,420,50,10,1.2,2.0423,0.71408,0.67026,0.89244
rts,420,50,10,1.2,2.32805,0.84503,0.64506,0.93768
rts,420,50,10,1.2,2.71828,1.0,0.61252,0.96143
rts,840,5,10,1.2,1.08329,0.08,0.72934,0.08776
rts,840,5,10,1.2,1.0993,0.09467,0.72909,0.12026
rts,840,5,10,1.2,1.11855,0.11203,0.72949,0.16476
rts,840,5,10,1.2,1.14177,0.13258,0.72849,0.23925
rts,840,5,10,1.2,1.16987,0.15689,0.72866,0.34366
rts,840,5,10,1.2,1.20402,0.18566,0.73109,0.50709
rts,840,5,10,1.2,1.24572,0.21971,0.73154,0.7515
rts,840,5,10,1.2,1.29694,0.26,0.73105,1.00001
rts,840,5,10,1.2,1.36027,0.30769,0.72693,1.23615
rts,840,5,10,1.2,1.43924,0.36411,0.71708,1.48847
rts,840,5,10,1.2,1.53862,0.43089,0.70609,1.68368
rts,840,5,10,1.2,1.66514,0.50991,0.68417,1.8724
rts,840,5,10,1.2,1.82836,0.60342,0.64584,2.00706
rts,840,5,10,1.2,2.0423,0.71408,0.6108,2.10821
rts,840,5,10,1.2,2.32805,0.84503,0.5571,2.17075
rts,840,5,10,1.2,2.71828,1.0,0.49689,2.20475
rts,840,10,10,1.2,1.08329,0.08,0.72999,0.12549
rts,840,10,10,1.2,1.0993,0.09467,0.72946,0.16335
rts,840,10,10,1.2,1.11855,0.11203,0.72923,0.20356
rts,840,10,10,1.2,1.14177,0.13258,0.73071,0.27885
rts,840,10,10,1.2,1.16987,0.15689,0.73105,0.37157
rts,840,10,10,1.2,1.20402,0.18566,0.73214,0.50644
rts,840,10,10,1.2,1.24572,0.21971,0.73005,0.64361
rts,840,10,10,1.2,1.29694,0.26,0.73001,0.81204
rts,840,10,10,1.2,1.36027,0.30769,0.72138,0.96333
rts,840,10,10,1.2,1.43924,0.36411,0.71368,1.09594
rts,840,10,10,1.2,1.53862,0.43089,0.7023,1.24115
rts,840,10,10,1.2,1.66514,0.50991,0.68728,1.33771
rts,840,10,10,1.2,1.82836,0.60342,0.66369,1.42567
rts,840,10,10,1.2,2.0423,0.71408,0.6347,1.50606
rts,840,10,10,1.2,2.32805,0.84503,0.59606,1.54762
rts,840,10,10,1.2,2.71828,1.0,0.5497,1.57607
rts,840,20,10,1.2,1.08329,0.08,0.73078,0.16642
rts,840,20,10,1.2,1.0993,0.09467,0.73185,0.19958
rts,840,20,10,1.2,1.11855,0.11203,0.73117,0.26128
rts,840,20,10,1.2,1.14177,0.13258,0.73303,0.32619
rts,840,20,10,1.2,1.16987,0.15689,0.7329,0.40154
rts,840,20,10,1.2,1.20402,0.18566,0.73137,0.50155
rts,840,20,10,1.2,1.24572,0.21971,0.73025,0.60694
rts,840,20,10,1.2,1.29694,0.26,0.72714,0.73117
rts,840,20,10,1.2,1.36027,0.30769,0.71972,0.83472
rts,840,20,10,1.2,1.43924,0.36411,0.70934,0.92465
rts,840,20,10,1.2,1.53862,0.43089,0.69967,1.0041
rts,840,20,10,1.2,1.66514,0.50991,0.68432,1.07725
rts,840,20,10,1.2,1.82836,0.60342,0.66442,1.13117
