access,w_eff,n_vis,n_nat,c_coll,c_idle,T,rho
rts,105,10,5,1.05,2.7668,0.66765,0.72123
rts,105,10,10,1.05,2.7668,0.65899,0.63987
rts,105,10,20,1.05,2.7668,0.58274,0.68119
rts,105,10,30,1.05,2.7668,0.51643,1.09363
rts,105,10,5,1.1,2.8177,0.6632,0.70995
rts,105,10,10,1.1,2.8177,0.65633,0.62712
rts,105,10,20,1.1,2.8177,0.5801,0.67835
rts,105,10,30,1.1,2.8177,0.51072,1.01841
rts,105,10,5,1.2,2.916,0.66357,0.72251
rts,105,10,10,1.2,2.916,0.65342,0.60931
rts,105,10,20,1.2,2.916,0.58425,0.6901
rts,105,10,30,1.2,2.916,0.50926,0.92836
rts,105,10,5,1.3,3.0101,0.6624,0.71711
rts,105,10,10,1.3,3.0101,0.65383,0.61819
rts,105,10,20,1.3,3.0101,0.58514,0.67106
rts,105,10,30,1.3,3.0101,0.51419,0.88161
rts,105,10,5,1.4,3.1006,0.66276,0.73199
rts,105,10,10,1.4,3.1006,0.65422,0.65448
rts,105,10,20,1.4,3.1006,0.58348,0.63105
rts,105,10,30,1.4,3.1006,0.50592,0.85059
rts,105,10,5,1.5,3.188,0.66077,0.73255
rts,105,10,10,1.5,3.188,0.65202,0.65884
rts,105,10,20,1.5,3.188,0.5795,0.64325
rts,105,10,30,1.5,3.188,0.50465,0.83058
rts,105,10,5,1.6,3.2724,0.65648,0.74579
rts,105,10,10,1.6,3.2724,0.65174,0.64751
rts,105,10,20,1.6,3.2724,0.58484,0.62978
rts,105,10,30,1.6,3.2724,0.49963,0.84681
rts,210,10,5,1.05,1.9634,0.70311,0.84384
rts,210,10,10,1.05,1.9634,0.69253,0.82933
rts,210,10,20,1.05,1.9634,0.63731,1.09211
rts,210,10,30,1.05,1.9634,0.57584,1.55828
rts,210,10,5,1.1,1.9955,0.70415,0.83857
rts,210,10,10,1.1,1.9955,0.68749,0.8034
rts,210,10,20,1.1,1.9955,0.64075,1.0791
rts,210,10,30,1.1,1.9955,0.57652,1.45185
rts,210,10,5,1.2,2.0578,0.69739,0.85067
rts,210,10,10,1.2,2.0578,0.68767,0.84491
rts,210,10,20,1.2,2.0578,0.63779,1.01394
rts,210,10,30,1.2,2.0578,0.56796,1.45723
rts,210,10,5,1.3,2.1176,0.69485,0.87584
rts,210,10,10,1.3,2.1176,0.69039,0.85816
rts,210,10,20,1.3,2.1176,0.63122,1.00163
rts,210,10,30,1.3,2.1176,0.56672,1.4048
rts,210,10,5,1.4,2.1755,0.69635,0.89447
rts,210,10,10,1.4,2.1755,0.6894,0.8587
rts,210,10,20,1.4,2.1755,0.63593,0.97988
rts,210,10,30,1.4,2.1755,0.56727,1.32884
rts,210,10,5,1.5,2.2315,0.6989,0.90029
rts,210,10,10,1.5,2.2315,0.69011,0.85952
rts,210,10,20,1.5,2.2315,0.63199,0.96961
rts,210,10,30,1.5,2.2315,0.56144,1.24043
rts,210,10,5,1.6,2.2859,0.69353,0.89127
rts,210,10,10,1.6,2.2859,0.68676,0.84656
rts,210,10,20,1.6,2.2859,0.63297,0.92861
