n_vis,n_nat,w_eff,access,alpha,candidate,c_idle,c_coll,seed,visits,A_vis,A_nat,coll_air,idle_slots,oh_air,epochs,n_idle,n_coll,n_solo_vis,n_solo_nat,tau_cv_sum,tau_cv_cnt
10,10,420,rts,0.0,current,1.2,1.2,101,30,1366.0,7757.0,1222,395,1860,685,395,103,21,166,10.216088241218086,630
10,10,420,rts,0.0,current,1.2,1.2,102,30,1167.0,8253.0,833,347,2000,619,347,71,19,182,2.6949091700577297,552
10,10,420,rts,0.0,current,1.2,1.2,103,30,1170.0,7896.0,1254,404,1876,700,404,107,18,171,6.304169022441693,620
10,10,420,rts,0.0,current,1.2,1.2,104,30,1806.0,7462.0,1044,367,1921,647,367,87,29,164,1.4684275554012798,572
10,10,420,rts,0.0,current,1.2,1.2,105,30,1349.0,7780.0,1158,405,1908,697,405,99,22,171,6.809698428446849,615
10,10,420,rts,0.0,current,1.2,1.2,106,30,1740.0,7299.0,1252,431,1878,727,431,105,27,164,8.832511967061308,660
10,10,420,rts,0.0,current,1.2,1.2,107,30,1637.0,7246.0,1425,446,1846,750,446,119,28,157,8.071275037073823,675
10,10,420,rts,0.0,current,1.2,1.2,108,30,1155.0,7853.0,1311,411,1870,712,411,111,18,172,9.551122464366683,635
10,10,420,rts,0.0,current,1.2,1.2,109,30,1111.0,7975.0,1171,408,1935,700,408,98,21,173,4.906906242119372,629
10,10,420,rts,0.0,current,1.2,1.2,110,30,1813.0,7213.0,1254,425,1895,722,425,106,31,160,8.58998531421672,644
10,10,420,rts,0.0,current,1.2,1.2,111,30,1284.0,7834.0,1197,414,1871,704,414,101,20,169,7.9975902557106195,638
10,10,420,rts,0.0,current,1.2,1.2,112,30,1764.0,7024.0,1511,458,1843,771,458,127,32,154,8.159403077593506,690
10,10,420,rts,0.0,current,1.2,1.2,113,30,1235.0,7781.0,1276,410,1898,708,410,107,20,171,7.298986852235578,643
10,10,420,rts,0.0,current,1.2,1.2,114,30,1403.0,7777.0,1100,398,1922,685,398,93,23,171,5.4270360817836965,610
10,10,420,rts,0.0,current,1.2,1.2,115,30,1232.0,7751.0,1249,436,1932,738,436,106,22,174,6.003847631140551,623
10,10,420,rts,0.0,current,1.2,1.2,116,30,1784.0,7227.0,1248,439,1902,737,439,104,31,163,8.74080041205762,660
10,10,420,rts,0.0,current,1.2,1.2,117,30,1684.0,7468.0,1106,420,1922,707,420,93,28,166,4.376481015217899,621
10,10,420,rts,0.0,current,1.2,1.2,118,30,1423.0,7615.0,1238,425,1899,721,425,104,26,166,4.581969225970379,644
10,10,420,rts,0.0,current,1.2,1.2,119,30,1510.0,7449.0,1293,423,1925,725,423,108,27,167,8.673245953894586,624
10,10,420,rts,0.0,current,1.2,1.2,120,30,1438.0,7617.0,1242,424,1879,716,424,104,24,164,7.301470433618845,628
10,10,420,rts,0.0,current,1.2,1.2,121,30,749.0,8359.0,1153,418,1921,709,418,97,13,181,7.604787458704648,619
10,10,420,rts,0.0,current,1.2,1.2,122,30,1321.0,7831.0,1138,394,1916,683,394,95,21,173,9.40786830189334,613
10,10,420,rts,0.0,current,1.2,1.2,123,30,1428.0,7793.0,1104,372,1903,656,372,93,23,168,2.9911946383589925,580
10,10,420,rts,0.0,current,1.2,1.2,124,30,1425.0,7438.0,1421,452,1864,761,452,121,27,161,10.205271364920748,687
10,10,420,rts,0.0,current,1.2,1.2,125,30,1388.0,7760.0,1110,403,1939,692,403,94,25,170,7.342574951740685,609
10,10,420,rts,0.0,current,1.2,1.2,126,30,899.0,8248.0,1084,395,1974,685,395,91,17,182,7.148582480717236,610
10,10,420,rts,0.0,current,1.2,1.2,127,30,888.0,8198.0,1181,402,1931,695,402,99,16,178,6.228751489110052,612
10,10,420,rts,0.0,current,1.2,1.2,128,30,1376.0,7811.0,1124,394,1895,679,394,94,21,170,5.197547921646526,612
10,10,420,rts,0.0,current,1.2,1.2,129,30,1417.0,7781.0,1091,403,1908,687,403,92,22,170,5.425859378270424,594
10,10,420,rts,0.0,current,1.2,1.2,130,30,1204.0,8032.0,1052,386,1926,668,386,89,21,172,7.8380807835507085,608
10,10,420,rts,0.0,current,1.2,1.2,131,30,1486.0,7551.0,1244,441,1878,737,441,107,27,162,5.837035019576416,646
10,10,420,rts,0.0,current,1.2,1.2,132,30,1180.0,8074.0,1054,379,1913,661,379,88,19,175,3.9824264273062244,614
10,10,420,rts,0.0,current,1.2,1.2,133,30,1641.0,7388.0,1271,436,1864,731,436,107,26,162,7.42314689389655,651
10,10,420,rts,0.0,current,1.2,1.2,134,30,1701.0,7072.0,1508,484,1835,797,484,127,28,158,8.213698654213173,710
10,10,420,rts,0.0,current,1.2,1.2,135,30,903.0,8479.0,918,345,1955,619,345,78,15,181,4.6023257539021465,543
10,10,420,rts,0.0,current,1.2,1.2,136,30,1237.0,7790.0,1258,403,1912,700,403,105,21,171,7.825638963093171,626
10,10,420,rts,0.0,current,1.2,1.2,137,30,1552.0,7375.0,1356,440,1877,744,440,115,26,163,6.645362868680099,638
10,10,420,rts,0.0,current,1.2,1.2,138,30,1209.0,8072.0,974,398,1947,677,398,82,19,178,5.587358599701713,603
10,10,420,rts,0.0,current,1.2,1.2,139,30,1492.0,7498.0,1306,413,1891,713,413,110,24,166,7.0113950452477205,627
10,10,420,rts,0.0,current,1.2,1.2,140,30,852.0,8216.0,1169,416,1947,709,416,98,17,178,4.703724144043277,646
10,10,420,rts,0.0,current,1.2,1.2,141,30,1094.0,8146.0,1036,385,1939,666,385,87,18,176,8.85074339037859,607
10,10,420,rts,0.0,current,1.2,1.2,142,30,1621.0,7418.0,1248,432,1881,727,432,106,26,163,8.737266565243672,660
10,10,420,rts,0.0,current,1.2,1.2,143,30,914.0,8086.0,1219,446,1935,744,446,103,19,176,7.807195805511624,661
10,10,420,rts,0.0,current,1.2,1.2,144,30,1246.0,7973.0,1060,382,1939,666,382,89,21,174,7.45332303061108,613
10,10,420,rts,0.0,current,1.2,1.2,145,30,1127.0,7812.0,1354,429,1878,733,429,114,19,171,7.584444240848936,648
10,10,420,rts,0.0,current,1.2,1.2,146,30,1226.0,7958.0,1070,383,1963,670,383,90,24,173,2.361990950226297,609
10,10,420,rts,0.0,current,1.2,1.2,147,30,1260.0,7897.0,1129,392,1922,683,392,96,20,175,4.469189871117149,601
10,10,420,rts,0.0,current,1.2,1.2,148,30,1189.0,8004.0,1105,388,1914,674,388,94,18,174,5.07812694563828,590
10,10,420,rts,0.0,current,1.2,1.2,149,30,1776.0,7540.0,1005,376,1903,651,376,84,27,164,2.8037699973564494,579
10,10,420,rts,0.0,current,1.2,1.2,150,30,1178.0,7819.0,1318,410,1875,710,410,110,19,171,7.349914032255195,635
10,10,420,rts,0.0,current,1.2,1.2,151,30,1526.0,7395.0,1406,432,1841,737,432,120,25,160,9.096615103963602,661
10,10,420,rts,0.0,current,1.2,1.2,152,30,977.0,8108.0,1171,406,1938,700,406,99,17,178,8.63089833449149,625
10,10,420,rts,0.0,current,1.2,1.2,153,30,1083.0,8247.0,950,374,1946,652,374,81,18,179,4.415132481613412,574
10,10,420,rts,0.0,current,1.2,1.2,154,30,1464.0,7473.0,1340,441,1882,742,441,112,23,166,9.677506380951595,650
10,10,420,rts,0.0,current,1.2,1.2,155,30,1557.0,7499.0,1172,455,1917,747,455,99,28,165,5.418445095277058,652
10,10,420,rts,0.0,current,1.2,1.2,156,30,1644.0,7514.0,1132,391,1919,678,391,95,27,165,7.9742766319379905,603
10,10,420,rts,0.0,current,1.2,1.2,157,30,1237.0,7696.0,1339,440,1888,743,440,112,21,170,6.371072352798752,662
10,10,420,rts,0.0,current,1.2,1.2,158,30,1490.0,7555.0,1202,455,1898,749,455,102,24,168,9.824939315552454,660
10,10,420,rts,0.0,current,1.2,1.2,159,30,1686.0,7513.0,1096,394,1911,680,394,93,29,164,4.16550287010823,598
10,10,420,rts,0.0,current,1.2,1.2,160,30,967.0,8121.0,1153,419,1940,712,419,97,18,178,6.052513214272208,619
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,101,30,895.0,8293.0,1069,415,1928,699,415,91,15,178,2.7616619769880555,635
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,102,30,256.0,8737.0,1205,457,1945,754,457,101,6,190,2.8319627295724934,692
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,103,30,508.0,8666.0,1105,404,1917,689,404,93,8,184,2.1644519373320383,638
10,10,420,rts,0.0,analytic,1.0512710963760241,1.1051709180756477,104,30,738.0,8353.0,1150,425,1934,715,425,96,12,182,2.425698962108987,645
