n_vis,n_nat,w_eff,access,eps_idle,eps_coll,c_idle,c_coll,T,rho,J_a0.0,J_a0.05,J_a0.1,J_a0.2,J_a0.5
5,0,105,rts,0.05,0.05,1.0512710963760241,1.0512710963760241,0.49988095238095237,1.0,-0.6933853041472118,-0.6933853041472118,-0.6933853041472118,-0.6933853041472118,-0.6933853041472118
5,0,105,rts,0.05,0.087055,1.0512710963760241,1.0909566806856736,0.49970238095238095,1.0,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091
5,0,105,rts,0.05,0.151572,1.0512710963760241,1.1636620824634731,0.49970238095238095,1.0,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091
5,0,105,rts,0.05,0.263902,1.0512710963760241,1.3020005939902721,0.4980357142857143,1.0,-0.6970834890957516,-0.6970834890957516,-0.6970834890957516,-0.6970834890957516,-0.6970834890957516
5,0,105,rts,0.05,0.459479,1.0512710963760241,1.583248897402281,0.49740079365079365,1.0,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052
5,0,105,rts,0.05,0.8,1.0512710963760241,2.225540928492468,0.49740079365079365,1.0,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052
5,0,105,rts,0.087055,0.05,1.0909566806856736,1.0512710963760241,0.531984126984127,1.0,-0.6311416265816117,-0.6311416265816117,-0.6311416265816117,-0.6311416265816117,-0.6311416265816117
5,0,105,rts,0.087055,0.087055,1.0909566806856736,1.0909566806856736,0.5318253968253969,1.0,-0.6314400449663986,-0.6314400449663986,-0.6314400449663986,-0.6314400449663986,-0.6314400449663986
5,0,105,rts,0.087055,0.151572,1.0909566806856736,1.1636620824634731,0.5318253968253969,1.0,-0.6314400449663986,-0.6314400449663986,-0.6314400449663986,-0.6314400449663986,-0.6314400449663986
5,0,105,rts,0.087055,0.263902,1.0909566806856736,1.3020005939902721,0.531547619047619,1.0,-0.6319624915208055,-0.6319624915208055,-0.6319624915208055,-0.6319624915208055,-0.6319624915208055
5,0,105,rts,0.087055,0.459479,1.0909566806856736,1.583248897402281,0.5313293650793651,1.0,-0.6323731768109773,-0.6323731768109773,-0.6323731768109773,-0.6323731768109773,-0.6323731768109773
5,0,105,rts,0.087055,0.8,1.0909566806856736,2.225540928492468,0.5329761904761905,1.0,-0.6292785265904394,-0.6292785265904394,-0.6292785265904394,-0.6292785265904394,-0.6292785265904394
5,0,105,rts,0.151572,0.05,1.1636620824634731,1.0512710963760241,0.5555555555555556,1.0,-0.587786664902119,-0.587786664902119,-0.587786664902119,-0.587786664902119,-0.587786664902119
5,0,105,rts,0.151572,0.087055,1.1636620824634731,1.0909566806856736,0.5555555555555556,1.0,-0.587786664902119,-0.587786664902119,-0.587786664902119,-0.587786664902119,-0.587786664902119
5,0,105,rts,0.151572,0.151572,1.1636620824634731,1.1636620824634731,0.5555555555555556,1.0,-0.587786664902119,-0.587786664902119,-0.587786664902119,-0.587786664902119,-0.587786664902119
5,0,105,rts,0.151572,0.263902,1.1636620824634731,1.3020005939902721,0.5555555555555556,1.0,-0.587786664902119,-0.587786664902119,-0.587786664902119,-0.587786664902119,-0.587786664902119
5,0,105,rts,0.151572,0.459479,1.1636620824634731,1.583248897402281,0.5548611111111111,1.0,-0.5890374468037716,-0.5890374468037716,-0.5890374468037716,-0.5890374468037716,-0.5890374468037716
5,0,105,rts,0.151572,0.8,1.1636620824634731,2.225540928492468,0.5526388888888889,1.0,-0.593050494577218,-0.593050494577218,-0.593050494577218,-0.593050494577218,-0.593050494577218
5,0,105,rts,0.263902,0.05,1.3020005939902721,1.0512710963760241,0.5788492063492063,1.0,-0.5467132734133014,-0.5467132734133014,-0.5467132734133014,-0.5467132734133014,-0.5467132734133014
5,0,105,rts,0.263902,0.087055,1.3020005939902721,1.0909566806856736,0.5831150793650793,1.0,-0.5393707204039987,-0.5393707204039987,-0.5393707204039987,-0.5393707204039987,-0.5393707204039987
5,0,105,rts,0.263902,0.151572,1.3020005939902721,1.1636620824634731,0.5839484126984127,1.0,-0.5379426344761509,-0.5379426344761509,-0.5379426344761509,-0.5379426344761509,-0.5379426344761509
5,0,105,rts,0.263902,0.263902,1.3020005939902721,1.3020005939902721,0.5832142857142857,1.0,-0.5392006031928303,-0.5392006031928303,-0.5392006031928303,-0.5392006031928303,-0.5392006031928303
5,0,105,rts,0.263902,0.459479,1.3020005939902721,1.583248897402281,0.5909722222222222,1.0,-0.5259862639966721,-0.5259862639966721,-0.5259862639966721,-0.5259862639966721,-0.5259862639966721
5,0,105,rts,0.263902,0.8,1.3020005939902721,2.225540928492468,0.5969444444444445,1.0,-0.5159312278016909,-0.5159312278016909,-0.5159312278016909,-0.5159312278016909,-0.5159312278016909
5,0,105,rts,0.459479,0.05,1.583248897402281,1.0512710963760241,0.5966666666666667,1.0,-0.516396668815446,-0.516396668815446,-0.516396668815446,-0.516396668815446,-0.516396668815446
5,0,105,rts,0.459479,0.087055,1.583248897402281,1.0909566806856736,0.5966666666666667,1.0,-0.516396668815446,-0.516396668815446,-0.516396668815446,-0.516396668815446,-0.516396668815446
5,0,105,rts,0.459479,0.151572,1.583248897402281,1.1636620824634731,0.5954960317460317,1.0,-0.5183605539436085,-0.5183605539436085,-0.5183605539436085,-0.5183605539436085,-0.5183605539436085
5,0,105,rts,0.459479,0.263902,1.583248897402281,1.3020005939902721,0.6047222222222223,1.0,-0.5029860632096539,-0.5029860632096539,-0.5029860632096539,-0.5029860632096539,-0.5029860632096539
5,0,105,rts,0.459479,0.459479,1.583248897402281,1.583248897402281,0.6008730158730159,1.0,-0.5093716548362627,-0.5093716548362627,-0.5093716548362627,-0.5093716548362627,-0.5093716548362627
5,0,105,rts,0.459479,0.8,1.583248897402281,2.225540928492468,0.5930753968253968,1.0,-0.5224337433357632,-0.5224337433357632,-0.5224337433357632,-0.5224337433357632,-0.5224337433357632
5,0,105,rts,0.8,0.05,2.225540928492468,1.0512710963760241,0.5830555555555555,1.0,-0.5394728046235684,-0.5394728046235684,-0.5394728046235684,-0.5394728046235684,-0.5394728046235684
5,0,105,rts,0.8,0.087055,2.225540928492468,1.0909566806856736,0.5858928571428571,1.0,-0.534618343762139,-0.534618343762139,-0.534618343762139,-0.534618343762139,-0.534618343762139
5,0,105,rts,0.8,0.151572,2.225540928492468,1.1636620824634731,0.5818253968253968,1.0,-0.5415848817159828,-0.5415848817159828,-0.5415848817159828,-0.5415848817159828,-0.5415848817159828
5,0,105,rts,0.8,0.263902,2.225540928492468,1.3020005939902721,0.5886111111111111,1.0,-0.5299895661759023,-0.5299895661759023,-0.5299895661759023,-0.5299895661759023,-0.5299895661759023
5,0,105,rts,0.8,0.459479,2.225540928492468,1.583248897402281,0.5929166666666666,1.0,-0.5227014182461847,-0.5227014182461847,-0.5227014182461847,-0.5227014182461847,-0.5227014182461847
5,0,105,rts,0.8,0.8,2.225540928492468,2.225540928492468,0.6063888888888889,1.0,-0.5002337678942576,-0.5002337678942576,-0.5002337678942576,-0.5002337678942576,-0.5002337678942576
5,0,105,rts,0.05,0.08037,1.0512710963760241,1.0836879580501442,0.49970238095238095,1.0,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091
5,0,105,rts,0.05,0.129188,1.0512710963760241,1.1379040300155947,0.49970238095238095,1.0,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091,-0.6937425958797091
5,0,105,rts,0.05,0.207658,1.0512710963760241,1.2307921666404829,0.49831349206349207,1.0,-0.6965258978753149,-0.6965258978753149,-0.6965258978753149,-0.6965258978753149,-0.6965258978753149
5,0,105,rts,0.05,0.333792,1.0512710963760241,1.3962526928085686,0.4980357142857143,1.0,-0.6970834890957516,-0.6970834890957516,-0.6970834890957516,-0.6970834890957516,-0.6970834890957516
5,0,105,rts,0.05,0.53654,1.0512710963760241,1.710079738279151,0.49740079365079365,1.0,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052,-0.6983591520154052
