access,w_eff,n_vis,coll_cost,succ_oh,eps,T,rho
rts,105,5,-1,-1,0.05,0.68937,0.14257
rts,105,5,-1,-1,0.06385,0.68819,0.14282
rts,105,5,-1,-1,0.08153,0.68892,0.14923
rts,105,5,-1,-1,0.10411,0.68935,0.15916
rts,105,5,-1,-1,0.13294,0.68954,0.16484
rts,105,5,-1,-1,0.16975,0.68859,0.1706
rts,105,5,-1,-1,0.21677,0.68779,0.17925
rts,105,5,-1,-1,0.2768,0.68748,0.2035
rts,105,5,-1,-1,0.35345,0.69073,0.2224
rts,105,5,-1,-1,0.45134,0.68362,0.27048
rts,105,5,-1,-1,0.57633,0.67862,0.30629
rts,105,5,-1,-1,0.73594,0.68033,0.41569
rts,105,5,-1,-1,0.93975,0.67649,0.51892
rts,105,5,-1,-1,1.2,0.66654,0.61969
rts,105,10,-1,-1,0.05,0.68251,0.22568
rts,105,10,-1,-1,0.06385,0.68402,0.2321
rts,105,10,-1,-1,0.08153,0.68194,0.23849
rts,105,10,-1,-1,0.10411,0.68179,0.2398
rts,105,10,-1,-1,0.13294,0.68241,0.2426
rts,105,10,-1,-1,0.16975,0.68214,0.25689
rts,105,10,-1,-1,0.21677,0.68256,0.27367
rts,105,10,-1,-1,0.2768,0.68252,0.27005
rts,105,10,-1,-1,0.35345,0.6783,0.28086
rts,105,10,-1,-1,0.45134,0.66784,0.31497
rts,105,10,-1,-1,0.57633,0.67632,0.38195
rts,105,10,-1,-1,0.73594,0.67633,0.39884
rts,105,10,-1,-1,0.93975,0.66329,0.48278
rts,105,10,-1,-1,1.2,0.6503,0.57761
rts,105,20,-1,-1,0.05,0.68627,0.27592
rts,105,20,-1,-1,0.06385,0.68652,0.28643
rts,105,20,-1,-1,0.08153,0.68878,0.29037
rts,105,20,-1,-1,0.10411,0.68859,0.29332
rts,105,20,-1,-1,0.13294,0.68922,0.29992
rts,105,20,-1,-1,0.16975,0.68622,0.30953
rts,105,20,-1,-1,0.21677,0.6813,0.32941
rts,105,20,-1,-1,0.2768,0.6809,0.34363
rts,105,20,-1,-1,0.35345,0.6814,0.37867
rts,105,20,-1,-1,0.45134,0.68278,0.4142
rts,105,20,-1,-1,0.57633,0.68256,0.39777
rts,105,20,-1,-1,0.73594,0.66505,0.43864
rts,105,20,-1,-1,0.93975,0.657,0.48105
rts,105,20,-1,-1,1.2,0.65665,0.55991
rts,105,50,-1,-1,0.05,0.67335,0.50061
rts,105,50,-1,-1,0.06385,0.67356,0.50232
rts,105,50,-1,-1,0.08153,0.67422,0.50671
rts,105,50,-1,-1,0.10411,0.67132,0.49974
rts,105,50,-1,-1,0.13294,0.67241,0.51992
rts,105,50,-1,-1,0.16975,0.6693,0.51955
rts,105,50,-1,-1,0.21677,0.668,0.5073
rts,105,50,-1,-1,0.2768,0.6684,0.53567
rts,105,50,-1,-1,0.35345,0.66837,0.49978
rts,105,50,-1,-1,0.45134,0.66675,0.54588
rts,105,50,-1,-1,0.57633,0.66487,0.52378
rts,105,50,-1,-1,0.73594,0.64994,0.56896
rts,105,50,-1,-1,0.93975,0.63622,0.56829
rts,105,50,-1,-1,1.2,0.62051,0.59616
rts,210,5,-1,-1,0.05,0.71289,0.14161
rts,210,5,-1,-1,0.06385,0.71337,0.14766
rts,210,5,-1,-1,0.08153,0.7124,0.15591
rts,210,5,-1,-1,0.10411,0.71337,0.16017
rts,210,5,-1,-1,0.13294,0.71316,0.16396
rts,210,5,-1,-1,0.16975,0.71133,0.19842
rts,210,5,-1,-1,0.21677,0.71208,0.2375
rts,210,5,-1,-1,0.2768,0.71065,0.29916
rts,210,5,-1,-1,0.35345,0.71286,0.38564
rts,210,5,-1,-1,0.45134,0.70909,0.49353
rts,210,5,-1,-1,0.57633,0.7106,0.64607
rts,210,5,-1,-1,0.73594,0.6998,0.78366
rts,210,5,-1,-1,0.93975,0.68989,1.06297
rts,210,5,-1,-1,1.2,0.67256,1.35482
rts,210,10,-1,-1,0.05,0.71447,0.22023
rts,210,10,-1,-1,0.06385,0.71463,0.2193
rts,210,10,-1,-1,0.08153,0.71389,0.21285
rts,210,10,-1,-1,0.10411,0.7141,0.21086
rts,210,10,-1,-1,0.13294,0.71231,0.23962
rts,210,10,-1,-1,0.16975,0.71079,0.26414
rts,210,10,-1,-1,0.21677,0.71115,0.31916
rts,210,10,-1,-1,0.2768,0.70921,0.36155
rts,210,10,-1,-1,0.35345,0.7096,0.40132
rts,210,10,-1,-1,0.45134,0.70712,0.53975
rts,210,10,-1,-1,0.57633,0.7046,0.66052
rts,210,10,-1,-1,0.73594,0.69658,0.74764
rts,210,10,-1,-1,0.93975,0.68804,0.8645
rts,210,10,-1,-1,1.2,0.67325,1.07137
rts,210,20,-1,-1,0.05,0.71472,0.29942
rts,210,20,-1,-1,0.06385,0.7166,0.31162
rts,210,20,-1,-1,0.08153,0.71655,0.31213
rts,210,20,-1,-1,0.10411,0.71784,0.31628
rts,210,20,-1,-1,0.13294,0.71683,0.34786
rts,210,20,-1,-1,0.16975,0.71003,0.35478
rts,210,20,-1,-1,0.21677,0.70539,0.37369
rts,210,20,-1,-1,0.2768,0.71318,0.38484
rts,210,20,-1,-1,0.35345,0.71347,0.44342
rts,210,20,-1,-1,0.45134,0.70456,0.51922
rts,210,20,-1,-1,0.57633,0.69875,0.5814
rts,210,20,-1,-1,0.73594,0.69034,0.66373
rts,210,20,-1,-1,0.93975,0.68382,0.77046
rts,210,20,-1,-1,1.2,0.66195,0.8378
rts,210,50,-1,-1,0.05,0.70987,0.44899
rts,210,50,-1,-1,0.06385,0.71148,0.46252
rts,210,50,-1,-1,0.08153,0.71437,0.48691
rts,210,50,-1,-1,0.10411,0.71199,0.47501
rts,210,50,-1,-1,0.13294,0.71129,0.47478
rts,210,50,-1,-1,0.16975,0.71484,0.50129
rts,210,50,-1,-1,0.21677,0.71361,0.50691
rts,210,50,-1,-1,0.2768,0.70908,0.54975
rts,210,50,-1,-1,0.35345,0.70806,0.56695
rts,210,50,-1,-1,0.45134,0.69518,0.60161
rts,210,50,-1,-1,0.57633,0.6849,0.64559
rts,210,50,-1,-1,0.73594,0.67838,0.6975
rts,210,50,-1,-1,0.93975,0.66971,0.71604
rts,210,50,-1,-1,1.2,0.65679,0.78221
rts,420,5,-1,-1,0.05,0.71925,0.10479
rts,420,5,-1,-1,0.06385,0.71822,0.11028
rts,420,5,-1,-1,0.08153,0.71945,0.11722
rts,420,5,-1,-1,0.10411,0.71774,0.13037
rts,420,5,-1,-1,0.13294,0.71558,0.14925
rts,420,5,-1,-1,0.16975,0.71558,0.20325
rts,420,5,-1,-1,0.21677,0.71671,0.3097
rts,420,5,-1,-1,0.2768,0.72215,0.41966
rts,420,5,-1,-1,0.35345,0.71776,0.61463
rts,420,5,-1,-1,0.45134,0.71515,0.85991
rts,420,5,-1,-1,0.57633,0.71627,1.1796
