access,w_eff,n_vis,r_star,eps_i_hat,eps_c_hat,eps_i_star,eps_c_star,r_swept,T_star,T_hat,T_ship,G_hat,G_ship,T_at_top_eps_c,T_at_low_eps_c
basic,105,5,131.911,0.9047,119.3342,0.1646,2.6915,16.35,0.6721,0.49633,0.67143,0.7385,0.999,0.6721,0.67143
basic,105,10,99.385,0.9047,89.9099,0.2361,0.3046,1.29,0.71341,0.49575,0.68316,0.6949,0.9576,0.70841,0.70967
basic,105,20,88.533,0.9047,80.092,0.2361,8.0,33.877,0.67929,0.48962,0.66322,0.7208,0.9763,0.67929,0.66737
basic,105,50,83.103,0.9047,75.1803,0.1646,0.9055,5.501,0.64271,0.44849,0.62744,0.6978,0.9762,0.62733,0.6314
basic,210,5,131.911,0.6397,84.382,0.1646,0.1767,1.073,0.72461,0.53567,0.72461,0.7393,1.0,0.71118,0.72183
basic,210,10,99.385,0.6397,63.5759,0.1646,0.9055,5.501,0.7423,0.56205,0.73108,0.7572,0.9849,0.71475,0.73683
basic,210,20,88.533,0.6397,56.6336,0.1148,0.1767,1.54,0.75169,0.53796,0.71683,0.7157,0.9536,0.73062,0.74667
basic,210,50,83.103,0.6397,53.1605,0.08,0.1025,1.281,0.73714,0.49362,0.68813,0.6696,0.9335,0.70036,0.73238
basic,420,5,131.911,0.4523,59.6671,0.08,0.5252,6.565,0.75895,0.53929,0.71459,0.7106,0.9416,0.75888,0.75432
basic,420,10,99.385,0.4523,44.955,0.08,0.1767,2.209,0.76481,0.5211,0.71511,0.6813,0.935,0.74677,0.7639
basic,420,20,88.533,0.4523,40.046,0.08,0.5252,6.565,0.76858,0.5159,0.70238,0.6712,0.9139,0.75162,0.76148
basic,420,50,83.103,0.4523,37.5902,0.08,0.1767,2.209,0.76292,0.47806,0.68802,0.6266,0.9018,0.72094,0.74511
basic,840,5,131.911,0.3198,42.191,0.08,0.5252,6.565,0.74228,0.49652,0.64503,0.6689,0.869,0.72596,0.72069
basic,840,10,99.385,0.3198,31.788,0.08,0.9055,11.319,0.7406,0.47482,0.62978,0.6411,0.8504,0.70963,0.71442
basic,840,20,88.533,0.3198,28.3168,0.08,1.5611,19.514,0.75821,0.45151,0.62743,0.5955,0.8275,0.67461,0.71318
basic,840,50,83.103,0.3198,26.5803,0.08,0.9055,11.319,0.75534,0.43249,0.62589,0.5726,0.8286,0.66584,0.71601
basic,1680,5,131.911,0.2262,29.8335,0.08,0.5252,6.565,0.70141,0.44439,0.55041,0.6336,0.7847,0.65098,0.63849
basic,1680,10,99.385,0.2262,22.4775,0.08,0.9055,11.319,0.72104,0.40069,0.54704,0.5557,0.7587,0.60698,0.62179
basic,1680,20,88.533,0.2262,20.023,0.08,1.5611,19.514,0.73078,0.37803,0.5543,0.5173,0.7585,0.56998,0.6246
basic,1680,50,83.103,0.2262,18.7951,0.08,1.5611,19.514,0.74756,0.36453,0.5489,0.4876,0.7343,0.55498,0.61474
rts,105,5,22.303,0.9047,20.1769,0.3388,0.02,0.059,0.60798,0.58276,0.55659,0.9585,0.9155,0.6019,0.60798
rts,105,10,16.826,0.9047,15.2215,0.3388,2.6915,7.945,0.62746,0.60343,0.60048,0.9617,0.957,0.61784,0.6146
rts,105,20,14.998,0.9047,13.5678,0.3388,1.5611,4.608,0.64076,0.60792,0.6319,0.9487,0.9862,0.63952,0.62643
rts,105,50,14.083,0.9047,12.7404,0.2361,2.6915,11.397,0.63841,0.60684,0.62543,0.9505,0.9797,0.62648,0.62763
rts,210,5,22.303,0.6397,14.2673,0.2361,0.1025,0.434,0.68767,0.6544,0.66945,0.9516,0.9735,0.67931,0.68401
rts,210,10,16.826,0.6397,10.7632,0.3388,0.9055,2.673,0.70002,0.65723,0.69287,0.9389,0.9898,0.69298,0.69531
rts,210,20,14.998,0.6397,9.5939,0.3388,0.5252,1.55,0.7109,0.65582,0.7061,0.9225,0.9932,0.69737,0.69135
rts,210,50,14.083,0.6397,9.0088,0.1646,0.1025,0.623,0.71621,0.64853,0.71263,0.9055,0.995,0.69753,0.71223
rts,420,5,22.303,0.4523,10.0885,0.2361,8.0,33.877,0.7321,0.67223,0.72715,0.9182,0.9932,0.7321,0.72198
rts,420,10,16.826,0.4523,7.6107,0.1646,0.9055,5.501,0.74179,0.6781,0.73505,0.9141,0.9909,0.73658,0.73331
rts,420,20,14.998,0.4523,6.7839,0.2361,0.9055,3.834,0.74782,0.65866,0.74357,0.8808,0.9943,0.7206,0.72766
rts,420,50,14.083,0.4523,6.3702,0.1646,0.9055,5.501,0.7557,0.65293,0.74441,0.864,0.9851,0.72289,0.73698
rts,840,5,22.303,0.3198,7.1336,0.1148,0.5252,4.577,0.75525,0.65741,0.74886,0.8705,0.9915,0.75283,0.7472
rts,840,10,16.826,0.3198,5.3816,0.1646,0.5252,3.19,0.76162,0.64058,0.74971,0.8411,0.9844,0.72841,0.72887
rts,840,20,14.998,0.3198,4.7969,0.1646,0.9055,5.501,0.76638,0.63499,0.75262,0.8286,0.982,0.71655,0.73639
rts,840,50,14.083,0.3198,4.5044,0.08,0.1767,2.209,0.77005,0.63061,0.752,0.8189,0.9766,0.72542,0.76755
rts,1680,5,22.303,0.2262,5.0442,0.08,0.3046,3.808,0.76635,0.626,0.73404,0.8169,0.9578,0.75131,0.75055
rts,1680,10,16.826,0.2262,3.8054,0.08,0.9055,11.319,0.77158,0.59872,0.74281,0.776,0.9627,0.73595,0.74893
