access,w_eff,n_vis,eps_idle,eps_coll,c_idle,c_coll,T,tau_cv,x_sd
rts,105,5,0.08,0.02,1.08329,1.0202,0.53611,0.00012,0.00012
rts,105,5,0.08,0.03448,1.08329,1.03508,0.53611,0.00021,0.00021
rts,105,5,0.08,0.05945,1.08329,1.06125,0.53611,0.00036,0.00036
rts,105,5,0.08,0.10249,1.08329,1.10793,0.53668,0.00065,0.00065
rts,105,5,0.08,0.1767,1.08329,1.19327,0.53668,0.00111,0.00111
rts,105,5,0.08,0.30464,1.08329,1.35613,0.53668,0.00191,0.00192
rts,105,5,0.08,0.52521,1.08329,1.69082,0.53668,0.00326,0.00331
rts,105,5,0.08,0.9055,1.08329,2.47316,0.53487,0.00644,0.00665
rts,105,5,0.08,1.56112,1.08329,4.76417,0.53487,0.01004,0.01147
rts,105,5,0.08,2.69146,1.08329,14.75322,0.53487,0.0136,0.01977
rts,105,5,0.08,4.64023,1.08329,103.56769,0.53487,0.01541,0.03342
rts,105,5,0.08,8.0,1.08329,2980.95799,0.53487,0.01553,0.03718
rts,105,5,0.11476,0.02,1.1216,1.0202,0.55287,0.00015,0.00015
rts,105,5,0.11476,0.03448,1.1216,1.03508,0.55287,0.00027,0.00027
rts,105,5,0.11476,0.05945,1.1216,1.06125,0.55286,0.00047,0.00047
rts,105,5,0.11476,0.10249,1.1216,1.10793,0.55286,0.00081,0.0008
rts,105,5,0.11476,0.1767,1.1216,1.19327,0.55286,0.00139,0.00139
rts,105,5,0.11476,0.30464,1.1216,1.35613,0.55351,0.00234,0.00234
rts,105,5,0.11476,0.52521,1.1216,1.69082,0.55227,0.00455,0.00455
rts,105,5,0.11476,0.9055,1.1216,2.47316,0.55613,0.00907,0.00955
rts,105,5,0.11476,1.56112,1.1216,4.76417,0.55749,0.01426,0.01671
rts,105,5,0.11476,2.69146,1.1216,14.75322,0.55784,0.02301,0.03383
rts,105,5,0.11476,4.64023,1.1216,103.56769,0.55759,0.02866,0.06433
rts,105,5,0.11476,8.0,1.1216,2980.95799,0.55759,0.02903,0.07909
rts,105,5,0.16462,0.02,1.17895,1.0202,0.558,0.0003,0.0003
rts,105,5,0.16462,0.03448,1.17895,1.03508,0.55808,0.00052,0.00052
rts,105,5,0.16462,0.05945,1.17895,1.06125,0.5577,0.0009,0.0009
rts,105,5,0.16462,0.10249,1.17895,1.10793,0.55722,0.00171,0.00171
rts,105,5,0.16462,0.1767,1.17895,1.19327,0.55659,0.00301,0.00301
rts,105,5,0.16462,0.30464,1.17895,1.35613,0.55722,0.00541,0.00543
rts,105,5,0.16462,0.52521,1.17895,1.69082,0.5576,0.00933,0.00944
rts,105,5,0.16462,0.9055,1.17895,2.47316,0.56216,0.01606,0.01679
rts,105,5,0.16462,1.56112,1.17895,4.76417,0.55941,0.02721,0.03104
rts,105,5,0.16462,2.69146,1.17895,14.75322,0.55981,0.04125,0.05949
rts,105,5,0.16462,4.64023,1.17895,103.56769,0.55981,0.04708,0.10161
rts,105,5,0.16462,8.0,1.17895,2980.95799,0.55787,0.04882,0.12886
rts,105,5,0.23615,0.02,1.26637,1.0202,0.58733,0.0003,0.0003
rts,105,5,0.23615,0.03448,1.26637,1.03508,0.58733,0.00052,0.00052
rts,105,5,0.23615,0.05945,1.26637,1.06125,0.58733,0.0009,0.0009
rts,105,5,0.23615,0.10249,1.26637,1.10793,0.58889,0.00154,0.00154
rts,105,5,0.23615,0.1767,1.26637,1.19327,0.58889,0.00273,0.00271
rts,105,5,0.23615,0.30464,1.26637,1.35613,0.58865,0.00493,0.00491
rts,105,5,0.23615,0.52521,1.26637,1.69082,0.58468,0.00921,0.00922
