access,w_eff,n_vis,alpha,tau_J,r_J,r_oracle,eps_i_rule,eps_i_oracle,J_oracle,G_rule,G_ratio,G_ship,T_rule,rho_rule,T_ship,rho_ship,row_span
basic,105,5,0.25,0.030332,3.9099,0.4064,0.9047,1.0,-0.58663,0.9601,0.9556,0.6026,0.62598,0.45057,0.68611,0.18399,0.04546
basic,105,5,0.5,0.034566,3.68,1.1091,0.9047,1.0,-0.70176,0.919,0.919,0.3303,0.62598,0.45057,0.68611,0.18399,0.09035
basic,105,5,1.0,0.037641,3.5246,1.1091,0.9047,1.0,-0.93064,0.8408,0.8408,0.0991,0.62598,0.45057,0.68611,0.18399,0.1815
basic,105,10,0.25,0.021739,3.0272,0.0902,0.9047,1.0,-0.6574,0.949,0.949,0.7824,0.57538,0.4527,0.64206,0.2577,0.05257
basic,105,10,0.5,0.026666,2.6287,0.0902,0.9047,1.0,-0.76252,0.901,0.901,0.5489,0.57538,0.4527,0.64206,0.2577,0.10781
basic,105,10,1.0,0.031274,2.3183,0.6714,0.9047,1.0,-0.95338,0.865,0.865,0.2649,0.56611,0.48305,0.64206,0.2577,0.23766
basic,105,20,0.25,0.013524,2.4976,0.0287,0.9047,0.6971,-0.65169,0.9076,0.9651,0.8996,0.53954,0.48401,0.63325,0.33399,0.07332
basic,105,20,0.5,0.017459,2.0098,0.0287,0.9047,0.6971,-0.76256,0.8889,0.9075,0.7441,0.53954,0.48401,0.63325,0.33399,0.12138
basic,105,20,1.0,0.021806,1.6099,0.0287,0.9047,0.6971,-0.9843,0.8527,0.8427,0.509,0.53954,0.48401,0.63325,0.33399,0.21751
basic,105,50,0.25,0.006267,2.1572,0.5477,0.9047,0.1646,-0.71369,0.8695,0.9664,0.9955,0.48267,0.49294,0.56681,0.46035,0.15126
basic,105,50,0.5,0.008359,1.6339,0.0847,0.9047,0.2361,-0.85973,0.8879,0.9581,0.9911,0.48267,0.49294,0.56681,0.46035,0.24332
basic,105,50,1.0,0.010893,1.2059,0.6714,0.9047,1.0,-1.03342,0.9295,0.9295,0.8727,0.4744,0.54843,0.56681,0.46035,0.27368
basic,210,5,0.25,0.030332,3.9099,0.2137,0.6397,0.6971,-0.50322,0.9034,0.9034,0.6268,0.63853,0.45357,0.66179,0.22461,0.10982
basic,210,5,0.5,0.034566,3.68,0.2137,0.6397,0.6971,-0.52449,0.8372,0.7893,0.3666,0.63083,0.49912,0.66179,0.22461,0.2639
basic,210,5,1.0,0.037641,3.5246,0.2137,0.6397,0.6971,-0.56703,0.6862,0.6025,0.1254,0.63083,0.49912,0.66179,0.22461,0.57204
basic,210,10,0.25,0.021739,3.0272,0.0412,0.6397,0.486,-0.5737,0.8908,0.8127,0.7228,0.59008,0.44726,0.66499,0.2465,0.29145
basic,210,10,0.5,0.026666,2.6287,1.1091,0.6397,1.0,-0.6153,0.7899,0.8978,0.4615,0.59008,0.44726,0.66499,0.2465,0.12727
basic,210,10,1.0,0.031274,2.3183,0.6714,0.6397,1.0,-0.64844,0.5907,0.8684,0.179,0.59008,0.44726,0.66499,0.2465,0.28979
basic,210,20,0.25,0.013524,2.4976,0.1611,0.6397,0.3388,-0.59668,0.9294,0.8835,0.8415,0.58821,0.47413,0.62842,0.33156,0.32082
basic,210,20,0.5,0.017459,2.0098,0.9631,0.6397,0.6971,-0.67453,0.9842,0.9842,0.6707,0.58967,0.56569,0.62842,0.33156,0.3051
basic,210,20,1.0,0.021806,1.6099,0.246,0.6397,1.0,-0.73268,0.8868,0.8774,0.3865,0.58967,0.56569,0.62842,0.33156,0.41771
basic,210,50,0.25,0.006267,2.1572,0.7263,0.6397,0.3388,-0.61688,0.9013,0.9705,0.9914,0.5206,0.59351,0.60628,0.49298,0.18741
