access,w_eff,n_vis,eps_idle,eps_coll,T,rho
rts,105,5,0.08,0.02,0.68889,0.15429
rts,105,5,0.08,0.03304,0.68889,0.15429
rts,105,5,0.08,0.05458,0.68889,0.15429
rts,105,5,0.08,0.09016,0.68892,0.14744
rts,105,5,0.08,0.14894,0.68819,0.14102
rts,105,5,0.08,0.24604,0.68878,0.13046
rts,105,5,0.08,0.40644,0.68824,0.12814
rts,105,5,0.08,0.67142,0.68962,0.1254
rts,105,5,0.08,1.10914,0.68968,0.12359
rts,105,5,0.08,1.83223,0.68756,0.10853
rts,105,5,0.08,3.02674,0.68622,0.10534
rts,105,5,0.08,5.0,0.68654,0.10092
rts,105,5,0.11476,0.02,0.68954,0.16208
rts,105,5,0.11476,0.03304,0.68954,0.16208
rts,105,5,0.11476,0.05458,0.68954,0.16208
rts,105,5,0.11476,0.09016,0.68935,0.15916
rts,105,5,0.11476,0.14894,0.68935,0.15736
rts,105,5,0.11476,0.24604,0.68881,0.14317
rts,105,5,0.11476,0.40644,0.68924,0.13535
rts,105,5,0.11476,0.67142,0.68889,0.12829
rts,105,5,0.11476,1.10914,0.69014,0.12848
rts,105,5,0.11476,1.83223,0.68798,0.10984
rts,105,5,0.11476,3.02674,0.68665,0.10666
rts,105,5,0.11476,5.0,0.68697,0.10224
rts,105,5,0.16462,0.02,0.6873,0.18693
rts,105,5,0.16462,0.03304,0.6873,0.18693
rts,105,5,0.16462,0.05458,0.6873,0.18693
rts,105,5,0.16462,0.09016,0.68875,0.179
rts,105,5,0.16462,0.14894,0.68859,0.1706
rts,105,5,0.16462,0.24604,0.68822,0.16385
rts,105,5,0.16462,0.40644,0.68902,0.15025
rts,105,5,0.16462,0.67142,0.68848,0.13909
rts,105,5,0.16462,1.10914,0.68925,0.13693
rts,105,5,0.16462,1.83223,0.68889,0.12387
rts,105,5,0.16462,3.02674,0.68797,0.11829
rts,105,5,0.16462,5.0,0.68727,0.11391
rts,105,5,0.23615,0.02,0.69006,0.2231
rts,105,5,0.23615,0.03304,0.68944,0.2291
rts,105,5,0.23615,0.05458,0.68776,0.22454
rts,105,5,0.23615,0.09016,0.68776,0.22454
rts,105,5,0.23615,0.14894,0.68952,0.21057
rts,105,5,0.23615,0.24604,0.68916,0.20384
rts,105,5,0.23615,0.40644,0.69024,0.19862
rts,105,5,0.23615,0.67142,0.69021,0.17883
rts,105,5,0.23615,1.10914,0.69003,0.15631
rts,105,5,0.23615,1.83223,0.69165,0.15126
rts,105,5,0.23615,3.02674,0.69098,0.14293
rts,105,5,0.23615,5.0,0.69049,0.13855
rts,105,5,0.33876,0.02,0.68656,0.28909
rts,105,5,0.33876,0.03304,0.68502,0.27841
rts,105,5,0.33876,0.05458,0.68533,0.27724
rts,105,5,0.33876,0.09016,0.68717,0.27324
rts,105,5,0.33876,0.14894,0.68654,0.26378
rts,105,5,0.33876,0.24604,0.68987,0.24808
rts,105,5,0.33876,0.40644,0.68992,0.21486
rts,105,5,0.33876,0.67142,0.69127,0.20377
rts,105,5,0.33876,1.10914,0.69243,0.16835
rts,105,5,0.33876,1.83223,0.69062,0.16417
rts,105,5,0.33876,3.02674,0.69086,0.15288
rts,105,5,0.33876,5.0,0.69002,0.14534
rts,105,5,0.48596,0.02,0.686,0.35825
rts,105,5,0.48596,0.03304,0.68829,0.37139
rts,105,5,0.48596,0.05458,0.68798,0.36456
rts,105,5,0.48596,0.09016,0.68403,0.36416
rts,105,5,0.48596,0.14894,0.68167,0.33468
rts,105,5,0.48596,0.24604,0.68167,0.3198
rts,105,5,0.48596,0.40644,0.68189,0.28848
rts,105,5,0.48596,0.67142,0.67806,0.26279
rts,105,5,0.48596,1.10914,0.68611,0.22078
rts,105,5,0.48596,1.83223,0.68557,0.19525
rts,105,5,0.48596,3.02674,0.68141,0.18575
rts,105,5,0.48596,5.0,0.68335,0.18794
rts,105,5,0.69711,0.02,0.68143,0.41614
rts,105,5,0.69711,0.03304,0.68294,0.40651
rts,105,5,0.69711,0.05458,0.68205,0.40271
rts,105,5,0.69711,0.09016,0.67819,0.43491
rts,105,5,0.69711,0.14894,0.67889,0.41496
rts,105,5,0.69711,0.24604,0.67724,0.40149
rts,105,5,0.69711,0.40644,0.68051,0.41286
rts,105,5,0.69711,0.67142,0.6819,0.37584
rts,105,5,0.69711,1.10914,0.68308,0.3372
rts,105,5,0.69711,1.83223,0.68724,0.25838
rts,105,5,0.69711,3.02674,0.685,0.26236
rts,105,5,0.69711,5.0,0.6851,0.26364
rts,105,5,1.0,0.02,0.66398,0.67486
rts,105,5,1.0,0.03304,0.66438,0.67317
rts,105,5,1.0,0.05458,0.66679,0.67673
rts,105,5,1.0,0.09016,0.66875,0.64292
rts,105,5,1.0,0.14894,0.67232,0.66316
rts,105,5,1.0,0.24604,0.66759,0.62556
rts,105,5,1.0,0.40644,0.66521,0.60969
rts,105,5,1.0,0.67142,0.67306,0.55878
rts,105,5,1.0,1.10914,0.6714,0.53024
rts,105,5,1.0,1.83223,0.66779,0.53174
rts,105,5,1.0,3.02674,0.67398,0.39976
rts,105,5,1.0,5.0,0.67429,0.40636
rts,105,10,0.08,0.02,0.68329,0.237
rts,105,10,0.08,0.03304,0.68329,0.237
rts,105,10,0.08,0.05458,0.68359,0.23968
rts,105,10,0.08,0.09016,0.68194,0.23849
rts,105,10,0.08,0.14894,0.68329,0.23765
rts,105,10,0.08,0.24604,0.68206,0.23519
rts,105,10,0.08,0.40644,0.68148,0.21117
rts,105,10,0.08,0.67142,0.68224,0.18934
rts,105,10,0.08,1.10914,0.68181,0.18536
rts,105,10,0.08,1.83223,0.68138,0.16857
rts,105,10,0.08,3.02674,0.67921,0.16415
rts,105,10,0.08,5.0,0.67613,0.15945
rts,105,10,0.11476,0.02,0.68476,0.24868
rts,105,10,0.11476,0.03304,0.68476,0.24868
rts,105,10,0.11476,0.05458,0.68476,0.24868
rts,105,10,0.11476,0.09016,0.68221,0.24226
rts,105,10,0.11476,0.14894,0.68235,0.24235
rts,105,10,0.11476,0.24604,0.68417,0.2553
rts,105,10,0.11476,0.40644,0.68219,0.23133
rts,105,10,0.11476,0.67142,0.68402,0.19502
rts,105,10,0.11476,1.10914,0.68365,0.19308
rts,105,10,0.11476,1.83223,0.682,0.18089
rts,105,10,0.11476,3.02674,0.67983,0.17652
rts,105,10,0.11476,5.0,0.67633,0.17161
rts,105,10,0.16462,0.02,0.68356,0.25943
rts,105,10,0.16462,0.03304,0.68356,0.25943
rts,105,10,0.16462,0.05458,0.68363,0.25568
rts,105,10,0.16462,0.09016,0.68227,0.25377
rts,105,10,0.16462,0.14894,0.68175,0.25071
rts,105,10,0.16462,0.24604,0.68313,0.24932
rts,105,10,0.16462,0.40644,0.68516,0.24432
rts,105,10,0.16462,0.67142,0.6856,0.20008
rts,105,10,0.16462,1.10914,0.68437,0.18342
rts,105,10,0.16462,1.83223,0.68205,0.17785
rts,105,10,0.16462,3.02674,0.67987,0.17347
rts,105,10,0.16462,5.0,0.67638,0.16854
rts,105,10,0.23615,0.02,0.68506,0.29153
rts,105,10,0.23615,0.03304,0.68506,0.29153
rts,105,10,0.23615,0.05458,0.68735,0.29693
rts,105,10,0.23615,0.09016,0.68192,0.28393
rts,105,10,0.23615,0.14894,0.68133,0.27798
rts,105,10,0.23615,0.24604,0.68387,0.27119
rts,105,10,0.23615,0.40644,0.68413,0.25104
rts,105,10,0.23615,0.67142,0.68689,0.25281
rts,105,10,0.23615,1.10914,0.68598,0.21431
rts,105,10,0.23615,1.83223,0.68249,0.19043
rts,105,10,0.23615,3.02674,0.68251,0.18796
rts,105,10,0.23615,5.0,0.67995,0.18577
rts,105,10,0.33876,0.02,0.67537,0.32857
rts,105,10,0.33876,0.03304,0.67421,0.32028
rts,105,10,0.33876,0.05458,0.67575,0.31636
rts,105,10,0.33876,0.09016,0.67425,0.29389
rts,105,10,0.33876,0.14894,0.67624,0.27566
rts,105,10,0.33876,0.24604,0.67856,0.2873
rts,105,10,0.33876,0.40644,0.6801,0.27508
rts,105,10,0.33876,0.67142,0.68216,0.25465
rts,105,10,0.33876,1.10914,0.68313,0.24579
rts,105,10,0.33876,1.83223,0.68254,0.19363
rts,105,10,0.33876,3.02674,0.68105,0.19909
rts,105,10,0.33876,5.0,0.67773,0.18882
rts,105,10,0.48596,0.02,0.67251,0.43405
rts,105,10,0.48596,0.03304,0.67333,0.43121
rts,105,10,0.48596,0.05458,0.66848,0.43164
rts,105,10,0.48596,0.09016,0.67003,0.4349
rts,105,10,0.48596,0.14894,0.67032,0.3911
rts,105,10,0.48596,0.24604,0.67576,0.4026
rts,105,10,0.48596,0.40644,0.66921,0.34203
rts,105,10,0.48596,0.67142,0.67313,0.28618
rts,105,10,0.48596,1.10914,0.68171,0.26865
rts,105,10,0.48596,1.83223,0.6761,0.24651
rts,105,10,0.48596,3.02674,0.6793,0.22619
rts,105,10,0.48596,5.0,0.6791,0.22537
rts,105,10,0.69711,0.02,0.67162,0.50279
rts,105,10,0.69711,0.03304,0.67116,0.50011
rts,105,10,0.69711,0.05458,0.67038,0.48496
rts,105,10,0.69711,0.09016,0.66868,0.49925
rts,105,10,0.69711,0.14894,0.66924,0.46706
rts,105,10,0.69711,0.24604,0.66175,0.4425
rts,105,10,0.69711,0.40644,0.66659,0.45439
rts,105,10,0.69711,0.67142,0.67505,0.41159
rts,105,10,0.69711,1.10914,0.6691,0.33198
rts,105,10,0.69711,1.83223,0.67959,0.31345
rts,105,10,0.69711,3.02674,0.68079,0.29256
rts,105,10,0.69711,5.0,0.67725,0.26962
rts,105,10,1.0,0.02,0.65884,0.60954
rts,105,10,1.0,0.03304,0.65925,0.60824
rts,105,10,1.0,0.05458,0.65783,0.62838
rts,105,10,1.0,0.09016,0.66113,0.62294
rts,105,10,1.0,0.14894,0.65508,0.60596
rts,105,10,1.0,0.24604,0.65871,0.59115
rts,105,10,1.0,0.40644,0.65848,0.57092
rts,105,10,1.0,0.67142,0.66067,0.55245
rts,105,10,1.0,1.10914,0.65884,0.52955
rts,105,10,1.0,1.83223,0.66573,0.43609
rts,105,10,1.0,3.02674,0.68,0.40509
rts,105,10,1.0,5.0,0.67856,0.36932
rts,105,20,0.08,0.02,0.68859,0.29332
rts,105,20,0.08,0.03304,0.68859,0.29332
rts,105,20,0.08,0.05458,0.68878,0.29037
rts,105,20,0.08,0.09016,0.68649,0.28912
rts,105,20,0.08,0.14894,0.68381,0.28903
rts,105,20,0.08,0.24604,0.68229,0.30004
rts,105,20,0.08,0.40644,0.68306,0.25923
rts,105,20,0.08,0.67142,0.6799,0.23743
rts,105,20,0.08,1.10914,0.68305,0.21727
rts,105,20,0.08,1.83223,0.68216,0.21085
rts,105,20,0.08,3.02674,0.68663,0.21561
rts,105,20,0.08,5.0,0.68489,0.2162
rts,105,20,0.11476,0.02,0.68662,0.29198
rts,105,20,0.11476,0.03304,0.68838,0.29534
rts,105,20,0.11476,0.05458,0.68808,0.29361
rts,105,20,0.11476,0.09016,0.68895,0.29303
rts,105,20,0.11476,0.14894,0.68956,0.30088
rts,105,20,0.11476,0.24604,0.68384,0.30173
rts,105,20,0.11476,0.40644,0.68073,0.25767
rts,105,20,0.11476,0.67142,0.68124,0.24182
rts,105,20,0.11476,1.10914,0.68183,0.24074
rts,105,20,0.11476,1.83223,0.68121,0.21995
rts,105,20,0.11476,3.02674,0.68741,0.22528
rts,105,20,0.11476,5.0,0.68567,0.22588
rts,105,20,0.16462,0.02,0.68373,0.30662
rts,105,20,0.16462,0.03304,0.68424,0.30688
rts,105,20,0.16462,0.05458,0.68424,0.30079
rts,105,20,0.16462,0.09016,0.68483,0.30154
rts,105,20,0.16462,0.14894,0.68663,0.31087
rts,105,20,0.16462,0.24604,0.68852,0.29663
rts,105,20,0.16462,0.40644,0.68256,0.27205
rts,105,20,0.16462,0.67142,0.68175,0.25568
rts,105,20,0.16462,1.10914,0.67805,0.22933
rts,105,20,0.16462,1.83223,0.68213,0.2206
rts,105,20,0.16462,3.02674,0.6851,0.21175
rts,105,20,0.16462,5.0,0.68351,0.21326
rts,105,20,0.23615,0.02,0.68335,0.35445
rts,105,20,0.23615,0.03304,0.68365,0.35806
rts,105,20,0.23615,0.05458,0.68251,0.35534
rts,105,20,0.23615,0.09016,0.67949,0.35005
rts,105,20,0.23615,0.14894,0.68103,0.34335
rts,105,20,0.23615,0.24604,0.68032,0.33864
rts,105,20,0.23615,0.40644,0.68517,0.29377
rts,105,20,0.23615,0.67142,0.68079,0.25772
rts,105,20,0.23615,1.10914,0.68349,0.25513
rts,105,20,0.23615,1.83223,0.68176,0.23119
rts,105,20,0.23615,3.02674,0.68348,0.2257
rts,105,20,0.23615,5.0,0.68238,0.23039
rts,105,20,0.33876,0.02,0.68229,0.3876
rts,105,20,0.33876,0.03304,0.68252,0.392
rts,105,20,0.33876,0.05458,0.68221,0.37061
rts,105,20,0.33876,0.09016,0.68235,0.37842
rts,105,20,0.33876,0.14894,0.68476,0.38077
rts,105,20,0.33876,0.24604,0.68363,0.40143
rts,105,20,0.33876,0.40644,0.68263,0.34241
rts,105,20,0.33876,0.67142,0.67938,0.33034
rts,105,20,0.33876,1.10914,0.67683,0.2968
rts,105,20,0.33876,1.83223,0.67806,0.27782
rts,105,20,0.33876,3.02674,0.67727,0.24661
rts,105,20,0.33876,5.0,0.67857,0.25204
rts,105,20,0.48596,0.02,0.67759,0.42627
rts,105,20,0.48596,0.03304,0.67806,0.42671
rts,105,20,0.48596,0.05458,0.67735,0.41373
rts,105,20,0.48596,0.09016,0.67897,0.41628
rts,105,20,0.48596,0.14894,0.68179,0.39793
rts,105,20,0.48596,0.24604,0.67622,0.41498
rts,105,20,0.48596,0.40644,0.67821,0.40418
rts,105,20,0.48596,0.67142,0.68163,0.4135
rts,105,20,0.48596,1.10914,0.6737,0.32811
rts,105,20,0.48596,1.83223,0.67741,0.26589
rts,105,20,0.48596,3.02674,0.67967,0.2407
rts,105,20,0.48596,5.0,0.67984,0.23563
rts,105,20,0.69711,0.02,0.65405,0.51165
rts,105,20,0.69711,0.03304,0.65581,0.51467
rts,105,20,0.69711,0.05458,0.65406,0.50825
rts,105,20,0.69711,0.09016,0.65897,0.4924
rts,105,20,0.69711,0.14894,0.67171,0.43297
rts,105,20,0.69711,0.24604,0.66795,0.46567
rts,105,20,0.69711,0.40644,0.66338,0.46967
rts,105,20,0.69711,0.67142,0.66713,0.42917
rts,105,20,0.69711,1.10914,0.67138,0.39187
rts,105,20,0.69711,1.83223,0.66844,0.34237
rts,105,20,0.69711,3.02674,0.66965,0.30876
rts,105,20,0.69711,5.0,0.67129,0.27531
rts,105,20,1.0,0.02,0.63978,0.65317
rts,105,20,1.0,0.03304,0.6391,0.66657
rts,105,20,1.0,0.05458,0.64149,0.6532
rts,105,20,1.0,0.09016,0.64587,0.65519
rts,105,20,1.0,0.14894,0.64732,0.60675
rts,105,20,1.0,0.24604,0.64625,0.60208
rts,105,20,1.0,0.40644,0.65222,0.55473
rts,105,20,1.0,0.67142,0.65022,0.52872
rts,105,20,1.0,1.10914,0.65657,0.48473
rts,105,20,1.0,1.83223,0.65963,0.43296
rts,105,20,1.0,3.02674,0.66848,0.37473
rts,105,20,1.0,5.0,0.66686,0.35279
rts,105,50,0.08,0.02,0.6694,0.50226
rts,105,50,0.08,0.03304,0.6689,0.50607
rts,105,50,0.08,0.05458,0.6701,0.50145
rts,105,50,0.08,0.09016,0.67498,0.50882
rts,105,50,0.08,0.14894,0.67417,0.48929
