access,method,n_vis,T,rho
basic,dcf_excl,5,0.53128,1.00992
basic,dcf_excl,10,0.43399,1.01747
basic,dcf_excl,20,0.3059,0.96377
basic,dcf_excl,50,0.14247,0.88321
basic,pace,5,0.62001,0.59876
basic,pace,10,0.60379,0.54423
basic,pace,20,0.58906,0.57856
basic,pace,50,0.55519,0.61352
basic,oracle,5,0.60333,1.63535
basic,oracle,10,0.58429,1.30898
basic,oracle,20,0.53377,1.08753
basic,oracle,50,0.48828,0.95212
rts,dcf_excl,5,0.69803,1.04244
rts,dcf_excl,10,0.66547,1.00629
rts,dcf_excl,20,0.58787,0.99265
rts,dcf_excl,50,0.44753,0.94687
rts,pace,5,0.71891,0.73391
rts,pace,10,0.71818,0.67767
rts,pace,20,0.71355,0.64904
rts,pace,50,0.71265,0.67412
rts,oracle,5,0.73299,1.62315
rts,oracle,10,0.73099,1.32781
rts,oracle,20,0.72597,1.11816
rts,oracle,50,0.71486,0.97547
