access,method,spread,T,rho
basic,dcf_excl,1.0,0.30374,0.94677
basic,dcf_excl,1.5,0.30057,0.94234
basic,dcf_excl,2.0,0.29558,0.97407
basic,dcf_excl,3.0,0.28344,0.94675
basic,dcf_excl,4.0,0.28641,0.98734
basic,pace_static,1.0,0.58574,0.55061
basic,pace_static,1.5,0.58216,0.55787
basic,pace_static,2.0,0.58013,0.59898
basic,pace_static,3.0,0.55555,0.6582
basic,pace_static,4.0,0.54403,0.69448
basic,pace_dynamic,1.0,0.55907,0.6319
basic,pace_dynamic,1.5,0.56271,0.63103
basic,pace_dynamic,2.0,0.55908,0.62568
basic,pace_dynamic,3.0,0.54886,0.65446
basic,pace_dynamic,4.0,0.55892,0.68917
basic,oracle,1.0,0.52636,1.09095
basic,oracle,1.5,0.53387,1.1099
basic,oracle,2.0,0.52176,1.09604
basic,oracle,3.0,0.51861,1.11772
basic,oracle,4.0,0.52025,1.12047
rts,dcf_excl,1.0,0.59162,0.99191
rts,dcf_excl,1.5,0.59481,0.98883
rts,dcf_excl,2.0,0.60231,0.98914
rts,dcf_excl,3.0,0.61849,0.99734
rts,dcf_excl,4.0,0.62496,0.99909
rts,pace_static,1.0,0.71541,0.65883
rts,pace_static,1.5,0.71692,0.65588
rts,pace_static,2.0,0.71606,0.70544
rts,pace_static,3.0,0.71784,0.76977
rts,pace_static,4.0,0.71866,0.84636
rts,pace_dynamic,1.0,0.71618,0.74289
rts,pace_dynamic,1.5,0.71242,0.74985
rts,pace_dynamic,2.0,0.71383,0.73836
rts,pace_dynamic,3.0,0.71726,0.7796
rts,pace_dynamic,4.0,0.71765,0.80675
rts,oracle,1.0,0.7231,1.10923
rts,oracle,1.5,0.72744,1.13437
rts,oracle,2.0,0.72669,1.12299
rts,oracle,3.0,0.72672,1.13696
rts,oracle,4.0,0.73075,1.12852
