access,w_eff,n_vis,n_nat,eps_i,r,tau_bar,tau_nat,T,rho,T_nv,rho_nv,T_ev,rho_ev
rts,210,5,5,0.017,1.0,0.195512,0.03465,0.72739,1.65127,0.73377,1.69411,0.77088,1.97542
rts,210,5,5,0.017,3.0,0.126367,0.03963,0.74145,1.51389,0.76796,1.53448,0.78435,1.72347
rts,210,5,5,0.034,2.0,0.2063,0.03032,0.71783,1.69173,0.72723,1.71112,0.7681,2.00341
rts,210,5,5,0.034,5.0,0.125169,0.03612,0.75182,1.56091,0.76843,1.53058,0.78451,1.71754
rts,210,5,5,0.07,3.0,0.174159,0.03315,0.73179,1.6652,0.74576,1.65552,0.77587,1.91276
rts,210,5,5,0.145,5.0,0.467248,0.02757,0.58733,1.61095,0.45489,1.9047,0.64362,2.33882
rts,210,5,10,0.017,1.0,0.168926,0.02403,0.72671,2.24228,0.70805,2.0953,0.7409,2.43702
rts,210,5,10,0.017,3.0,0.084009,0.028,0.73695,1.80967,0.74967,1.53302,0.75993,1.64529
rts,210,5,10,0.034,2.0,0.184107,0.02091,0.71042,2.46264,0.69857,2.15993,0.73647,2.5366
rts,210,5,10,0.034,5.0,0.071476,0.03089,0.73552,1.5453,0.75407,1.4018,0.76182,1.47781
rts,210,5,10,0.07,3.0,0.153919,0.02307,0.72674,2.27985,0.71681,2.0237,0.74499,2.32892
rts,210,5,10,0.145,5.0,0.339089,0.02219,0.63179,2.0654,0.56408,2.56179,0.67294,3.202
rts,210,5,20,0.017,1.0,0.119296,0.0169,0.73125,3.40724,0.65429,2.17786,0.67976,2.38296
rts,210,5,20,0.017,3.0,0.030841,0.02258,0.72474,1.41619,0.70339,0.76736,0.70814,0.75453
rts,210,5,20,0.034,2.0,0.146815,0.01479,0.72714,3.79641,0.63545,2.47519,0.66938,2.77424
rts,210,5,20,0.034,5.0,0.006553,0.02416,0.71914,0.34706,0.71378,0.18109,0.71467,0.17086
