access,w_eff,n_vis,n_nat,x_sd,tau_cv,T,rho,solo_vis,coll_vis,coll_nat,solo_nat,idle,epochs,x_sd_nc,tau_cv_nc,T_nc,rho_nc,solo_vis_nc,coll_vis_nc,coll_nat_nc,solo_nat_nc,idle_nc,epochs_nc,split_frac,merge_frac
rts,105,5,10,0.00399,0.00412,0.69065,0.17145,0.01195,0.0102,0.10834,0.28131,0.5882,6.646,0.00399,0.00412,0.69065,0.17145,0.01195,0.0102,0.10834,0.28131,0.5882,6.646,0.0102,0.01195
rts,105,10,10,0.00652,0.00689,0.68463,0.2291,0.02371,0.0213,0.1076,0.26685,0.58054,6.702,0.00655,0.00691,0.68463,0.2291,0.02371,0.0213,0.1076,0.26685,0.58054,6.702,0.0213,0.02371
rts,105,20,10,0.00763,0.00819,0.68374,0.31802,0.04404,0.03925,0.09707,0.24935,0.5703,6.611,0.00776,0.00833,0.68374,0.31802,0.04404,0.03925,0.09707,0.24935,0.5703,6.611,0.03925,0.04404
rts,105,50,10,0.01015,0.011,0.66741,0.48806,0.0842,0.08378,0.08462,0.20761,0.53979,6.618,0.01048,0.01135,0.66741,0.48806,0.0842,0.08378,0.08462,0.20761,0.53979,6.618,0.08378,0.0842
rts,210,5,10,0.00494,0.00515,0.70922,0.2161,0.01455,0.01166,0.11529,0.26074,0.59777,12.678,0.00509,0.00531,0.70922,0.2161,0.01455,0.01166,0.11529,0.26074,0.59777,12.678,0.01166,0.01455
rts,210,10,10,0.00736,0.00784,0.71246,0.27249,0.02896,0.02209,0.10831,0.25056,0.59008,12.372,0.00801,0.00853,0.71234,0.27162,0.02891,0.02209,0.10851,0.25046,0.59003,12.375,0.02209,0.02896
rts,210,20,10,0.00871,0.00936,0.71026,0.34924,0.05104,0.03903,0.10407,0.23425,0.5716,12.027,0.00972,0.01044,0.71021,0.3491,0.05109,0.03908,0.10403,0.23426,0.57153,12.026,0.03903,0.05104
rts,210,50,10,0.00965,0.01051,0.71202,0.52054,0.09916,0.0793,0.0848,0.1963,0.54044,11.301,0.01214,0.01319,0.71245,0.52125,0.09908,0.07944,0.08436,0.19688,0.54024,11.287,0.0793,0.09916
rts,420,5,10,0.00784,0.00821,0.71625,0.23772,0.01643,0.01269,0.1276,0.24748,0.59581,24.386,0.00853,0.00892,0.71648,0.23715,0.01641,0.01274,0.12734,0.24765,0.59586,24.371,0.01269,0.01643
rts,420,10,10,0.01001,0.01068,0.72156,0.29581,0.0321,0.02462,0.11786,0.24087,0.58454,23.466,0.01153,0.0123,0.72171,0.29603,0.03207,0.02428,0.11796,0.24122,0.58448,23.455,0.02462,0.0321
rts,420,20,10,0.01097,0.01184,0.72353,0.35928,0.05374,0.04036,0.11065,0.22668,0.56857,22.599,0.01398,0.01508,0.72365,0.36049,0.05376,0.04029,0.11051,0.22636,0.56908,22.612,0.04036,0.05374
rts,420,50,10,0.01095,0.01192,0.72624,0.49791,0.09912,0.07873,0.09205,0.19272,0.53738,21.142,0.0171,0.01859,0.72518,0.4969,0.09823,0.07969,0.09226,0.19225,0.53757,21.22,0.07873,0.09912
rts,840,5,10,0.01445,0.01512,0.72997,0.50583,0.03687,0.02646,0.10913,0.23053,0.597,46.573,0.01932,0.02016,0.73017,0.50511,0.03687,0.02535,0.11041,0.23125,0.59612,46.456,0.02646,0.03687
rts,840,10,10,0.01476,0.01576,0.7319,0.49517,0.05566,0.03887,0.10391,0.21785,0.5837,45.005,0.02271,0.02423,0.73238,0.49261,0.05556,0.03791,0.10433,0.21863,0.58357,44.918,0.03887,0.05566
rts,840,20,10,0.01445,0.01561,0.73247,0.49584,0.07772,0.05834,0.09592,0.20361,0.5644,43.223,0.0252,0.0272,0.73218,0.49788,0.0781,0.05797,0.0964,0.20249,0.56504,43.327,0.05834,0.07772
rts,840,50,10,0.01258,0.01371,0.73164,0.55932,0.11541,0.09426,0.08297,0.17441,0.53294,40.796,0.02576,0.02807,0.73194,0.56114,0.11602,0.09347,0.08357,0.17416,0.53277,40.744,0.09426,0.11541
rts,1680,5,10,0.02255,0.02326,0.74031,1.2352,0.10316,0.07812,0.08362,0.18751,0.54758,81.118,0.05753,0.05945,0.7413,1.24906,0.10419,0.07751,0.08336,0.18682,0.54811,80.897,0.07812,0.10316
rts,1680,10,10,0.0227,0.02408,0.73816,0.94157,0.11891,0.0977,0.0777,0.17259,0.53309,79.48,0.05965,0.06382,0.73927,0.94492,0.11982,0.09577,0.07773,0.17251,0.53416,79.332,0.0977,0.11891
rts,1680,20,10,0.01937,0.02087,0.73817,0.78545,0.13692,0.11384,0.07235,0.16092,0.51597,77.04,0.05498,0.05982,0.73798,0.78453,0.13711,0.11494,0.07165,0.16112,0.51517,76.992,0.11384,0.13692
rts,1680,50,10,0.0155,0.01687,0.73643,0.7232,0.16412,0.14414,0.0627,0.14109,0.48795,73.787,0.04706,0.05154,0.73632,0.73004,0.16438,0.14486,0.06247,0.13902,0.48926,73.932,0.14414,0.16412
basic,105,5,10,0.00113,0.00115,0.67517,0.19386,0.01355,0.01259,0.10274,0.26878,0.60234,6.397,0.00113,0.00115,0.67517,0.19386,0.01355,0.01259,0.10274,0.26878,0.60234,6.397,0.01259,0.01355
basic,105,10,10,0.00152,0.00159,0.64857,0.26613,0.02683,0.02205,0.10519,0.25243,0.5935,6.274,0.00152,0.00159,0.64857,0.26613,0.02683,0.02205,0.10519,0.25243,0.5935,6.274,0.02205,0.02683
basic,105,20,10,0.00223,0.00237,0.62908,0.34616,0.04813,0.0409,0.09394,0.24093,0.57609,5.991,0.00223,0.00237,0.62908,0.34616,0.04813,0.0409,0.09394,0.24093,0.57609,5.991,0.0409,0.04813
basic,105,50,10,0.0036,0.00388,0.55446,0.44092,0.07846,0.08884,0.085,0.21816,0.52953,5.353,0.00365,0.00394,0.55446,0.44092,0.07846,0.08884,0.085,0.21816,0.52953,5.353,0.08884,0.07846
basic,210,5,10,0.00218,0.00226,0.6673,0.21664,0.01471,0.01039,0.11517,0.25893,0.60079,11.818,0.00223,0.00231,0.6673,0.21664,0.01471,0.01039,0.11517,0.25893,0.60079,11.818,0.01039,0.01471
basic,210,10,10,0.00345,0.00366,0.66219,0.27564,0.02832,0.02017,0.1104,0.25629,0.58482,11.181,0.0036,0.00382,0.66219,0.27564,0.02832,0.02017,0.1104,0.25629,0.58482,11.181,0.02017,0.02832
basic,210,20,10,0.00453,0.00487,0.63151,0.31304,0.04525,0.04009,0.10145,0.23762,0.57559,10.657,0.00487,0.00524,0.63151,0.31304,0.04525,0.04009,0.10145,0.23762,0.57559,10.657,0.04009,0.04525
basic,210,50,10,0.00554,0.00603,0.60799,0.49723,0.09894,0.07816,0.0837,0.20469,0.53451,9.226,0.0064,0.00696,0.60798,0.49724,0.09894,0.07816,0.0837,0.20469,0.53451,9.226,0.07816,0.09894
basic,420,5,10,0.00477,0.005,0.63328,0.20892,0.01408,0.01155,0.13082,0.25244,0.5911,21.305,0.00505,0.00529,0.633,0.20861,0.01405,0.01158,0.13088,0.25233,0.59116,21.308,0.01155,0.01408
basic,420,10,10,0.00645,0.00688,0.62844,0.25405,0.02707,0.02194,0.12473,0.24371,0.58256,20.484,0.0072,0.00768,0.62844,0.25405,0.02707,0.02194,0.12473,0.24371,0.58256,20.484,0.02194,0.02707
basic,420,20,10,0.00739,0.00798,0.62345,0.32701,0.04924,0.03885,0.11277,0.22959,0.56956,19.293,0.00913,0.00986,0.62311,0.32561,0.04914,0.03877,0.11292,0.22979,0.56938,19.286,0.03885,0.04924
basic,420,50,10,0.0075,0.00818,0.60934,0.45786,0.09368,0.07298,0.0923,0.20101,0.54002,17.31,0.01055,0.01149,0.61037,0.45582,0.09322,0.07265,0.09209,0.20187,0.54017,17.313,0.07298,0.09368
basic,840,5,10,0.01001,0.01051,0.63782,0.35882,0.02613,0.0178,0.11712,0.24002,0.59894,40.914,0.01245,0.01306,0.63716,0.3591,0.02611,0.01788,0.11715,0.23986,0.59899,40.911,0.0178,0.02613
basic,840,10,10,0.01133,0.01211,0.62414,0.36436,0.04074,0.02942,0.11343,0.22813,0.58827,39.202,0.01569,0.01676,0.62228,0.36083,0.04023,0.02986,0.1131,0.22743,0.58939,39.318,0.02942,0.04074
basic,840,20,10,0.01151,0.01247,0.61505,0.38572,0.05897,0.04513,0.10663,0.21705,0.57222,36.988,0.01705,0.01845,0.615,0.39043,0.05954,0.04509,0.10699,0.21611,0.57227,36.962,0.04513,0.05897
basic,840,50,10,0.01023,0.01116,0.58775,0.47587,0.09618,0.07869,0.09302,0.19015,0.54196,33.322,0.01782,0.01941,0.5899,0.47439,0.0961,0.07871,0.09291,0.1916,0.54068,33.246,0.07869,0.09618
basic,1680,5,10,0.01747,0.01817,0.62507,0.95725,0.0771,0.05418,0.09179,0.20622,0.57071,71.213,0.03597,0.03741,0.62418,0.95209,0.0765,0.0534,0.09303,0.20645,0.57062,71.292,0.05418,0.0771
basic,1680,10,10,0.01758,0.01872,0.6065,0.75502,0.09257,0.06931,0.08811,0.1927,0.5573,67.857,0.0378,0.04024,0.60836,0.75204,0.09216,0.06911,0.08773,0.1939,0.5571,67.826,0.06931,0.09257
basic,1680,20,10,0.01587,0.01712,0.59194,0.65092,0.10894,0.08682,0.08213,0.18104,0.54108,64.318,0.03635,0.03927,0.59149,0.65596,0.10928,0.08602,0.08307,0.17946,0.54217,64.445,0.08682,0.10894
basic,1680,50,10,0.01232,0.01343,0.57344,0.62631,0.13748,0.11131,0.07493,0.16199,0.51428,59.276,0.03086,0.03361,0.57519,0.62372,0.1372,0.11083,0.07439,0.16333,0.51424,59.304,0.11131,0.13748
