access,w_eff,n_vis,n_nat,T_one_probe,rho_one_probe,coll_one_probe,idle_one_probe,cv_one_probe,T_uniform,rho_uniform,coll_uniform,idle_uniform,cv_uniform,dJ_a0.0,dJ_a0.25,dJ_a0.5,dJ_a0.75,dJ_a1.0,dJ_a0.5_lo,dJ_a0.5_hi
rts,105,5,10,0.69065,0.17145,0.08865,0.03723,0.00412,0.53944,2.39497,0.27663,0.0244,0.50653,-0.2471,0.33966,0.92641,1.51317,2.09993,0.66023,1.25406
rts,105,10,10,0.68463,0.2291,0.09693,0.03705,0.00689,0.39076,1.57121,0.45044,0.02213,0.57996,-0.56078,-0.06895,0.42288,0.91471,1.40654,0.26111,0.59431
rts,105,20,10,0.68374,0.31802,0.10036,0.0359,0.00819,0.27252,1.0546,0.59151,0.02154,0.62686,-0.91987,-0.59245,-0.26503,0.06238,0.3898,-0.34979,-0.1659
rts,105,50,10,0.66741,0.48806,0.12267,0.03402,0.011,0.17896,0.35109,0.70308,0.02418,0.66697,-1.31624,-1.46151,-1.60677,-1.75204,-1.89731,-1.71884,-1.50577
rts,210,5,10,0.70922,0.2161,0.09034,0.03609,0.00515,0.47294,2.59037,0.40424,0.01244,0.43988,-0.4052,-0.04491,0.31537,0.67566,1.03595,0.18624,0.46789
rts,210,10,10,0.71246,0.27249,0.09009,0.03476,0.00784,0.30677,1.69068,0.59683,0.01187,0.70405,-0.84263,-0.48897,-0.13531,0.21835,0.57201,-0.23093,-0.02785
rts,210,20,10,0.71026,0.34924,0.09637,0.03274,0.00936,0.19281,1.19668,0.72792,0.01142,0.83296,-1.30393,-1.03531,-0.7667,-0.49808,-0.22947,-0.81719,-0.71092
rts,210,50,10,0.71202,0.52054,0.10337,0.02908,0.01051,0.11884,0.83385,0.81751,0.01061,0.89625,-1.79033,-1.69202,-1.5937,-1.49539,-1.39708,-1.6204,-1.56633
rts,420,5,10,0.71625,0.23772,0.09692,0.03459,0.00821,0.408,2.7602,0.50219,0.00688,0.30731,-0.56276,-0.30447,-0.04618,0.21211,0.47039,-0.17061,0.09356
rts,420,10,10,0.72156,0.29581,0.09445,0.03266,0.01068,0.29201,1.80722,0.63767,0.00632,0.57784,-0.90463,-0.62128,-0.33793,-0.05458,0.22877,-0.39435,-0.27352
rts,420,20,10,0.72353,0.35928,0.09629,0.03059,0.01184,0.20354,1.31494,0.74057,0.00599,0.979,-1.26828,-1.02505,-0.78183,-0.5386,-0.29538,-0.81736,-0.74204
rts,420,50,10,0.72624,0.49791,0.10159,0.02705,0.01192,0.12228,0.97658,0.83427,0.00566,1.46891,-1.78157,-1.66014,-1.53871,-1.41728,-1.29585,-1.56837,-1.50755
rts,840,5,10,0.72997,0.50583,0.08971,0.0331,0.01512,0.42746,2.83618,0.48981,0.00519,0.26478,-0.53514,-0.69069,-0.84624,-1.00179,-1.15734,-0.88119,-0.80677
rts,840,10,10,0.7319,0.49517,0.09123,0.03127,0.01576,0.31146,1.85154,0.62483,0.0048,0.50236,-0.85437,-0.82574,-0.79711,-0.76848,-0.73985,-0.83112,-0.76317
rts,840,20,10,0.73247,0.49584,0.09472,0.02904,0.01561,0.21489,1.37024,0.73814,0.00412,0.7891,-1.2263,-1.12807,-1.02985,-0.93163,-0.83341,-1.0652,-0.9972
rts,840,50,10,0.73164,0.55932,0.10275,0.02588,0.01371,0.11688,1.04892,0.85279,0.00311,1.58023,-1.83414,-1.75031,-1.66648,-1.58265,-1.49882,-1.69797,-1.63466
rts,1680,5,10,0.74031,1.2352,0.0935,0.02644,0.02326,0.46573,2.8701,0.45029,0.00471,0.25212,-0.46346,-0.73022,-0.99698,-1.26373,-1.53049,-1.01864,-0.97546
rts,1680,10,10,0.73816,0.94157,0.09937,0.02522,0.02408,0.38315,1.8708,0.54579,0.00502,0.46406,-0.65573,-0.75291,-0.85009,-0.94727,-1.04444,-0.87847,-0.82119
rts,1680,20,10,0.73817,0.78545,0.10218,0.02366,0.02087,0.27333,1.37666,0.674,0.00409,0.76279,-0.99349,-1.00446,-1.01542,-1.02639,-1.03736,-1.0552,-0.9748
rts,1680,50,10,0.73643,0.7232,0.1087,0.02143,0.01687,0.14613,1.07374,0.82329,0.00273,1.40466,-1.61732,-1.59233,-1.56734,-1.54235,-1.51736,-1.62492,-1.51287
basic,105,5,10,0.67517,0.19386,0.28813,0.0367,0.00115,0.21083,1.54276,0.77077,0.01841,0.50028,-1.16391,-0.538,0.08791,0.71382,1.33973,-0.15058,0.35141
basic,105,10,10,0.64857,0.26613,0.31597,0.03547,0.00159,0.09979,0.4912,0.8825,0.01771,0.54604,-1.8717,-1.55996,-1.24821,-0.93646,-0.62472,-1.43445,-1.06284
basic,105,20,10,0.62908,0.34616,0.33805,0.03287,0.00237,0.06608,0.12394,0.91591,0.01801,0.56594,-2.25339,-3.06193,-3.87047,-4.67901,-5.48755,-4.68295,-3.34406
basic,105,50,10,0.55446,0.44092,0.41855,0.02699,0.00388,0.03916,0.0,0.94282,0.01802,0.57338,-2.65034,-109.84613,-217.04192,-324.23771,-431.4335,-217.10692,-216.97862
basic,210,5,10,0.6673,0.21664,0.29889,0.03381,0.00226,0.18899,2.11302,0.80197,0.00904,0.47615,-1.26155,-0.81661,-0.37167,0.07326,0.5182,-0.54098,-0.18063
basic,210,10,10,0.66219,0.27564,0.30668,0.03114,0.00366,0.07925,0.87455,0.91211,0.00865,0.57195,-2.12295,-1.71228,-1.30161,-0.89094,-0.48027,-1.40992,-1.18831
basic,210,20,10,0.63151,0.31304,0.33928,0.02921,0.00487,0.05592,0.37555,0.93544,0.00864,0.58633,-2.42419,-2.32675,-2.22932,-2.13188,-2.03444,-2.41262,-2.07436
basic,210,50,10,0.60799,0.49723,0.36852,0.02348,0.00603,0.04203,0.06495,0.94858,0.00938,0.5909,-2.67177,-4.41861,-6.16544,-7.91227,-9.6591,-7.19731,-5.42243
basic,420,5,10,0.63328,0.20892,0.33674,0.02998,0.005,0.15659,2.46166,0.83853,0.00488,0.42284,-1.39728,-0.98722,-0.57716,-0.1671,0.24295,-0.71003,-0.43316
basic,420,10,10,0.62844,0.25405,0.34315,0.02841,0.00688,0.05676,1.2561,0.9389,0.00435,0.60023,-2.40441,-1.94803,-1.49165,-1.03526,-0.57888,-1.57358,-1.40307
basic,420,20,10,0.62345,0.32701,0.35039,0.02616,0.00798,0.03024,0.73192,0.96587,0.00389,0.63767,-3.0261,-2.7381,-2.4501,-2.1621,-1.8741,-2.53997,-2.36595
basic,420,50,10,0.60934,0.45786,0.3684,0.02226,0.00818,0.02613,0.47275,0.9703,0.00357,0.63645,-3.14929,-3.13705,-3.1248,-3.11256,-3.10032,-3.22167,-3.03721
basic,840,5,10,0.63782,0.35882,0.33301,0.02917,0.01051,0.13636,2.68281,0.8608,0.00284,0.33424,-1.54276,-1.52361,-1.50446,-1.48532,-1.46617,-1.5651,-1.44104
basic,840,10,10,0.62414,0.36436,0.34841,0.02745,0.01211,0.05266,1.60043,0.94509,0.00225,0.6421,-2.47252,-2.27298,-2.07344,-1.8739,-1.67436,-2.12703,-2.01631
basic,840,20,10,0.61505,0.38572,0.35975,0.0252,0.01247,0.01649,0.7879,0.98146,0.00205,0.74512,-3.61895,-3.40627,-3.1936,-2.98092,-2.76825,-3.28023,-3.10999
basic,840,50,10,0.58775,0.47587,0.39075,0.0215,0.01116,0.00392,0.28503,0.99442,0.00165,0.75223,-5.01021,-5.2662,-5.52219,-5.77818,-6.03417,-5.96713,-5.21574
basic,1680,5,10,0.62507,0.95725,0.35073,0.02419,0.01817,0.14259,2.79162,0.8555,0.00191,0.26375,-1.47789,-1.7409,-2.00391,-2.26692,-2.52993,-2.04533,-1.96527
basic,1680,10,10,0.6065,0.75502,0.37099,0.02251,0.01872,0.06633,1.80981,0.93232,0.00134,0.57071,-2.21306,-2.2813,-2.34953,-2.41777,-2.48601,-2.40651,-2.29458
basic,1680,20,10,0.59194,0.65092,0.38734,0.02071,0.01712,0.02785,1.23906,0.97103,0.00111,0.92282,-3.05657,-3.02197,-2.98737,-2.95276,-2.91816,-3.04,-2.93436
basic,1680,50,10,0.57344,0.62631,0.40841,0.01815,0.01343,0.00621,0.56739,0.9928,0.00099,1.02339,-4.52549,-4.55105,-4.5766,-4.60216,-4.62771,-4.68609,-4.49156
