access,w_eff,n_vis,n_nat,eps,T,rho,idle,solo_vis,solo_self,coll_vis,coll_txv,coll_self
rts,210,5,0,0.05,0.59296,1.0,0.940524,0.057723,0.011396,0.001753,0.00071,0.000614
rts,210,5,0,0.06385,0.62376,1.0,0.929747,0.068151,0.012659,0.002102,0.000861,0.000851
rts,210,5,0,0.08153,0.6386,1.0,0.918278,0.077473,0.014757,0.004248,0.001733,0.001677
rts,210,5,0,0.10411,0.64909,1.0,0.903261,0.089775,0.01969,0.006964,0.002836,0.002722
rts,210,5,0,0.13294,0.66136,1.0,0.886397,0.104631,0.020984,0.008973,0.00369,0.003907
rts,210,5,0,0.16975,0.67364,1.0,0.863266,0.123918,0.023136,0.012816,0.005526,0.004161
rts,210,5,0,0.21677,0.6756,1.0,0.836305,0.138409,0.026512,0.025285,0.010926,0.010756
rts,210,5,0,0.2768,0.68252,1.0,0.80461,0.159865,0.034362,0.035525,0.015394,0.016177
rts,210,5,0,0.35345,0.68162,1.0,0.763158,0.179545,0.035646,0.057297,0.025789,0.026555
rts,210,5,0,0.45134,0.68057,1.0,0.713687,0.202597,0.043008,0.083717,0.038058,0.037463
rts,210,5,0,0.57633,0.67206,1.0,0.655625,0.219338,0.04521,0.125037,0.060101,0.062966
rts,210,5,0,0.73594,0.65025,1.0,0.592176,0.231391,0.048147,0.176433,0.089769,0.092651
rts,210,5,0,0.93975,0.62839,1.0,0.518575,0.240712,0.051569,0.240712,0.124411,0.115691
rts,210,5,0,1.2,0.5861,1.0,0.44286,0.226015,0.045848,0.331126,0.173646,0.16794
rts,210,5,5,0.05,0.73366,0.16116,0.693588,0.014061,0.003487,0.005849,0.00117,0.001012
rts,210,5,5,0.06385,0.73337,0.16809,0.695088,0.014658,0.003693,0.005819,0.001186,0.001119
rts,210,5,5,0.08153,0.73295,0.18044,0.696001,0.015818,0.003787,0.005904,0.001203,0.001114
rts,210,5,5,0.10411,0.733,0.21841,0.696454,0.01934,0.004112,0.006891,0.0014,0.001334
rts,210,5,5,0.13294,0.73644,0.23162,0.690577,0.021131,0.004455,0.00948,0.001965,0.002284
rts,210,5,5,0.16975,0.7342,0.26043,0.688036,0.024797,0.004799,0.012113,0.00256,0.002285
rts,210,5,5,0.21677,0.73428,0.3037,0.686631,0.029199,0.006323,0.014369,0.003196,0.002759
rts,210,5,5,0.2768,0.72981,0.38451,0.681006,0.036097,0.007381,0.021105,0.00489,0.005305
rts,210,5,5,0.35345,0.73167,0.52904,0.674729,0.051203,0.010028,0.028079,0.007669,0.009202
rts,210,5,5,0.45134,0.73094,0.64872,0.657628,0.065592,0.012947,0.040186,0.011799,0.011237
rts,210,5,5,0.57633,0.72969,0.79836,0.638184,0.085193,0.017727,0.05688,0.018084,0.020533
rts,210,5,5,0.73594,0.71679,1.00124,0.611075,0.1062,0.021838,0.089042,0.034395,0.032887
rts,210,5,5,0.93975,0.70309,1.13495,0.575697,0.123392,0.027599,0.123124,0.052224,0.053992
rts,210,5,5,1.2,0.67794,1.20777,0.542766,0.127232,0.024247,0.167599,0.075753,0.076339
rts,210,5,10,0.05,0.71289,0.14161,0.598911,0.009958,0.002257,0.007966,0.00162,0.002655
rts,210,5,10,0.06385,0.71337,0.14766,0.597814,0.010261,0.002265,0.008529,0.001759,0.002399
rts,210,5,10,0.08153,0.7124,0.15591,0.599285,0.01073,0.002252,0.009008,0.001828,0.002649
rts,210,5,10,0.10411,0.71337,0.16017,0.597654,0.010932,0.0024,0.008932,0.001813,0.002133
rts,210,5,10,0.13294,0.71316,0.16396,0.59526,0.011113,0.002276,0.009908,0.002008,0.002142
rts,210,5,10,0.16975,0.71133,0.19842,0.598335,0.013481,0.002643,0.010441,0.002088,0.001983
rts,210,5,10,0.21677,0.71208,0.2375,0.594302,0.016453,0.002943,0.012306,0.002461,0.002541
rts,210,5,10,0.2768,0.71065,0.29916,0.592054,0.020531,0.003733,0.015065,0.003173,0.002933
rts,210,5,10,0.35345,0.71286,0.38564,0.587549,0.028075,0.005561,0.021158,0.004747,0.004747
rts,210,5,10,0.45134,0.70909,0.49353,0.587225,0.035427,0.007381,0.030596,0.007193,0.007515
rts,210,5,10,0.57633,0.7106,0.64607,0.575891,0.048713,0.007844,0.041283,0.010403,0.011284
rts,210,5,10,0.73594,0.6998,0.78366,0.557698,0.058799,0.009226,0.06293,0.018425,0.015836
rts,210,5,10,0.93975,0.68989,1.06297,0.54169,0.080215,0.017474,0.09191,0.031728,0.031783
rts,210,5,10,1.2,0.67256,1.35482,0.511583,0.098456,0.019305,0.1361,0.05364,0.054881
rts,210,5,20,0.05,0.63146,0.23503,0.509767,0.008264,0.001628,0.008014,0.001653,0.001628
rts,210,5,20,0.06385,0.63327,0.23824,0.510181,0.008296,0.00176,0.007667,0.001584,0.001508
rts,210,5,20,0.08153,0.6324,0.26449,0.509285,0.009034,0.002258,0.007654,0.001581,0.001506
rts,210,5,20,0.10411,0.63564,0.3006,0.507922,0.010267,0.002282,0.007479,0.001546,0.001394
rts,210,5,20,0.13294,0.63683,0.29786,0.508447,0.010288,0.002032,0.008002,0.001677,0.001651
rts,210,5,20,0.16975,0.63339,0.30386,0.5111,0.01041,0.002132,0.009156,0.001906,0.001756
rts,210,5,20,0.21677,0.63228,0.3241,0.511631,0.011131,0.002626,0.01088,0.002226,0.001751
rts,210,5,20,0.2768,0.63299,0.36216,0.512378,0.012503,0.002876,0.012128,0.002476,0.002126
rts,210,5,20,0.35345,0.63697,0.38196,0.511933,0.013259,0.003283,0.014775,0.003056,0.002399
rts,210,5,20,0.45134,0.63555,0.4347,0.509532,0.01515,0.003787,0.017296,0.003712,0.004166
rts,210,5,20,0.57633,0.6384,0.53388,0.50657,0.01939,0.004848,0.023855,0.005103,0.005996
rts,210,5,20,0.73594,0.63539,0.58238,0.50502,0.021604,0.005592,0.035201,0.008133,0.008387
rts,210,5,20,0.93975,0.63233,0.73606,0.497133,0.029183,0.00599,0.053906,0.014528,0.017459
