access,w_eff,n_vis,n_nat,alpha,c0,c_med,c_lo,c_hi,T,rho,J
rts,210,5,0,0.25,1.05,1.451355213582605,1.3826094033561676,1.4976457511622898,0.6890972222222222,1.0,-0.3723729116498504
rts,210,5,0,0.25,1.2,1.4315494397232582,1.3612715057535933,1.4900610703608372,0.6863789682539684,1.0,-0.3763253719334595
rts,210,5,0,0.25,2.5,1.440082919576911,1.3417828464672978,1.4914895617535984,0.6858994708994709,1.0,-0.3770242058731774
rts,210,5,0,0.5,1.05,1.4747300630307851,1.4444450555551072,1.5300246180631265,0.6812566137566138,1.0,-0.38381622478521904
rts,210,5,0,0.5,1.2,1.4924983126796219,1.407081423921354,1.5377831498664287,0.6818584656084656,1.0,-0.38293317110901487
rts,210,5,0,0.5,2.5,1.5007873591372325,1.3951574811858498,1.5482428208815684,0.6887896825396825,1.0,-0.37281930487208625
rts,210,5,0,1.0,1.05,1.617626118309477,1.5400704727540775,1.713969742820159,0.6760879629629629,1.0,-0.39143208867812407
rts,210,5,0,1.0,1.2,1.6186658982966637,1.5386885297724877,1.7268639114847042,0.6788789682539682,1.0,-0.38731241730601507
rts,210,5,0,1.0,2.5,1.616929586574951,1.5399304881964224,1.6869088693381453,0.6769345238095238,1.0,-0.39018072594719116
rts,210,5,5,0.25,1.05,2.320565294088751,2.012716569951293,2.6470322707159486,0.7094808201058201,1.0218362752066061,-0.34333846952909697
rts,210,5,5,0.25,1.2,2.2569237249869776,2.0021507563007677,2.6346824424329536,0.7084986772486772,1.0251419984806998,-0.34476123318230417
rts,210,5,5,0.25,2.5,2.391183568925608,2.0067040715994637,2.5981975269150874,0.7045899470899472,1.0153290367558025,-0.350197137538457
rts,210,5,5,0.5,1.05,2.383711081008972,1.976974727756841,2.7449394673793384,0.7066931216931218,1.0563275798755112,-0.3486601936557295
rts,210,5,5,0.5,1.2,2.48287663406606,2.128889527142868,2.8699046922082165,0.7007308201058201,1.03336481580524,-0.3561700455288775
