access,w_eff,n_vis,n_nat,eps_i,r,eps_c,tau_settled,conv_visits,T,rho,tau_nat
rts,210,5,5,0.008,0.5,0.004,0.114518,100,0.74148,1.4509,0.03934
rts,210,5,5,0.008,1.0,0.008,0.101434,100,0.74429,1.37422,0.04151
rts,210,5,5,0.008,1.5,0.012,0.095615,100,0.74276,1.38226,0.04037
rts,210,5,5,0.008,2.0,0.016,0.090601,100,0.74965,1.33201,0.04035
rts,210,5,5,0.008,3.0,0.024,0.082274,100,0.74286,1.32417,0.04099
rts,210,5,5,0.008,5.0,0.04,0.057513,100,0.7477,1.05326,0.04677
rts,210,5,5,0.008,8.0,0.064,0.038845,100,0.74794,0.89201,0.04746
rts,210,5,5,0.01652,0.5,0.00826,0.26638,100,0.6947,1.73719,0.02843
rts,210,5,5,0.01652,1.0,0.01652,0.224063,100,0.70479,1.70535,0.03225
rts,210,5,5,0.01652,1.5,0.02477,0.202702,100,0.72139,1.68672,0.03291
rts,210,5,5,0.01652,2.0,0.03303,0.178407,100,0.72986,1.66086,0.03242
rts,210,5,5,0.01652,3.0,0.04955,0.143901,99,0.73137,1.57545,0.0358
rts,210,5,5,0.01652,5.0,0.08258,0.103906,89,0.74327,1.44781,0.03796
rts,210,5,5,0.01652,8.0,0.13213,0.067655,100,0.74473,1.17077,0.0448
rts,210,5,5,0.0341,0.5,0.01705,0.357574,42,0.63851,1.80356,0.02471
rts,210,5,5,0.0341,1.0,0.0341,0.287796,41,0.68305,1.74599,0.02737
rts,210,5,5,0.0341,1.5,0.05114,0.237752,90,0.69486,1.73013,0.02978
rts,210,5,5,0.0341,2.0,0.06819,0.211384,90,0.7104,1.69229,0.03119
rts,210,5,5,0.0341,3.0,0.10229,0.179359,84,0.73032,1.62388,0.03552
rts,210,5,5,0.0341,5.0,0.17048,0.111892,100,0.74411,1.49825,0.03773
rts,210,5,5,0.0341,8.0,0.27277,0.089565,96,0.74177,1.32247,0.03951
rts,210,5,5,0.07039,0.5,0.03519,0.362943,100,0.63412,1.80641,0.02512
rts,210,5,5,0.07039,1.0,0.07039,0.28881,98,0.6801,1.77962,0.0285
rts,210,5,5,0.07039,1.5,0.10558,0.23382,73,0.69981,1.74833,0.03064
rts,210,5,5,0.07039,2.0,0.14078,0.209524,99,0.709,1.69373,0.03123
rts,210,5,5,0.07039,3.0,0.21117,0.175927,100,0.72187,1.67901,0.03137
rts,210,5,5,0.07039,5.0,0.35195,0.141022,100,0.74058,1.49728,0.0384
rts,210,5,5,0.07039,8.0,0.56312,0.109795,99,0.73968,1.41577,0.03906
rts,210,5,5,0.14532,0.5,0.07266,0.371352,93,0.60412,1.79734,0.02536
rts,210,5,5,0.14532,1.0,0.14532,0.306328,100,0.65086,1.7721,0.02648
rts,210,5,5,0.14532,1.5,0.21797,0.261352,100,0.68829,1.76235,0.02938
rts,210,5,5,0.14532,2.0,0.29063,0.248386,99,0.67938,1.70603,0.03084
rts,210,5,5,0.14532,3.0,0.43595,0.240834,100,0.63725,1.68589,0.02576
rts,210,5,5,0.14532,5.0,0.72658,0.223551,100,0.64119,1.62432,0.02948
rts,210,5,5,0.14532,8.0,1.16253,0.912634,69,0.33752,1.59728,0.01676
rts,210,5,5,0.3,0.5,0.15,1.0,20,0.17274,1.36968,0.01259
rts,210,5,5,0.3,1.0,0.3,1.0,21,0.17237,1.36308,0.01283
rts,210,5,5,0.3,1.5,0.45,1.0,30,0.1709,1.37894,0.01354
rts,210,5,5,0.3,2.0,0.6,1.0,15,0.17439,1.38085,0.01288
rts,210,5,5,0.3,3.0,0.9,1.0,10,0.17044,1.38255,0.01282
rts,210,5,5,0.3,5.0,1.5,1.0,9,0.17051,1.38756,0.01294
rts,210,5,5,0.3,8.0,2.4,1.0,9,0.17051,1.38672,0.01318
rts,210,5,10,0.008,0.5,0.004,0.085449,100,0.73696,1.7715,0.02975
rts,210,5,10,0.008,1.0,0.008,0.0806,100,0.74611,1.82169,0.02776
rts,210,5,10,0.008,1.5,0.012,0.06951,100,0.74035,1.74783,0.02796
rts,210,5,10,0.008,2.0,0.016,0.056263,100,0.73876,1.53379,0.03015
rts,210,5,10,0.008,3.0,0.024,0.045318,100,0.73967,1.36263,0.02975
rts,210,5,10,0.008,5.0,0.04,0.020145,100,0.73256,0.72895,0.03536
rts,210,5,10,0.008,8.0,0.064,0.006015,100,0.72689,0.17516,0.03937
rts,210,5,10,0.01652,0.5,0.00826,0.252408,100,0.68701,2.51488,0.01989
rts,210,5,10,0.01652,1.0,0.01652,0.200304,100,0.7126,2.46784,0.01964
rts,210,5,10,0.01652,1.5,0.02477,0.155622,100,0.73536,2.3456,0.02335
rts,210,5,10,0.01652,2.0,0.03303,0.142394,100,0.73101,2.27224,0.02393
rts,210,5,10,0.01652,3.0,0.04955,0.105371,100,0.7321,2.02496,0.02662
rts,210,5,10,0.01652,5.0,0.08258,0.047289,100,0.7383,1.31127,0.03214
rts,210,5,10,0.01652,8.0,0.13213,0.008083,100,0.72911,0.33848,0.03755
rts,210,5,10,0.0341,0.5,0.01705,0.34412,56,0.6314,2.65938,0.01572
rts,210,5,10,0.0341,1.0,0.0341,0.282116,48,0.67813,2.63118,0.01825
rts,210,5,10,0.0341,1.5,0.05114,0.219449,100,0.70899,2.55676,0.01888
rts,210,5,10,0.0341,2.0,0.06819,0.189432,93,0.71961,2.47501,0.02129
rts,210,5,10,0.0341,3.0,0.10229,0.14987,100,0.73117,2.31567,0.02246
rts,210,5,10,0.0341,5.0,0.17048,0.083898,97,0.73611,1.72413,0.02934
rts,210,5,10,0.0341,8.0,0.27277,0.019747,100,0.73331,0.85673,0.03552
rts,210,5,10,0.07039,0.5,0.03519,0.363591,57,0.62036,2.67219,0.0156
rts,210,5,10,0.07039,1.0,0.07039,0.289962,84,0.6624,2.64884,0.01761
rts,210,5,10,0.07039,1.5,0.10558,0.236781,92,0.69457,2.58299,0.01889
rts,210,5,10,0.07039,2.0,0.14078,0.195139,85,0.70907,2.48776,0.02011
rts,210,5,10,0.07039,3.0,0.21117,0.165532,100,0.71976,2.36204,0.0221
rts,210,5,10,0.07039,5.0,0.35195,0.111984,100,0.72948,1.9912,0.02581
rts,210,5,10,0.07039,8.0,0.56312,0.035222,100,0.73052,1.15578,0.03205
rts,210,5,10,0.14532,0.5,0.07266,0.37586,98,0.60901,2.67494,0.01572
rts,210,5,10,0.14532,1.0,0.14532,0.300996,100,0.65988,2.64669,0.01729
rts,210,5,10,0.14532,1.5,0.21797,0.248273,100,0.6816,2.54943,0.01953
rts,210,5,10,0.14532,2.0,0.29063,0.236779,100,0.69243,2.53151,0.01994
rts,210,5,10,0.14532,3.0,0.43595,0.198492,97,0.68855,2.38338,0.02056
rts,210,5,10,0.14532,5.0,0.72658,0.243888,100,0.56662,2.20506,0.01762
rts,210,5,10,0.14532,8.0,1.16253,0.20679,100,0.61108,1.69003,0.02304
rts,210,5,10,0.3,0.5,0.15,1.0,17,0.16573,2.07873,0.00758
rts,210,5,10,0.3,1.0,0.3,1.0,18,0.1641,2.09199,0.00823
rts,210,5,10,0.3,1.5,0.45,1.0,23,0.16429,2.08957,0.00787
rts,210,5,10,0.3,2.0,0.6,1.0,34,0.1805,2.16007,0.00786
rts,210,5,10,0.3,3.0,0.9,1.0,14,0.16506,2.07977,0.00803
rts,210,5,10,0.3,5.0,1.5,1.0,23,0.16526,2.07722,0.00793
rts,210,5,10,0.3,8.0,2.4,1.0,29,0.17699,2.09639,0.008
rts,210,5,20,0.008,0.5,0.004,0.068707,100,0.72469,2.54986,0.01871
rts,210,5,20,0.008,1.0,0.008,0.050997,100,0.72673,2.15014,0.02027
rts,210,5,20,0.008,1.5,0.012,0.042599,100,0.72264,2.00908,0.01995
rts,210,5,20,0.008,2.0,0.016,0.031576,100,0.72345,1.55562,0.02118
rts,210,5,20,0.008,3.0,0.024,0.016009,100,0.71744,0.99535,0.02168
rts,210,5,20,0.008,5.0,0.04,0.005223,100,0.71645,0.36988,0.02383
rts,210,5,20,0.008,8.0,0.064,0.000754,100,0.7125,0.01913,0.02387
rts,210,5,20,0.01652,0.5,0.00826,0.195224,100,0.70904,4.02853,0.01315
rts,210,5,20,0.01652,1.0,0.01652,0.164752,100,0.72073,3.77893,0.01449
rts,210,5,20,0.01652,1.5,0.02477,0.13463,100,0.72627,3.58156,0.01548
rts,210,5,20,0.01652,2.0,0.03303,0.095679,100,0.72662,3.05844,0.01767
rts,210,5,20,0.01652,3.0,0.04955,0.047545,100,0.72942,2.01221,0.0201
rts,210,5,20,0.01652,5.0,0.08258,0.007379,100,0.71731,0.44512,0.02348
rts,210,5,20,0.01652,8.0,0.13213,0.000156,100,0.71198,0.0,0.02435
rts,210,5,20,0.0341,0.5,0.01705,0.322204,54,0.64879,4.36099,0.0108
rts,210,5,20,0.0341,1.0,0.0341,0.24991,77,0.69146,4.22525,0.0118
rts,210,5,20,0.0341,1.5,0.05114,0.201285,95,0.71902,4.06901,0.01338
rts,210,5,20,0.0341,2.0,0.06819,0.168872,94,0.71967,3.98084,0.01395
rts,210,5,20,0.0341,3.0,0.10229,0.110581,97,0.73106,3.36775,0.01639
rts,210,5,20,0.0341,5.0,0.17048,0.006245,100,0.7187,0.59739,0.0234
rts,210,5,20,0.0341,8.0,0.27277,0.000145,100,0.71221,0.0,0.02402
rts,210,5,20,0.07039,0.5,0.03519,0.349884,35,0.62851,4.43584,0.01021
rts,210,5,20,0.07039,1.0,0.07039,0.261281,79,0.68576,4.32913,0.01189
rts,210,5,20,0.07039,1.5,0.10558,0.210631,90,0.70202,4.18552,0.01223
rts,210,5,20,0.07039,2.0,0.14078,0.182089,100,0.7097,3.9537,0.01349
rts,210,5,20,0.07039,3.0,0.21117,0.131354,100,0.73343,3.59791,0.01571
rts,210,5,20,0.07039,5.0,0.35195,0.029472,100,0.72115,1.46607,0.02206
rts,210,5,20,0.07039,8.0,0.56312,0.000197,100,0.70961,0.01485,0.0242
rts,210,5,20,0.14532,0.5,0.07266,0.3436,97,0.62339,4.3722,0.01022
rts,210,5,20,0.14532,1.0,0.14532,0.270794,100,0.67169,4.33395,0.01092
rts,210,5,20,0.14532,1.5,0.21797,0.231581,99,0.69142,4.18929,0.01233
rts,210,5,20,0.14532,2.0,0.29063,0.210878,100,0.69744,4.15081,0.01271
rts,210,5,20,0.14532,3.0,0.43595,0.154934,100,0.71826,3.83184,0.01442
rts,210,5,20,0.14532,5.0,0.72658,0.07497,99,0.71446,2.48679,0.01893
rts,210,5,20,0.14532,8.0,1.16253,0.00058,100,0.71213,0.31102,0.02313
rts,210,5,20,0.3,0.5,0.15,0.998417,48,0.26674,3.88691,0.00555
rts,210,5,20,0.3,1.0,0.3,1.0,33,0.17704,3.35922,0.00497
rts,210,5,20,0.3,1.5,0.45,1.0,35,0.32275,3.96407,0.00632
rts,210,5,20,0.3,2.0,0.6,1.0,24,0.19143,3.48041,0.00521
rts,210,5,20,0.3,3.0,0.9,1.0,35,0.16876,3.34086,0.00489
rts,210,5,20,0.3,5.0,1.5,0.996483,51,0.18713,3.51167,0.00472
rts,210,5,20,0.3,8.0,2.4,0.746549,100,0.38244,1.2523,0.01101
rts,210,20,5,0.008,0.5,0.004,0.044228,100,0.71429,1.01623,0.03401
rts,210,20,5,0.008,1.0,0.008,0.039009,100,0.73394,1.00939,0.03451
rts,210,20,5,0.008,1.5,0.012,0.033912,100,0.74137,0.96208,0.03636
