access,w_eff,n_vis,eps,T,rho,idle,coll_vis,coll_nat,solo_vis,solo_nat
rts,105,5,0.05,0.68937,0.14257,0.58348,0.00733,0.11139,0.01086,0.28694
rts,105,5,0.06385,0.68819,0.14282,0.58421,0.00754,0.11187,0.01081,0.28557
rts,105,5,0.08153,0.68892,0.14923,0.5835,0.00757,0.1115,0.01135,0.28607
rts,105,5,0.10411,0.68935,0.15916,0.58285,0.00759,0.11156,0.01214,0.28586
rts,105,5,0.13294,0.68954,0.16484,0.583,0.00759,0.11134,0.01265,0.28543
rts,105,5,0.16975,0.68859,0.1706,0.58356,0.00857,0.11142,0.01286,0.28359
rts,105,5,0.21677,0.68779,0.17925,0.58157,0.00909,0.11237,0.01338,0.28359
rts,105,5,0.2768,0.68748,0.2035,0.58193,0.00956,0.11226,0.01535,0.2809
rts,105,5,0.35345,0.69073,0.2224,0.57865,0.01047,0.10981,0.01711,0.28396
rts,105,5,0.45134,0.68362,0.27048,0.58125,0.01538,0.11362,0.0196,0.27016
rts,105,5,0.57633,0.67862,0.30629,0.58451,0.02094,0.11106,0.02216,0.26132
rts,105,5,0.73594,0.68033,0.41569,0.5795,0.03146,0.10101,0.03244,0.25559
rts,105,5,0.93975,0.67649,0.51892,0.57237,0.03778,0.10353,0.03901,0.2473
rts,105,5,1.2,0.66654,0.61969,0.56295,0.05835,0.09298,0.046,0.23971
rts,105,10,0.05,0.68251,0.22568,0.58399,0.01798,0.1133,0.02192,0.26281
rts,105,10,0.06385,0.68402,0.2321,0.58122,0.01788,0.11376,0.0231,0.26403
rts,105,10,0.08153,0.68194,0.23849,0.58212,0.01847,0.1145,0.02389,0.26102
rts,105,10,0.10411,0.68179,0.2398,0.57865,0.01907,0.11518,0.02452,0.26257
rts,105,10,0.13294,0.68241,0.2426,0.57901,0.0191,0.11412,0.02506,0.26271
rts,105,10,0.16975,0.68214,0.25689,0.58037,0.01904,0.11449,0.02596,0.26014
rts,105,10,0.21677,0.68256,0.27367,0.57721,0.02309,0.11221,0.02706,0.26043
rts,105,10,0.2768,0.68252,0.27005,0.57946,0.02401,0.10842,0.02748,0.26064
rts,105,10,0.35345,0.6783,0.28086,0.57935,0.02612,0.10913,0.03003,0.25537
rts,105,10,0.45134,0.66784,0.31497,0.58065,0.03075,0.11235,0.03169,0.24456
rts,105,10,0.57633,0.67632,0.38195,0.57471,0.03766,0.10271,0.0384,0.24652
rts,105,10,0.73594,0.67633,0.39884,0.56914,0.04222,0.10099,0.04123,0.24642
rts,105,10,0.93975,0.66329,0.48278,0.56603,0.05718,0.09833,0.04737,0.2311
rts,105,10,1.2,0.6503,0.57761,0.54949,0.08347,0.09182,0.05938,0.21584
rts,105,20,0.05,0.68627,0.27592,0.57667,0.03695,0.09351,0.03896,0.2539
rts,105,20,0.06385,0.68652,0.28643,0.57571,0.03553,0.09398,0.04056,0.25422
rts,105,20,0.08153,0.68878,0.29037,0.57351,0.03522,0.09214,0.0416,0.25753
rts,105,20,0.10411,0.68859,0.29332,0.57369,0.0357,0.0923,0.04182,0.2565
rts,105,20,0.13294,0.68922,0.29992,0.57187,0.03683,0.09361,0.04246,0.25524
rts,105,20,0.16975,0.68622,0.30953,0.57019,0.0372,0.09452,0.04433,0.25376
rts,105,20,0.21677,0.6813,0.32941,0.56646,0.0396,0.09559,0.04868,0.24968
rts,105,20,0.2768,0.6809,0.34363,0.57221,0.04283,0.09213,0.04905,0.24377
rts,105,20,0.35345,0.6814,0.37867,0.56724,0.04742,0.08906,0.05294,0.24335
rts,105,20,0.45134,0.68278,0.4142,0.56382,0.0543,0.08247,0.05912,0.24029
rts,105,20,0.57633,0.68256,0.39777,0.55732,0.06489,0.07874,0.05694,0.24211
rts,105,20,0.73594,0.66505,0.43864,0.55466,0.07132,0.08946,0.06029,0.22426
rts,105,20,0.93975,0.657,0.48105,0.54083,0.09071,0.0846,0.06724,0.21663
rts,105,20,1.2,0.65665,0.55991,0.54048,0.09789,0.07385,0.08047,0.20731
rts,105,50,0.05,0.67335,0.50061,0.54575,0.07583,0.0867,0.08367,0.20804
rts,105,50,0.06385,0.67356,0.50232,0.55038,0.07494,0.08622,0.08371,0.20476
rts,105,50,0.08153,0.67422,0.50671,0.54997,0.07659,0.08488,0.08388,0.20467
rts,105,50,0.10411,0.67132,0.49974,0.54998,0.07796,0.08471,0.08271,0.20465
rts,105,50,0.13294,0.67241,0.51992,0.54685,0.0806,0.08287,0.08791,0.20176
rts,105,50,0.16975,0.6693,0.51955,0.54962,0.07968,0.08488,0.08661,0.19921
rts,105,50,0.21677,0.668,0.5073,0.54555,0.08136,0.0851,0.0866,0.2014
rts,105,50,0.2768,0.6684,0.53567,0.54155,0.08185,0.08637,0.09264,0.19759
rts,105,50,0.35345,0.66837,0.49978,0.53471,0.08696,0.08314,0.08772,0.20748
rts,105,50,0.45134,0.66675,0.54588,0.53113,0.09632,0.07446,0.09454,0.20356
rts,105,50,0.57633,0.66487,0.52378,0.52595,0.10125,0.07594,0.09179,0.20506
rts,105,50,0.73594,0.64994,0.56896,0.52468,0.11797,0.07108,0.09551,0.19077
rts,105,50,0.93975,0.63622,0.56829,0.52334,0.13431,0.06512,0.09409,0.18315
rts,105,50,1.2,0.62051,0.59616,0.51148,0.14918,0.06909,0.09578,0.17447
rts,210,5,0.05,0.71289,0.14161,0.59891,0.00797,0.11298,0.00996,0.27018
rts,210,5,0.06385,0.71337,0.14766,0.59781,0.00853,0.11314,0.01026,0.27026
rts,210,5,0.08153,0.7124,0.15591,0.59928,0.00901,0.11419,0.01073,0.26679
rts,210,5,0.10411,0.71337,0.16017,0.59765,0.00893,0.11398,0.01093,0.2685
rts,210,5,0.13294,0.71316,0.16396,0.59526,0.00991,0.1134,0.01111,0.27032
rts,210,5,0.16975,0.71133,0.19842,0.59833,0.01044,0.11261,0.01348,0.26513
rts,210,5,0.21677,0.71208,0.2375,0.5943,0.01231,0.11356,0.01645,0.26338
