access,w_eff,n_vis,n_nat,eps,T,rho,idle,cv,sv
rts,210,5,0,0.05,0.5929603174603174,1.0,0.9405241935483871,0.0017531556802244039,0.0577226507713885
rts,210,5,0,0.0638469417991665,0.6237619047619047,1.0,0.9297473104828622,0.0021015761821366026,0.06815111333500125
rts,210,5,0,0.0815286395421231,0.6385952380952381,1.0,0.918278367803242,0.004248183342649525,0.07747344885410844
rts,210,5,0,0.10410708607622314,0.6490873015873015,1.0,0.9032605254827477,0.006964229186451409,0.08977524533080089
rts,210,5,0,0.13293838131178873,0.6613571428571429,1.0,0.886396526772793,0.008972503617945007,0.10463096960926194
rts,210,5,0,0.16975418188978358,0.6736428571428571,1.0,0.8632656458055925,0.01281624500665779,0.12391810918774966
rts,210,5,0,0.21676570742564272,0.6755952380952381,1.0,0.83630531182187,0.025285404283422963,0.13840928389470705
rts,210,5,0,0.2767965501212033,0.6825238095238095,1.0,0.8046098540917742,0.03552548107422288,0.15986466483400297
rts,210,5,0,0.35345226451597084,0.6816190476190476,1.0,0.7631578947368421,0.05729665071770335,0.17954545454545454
rts,210,5,0,0.4513369232266959,0.6805714285714286,1.0,0.7136867730592372,0.08371652691371383,0.20259670002704896
rts,210,5,0,0.5763296453813948,0.672063492063492,1.0,0.6556251865114892,0.12503730229782153,0.21933751119068934
rts,210,5,0,0.7359377065160035,0.6502460317460318,1.0,0.5921761165663605,0.17643332277478618,0.23139056065885333
rts,210,5,0,0.9397474383147868,0.6283888888888889,1.0,0.5185750636132316,0.2407124681933842,0.2407124681933842
rts,210,5,0,1.2,0.5861031746031746,1.0,0.44285956868738324,0.33112582781456956,0.2260146034980472
rts,210,5,5,0.05,0.7336587301587302,0.16116225484363,0.6935883014623172,0.005849268841394826,0.0140607424071991
rts,210,5,5,0.0638469417991665,0.7333650793650793,0.16808796156010564,0.6950878370817948,0.005818507329081347,0.014658162694416471
rts,210,5,5,0.0815286395421231,0.7329523809523809,0.18044005544005545,0.6960008911663139,0.0059039768296758385,0.01581820207196168
rts,210,5,5,0.10410708607622314,0.733,0.21841096602351717,0.6964543736801156,0.006891185950872513,0.019339779926642216
rts,210,5,5,0.13293838131178873,0.736436507936508,0.23161729046998092,0.6905768132495717,0.009480296973158196,0.0211307824100514
rts,210,5,5,0.16975418188978358,0.7341984126984127,0.26042871504394166,0.6880356530682208,0.01211290138269912,0.024797166038167066
rts,210,5,5,0.21676570742564272,0.7342777777777778,0.3036997805856094,0.6866306472008277,0.014369467754914359,0.029198758477985975
rts,210,5,5,0.2767965501212033,0.7298095238095238,0.38450998303536477,0.6810056510206435,0.021104832199284974,0.03609733594741091
rts,210,5,5,0.35345226451597084,0.7316666666666667,0.529037856600499,0.6747286455875413,0.028079282680509673,0.0512033978291647
rts,210,5,5,0.4513369232266959,0.7309365079365079,0.6487220135073508,0.6576279467448394,0.04018566019298889,0.06559179186515207
rts,210,5,5,0.5763296453813948,0.7296904761904762,0.7983598177091831,0.6381839051141436,0.05688049993623262,0.08519321515112868
rts,210,5,5,0.7359377065160035,0.7167936507936508,1.0012400903494398,0.6110750032497075,0.08904198622124009,0.10620044196022357
rts,210,5,5,0.9397474383147868,0.7030873015873016,1.1349490343044848,0.5756966773847803,0.12312433011789925,0.12339228295819936
rts,210,5,5,1.2,0.677936507936508,1.2077733551861392,0.542765787370104,0.16759925393018918,0.12723154809485746
rts,210,5,10,0.05,0.7128888888888889,0.14161026006412542,0.5989113117365905,0.007966011683483803,0.009957514604354753
rts,210,5,10,0.0638469417991665,0.7133650793650793,0.14765698010769437,0.5978144989339019,0.008528784648187633,0.010261194029850746
rts,210,5,10,0.0815286395421231,0.7124047619047619,0.15591056448648108,0.5992846734666843,0.009007815604715856,0.010729897999735064
rts,210,5,10,0.10410708607622314,0.7133730158730158,0.16017133003281972,0.5976536461805093,0.008932142381015865,0.010931875749900012
