slot,time_us,sta_id,mode,primary_cw,primary_backoff_counter,primary_backoff_stage,primary_retry_counter,npca_cw,npca_backoff_counter,npca_backoff_stage,npca_retry_counter,npca_timer,saved_primary_cw,saved_primary_backoff_counter,primary_obss_remain,npca_obss_remain,tx_channel,tx_type,tx_success,failure_reason,packet_id,retry_count,snr_db,effective_snr_db,harq_combining_count,action_taken,npca_transition_start,switch_back_start
0,0.0,0,PRIMARY_BACKOFF,15,3,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
0,0.0,1,PRIMARY_BACKOFF,15,0,0,0,15,0,0,0,0,,,0,0,PRIMARY,NEW,,,1,0,20.0,,,,False,False
1,9.0,0,PRIMARY_BACKOFF,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
1,9.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
2,18.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
2,18.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
3,27.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
3,27.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
4,36.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
4,36.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
5,45.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
5,45.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
6,54.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
6,54.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
7,63.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
7,63.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
8,72.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
8,72.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
9,81.0,0,PRIMARY_FROZEN,15,2,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
9,81.0,1,PRIMARY_TX,15,0,0,0,15,0,0,0,0,,,0,0,,,,,,,,,,,False,False
