num_stas,method,harq_enabled,adaptive_cw,npca_qsrc,seed,mean_access_delay,p95_access_delay,p99_access_delay,mean_retx_count,aggregate_throughput,collision_probability_npca
5,fixed_q0_arq,False,False,0,42,112.79640718562874,453.0,851.0,1.7245508982035929,167,0.2874251497005988
5,fixed_q0_arq,False,False,0,123,98.21818181818182,471.0,824.0,1.7393939393939395,165,0.2753623188405797
5,fixed_q0_arq,False,False,0,456,104.83734939759036,439.0,1383.0,1.716867469879518,166,0.3
5,fixed_q1_arq,False,False,1,42,88.4375,400.0,566.0,1.58125,160,0.1588785046728972
5,fixed_q1_arq,False,False,1,123,107.56172839506173,425.0,731.0,1.623456790123457,162,0.12389380530973451
5,fixed_q1_arq,False,False,1,456,95.28481012658227,401.0,779.0,1.6075949367088607,158,0.19834710743801653
5,fixed_q2_arq,False,False,2,42,108.5592105263158,377.0,1578.0,1.5328947368421053,152,0.0975609756097561
5,fixed_q2_arq,False,False,2,123,105.20805369127517,474.0,603.0,1.5369127516778522,149,0.12149532710280374
5,fixed_q2_arq,False,False,2,456,121.97931034482758,471.0,1010.0,1.6827586206896552,145,0.08450704225352113
5,fixed_q3_arq,False,False,3,42,98.36111111111111,384.0,775.0,1.4583333333333333,144,0.03389830508474576
5,fixed_q3_arq,False,False,3,123,96.18300653594771,374.0,579.0,1.5359477124183007,153,0.0
5,fixed_q3_arq,False,False,3,456,109.4,414.0,790.0,1.4896551724137932,145,0.03333333333333333
5,adaptive_arq,False,True,0,42,112.79640718562874,453.0,851.0,1.7245508982035929,167,0.2874251497005988
5,adaptive_arq,False,True,0,123,98.21818181818182,471.0,824.0,1.7393939393939395,165,0.2753623188405797
5,adaptive_arq,False,True,0,456,104.83734939759036,439.0,1383.0,1.716867469879518,166,0.3
5,fixed_q0_harq,True,False,0,42,108.51807228915662,474.0,725.0,1.7469879518072289,166,0.3014705882352941
5,fixed_q0_harq,True,False,0,123,104.81437125748504,414.0,976.0,1.7544910179640718,167,0.28776978417266186
5,fixed_q0_harq,True,False,0,456,99.27810650887574,370.0,742.0,1.7751479289940828,169,0.359375
5,fixed_q1_harq,True,False,1,42,85.09302325581395,304.0,835.0,1.5116279069767442,172,0.13541666666666666
5,fixed_q1_harq,True,False,1,123,99.65853658536585,308.0,700.0,1.5975609756097562,164,0.1864406779661017
5,fixed_q1_harq,True,False,1,456,99.19875776397515,358.0,751.0,1.6459627329192548,161,0.224
5,fixed_q2_harq,True,False,2,42,97.07831325301204,329.0,983.0,1.536144578313253,166,0.11428571428571428
5,fixed_q2_harq,True,False,2,123,98.58083832335329,464.0,743.0,1.4610778443113772,167,0.11578947368421053
5,fixed_q2_harq,True,False,2,456,106.14666666666666,402.0,539.0,1.6466666666666667,150,0.1797752808988764
5,fixed_q3_harq,True,False,3,42,115.39416058394161,470.0,716.0,1.5766423357664234,137,0.0
5,fixed_q3_harq,True,False,3,123,99.12162162162163,446.0,659.0,1.527027027027027,148,0.06451612903225806
5,fixed_q3_harq,True,False,3,456,112.55479452054794,414.0,1091.0,1.5342465753424657,146,0.0
5,adaptive_harq,True,True,0,42,108.51807228915662,474.0,725.0,1.7469879518072289,166,0.3014705882352941
5,adaptive_harq,True,True,0,123,104.81437125748504,414.0,976.0,1.7544910179640718,167,0.28776978417266186
5,adaptive_harq,True,True,0,456,99.27810650887574,370.0,742.0,1.7751479289940828,169,0.359375
10,fixed_q0_arq,False,False,0,42,185.53333333333333,778.0,1489.0,2.2222222222222223,180,0.5634517766497462
10,fixed_q0_arq,False,False,0,123,207.13690476190476,884.0,1030.0,2.4761904761904763,168,0.5443037974683544
10,fixed_q0_arq,False,False,0,456,224.0952380952381,810.0,1344.0,2.3452380952380953,168,0.5048543689320388
10,fixed_q1_arq,False,False,1,42,200.046783625731,768.0,1482.0,1.95906432748538,171,0.3
10,fixed_q1_arq,False,False,1,123,199.75,864.0,1436.0,1.9602272727272727,176,0.26865671641791045
10,fixed_q1_arq,False,False,1,456,225.47770700636943,842.0,1387.0,2.171974522292994,157,0.37888198757763975
