ppdu_config,num_stas,method,threshold_mode,seed,aggregate_throughput,collision_probability_npca,npca_transition_count,mean_qsrc,tp_short,tp_medium,tp_long
homo_short,10,fixed_q0_t0,zero,42,2375,0.5141228939544104,4310,0.0,,,
homo_short,10,fixed_q0_t0,zero,123,2412,0.5104345691136755,4320,0.0,,,
homo_short,10,fixed_q0_t0,zero,456,2453,0.5304892186413169,4310,0.0,,,
homo_short,10,fixed_q0_tppdu,ppdu,42,2375,0.5141228939544104,4310,0.0,,,
homo_short,10,fixed_q0_tppdu,ppdu,123,2412,0.5104345691136755,4320,0.0,,,
homo_short,10,fixed_q0_tppdu,ppdu,456,2453,0.5304892186413169,4310,0.0,,,
homo_short,10,fixed_q1_t0,zero,42,2305,0.29127725856697817,4300,1.0,,,
homo_short,10,fixed_q1_t0,zero,123,2271,0.289860535243121,4368,1.0,,,
homo_short,10,fixed_q1_t0,zero,456,2328,0.30196523053665913,4258,1.0,,,
homo_short,10,fixed_q1_tppdu,ppdu,42,2305,0.29127725856697817,4300,1.0,,,
homo_short,10,fixed_q1_tppdu,ppdu,123,2291,0.30300723258469736,4436,1.0,,,
homo_short,10,fixed_q1_tppdu,ppdu,456,2328,0.30196523053665913,4258,1.0,,,
homo_short,10,adaptive_t0,zero,42,2396,0.4922372104861288,4300,0.08953488372093023,,,
homo_short,10,adaptive_t0,zero,123,2413,0.5067298105682951,4250,0.07647058823529412,,,
homo_short,10,adaptive_t0,zero,456,2406,0.5104455071734206,4220,0.07464454976303317,,,
homo_short,10,adaptive_tppdu,ppdu,42,2396,0.4922372104861288,4300,0.08953488372093023,,,
homo_short,10,adaptive_tppdu,ppdu,123,2413,0.5067298105682951,4250,0.07647058823529412,,,
homo_short,10,adaptive_tppdu,ppdu,456,2406,0.5104455071734206,4220,0.07464454976303317,,,
homo_short,10,oracle_t0,zero,42,2375,0.5141228939544104,4310,0.0,,,
homo_short,10,oracle_t0,zero,123,2412,0.5104345691136755,4320,0.0,,,
homo_short,10,oracle_t0,zero,456,2453,0.5304892186413169,4310,0.0,,,
homo_short,10,oracle_tppdu,ppdu,42,2375,0.5141228939544104,4310,0.0,,,
homo_short,10,oracle_tppdu,ppdu,123,2412,0.5104345691136755,4320,0.0,,,
homo_short,10,oracle_tppdu,ppdu,456,2453,0.5304892186413169,4310,0.0,,,
homo_short,20,fixed_q0_t0,zero,42,2331,0.7672909780878933,8480,0.0,,,
homo_short,20,fixed_q0_t0,zero,123,2322,0.7652303120356612,8280,0.0,,,
homo_short,20,fixed_q0_t0,zero,456,2270,0.7680971468993162,8740,0.0,,,
homo_short,20,fixed_q0_tppdu,ppdu,42,2346,0.7623541097591259,8577,0.0,,,
homo_short,20,fixed_q0_tppdu,ppdu,123,2294,0.7656804733727811,8299,0.0,,,
homo_short,20,fixed_q0_tppdu,ppdu,456,2270,0.7680971468993162,8740,0.0,,,
homo_short,20,fixed_q1_t0,zero,42,2300,0.4968928016571724,8457,1.0,,,
homo_short,20,fixed_q1_t0,zero,123,2296,0.4904361132364193,8457,1.0,,,
homo_short,20,fixed_q1_t0,zero,456,2308,0.5009013649240278,8437,1.0,,,
homo_short,20,fixed_q1_tppdu,ppdu,42,2300,0.4968928016571724,8457,1.0,,,
homo_short,20,fixed_q1_tppdu,ppdu,123,2309,0.49115267947421637,8595,1.0,,,
homo_short,20,fixed_q1_tppdu,ppdu,456,2307,0.5009013649240278,8435,1.0,,,
homo_short,20,adaptive_t0,zero,42,2337,0.767697511476202,8699,0.040234509713760205,,,
homo_short,20,adaptive_t0,zero,123,2317,0.7598121839634,8497,0.040602565611392256,,,
homo_short,20,adaptive_t0,zero,456,2258,0.7638059701492538,8459,0.037238444260550896,,,
homo_short,20,adaptive_tppdu,ppdu,42,2337,0.767697511476202,8699,0.040234509713760205,,,
homo_short,20,adaptive_tppdu,ppdu,123,2317,0.7598121839634,8497,0.040602565611392256,,,
homo_short,20,adaptive_tppdu,ppdu,456,2258,0.7638059701492538,8459,0.037238444260550896,,,
homo_short,20,oracle_t0,zero,42,2300,0.4968928016571724,8457,1.0,,,
homo_short,20,oracle_t0,zero,123,2296,0.4904361132364193,8457,1.0,,,
homo_short,20,oracle_t0,zero,456,2308,0.5009013649240278,8437,1.0,,,
homo_short,20,oracle_tppdu,ppdu,42,2300,0.4968928016571724,8457,1.0,,,
homo_short,20,oracle_tppdu,ppdu,123,2309,0.49115267947421637,8595,1.0,,,
homo_short,20,oracle_tppdu,ppdu,456,2307,0.5009013649240278,8435,1.0,,,
homo_short,30,fixed_q0_t0,zero,42,2176,0.8829801871216291,12539,0.0,,,
homo_short,30,fixed_q0_t0,zero,123,2169,0.8846496815286624,12840,0.0,,,
homo_short,30,fixed_q0_t0,zero,456,2149,0.8812926846440893,12210,0.0,,,
homo_short,30,fixed_q0_tppdu,ppdu,42,2177,0.8829801871216291,12538,0.0,,,
homo_short,30,fixed_q0_tppdu,ppdu,123,2180,0.8830432489451476,12598,0.0,,,
homo_short,30,fixed_q0_tppdu,ppdu,456,2149,0.8812926846440893,12209,0.0,,,
homo_short,30,fixed_q1_t0,zero,42,2354,0.6379246676514032,12715,1.0,,,
homo_short,30,fixed_q1_t0,zero,123,2297,0.6601549343213203,12928,1.0,,,
homo_short,30,fixed_q1_t0,zero,456,2295,0.6609420166638327,13049,1.0,,,
homo_short,30,fixed_q1_tppdu,ppdu,42,2354,0.6379246676514032,12715,1.0,,,
homo_short,30,fixed_q1_tppdu,ppdu,123,2297,0.6601549343213203,12928,1.0,,,
homo_short,30,fixed_q1_tppdu,ppdu,456,2295,0.6609420166638327,13049,1.0,,,
homo_short,30,adaptive_t0,zero,42,2167,0.8814059565334049,12600,0.021825396825396824,,,
homo_short,30,adaptive_t0,zero,123,2174,0.8808229546549233,12509,0.03157726436965385,,,
homo_short,30,adaptive_t0,zero,456,2185,0.8807119146832404,12210,0.030303030303030304,,,
homo_short,30,adaptive_tppdu,ppdu,42,2169,0.8835336148100033,12868,0.02137084239975132,,,
homo_short,30,adaptive_tppdu,ppdu,123,2174,0.8808229546549233,12509,0.03157726436965385,,,
homo_short,30,adaptive_tppdu,ppdu,456,2185,0.8807119146832404,12209,0.030305512326971908,,,
homo_short,30,oracle_t0,zero,42,2354,0.6379246676514032,12715,1.0,,,
homo_short,30,oracle_t0,zero,123,2297,0.6601549343213203,12928,1.0,,,
homo_short,30,oracle_t0,zero,456,2295,0.6609420166638327,13049,1.0,,,
homo_short,30,oracle_tppdu,ppdu,42,2354,0.6379246676514032,12715,1.0,,,
homo_short,30,oracle_tppdu,ppdu,123,2297,0.6601549343213203,12928,1.0,,,
homo_short,30,oracle_tppdu,ppdu,456,2295,0.6609420166638327,13049,1.0,,,
homo_short,50,fixed_q0_t0,zero,42,1901,0.95819828804122,22500,0.0,,,
homo_short,50,fixed_q0_t0,zero,123,1909,0.9576702828695577,21650,0.0,,,
homo_short,50,fixed_q0_t0,zero,456,1904,0.959268694739997,20400,0.0,,,
homo_short,50,fixed_q0_tppdu,ppdu,42,1926,0.9565760427558964,21348,0.0,,,
homo_short,50,fixed_q0_tppdu,ppdu,123,1908,0.9590770700256701,21348,0.0,,,
homo_short,50,fixed_q0_tppdu,ppdu,456,1904,0.959268694739997,20400,0.0,,,
homo_short,50,fixed_q1_t0,zero,42,2155,0.8347438752783964,21299,1.0,,,
homo_short,50,fixed_q1_t0,zero,123,2162,0.8318430656934307,20848,1.0,,,
homo_short,50,fixed_q1_t0,zero,456,2187,0.8328478812364934,20249,1.0,,,
homo_short,50,fixed_q1_tppdu,ppdu,42,2155,0.832948079658606,22248,1.0,,,
homo_short,50,fixed_q1_tppdu,ppdu,123,2162,0.8318430656934307,20848,1.0,,,
homo_short,50,fixed_q1_tppdu,ppdu,456,2187,0.8328478812364934,20249,1.0,,,
homo_short,50,adaptive_t0,zero,42,1915,0.9574317835150556,21799,0.020413780448644434,,,
homo_short,50,adaptive_t0,zero,123,1941,0.9554113079349672,21098,0.026068821689259645,,,
homo_short,50,adaptive_t0,zero,456,1888,0.958913806773134,21800,0.02110091743119266,,,
homo_short,50,adaptive_tppdu,ppdu,42,1915,0.9574317835150556,21799,0.020413780448644434,,,
homo_short,50,adaptive_tppdu,ppdu,123,1941,0.9554113079349672,21098,0.026068821689259645,,,
homo_short,50,adaptive_tppdu,ppdu,456,1888,0.958913806773134,21800,0.02110091743119266,,,
homo_short,50,oracle_t0,zero,42,2319,0.5629480286738351,21046,2.0,,,
homo_short,50,oracle_t0,zero,123,2239,0.552095003360968,20666,2.0,,,
homo_short,50,oracle_t0,zero,456,2209,0.5546642218656888,20665,2.0,,,
homo_short,50,oracle_tppdu,ppdu,42,2320,0.5629480286738351,21045,2.0,,,
homo_short,50,oracle_tppdu,ppdu,123,2239,0.552095003360968,20666,2.0,,,
homo_short,50,oracle_tppdu,ppdu,456,2228,0.576267384477344,20524,2.0,,,
homo_medium,10,fixed_q0_t0,zero,42,1434,0.4711111111111111,4405,0.0,,,
homo_medium,10,fixed_q0_t0,zero,123,1428,0.4993809327280231,4306,0.0,,,
homo_medium,10,fixed_q0_t0,zero,456,1423,0.4881993006993007,4175,0.0,,,
homo_medium,10,fixed_q0_tppdu,ppdu,42,1404,0.49165596919127086,4310,0.0,,,
homo_medium,10,fixed_q0_tppdu,ppdu,123,1440,0.4928971157985364,4089,0.0,,,
homo_medium,10,fixed_q0_tppdu,ppdu,456,1428,0.48356596127870327,3980,0.0,,,
homo_medium,10,fixed_q1_t0,zero,42,1411,0.2770012706480305,4350,1.0,,,
homo_medium,10,fixed_q1_t0,zero,123,1377,0.2764778325123153,4380,1.0,,,
homo_medium,10,fixed_q1_t0,zero,456,1378,0.29469548133595286,4000,1.0,,,
homo_medium,10,fixed_q1_tppdu,ppdu,42,1397,0.27734375,4160,1.0,,,
homo_medium,10,fixed_q1_tppdu,ppdu,123,1349,0.30228136882129275,4134,1.0,,,
homo_medium,10,fixed_q1_tppdu,ppdu,456,1383,0.252925877763329,4136,1.0,,,
homo_medium,10,adaptive_t0,zero,42,1454,0.48307952622673433,4437,0.04282172639170611,,,
homo_medium,10,adaptive_t0,zero,123,1410,0.47610697062691804,4230,0.04964539007092199,,,
homo_medium,10,adaptive_t0,zero,456,1398,0.4811529933481153,4078,0.05640019617459539,,,
homo_medium,10,adaptive_tppdu,ppdu,42,1418,0.4917247386759582,4257,0.07399577167019028,,,
homo_medium,10,adaptive_tppdu,ppdu,123,1439,0.4870617696160267,4293,0.03261122757978104,,,
homo_medium,10,adaptive_tppdu,ppdu,456,1409,0.46836027713625866,3904,0.048668032786885244,,,
homo_medium,10,oracle_t0,zero,42,1434,0.4711111111111111,4405,0.0,,,
homo_medium,10,oracle_t0,zero,123,1428,0.4993809327280231,4306,0.0,,,
homo_medium,10,oracle_t0,zero,456,1423,0.4881993006993007,4175,0.0,,,
homo_medium,10,oracle_tppdu,ppdu,42,1404,0.49165596919127086,4310,0.0,,,
homo_medium,10,oracle_tppdu,ppdu,123,1440,0.4928971157985364,4089,0.0,,,
homo_medium,10,oracle_tppdu,ppdu,456,1428,0.48356596127870327,3980,0.0,,,
homo_medium,20,fixed_q0_t0,zero,42,1373,0.7544191919191919,8516,0.0,,,
homo_medium,20,fixed_q0_t0,zero,123,1374,0.7637114212699037,8678,0.0,,,
homo_medium,20,fixed_q0_t0,zero,456,1359,0.7748571428571429,8697,0.0,,,
homo_medium,20,fixed_q0_tppdu,ppdu,42,1390,0.7494646680942184,8340,0.0,,,
