ppdu_config,num_stas,method,threshold_mode,seed,aggregate_throughput,collision_probability_npca,npca_transition_count,mean_qsrc,tp_short,tp_medium,tp_long
homo_short,10,fixed_q0_t0,zero,42,224,0.5208333333333334,420,0.0,,,
homo_short,10,fixed_q0_t0,zero,123,236,0.5155131264916468,450,0.0,,,
homo_short,10,fixed_q0_t0,zero,456,244,0.5438144329896907,360,0.0,,,
homo_short,10,fixed_q0_tppdu,ppdu,42,224,0.5208333333333334,420,0.0,,,
homo_short,10,fixed_q0_tppdu,ppdu,123,236,0.5155131264916468,450,0.0,,,
homo_short,10,fixed_q0_tppdu,ppdu,456,244,0.5438144329896907,360,0.0,,,
homo_short,10,fixed_q1_t0,zero,42,236,0.36015325670498083,400,1.0,,,
homo_short,10,fixed_q1_t0,zero,123,220,0.272,429,1.0,,,
homo_short,10,fixed_q1_t0,zero,456,241,0.2546816479400749,440,1.0,,,
homo_short,10,fixed_q1_tppdu,ppdu,42,236,0.36015325670498083,400,1.0,,,
homo_short,10,fixed_q1_tppdu,ppdu,123,220,0.272,429,1.0,,,
homo_short,10,fixed_q1_tppdu,ppdu,456,241,0.2546816479400749,440,1.0,,,
homo_short,10,adaptive_t0,zero,42,241,0.4692737430167598,410,0.12439024390243902,,,
homo_short,10,adaptive_t0,zero,123,244,0.47513812154696133,390,0.2153846153846154,,,
homo_short,10,adaptive_t0,zero,456,244,0.5106951871657754,340,0.14411764705882352,,,
homo_short,10,adaptive_tppdu,ppdu,42,241,0.4692737430167598,410,0.12439024390243902,,,
homo_short,10,adaptive_tppdu,ppdu,123,244,0.47513812154696133,390,0.2153846153846154,,,
homo_short,10,adaptive_tppdu,ppdu,456,244,0.5106951871657754,340,0.14411764705882352,,,
homo_short,10,oracle_t0,zero,42,224,0.5208333333333334,420,0.0,,,
homo_short,10,oracle_t0,zero,123,236,0.5155131264916468,450,0.0,,,
homo_short,10,oracle_t0,zero,456,244,0.5438144329896907,360,0.0,,,
homo_short,10,oracle_tppdu,ppdu,42,224,0.5208333333333334,420,0.0,,,
homo_short,10,oracle_tppdu,ppdu,123,236,0.5155131264916468,450,0.0,,,
homo_short,10,oracle_tppdu,ppdu,456,244,0.5438144329896907,360,0.0,,,
homo_short,20,fixed_q0_t0,zero,42,229,0.7678571428571429,740,0.0,,,
homo_short,20,fixed_q0_t0,zero,123,247,0.7607891491985204,800,0.0,,,
homo_short,20,fixed_q0_t0,zero,456,224,0.7665903890160183,860,0.0,,,
homo_short,20,fixed_q0_tppdu,ppdu,42,229,0.7678571428571429,740,0.0,,,
homo_short,20,fixed_q0_tppdu,ppdu,123,247,0.7607891491985204,800,0.0,,,
homo_short,20,fixed_q0_tppdu,ppdu,456,224,0.7665903890160183,860,0.0,,,
homo_short,20,fixed_q1_t0,zero,42,231,0.4766081871345029,800,1.0,,,
homo_short,20,fixed_q1_t0,zero,123,230,0.4543010752688172,820,1.0,,,
homo_short,20,fixed_q1_t0,zero,456,244,0.46866485013623976,819,1.0,,,
homo_short,20,fixed_q1_tppdu,ppdu,42,231,0.4766081871345029,800,1.0,,,
homo_short,20,fixed_q1_tppdu,ppdu,123,230,0.4543010752688172,820,1.0,,,
homo_short,20,fixed_q1_tppdu,ppdu,456,244,0.46866485013623976,819,1.0,,,
homo_short,20,adaptive_t0,zero,42,236,0.7172932330827068,780,0.258974358974359,,,
homo_short,20,adaptive_t0,zero,123,232,0.7249666221628839,840,0.32261904761904764,,,
homo_short,20,adaptive_t0,zero,456,220,0.7411095305832148,820,0.3073170731707317,,,
homo_short,20,adaptive_tppdu,ppdu,42,236,0.7172932330827068,780,0.258974358974359,,,
homo_short,20,adaptive_tppdu,ppdu,123,232,0.7249666221628839,840,0.32261904761904764,,,
homo_short,20,adaptive_tppdu,ppdu,456,220,0.7411095305832148,820,0.3073170731707317,,,
homo_short,20,oracle_t0,zero,42,231,0.4766081871345029,800,1.0,,,
homo_short,20,oracle_t0,zero,123,230,0.4543010752688172,820,1.0,,,
homo_short,20,oracle_t0,zero,456,244,0.46866485013623976,819,1.0,,,
homo_short,20,oracle_tppdu,ppdu,42,231,0.4766081871345029,800,1.0,,,
homo_short,20,oracle_tppdu,ppdu,123,230,0.4543010752688172,820,1.0,,,
homo_short,20,oracle_tppdu,ppdu,456,244,0.46866485013623976,819,1.0,,,
homo_short,30,fixed_q0_t0,zero,42,226,0.8744186046511628,1170,0.0,,,
homo_short,30,fixed_q0_t0,zero,123,219,0.8770718232044199,1140,0.0,,,
homo_short,30,fixed_q0_t0,zero,456,214,0.8778181818181818,1200,0.0,,,
homo_short,30,fixed_q0_tppdu,ppdu,42,226,0.8744186046511628,1170,0.0,,,
homo_short,30,fixed_q0_tppdu,ppdu,123,219,0.8770718232044199,1140,0.0,,,
homo_short,30,fixed_q0_tppdu,ppdu,456,214,0.8778181818181818,1200,0.0,,,
homo_short,30,fixed_q1_t0,zero,42,227,0.6304761904761905,1290,1.0,,,
homo_short,30,fixed_q1_t0,zero,123,228,0.6374269005847953,1260,1.0,,,
homo_short,30,fixed_q1_t0,zero,456,239,0.6511627906976745,1350,1.0,,,
homo_short,30,fixed_q1_tppdu,ppdu,42,227,0.6304761904761905,1290,1.0,,,
homo_short,30,fixed_q1_tppdu,ppdu,123,228,0.6374269005847953,1260,1.0,,,
homo_short,30,fixed_q1_tppdu,ppdu,456,239,0.6511627906976745,1350,1.0,,,
homo_short,30,adaptive_t0,zero,42,218,0.8461538461538461,1139,0.2309043020193152,,,
homo_short,30,adaptive_t0,zero,123,209,0.851880276285495,1259,0.3018268467037331,,,
homo_short,30,adaptive_t0,zero,456,226,0.8504347826086956,1200,0.2875,,,
homo_short,30,adaptive_tppdu,ppdu,42,218,0.8461538461538461,1139,0.2309043020193152,,,
homo_short,30,adaptive_tppdu,ppdu,123,209,0.851880276285495,1259,0.3018268467037331,,,
homo_short,30,adaptive_tppdu,ppdu,456,226,0.8504347826086956,1200,0.2875,,,
homo_short,30,oracle_t0,zero,42,227,0.6304761904761905,1290,1.0,,,
homo_short,30,oracle_t0,zero,123,228,0.6374269005847953,1260,1.0,,,
homo_short,30,oracle_t0,zero,456,239,0.6511627906976745,1350,1.0,,,
homo_short,30,oracle_tppdu,ppdu,42,227,0.6304761904761905,1290,1.0,,,
homo_short,30,oracle_tppdu,ppdu,123,228,0.6374269005847953,1260,1.0,,,
homo_short,30,oracle_tppdu,ppdu,456,239,0.6511627906976745,1350,1.0,,,
homo_short,50,fixed_q0_t0,zero,42,199,0.9539748953974896,2100,0.0,,,
homo_short,50,fixed_q0_t0,zero,123,169,0.9584822656035193,2300,0.0,,,
homo_short,50,fixed_q0_t0,zero,456,180,0.9619283065512979,2300,0.0,,,
homo_short,50,fixed_q0_tppdu,ppdu,42,199,0.9539748953974896,2100,0.0,,,
homo_short,50,fixed_q0_tppdu,ppdu,123,169,0.9584822656035193,2300,0.0,,,
homo_short,50,fixed_q0_tppdu,ppdu,456,180,0.9619283065512979,2300,0.0,,,
homo_short,50,fixed_q1_t0,zero,42,225,0.8017241379310345,2250,1.0,,,
homo_short,50,fixed_q1_t0,zero,123,213,0.8111455108359134,2150,1.0,,,
homo_short,50,fixed_q1_t0,zero,456,233,0.8194092827004219,2300,1.0,,,
homo_short,50,fixed_q1_tppdu,ppdu,42,225,0.8017241379310345,2250,1.0,,,
homo_short,50,fixed_q1_tppdu,ppdu,123,213,0.8111455108359134,2150,1.0,,,
homo_short,50,fixed_q1_tppdu,ppdu,456,233,0.8194092827004219,2300,1.0,,,
homo_short,50,adaptive_t0,zero,42,196,0.9456114028507127,1949,0.21959979476654695,,,
homo_short,50,adaptive_t0,zero,123,194,0.9361702127659575,2048,0.2685546875,,,
homo_short,50,adaptive_t0,zero,456,192,0.9510104102878139,2300,0.2,,,
homo_short,50,adaptive_tppdu,ppdu,42,196,0.9456114028507127,1949,0.21959979476654695,,,
homo_short,50,adaptive_tppdu,ppdu,123,194,0.9361702127659575,2048,0.2685546875,,,
homo_short,50,adaptive_tppdu,ppdu,456,192,0.9510104102878139,2300,0.2,,,
homo_short,50,oracle_t0,zero,42,228,0.5289672544080605,1996,2.0,,,
homo_short,50,oracle_t0,zero,123,228,0.5390946502057613,2070,2.0,,,
homo_short,50,oracle_t0,zero,456,223,0.5612009237875288,2056,2.0,,,
homo_short,50,oracle_tppdu,ppdu,42,228,0.5289672544080605,1996,2.0,,,
homo_short,50,oracle_tppdu,ppdu,123,228,0.5390946502057613,2070,2.0,,,
homo_short,50,oracle_tppdu,ppdu,456,210,0.5625,1879,2.0,,,
homo_medium,10,fixed_q0_t0,zero,42,131,0.4979253112033195,430,0.0,,,
homo_medium,10,fixed_q0_t0,zero,123,141,0.4405940594059406,379,0.0,,,
homo_medium,10,fixed_q0_t0,zero,456,137,0.4634146341463415,409,0.0,,,
homo_medium,10,fixed_q0_tppdu,ppdu,42,131,0.5104602510460251,419,0.0,,,
homo_medium,10,fixed_q0_tppdu,ppdu,123,144,0.3891625615763547,406,0.0,,,
homo_medium,10,fixed_q0_tppdu,ppdu,456,142,0.5421686746987951,386,0.0,,,
homo_medium,10,fixed_q1_t0,zero,42,130,0.20491803278688525,398,1.0,,,
homo_medium,10,fixed_q1_t0,zero,123,143,0.2716049382716049,399,1.0,,,
homo_medium,10,fixed_q1_t0,zero,456,137,0.19117647058823528,399,1.0,,,
homo_medium,10,fixed_q1_tppdu,ppdu,42,130,0.234375,397,1.0,,,
homo_medium,10,fixed_q1_tppdu,ppdu,123,136,0.21428571428571427,416,1.0,,,
homo_medium,10,fixed_q1_tppdu,ppdu,456,137,0.18705035971223022,406,1.0,,,
homo_medium,10,adaptive_t0,zero,42,141,0.5126050420168067,420,0.20714285714285716,,,
homo_medium,10,adaptive_t0,zero,123,144,0.40375586854460094,420,0.06904761904761905,,,
homo_medium,10,adaptive_t0,zero,456,137,0.4766355140186916,400,0.175,,,
homo_medium,10,adaptive_tppdu,ppdu,42,148,0.508695652173913,414,0.1570048309178744,,,
homo_medium,10,adaptive_tppdu,ppdu,123,150,0.3864734299516908,405,0.11358024691358025,,,
homo_medium,10,adaptive_tppdu,ppdu,456,136,0.422680412371134,385,0.12987012987012986,,,
homo_medium,10,oracle_t0,zero,42,131,0.4979253112033195,430,0.0,,,
homo_medium,10,oracle_t0,zero,123,141,0.4405940594059406,379,0.0,,,
homo_medium,10,oracle_t0,zero,456,137,0.4634146341463415,409,0.0,,,
homo_medium,10,oracle_tppdu,ppdu,42,131,0.5104602510460251,419,0.0,,,
homo_medium,10,oracle_tppdu,ppdu,123,144,0.3891625615763547,406,0.0,,,
homo_medium,10,oracle_tppdu,ppdu,456,142,0.5421686746987951,386,0.0,,,
