N,W_eff,protocol,seed,CW0,mean_success,std_success
5,20,dcf_qsrc_star,42,10,3.884,1.071701450964773
5,20,mfg_precommit,42,5,4.31,0.8898876333560322
5,20,mfg_adaptive,42,,4.988,0.1607980099379343
5,20,oracle,42,5,4.346666666666667,0.0
5,20,dcf_qsrc_star,123,10,3.952,1.0274706808469038
5,20,mfg_precommit,123,5,4.334,0.8980222714387435
5,20,mfg_adaptive,123,,4.991,0.13754635582231906
5,20,oracle,123,5,4.406666666666666,0.0
5,20,dcf_qsrc_star,456,10,3.963,1.0448114662464227
5,20,mfg_precommit,456,5,4.309,0.9052728870346223
5,20,mfg_adaptive,456,,4.984,0.17246448909848078
5,20,oracle,456,4,4.31,0.0
5,50,dcf_qsrc_star,42,10,4.921,0.32673995776458076
5,50,mfg_precommit,42,5,4.973,0.18512428257794816
5,50,mfg_adaptive,42,,5.0,0.0
5,50,oracle,42,1,4.98,0.0
5,50,dcf_qsrc_star,123,10,4.925,0.31204967553259855
5,50,mfg_precommit,123,5,4.961,0.23553980555311665
5,50,mfg_adaptive,123,,5.0,0.0
5,50,oracle,123,7,4.99,0.0
5,50,dcf_qsrc_star,456,10,4.934,0.2857341421671551
5,50,mfg_precommit,456,5,4.967,0.19977737609649393
5,50,mfg_adaptive,456,,5.0,0.0
5,50,oracle,456,2,4.973333333333334,0.0
5,100,dcf_qsrc_star,42,10,4.998,0.044676615807377355
5,100,mfg_precommit,42,5,5.0,0.0
5,100,mfg_adaptive,42,,5.0,0.0
5,100,oracle,42,1,5.0,0.0
5,100,dcf_qsrc_star,123,10,4.999,0.03160696125855822
5,100,mfg_precommit,123,5,4.999,0.03160696125855822
5,100,mfg_adaptive,123,,5.0,0.0
5,100,oracle,123,2,5.0,0.0
5,100,dcf_qsrc_star,456,10,5.0,0.0
5,100,mfg_precommit,456,5,4.994,0.08924124606929243
5,100,mfg_adaptive,456,,5.0,0.0
5,100,oracle,456,2,5.0,0.0
5,200,dcf_qsrc_star,42,10,5.0,0.0
5,200,mfg_precommit,42,5,5.0,0.0
5,200,mfg_adaptive,42,,5.0,0.0
5,200,oracle,42,1,5.0,0.0
5,200,dcf_qsrc_star,123,10,5.0,0.0
5,200,mfg_precommit,123,5,5.0,0.0
5,200,mfg_adaptive,123,,5.0,0.0
5,200,oracle,123,1,5.0,0.0
5,200,dcf_qsrc_star,456,10,5.0,0.0
5,200,mfg_precommit,456,5,5.0,0.0
5,200,mfg_adaptive,456,,5.0,0.0
5,200,oracle,456,1,5.0,0.0
5,500,dcf_qsrc_star,42,10,5.0,0.0
5,500,mfg_precommit,42,5,5.0,0.0
5,500,mfg_adaptive,42,,5.0,0.0
5,500,oracle,42,1,5.0,0.0
5,500,dcf_qsrc_star,123,10,5.0,0.0
5,500,mfg_precommit,123,5,5.0,0.0
5,500,mfg_adaptive,123,,5.0,0.0
5,500,oracle,123,1,5.0,0.0
5,500,dcf_qsrc_star,456,10,5.0,0.0
5,500,mfg_precommit,456,5,5.0,0.0
5,500,mfg_adaptive,456,,5.0,0.0
5,500,oracle,456,1,5.0,0.0
10,20,dcf_qsrc_star,42,20,4.666,1.3965829728304724
10,20,mfg_precommit,42,10,4.673,1.518575319172546
10,20,mfg_adaptive,42,,8.009,2.008710780575442
10,20,oracle,42,11,4.873333333333333,0.0
10,20,dcf_qsrc_star,123,20,4.769,1.3991565316289667
10,20,mfg_precommit,123,10,4.753,1.5139322970331268
10,20,mfg_adaptive,123,,8.067,2.0016270881460416
10,20,oracle,123,17,4.956666666666667,0.0
10,20,dcf_qsrc_star,456,20,4.743,1.3103247689027326
10,20,mfg_precommit,456,10,4.783,1.4973012388961682
10,20,mfg_adaptive,456,,8.082,1.9517366625649064
