N,W_eff,protocol,seed,CW0,mean_success,std_success
5,20,dcf_qsrc_star,42,10,3.8,1.0488088481701516
5,20,mfg_precommit,42,5,4.39,0.8111103500757465
5,20,mfg_adaptive,42,,5.0,0.0
5,20,oracle,42,5,4.346666666666667,0.0
5,20,dcf_qsrc_star,123,10,3.95,1.023474474522936
5,20,mfg_precommit,123,5,4.18,1.0989085494252921
5,20,mfg_adaptive,123,,4.98,0.19899748742132398
5,20,oracle,123,5,4.406666666666666,0.0
5,20,dcf_qsrc_star,456,10,3.93,1.0793979803575695
5,20,mfg_precommit,456,5,4.26,1.0258654882585727
5,20,mfg_adaptive,456,,5.0,0.0
5,20,oracle,456,4,4.31,0.0
5,50,dcf_qsrc_star,42,10,4.91,0.3491418050019218
5,50,mfg_precommit,42,5,4.97,0.22158519806160334
5,50,mfg_adaptive,42,,5.0,0.0
5,50,oracle,42,1,4.98,0.0
5,50,dcf_qsrc_star,123,10,4.94,0.3104834939252005
5,50,mfg_precommit,123,5,4.97,0.22158519806160334
5,50,mfg_adaptive,123,,5.0,0.0
5,50,oracle,123,7,4.99,0.0
5,50,dcf_qsrc_star,456,10,4.95,0.2179449471770337
5,50,mfg_precommit,456,5,4.96,0.19595917942265423
5,50,mfg_adaptive,456,,5.0,0.0
5,50,oracle,456,2,4.973333333333334,0.0
5,100,dcf_qsrc_star,42,10,5.0,0.0
5,100,mfg_precommit,42,5,5.0,0.0
5,100,mfg_adaptive,42,,5.0,0.0
5,100,oracle,42,1,5.0,0.0
5,100,dcf_qsrc_star,123,10,5.0,0.0
5,100,mfg_precommit,123,5,5.0,0.0
5,100,mfg_adaptive,123,,5.0,0.0
5,100,oracle,123,2,5.0,0.0
5,100,dcf_qsrc_star,456,10,5.0,0.0
5,100,mfg_precommit,456,5,5.0,0.0
5,100,mfg_adaptive,456,,5.0,0.0
5,100,oracle,456,2,5.0,0.0
5,200,dcf_qsrc_star,42,10,5.0,0.0
5,200,mfg_precommit,42,5,5.0,0.0
5,200,mfg_adaptive,42,,5.0,0.0
5,200,oracle,42,1,5.0,0.0
5,200,dcf_qsrc_star,123,10,5.0,0.0
5,200,mfg_precommit,123,5,5.0,0.0
5,200,mfg_adaptive,123,,5.0,0.0
5,200,oracle,123,1,5.0,0.0
5,200,dcf_qsrc_star,456,10,5.0,0.0
5,200,mfg_precommit,456,5,5.0,0.0
5,200,mfg_adaptive,456,,5.0,0.0
5,200,oracle,456,1,5.0,0.0
5,500,dcf_qsrc_star,42,10,5.0,0.0
5,500,mfg_precommit,42,5,5.0,0.0
5,500,mfg_adaptive,42,,5.0,0.0
5,500,oracle,42,1,5.0,0.0
5,500,dcf_qsrc_star,123,10,5.0,0.0
5,500,mfg_precommit,123,5,5.0,0.0
5,500,mfg_adaptive,123,,5.0,0.0
5,500,oracle,123,1,5.0,0.0
5,500,dcf_qsrc_star,456,10,5.0,0.0
5,500,mfg_precommit,456,5,5.0,0.0
5,500,mfg_adaptive,456,,5.0,0.0
5,500,oracle,456,1,5.0,0.0
10,20,dcf_qsrc_star,42,20,4.6,1.2649110640673518
10,20,mfg_precommit,42,10,4.64,1.6032467059064865
10,20,mfg_adaptive,42,,7.68,2.0291870293297265
10,20,oracle,42,11,4.873333333333333,0.0
10,20,dcf_qsrc_star,123,20,4.78,1.493854075872205
10,20,mfg_precommit,123,10,4.61,1.482531618549837
10,20,mfg_adaptive,123,,8.02,2.009875618042072
10,20,oracle,123,17,4.956666666666667,0.0
10,20,dcf_qsrc_star,456,20,4.72,1.3496666255042389
10,20,mfg_precommit,456,10,4.96,1.3484806264830058
10,20,mfg_adaptive,456,,7.79,1.9354327681425672
10,20,oracle,456,17,4.903333333333333,0.0
10,50,dcf_qsrc_star,42,20,8.29,1.3363756956784272
10,50,mfg_precommit,42,10,8.95,1.0712142642814275
10,50,mfg_adaptive,42,,10.0,0.0
10,50,oracle,42,2,9.06,0.0
10,50,dcf_qsrc_star,123,20,8.49,1.2688183479127344
10,50,mfg_precommit,123,10,8.69,1.3689046716261875
10,50,mfg_adaptive,123,,10.0,0.0
10,50,oracle,123,2,9.196666666666667,0.0
10,50,dcf_qsrc_star,456,20,8.59,1.2255202976695245
10,50,mfg_precommit,456,10,9.08,1.154816002660164
10,50,mfg_adaptive,456,,10.0,0.0
10,50,oracle,456,2,9.086666666666666,0.0
10,100,dcf_qsrc_star,42,20,9.87,0.41605288125429446
10,100,mfg_precommit,42,10,9.92,0.3655133376499412
10,100,mfg_adaptive,42,,10.0,0.0
10,100,oracle,42,2,9.953333333333333,0.0
10,100,dcf_qsrc_star,123,20,9.85,0.4769696007084729
10,100,mfg_precommit,123,10,9.84,0.48414873747640824
10,100,mfg_adaptive,123,,10.0,0.0
10,100,oracle,123,2,9.966666666666667,0.0
10,100,dcf_qsrc_star,456,20,9.9,0.3872983346207417
10,100,mfg_precommit,456,10,9.95,0.25980762113533157
10,100,mfg_adaptive,456,,10.0,0.0
10,100,oracle,456,2,9.93,0.0
10,200,dcf_qsrc_star,42,20,10.0,0.0
