topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,9,20,dcf_ieee,42,16,4.885,1.425403451658512,0.0,8.0,1
complete,9,20,dcf_topology,42,18,4.8,1.2165525060596438,0.0,8.0,1
complete,9,20,mfg_full_N,42,,7.785,1.7460741679550729,0.0,8.0,1
complete,9,20,mfg_perfect_local,42,,7.785,1.7460741679550729,0.0,8.0,1
complete,9,20,mfg_carrier_sense,42,,6.625,1.5213070038621397,0.0,8.0,1
complete,9,20,oracle_topology,42,11,5.0125,0.0,0.0,8.0,1
complete,9,50,dcf_ieee,42,16,8.345,0.8921743103228204,0.0,8.0,1
complete,9,50,dcf_topology,42,18,8.05,1.0380269746013349,0.0,8.0,1
complete,9,50,mfg_full_N,42,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_perfect_local,42,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_carrier_sense,42,,8.885,0.31902194281898544,0.0,8.0,1
complete,9,50,oracle_topology,42,2,8.375,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,42,16,8.94,0.2576819745345025,0.0,8.0,1
complete,9,100,dcf_topology,42,18,8.94,0.31048349392520047,0.0,8.0,1
complete,9,100,mfg_full_N,42,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,42,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,42,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,42,7,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,42,16,8.995,0.07053367989832943,0.0,8.0,1
complete,9,200,dcf_topology,42,18,8.995,0.07053367989832943,0.0,8.0,1
complete,9,200,mfg_full_N,42,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,42,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,42,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,42,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,42,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,42,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,42,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,42,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,42,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,42,2,9.0,0.0,0.0,8.0,1
complete,9,20,dcf_ieee,123,16,4.79,1.4198239327465922,0.0,8.0,1
complete,9,20,dcf_topology,123,18,4.805,1.2557766521161318,0.0,8.0,1
