topology,N,W_eff,protocol,seed,CW0,mean_success,std_success,mean_spatial_reuse,mean_degree,alpha_G
complete,9,20,dcf_ieee,42,16,4.866666666666666,1.4996295838935993,0.0,8.0,1
complete,9,20,dcf_topology,42,18,5.0,1.2909944487358056,0.0,8.0,1
complete,9,20,mfg_full_N,42,,8.166666666666666,1.6141733350404335,0.0,8.0,1
complete,9,20,mfg_perfect_local,42,,8.166666666666666,1.6141733350404335,0.0,8.0,1
complete,9,20,mfg_carrier_sense,42,,6.7,1.1590225767142475,0.0,8.0,1
complete,9,20,oracle_topology,42,4,4.933333333333334,0.0,0.0,8.0,1
complete,9,50,dcf_ieee,42,16,8.0,0.9660917830792959,0.0,8.0,1
complete,9,50,dcf_topology,42,18,8.3,0.9,0.0,8.0,1
complete,9,50,mfg_full_N,42,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_perfect_local,42,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_carrier_sense,42,,8.833333333333334,0.45338235029118146,0.0,8.0,1
complete,9,50,oracle_topology,42,4,8.666666666666666,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,42,16,8.833333333333334,0.5821416398857658,0.0,8.0,1
complete,9,100,dcf_topology,42,18,8.9,0.3,0.0,8.0,1
complete,9,100,mfg_full_N,42,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,42,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,42,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,42,2,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,42,16,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_topology,42,18,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_full_N,42,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,42,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,42,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,42,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,42,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,42,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,42,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,42,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,42,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,42,2,9.0,0.0,0.0,8.0,1
complete,9,20,dcf_ieee,123,16,4.766666666666667,1.5423647068345698,0.0,8.0,1
complete,9,20,dcf_topology,123,18,4.666666666666667,1.349897115421106,0.0,8.0,1
complete,9,20,mfg_full_N,123,,7.633333333333334,1.7220788470785986,0.0,8.0,1
complete,9,20,mfg_perfect_local,123,,7.633333333333334,1.7220788470785986,0.0,8.0,1
complete,9,20,mfg_carrier_sense,123,,7.033333333333333,1.3535960336164634,0.0,8.0,1
complete,9,20,oracle_topology,123,17,4.8,0.0,0.0,8.0,1
complete,9,50,dcf_ieee,123,16,8.333333333333334,0.8692269873603531,0.0,8.0,1
complete,9,50,dcf_topology,123,18,8.1,1.0754843869934452,0.0,8.0,1
complete,9,50,mfg_full_N,123,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_perfect_local,123,,9.0,0.0,0.0,8.0,1
complete,9,50,mfg_carrier_sense,123,,8.9,0.39581140290126393,0.0,8.0,1
complete,9,50,oracle_topology,123,2,8.8,0.0,0.0,8.0,1
complete,9,100,dcf_ieee,123,16,8.833333333333334,0.4533823502911815,0.0,8.0,1
complete,9,100,dcf_topology,123,18,8.966666666666667,0.17950549357115012,0.0,8.0,1
complete,9,100,mfg_full_N,123,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_perfect_local,123,,9.0,0.0,0.0,8.0,1
complete,9,100,mfg_carrier_sense,123,,9.0,0.0,0.0,8.0,1
complete,9,100,oracle_topology,123,2,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_ieee,123,16,9.0,0.0,0.0,8.0,1
complete,9,200,dcf_topology,123,18,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_full_N,123,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_perfect_local,123,,9.0,0.0,0.0,8.0,1
complete,9,200,mfg_carrier_sense,123,,9.0,0.0,0.0,8.0,1
complete,9,200,oracle_topology,123,2,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_ieee,123,16,9.0,0.0,0.0,8.0,1
complete,9,500,dcf_topology,123,18,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_full_N,123,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_perfect_local,123,,9.0,0.0,0.0,8.0,1
complete,9,500,mfg_carrier_sense,123,,9.0,0.0,0.0,8.0,1
complete,9,500,oracle_topology,123,2,9.0,0.0,0.0,8.0,1
complete,9,20,dcf_ieee,456,16,5.2,1.4696938456699071,0.0,8.0,1
complete,9,20,dcf_topology,456,18,4.466666666666667,1.384035966135113,0.0,8.0,1
complete,9,20,mfg_full_N,456,,7.733333333333333,1.7307673314329557,0.0,8.0,1
complete,9,20,mfg_perfect_local,456,,7.733333333333333,1.7307673314329557,0.0,8.0,1
