method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
oracle,homo,5,20,42,1000,0.96,0.966,0.926,0.735,0.16730000000000003,0.0,0.0
mfg_no_excl,homo,5,20,42,1000,0.956,0.966,0.926,0.823,0.16228333333333333,0.0,0.0
self_excl_only,homo,5,20,42,1000,0.954,0.966,0.921,0.764,0.17871666666666672,0.0,0.0
ema_fixed_low,homo,5,20,42,1000,0.943,0.966,0.911,0.947,0.12434999999999997,0.08329268614726584,0.4300166666666672
ema_fixed_high,homo,5,20,42,1000,0.927,0.966,0.896,1.052,0.1384333333333333,0.08144120742076623,1.5835333333333348
ema_adaptive,homo,5,20,42,1000,0.92,0.966,0.889,1.083,0.1353,0.08333454310121118,0.4190833333333337
consec_L2,homo,5,20,42,1000,0.919,0.966,0.889,1.126,0.1421333333333334,0.08319867774505091,0.4514166666666673
consec_L4,homo,5,20,42,1000,0.92,0.966,0.893,1.066,0.12748333333333334,0.08378674222451786,0.06149999999999999
oracle,homo,5,20,123,1000,0.962,0.952,0.917,0.72,0.18543333333333323,0.0,0.0
mfg_no_excl,homo,5,20,123,1000,0.958,0.952,0.912,0.789,0.16515000000000016,0.0,0.0
self_excl_only,homo,5,20,123,1000,0.955,0.952,0.909,0.757,0.17390000000000005,0.0,0.0
ema_fixed_low,homo,5,20,123,1000,0.917,0.952,0.874,1.037,0.13559999999999997,0.08352621487269851,0.45945000000000064
ema_fixed_high,homo,5,20,123,1000,0.933,0.952,0.891,1.013,0.14376666666666674,0.08314181854811645,1.4909500000000002
ema_adaptive,homo,5,20,123,1000,0.925,0.952,0.878,1.104,0.1295333333333333,0.08278875749749257,0.4517500000000003
consec_L2,homo,5,20,123,1000,0.926,0.952,0.882,1.059,0.11709999999999997,0.08350151208193857,0.45008333333333383
consec_L4,homo,5,20,123,1000,0.922,0.952,0.877,1.083,0.12966666666666657,0.08376675950483363,0.06983333333333336
oracle,homo,5,20,456,1000,0.956,0.964,0.923,0.738,0.17284999999999998,0.0,0.0
mfg_no_excl,homo,5,20,456,1000,0.957,0.964,0.922,0.713,0.1705166666666667,0.0,0.0
self_excl_only,homo,5,20,456,1000,0.964,0.964,0.929,0.757,0.1790166666666667,0.0,0.0
ema_fixed_low,homo,5,20,456,1000,0.917,0.964,0.882,1.125,0.14324999999999996,0.08377726412117421,0.4963166666666675
ema_fixed_high,homo,5,20,456,1000,0.922,0.964,0.887,1.016,0.1390499999999999,0.08323942786836076,1.4598999999999998
ema_adaptive,homo,5,20,456,1000,0.926,0.964,0.891,1.074,0.12221666666666663,0.0829200139096466,0.4420000000000004
consec_L2,homo,5,20,456,1000,0.916,0.964,0.884,1.042,0.1425166666666667,0.08443286011702154,0.4266666666666673
consec_L4,homo,5,20,456,1000,0.917,0.964,0.882,1.116,0.1273166666666666,0.08338513330144917,0.08649999999999998
oracle,homo,5,20,789,1000,0.957,0.961,0.921,0.792,0.1747,0.0,0.0
mfg_no_excl,homo,5,20,789,1000,0.948,0.961,0.913,0.824,0.17168333333333344,0.0,0.0
self_excl_only,homo,5,20,789,1000,0.956,0.961,0.918,0.767,0.17306666666666676,0.0,0.0
ema_fixed_low,homo,5,20,789,1000,0.927,0.961,0.891,1.101,0.1282,0.08239260123877026,0.5069166666666675
ema_fixed_high,homo,5,20,789,1000,0.914,0.961,0.876,1.069,0.14201666666666668,0.08251387958625311,1.5384666666666682
ema_adaptive,homo,5,20,789,1000,0.92,0.961,0.887,1.084,0.1382000000000001,0.08317297042357555,0.396166666666667
consec_L2,homo,5,20,789,1000,0.923,0.961,0.886,1.029,0.12773333333333328,0.08390515719147738,0.431166666666667
consec_L4,homo,5,20,789,1000,0.925,0.961,0.89,1.094,0.1299333333333333,0.08409483778549583,0.062166666666666676
oracle,homo,5,20,1234,1000,0.959,0.96,0.922,0.826,0.16044999999999998,0.0,0.0
mfg_no_excl,homo,5,20,1234,1000,0.952,0.96,0.916,0.788,0.17291666666666677,0.0,0.0
self_excl_only,homo,5,20,1234,1000,0.947,0.96,0.908,0.807,0.17613333333333336,0.0,0.0
ema_fixed_low,homo,5,20,1234,1000,0.925,0.96,0.887,1.071,0.1368166666666667,0.08255624886845683,0.47516666666666724
ema_fixed_high,homo,5,20,1234,1000,0.937,0.96,0.898,1.026,0.1341666666666666,0.08202871438485655,1.538333333333335
ema_adaptive,homo,5,20,1234,1000,0.912,0.96,0.875,1.164,0.14165000000000005,0.0831656192154172,0.46900000000000047
consec_L2,homo,5,20,1234,1000,0.925,0.96,0.89,1.046,0.13479999999999995,0.08292154085047396,0.42608333333333376
consec_L4,homo,5,20,1234,1000,0.913,0.96,0.876,1.177,0.13283333333333347,0.08249089312642126,0.08249999999999999
oracle,homo,5,50,42,1000,2.733,2.723,1.0343333333333307,2.017,0.2293146430367015,0.0,0.0
mfg_no_excl,homo,5,50,42,1000,2.718,2.723,1.0306666666666637,2.145,0.22340481046731006,0.0,0.0
self_excl_only,homo,5,50,42,1000,2.725,2.723,1.0333333333333308,1.996,0.2348008769008766,0.0,0.0
ema_fixed_low,homo,5,50,42,1000,2.568,2.723,0.9739999999999961,3.893,0.10277592947128573,0.1387819797838315,0.9262443615895622
ema_fixed_high,homo,5,50,42,1000,2.588,2.723,0.9826666666666629,3.67,0.12206408933343942,0.13013363562111285,1.7008311426275813
ema_adaptive,homo,5,50,42,1000,2.506,2.723,0.9493333333333288,4.168,0.1043928172661535,0.13727229832316723,1.0199338300072809
consec_L2,homo,5,50,42,1000,2.546,2.723,0.9666666666666621,3.794,0.12148490780805057,0.13256081164122693,0.7963615115276879
consec_L4,homo,5,50,42,1000,2.526,2.723,0.957499999999996,4.091,0.10263996794399295,0.1390512376713307,0.22698881689775666
oracle,homo,5,50,123,1000,2.731,2.738,1.0276666666666643,1.926,0.23628565601065532,0.0,0.0
mfg_no_excl,homo,5,50,123,1000,2.739,2.738,1.0333333333333306,2.043,0.22549092019091999,0.0,0.0
self_excl_only,homo,5,50,123,1000,2.724,2.738,1.0264999999999969,2.053,0.23338203985556882,0.0,0.0
ema_fixed_low,homo,5,50,123,1000,2.501,2.738,0.9426666666666622,4.242,0.11084130983806609,0.1383164795403468,1.0515026601077981
ema_fixed_high,homo,5,50,123,1000,2.552,2.738,0.9649999999999956,3.716,0.12457784845443541,0.13059941501075545,1.6491745560296251
ema_adaptive,homo,5,50,123,1000,2.535,2.738,0.9556666666666613,4.054,0.10518561898198153,0.1375545285324906,0.980270611178467
consec_L2,homo,5,50,123,1000,2.565,2.738,0.9678333333333292,3.679,0.11558885566188219,0.1310707847878344,0.7955513727500574
consec_L4,homo,5,50,123,1000,2.516,2.738,0.9486666666666613,4.065,0.10388185632736749,0.1387260672903961,0.24549067340468284
oracle,homo,5,50,456,1000,2.695,2.753,1.0116666666666634,2.118,0.23473673483379326,0.0,0.0
mfg_no_excl,homo,5,50,456,1000,2.744,2.753,1.0269999999999977,1.941,0.23406170545141083,0.0,0.0
self_excl_only,homo,5,50,456,1000,2.735,2.753,1.0248333333333304,1.984,0.2361061587105702,0.0,0.0
ema_fixed_low,homo,5,50,456,1000,2.511,2.753,0.9409999999999951,4.224,0.10796398670129352,0.1381121026608104,1.0397822455537236
ema_fixed_high,homo,5,50,456,1000,2.551,2.753,0.9561666666666623,3.788,0.12392276204187987,0.13085354913344446,1.6825785786109329
ema_adaptive,homo,5,50,456,1000,2.541,2.753,0.9524999999999957,4.017,0.09873996860552617,0.13593117222675388,0.978537223388926
consec_L2,homo,5,50,456,1000,2.539,2.753,0.9498333333333294,3.837,0.12380746776835615,0.1332241314523614,0.8212337547025079
consec_L4,homo,5,50,456,1000,2.529,2.753,0.9479999999999951,4.048,0.1050874189922568,0.139556178232173,0.23849155875514239
oracle,homo,5,50,789,1000,2.721,2.756,1.0176666666666634,2.089,0.22948832473855657,0.0,0.0
mfg_no_excl,homo,5,50,789,1000,2.729,2.756,1.0208333333333302,2.031,0.23573427658942317,0.0,0.0
self_excl_only,homo,5,50,789,1000,2.706,2.756,1.0131666666666626,2.037,0.23290748524351448,0.0,0.0
ema_fixed_low,homo,5,50,789,1000,2.525,2.756,0.945499999999995,4.017,0.10441938085993847,0.1360789464994003,1.0086342147661418
ema_fixed_high,homo,5,50,789,1000,2.556,2.756,0.9546666666666619,3.652,0.12110355269945072,0.1301075871758,1.6445680077318627
ema_adaptive,homo,5,50,789,1000,2.527,2.756,0.9458333333333279,4.047,0.10648077681692254,0.13842992110138233,0.9612312851106581
consec_L2,homo,5,50,789,1000,2.566,2.756,0.9593333333333282,3.723,0.11843036444512269,0.13171261972523823,0.8129083768779788
consec_L4,homo,5,50,789,1000,2.508,2.756,0.9364999999999958,4.183,0.10278276407115451,0.13913529546838116,0.23635956373777603
oracle,homo,5,50,1234,1000,2.745,2.717,1.044333333333331,2.086,0.220432395382395,0.0,0.0
mfg_no_excl,homo,5,50,1234,1000,2.722,2.717,1.0346666666666642,2.082,0.2273884011413421,0.0,0.0
self_excl_only,homo,5,50,1234,1000,2.734,2.717,1.0391666666666644,2.025,0.23509709683591237,0.0,0.0
ema_fixed_low,homo,5,50,1234,1000,2.53,2.717,0.9626666666666621,4.17,0.10411604435725974,0.13720362996128405,1.0057271062571758
ema_fixed_high,homo,5,50,1234,1000,2.563,2.717,0.9763333333333292,3.651,0.1263844605171233,0.1313001762373776,1.6643021406311271
ema_adaptive,homo,5,50,1234,1000,2.492,2.717,0.9473333333333288,4.25,0.1098683816097905,0.1374682664251354,1.05084723663849
consec_L2,homo,5,50,1234,1000,2.545,2.717,0.9674999999999955,3.746,0.12266190051348749,0.1320405556593161,0.8083561319872073
consec_L4,homo,5,50,1234,1000,2.505,2.717,0.9504999999999958,4.148,0.10372559732579119,0.13815658238952197,0.2542032897743811
oracle,homo,5,100,42,1000,5.0,5.0,1.0,2.711,0.20966961171428342,0.0,0.0
mfg_no_excl,homo,5,100,42,1000,5.0,5.0,1.0,2.808,0.2039332989044732,0.0,0.0
self_excl_only,homo,5,100,42,1000,5.0,5.0,1.0,2.644,0.21473509906845892,0.0,0.0
ema_fixed_low,homo,5,100,42,1000,4.96,5.0,0.9919999999999991,11.826,0.05097279384680309,0.34478662380767827,1.0013870700403238
ema_fixed_high,homo,5,100,42,1000,4.993,5.0,0.9985999999999999,9.197,0.07328128307459511,0.30948102274185074,1.3386873638529324
ema_adaptive,homo,5,100,42,1000,4.946,5.0,0.9891999999999992,12.448,0.0513950013377524,0.3409221328087475,1.079141887682173
consec_L2,homo,5,100,42,1000,4.986,5.0,0.9971999999999998,9.077,0.0737026145167073,0.30084045119457525,0.7695493562171588
consec_L4,homo,5,100,42,1000,4.947,5.0,0.9893999999999991,11.769,0.05359833640299715,0.336121698232121,0.36331073434760985
oracle,homo,5,100,123,1000,4.999,5.0,0.9997999999999999,2.572,0.21302230187496232,0.0,0.0
mfg_no_excl,homo,5,100,123,1000,4.999,5.0,0.9997999999999999,2.724,0.20452201219832827,0.0,0.0
self_excl_only,homo,5,100,123,1000,4.999,5.0,0.9997999999999999,2.746,0.20645338502656657,0.0,0.0
ema_fixed_low,homo,5,100,123,1000,4.932,5.0,0.9863999999999989,12.529,0.05532340875859225,0.3380925064252163,1.1106785489268314
ema_fixed_high,homo,5,100,123,1000,4.993,5.0,0.9985999999999999,9.427,0.07441174002122102,0.31027537533811006,1.3212200248387067
ema_adaptive,homo,5,100,123,1000,4.932,5.0,0.9863999999999987,12.49,0.052184011549962786,0.3455913159122403,1.0616364435959649
consec_L2,homo,5,100,123,1000,4.992,5.0,0.9983999999999996,9.098,0.0713461659840328,0.304679288227588,0.7706674614076645
consec_L4,homo,5,100,123,1000,4.955,5.0,0.9909999999999995,11.538,0.05481959540947205,0.334113362543996,0.3672318206501845
oracle,homo,5,100,456,1000,5.0,5.0,1.0,2.781,0.2115208105324782,0.0,0.0
mfg_no_excl,homo,5,100,456,1000,5.0,5.0,1.0,2.595,0.20949056323531753,0.0,0.0
self_excl_only,homo,5,100,456,1000,5.0,5.0,1.0,2.669,0.21187772432940952,0.0,0.0
ema_fixed_low,homo,5,100,456,1000,4.941,5.0,0.9881999999999989,12.374,0.05365557045541073,0.3418935172136154,1.074133585100044
ema_fixed_high,homo,5,100,456,1000,4.987,5.0,0.9973999999999997,9.541,0.07425672099526419,0.3068365592445083,1.3316032571141023
ema_adaptive,homo,5,100,456,1000,4.952,5.0,0.9903999999999992,12.033,0.0507423709004947,0.34502422108376185,1.0338123007002826
consec_L2,homo,5,100,456,1000,4.985,5.0,0.9969999999999998,9.079,0.07365084628489613,0.30153445021745084,0.7791662321848098
consec_L4,homo,5,100,456,1000,4.961,5.0,0.9921999999999991,11.728,0.05448563341122922,0.33776746888374765,0.36786827498469266
oracle,homo,5,100,789,1000,5.0,5.0,1.0,2.76,0.20917305999453123,0.0,0.0
mfg_no_excl,homo,5,100,789,1000,5.0,5.0,1.0,2.715,0.21143851985162088,0.0,0.0
self_excl_only,homo,5,100,789,1000,5.0,5.0,1.0,2.711,0.20979224887128886,0.0,0.0
ema_fixed_low,homo,5,100,789,1000,4.962,5.0,0.992399999999999,12.015,0.05311682749158314,0.3426471228472692,1.0530911566776884
ema_fixed_high,homo,5,100,789,1000,4.988,5.0,0.9975999999999999,9.345,0.07289355477274335,0.31008478828113634,1.3065836326761668
ema_adaptive,homo,5,100,789,1000,4.941,5.0,0.9881999999999992,12.679,0.05233269389404594,0.34807167328863753,1.0506942793629814
consec_L2,homo,5,100,789,1000,4.985,5.0,0.9969999999999997,8.999,0.07288407203812493,0.3025335508253739,0.765126970615524
consec_L4,homo,5,100,789,1000,4.947,5.0,0.9893999999999991,12.106,0.05457735120477828,0.33486711370492317,0.3720272400758854
oracle,homo,5,100,1234,1000,5.0,5.0,1.0,2.696,0.201075659976145,0.0,0.0
mfg_no_excl,homo,5,100,1234,1000,5.0,5.0,1.0,2.762,0.2053101876116962,0.0,0.0
self_excl_only,homo,5,100,1234,1000,4.999,5.0,0.9997999999999999,2.701,0.20970018819770786,0.0,0.0
ema_fixed_low,homo,5,100,1234,1000,4.951,5.0,0.9901999999999991,12.17,0.05404252204386258,0.3387834346840414,1.0518796560263917
ema_fixed_high,homo,5,100,1234,1000,4.991,5.0,0.9981999999999998,9.491,0.0746021002561736,0.31091000791878237,1.3352609532060027
ema_adaptive,homo,5,100,1234,1000,4.95,5.0,0.9899999999999993,12.594,0.05497017237562727,0.34007066669893404,1.1021700076336716
consec_L2,homo,5,100,1234,1000,4.991,5.0,0.9981999999999999,9.062,0.07478756361734705,0.3025911354986074,0.7673171722900599
consec_L4,homo,5,100,1234,1000,4.956,5.0,0.9911999999999989,11.866,0.05445459681540133,0.3348452375993542,0.38147387683602263
oracle,homo,5,200,42,1000,5.0,5.0,1.0,2.711,0.20966961171428342,0.0,0.0
mfg_no_excl,homo,5,200,42,1000,5.0,5.0,1.0,2.808,0.2039332989044732,0.0,0.0
self_excl_only,homo,5,200,42,1000,5.0,5.0,1.0,2.644,0.21473509906845892,0.0,0.0
ema_fixed_low,homo,5,200,42,1000,5.0,5.0,1.0,11.882,0.050732059568225726,0.34578196885548024,0.9977982588614983
ema_fixed_high,homo,5,200,42,1000,5.0,5.0,1.0,9.203,0.07321759085283838,0.3096623039104196,1.3378806329494273
ema_adaptive,homo,5,200,42,1000,5.0,5.0,1.0,12.565,0.051007457450639115,0.3424060903014693,1.0739256178898604
consec_L2,homo,5,200,42,1000,5.0,5.0,1.0,9.09,0.07357276623290934,0.3012207300867566,0.7686021696950378
consec_L4,homo,5,200,42,1000,5.0,5.0,1.0,11.869,0.05313236410101284,0.3379829440570346,0.3612225117585953
oracle,homo,5,200,123,1000,5.0,5.0,1.0,2.572,0.21300715035981083,0.0,0.0
mfg_no_excl,homo,5,200,123,1000,5.0,5.0,1.0,2.724,0.20451090108721715,0.0,0.0
self_excl_only,homo,5,200,123,1000,5.0,5.0,1.0,2.746,0.2064432635690767,0.0,0.0
ema_fixed_low,homo,5,200,123,1000,5.0,5.0,1.0,12.695,0.05473582196997255,0.3402833689227221,1.1030244156124949
ema_fixed_high,homo,5,200,123,1000,5.0,5.0,1.0,9.449,0.07425840752378086,0.3105850648265386,1.3195000309744453
