method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
oracle,homo,5,20,42,1000,0.96,0.966,0.926,0.793,0.17701666666666682,0.0,0.0
mfg_no_excl,homo,5,20,42,1000,0.957,0.966,0.927,0.795,0.1670000000000001,0.0,0.0
self_excl_only,homo,5,20,42,1000,0.96,0.966,0.927,0.752,0.17851666666666666,0.0,0.0
ema_fixed_low,homo,5,20,42,1000,0.916,0.966,0.885,1.1,0.13138333333333335,0.08340135763718483,0.5080666666666672
ema_fixed_high,homo,5,20,42,1000,0.929,0.966,0.9,1.028,0.1361166666666667,0.08200601067185553,1.544883333333335
ema_adaptive,homo,5,20,42,1000,0.915,0.966,0.883,1.089,0.12788333333333335,0.08355750761212316,0.4188333333333338
ema_ad_low,homo,5,20,42,1000,0.963,0.966,0.931,0.789,0.1528999999999999,0.06860629087982648,0.26049999999999984
ema_ad_med,homo,5,20,42,1000,0.952,0.966,0.923,0.853,0.1482,0.07342451097161455,0.31191666666666673
ema_no_coll,homo,5,20,42,1000,0.955,0.966,0.923,0.757,0.17436666666666678,0.06636839549965333,0.2504166666666665
consec_L2,homo,5,20,42,1000,0.918,0.966,0.886,1.085,0.1399833333333333,0.08363507266388637,0.4492500000000001
consec_L4,homo,5,20,42,1000,0.927,0.966,0.898,0.974,0.13486666666666655,0.08404991327147195,0.046333333333333344
dcf_self_excl,homo,5,20,42,1000,0.908,0.966,0.876,1.064,0.14911666666666673,0.0,0.0
oracle,homo,5,20,123,1000,0.957,0.952,0.911,0.703,0.17593333333333327,0.0,0.0
mfg_no_excl,homo,5,20,123,1000,0.951,0.952,0.904,0.777,0.1754000000000001,0.0,0.0
self_excl_only,homo,5,20,123,1000,0.956,0.952,0.909,0.814,0.17663333333333348,0.0,0.0
ema_fixed_low,homo,5,20,123,1000,0.902,0.952,0.858,1.12,0.13300000000000003,0.08396447656930241,0.4936500000000004
ema_fixed_high,homo,5,20,123,1000,0.945,0.952,0.9,0.999,0.13391666666666663,0.08143010948575158,1.5342000000000011
ema_adaptive,homo,5,20,123,1000,0.923,0.952,0.877,1.067,0.1271666666666667,0.08250921714891511,0.4416666666666669
ema_ad_low,homo,5,20,123,1000,0.96,0.952,0.915,0.821,0.14843333333333325,0.06867263716846415,0.30925000000000014
ema_ad_med,homo,5,20,123,1000,0.96,0.952,0.914,0.814,0.1435833333333333,0.07383778125743709,0.30016666666666675
ema_no_coll,homo,5,20,123,1000,0.962,0.952,0.917,0.77,0.1686000000000001,0.06634836771341905,0.27758333333333324
consec_L2,homo,5,20,123,1000,0.932,0.952,0.886,1.015,0.13953333333333331,0.08353116674328455,0.42175000000000035
consec_L4,homo,5,20,123,1000,0.921,0.952,0.878,1.112,0.12853333333333322,0.08325180370830168,0.06266666666666669
dcf_self_excl,homo,5,20,123,1000,0.901,0.952,0.857,1.088,0.15420000000000014,0.0,0.0
oracle,homo,5,20,456,1000,0.965,0.964,0.932,0.763,0.18363333333333343,0.0,0.0
mfg_no_excl,homo,5,20,456,1000,0.953,0.964,0.918,0.715,0.17221666666666668,0.0,0.0
self_excl_only,homo,5,20,456,1000,0.959,0.964,0.924,0.752,0.17605000000000012,0.0,0.0
ema_fixed_low,homo,5,20,456,1000,0.93,0.964,0.894,1.075,0.1381166666666667,0.08344360785018637,0.46445000000000036
ema_fixed_high,homo,5,20,456,1000,0.927,0.964,0.895,1.025,0.13814999999999994,0.08274843118360092,1.5165333333333342
ema_adaptive,homo,5,20,456,1000,0.935,0.964,0.901,1.042,0.12986666666666663,0.08254384846095751,0.400916666666667
ema_ad_low,homo,5,20,456,1000,0.97,0.964,0.934,0.793,0.15581666666666677,0.06898117598389447,0.27158333333333323
ema_ad_med,homo,5,20,456,1000,0.96,0.964,0.924,0.858,0.13906666666666662,0.07390973415977509,0.3252499999999999
ema_no_coll,homo,5,20,456,1000,0.952,0.964,0.917,0.804,0.16910000000000003,0.06580214411900254,0.3080833333333334
consec_L2,homo,5,20,456,1000,0.936,0.964,0.903,1.038,0.13316666666666674,0.08336906652337779,0.4212500000000001
consec_L4,homo,5,20,456,1000,0.918,0.964,0.887,1.109,0.1354666666666667,0.08333315070366241,0.0715
dcf_self_excl,homo,5,20,456,1000,0.907,0.964,0.873,1.052,0.15426666666666677,0.0,0.0
oracle,homo,5,20,789,1000,0.952,0.961,0.914,0.823,0.1635166666666667,0.0,0.0
mfg_no_excl,homo,5,20,789,1000,0.953,0.961,0.915,0.768,0.18001666666666677,0.0,0.0
self_excl_only,homo,5,20,789,1000,0.962,0.961,0.923,0.719,0.17299999999999996,0.0,0.0
ema_fixed_low,homo,5,20,789,1000,0.927,0.961,0.891,1.132,0.12493333333333331,0.08247283568248628,0.5062833333333342
ema_fixed_high,homo,5,20,789,1000,0.926,0.961,0.89,1.029,0.13161666666666658,0.08187572781057106,1.5367666666666686
