method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
oracle,homo,10,20,42,1000,1.689,1.622,0.9893333333333331,10.134,0.5067000000000051,1.475,0.2768749999999994,0.0,0.0
mfg_no_excl,homo,10,20,42,1000,1.621,1.622,0.9539999999999998,9.726,0.4863000000000049,1.458,0.29123095238095165,0.0,0.0
self_excl_only,homo,10,20,42,1000,1.617,1.622,0.9524999999999992,9.702,0.4851000000000053,1.533,0.287904761904761,0.0,0.0
ema_fixed_low,homo,10,20,42,1000,1.699,1.622,1.0013333333333336,10.194,0.509700000000005,2.184,0.18499801587301518,0.03916583844714139,1.478669047619043
ema_fixed_high,homo,10,20,42,1000,1.644,1.622,0.9801666666666663,9.864,0.4932000000000046,2.085,0.20377142857142802,0.03801265555111521,3.6858226190476255
ema_adaptive,homo,10,20,42,1000,1.692,1.622,1.0065000000000006,10.152,0.5076000000000048,2.139,0.18642142857142827,0.038855919760530606,1.82782142857142
ema_ad_low,homo,10,20,42,1000,1.685,1.622,0.9999999999999997,10.11,0.5055000000000048,1.698,0.24916031746031692,0.024743205221359855,1.3330309523809487
ema_ad_med,homo,10,20,42,1000,1.693,1.622,0.9874999999999993,10.158,0.5079000000000057,1.819,0.2256841269841263,0.02945291451232964,1.4531742063492024
ema_no_coll,homo,10,20,42,1000,1.737,1.622,1.023666666666667,10.422,0.5211000000000041,1.582,0.24827063492063456,0.02337064391706433,1.1285357142857129
consec_L2,homo,10,20,42,1000,1.705,1.622,1.0276666666666667,10.23,0.5115000000000046,1.994,0.1949611111111104,0.038911261797516875,1.3746222222222169
consec_L4,homo,10,20,42,1000,1.635,1.622,0.9661666666666665,9.81,0.49050000000000504,2.155,0.1982837301587297,0.03966043118232644,0.1710630952380952
dcf_self_excl,homo,10,20,42,1000,1.382,1.622,0.8236666666666675,8.292,0.4146000000000053,2.768,0.18243690476190436,0.0,0.0
pnd,homo,10,20,42,1000,1.642,1.622,0.9704999999999995,9.852,0.4926000000000047,1.536,0.2732690476190466,0.0,0.0
pnd_cd,homo,10,20,42,1000,1.614,1.622,0.9671666666666665,9.684,0.48420000000000424,1.529,0.27705238095238033,0.0,0.0
and,homo,10,20,42,1000,0.025,1.622,0.010333333333333332,0.15,0.007499999999999997,0.001,0.9914166666666665,0.0,0.0
oracle,homo,10,20,123,1000,1.638,1.603,0.9473333333333334,9.828,0.4914000000000049,1.444,0.28837896825396747,0.0,0.0
mfg_no_excl,homo,10,20,123,1000,1.683,1.603,0.9879999999999999,10.098,0.5049000000000046,1.416,0.28126666666666583,0.0,0.0
self_excl_only,homo,10,20,123,1000,1.667,1.603,0.9771666666666662,10.002,0.5001000000000049,1.428,0.28802103174603105,0.0,0.0
ema_fixed_low,homo,10,20,123,1000,1.637,1.603,0.9604999999999997,9.822,0.49110000000000487,2.201,0.19409841269841224,0.0393299435414493,1.4705920634920586
ema_fixed_high,homo,10,20,123,1000,1.715,1.603,1.0131666666666663,10.29,0.5145000000000038,1.966,0.19704523809523758,0.037649493883394926,3.369754761904769
ema_adaptive,homo,10,20,123,1000,1.671,1.603,0.9893333333333334,10.026,0.5013000000000052,2.061,0.197228571428571,0.039008001958154806,1.7933369047618979
ema_ad_low,homo,10,20,123,1000,1.697,1.603,1.0096666666666665,10.182,0.5091000000000052,1.754,0.23857301587301563,0.024691752385831,1.358535317460314
ema_ad_med,homo,10,20,123,1000,1.727,1.603,1.0194999999999999,10.362,0.5181000000000047,1.779,0.2219047619047613,0.02977176328476137,1.426185714285709
ema_no_coll,homo,10,20,123,1000,1.652,1.603,0.9801666666666659,9.912,0.4956000000000049,1.626,0.26679087301587234,0.022411410740830983,1.1951468253968232
consec_L2,homo,10,20,123,1000,1.593,1.603,0.9396666666666671,9.558,0.47790000000000366,2.067,0.20928492063492002,0.03934167963841351,1.374088888888885
consec_L4,homo,10,20,123,1000,1.649,1.603,0.9714999999999996,9.894,0.4947000000000048,2.186,0.1955888888888884,0.03922932837247767,0.1881607142857143
dcf_self_excl,homo,10,20,123,1000,1.352,1.603,0.8,8.112,0.4056000000000048,2.762,0.19188531746031703,0.0,0.0
pnd,homo,10,20,123,1000,1.626,1.603,0.9643333333333333,9.756,0.48780000000000473,1.457,0.28493333333333243,0.0,0.0
pnd_cd,homo,10,20,123,1000,1.656,1.603,0.9709999999999995,9.936,0.49680000000000446,1.464,0.2748357142857137,0.0,0.0
and,homo,10,20,123,1000,0.031,1.603,0.01566666666666667,0.186,0.009300000000000001,0.004,0.9886666666666665,0.0,0.0
oracle,homo,10,20,456,1000,1.612,1.659,0.9393333333333331,9.672,0.4836000000000048,1.463,0.2945904761904755,0.0,0.0
mfg_no_excl,homo,10,20,456,1000,1.653,1.659,0.9474999999999998,9.918,0.4959000000000049,1.435,0.2888734126984118,0.0,0.0
self_excl_only,homo,10,20,456,1000,1.653,1.659,0.9749999999999998,9.918,0.4959000000000049,1.459,0.28689285714285595,0.0,0.0
ema_fixed_low,homo,10,20,456,1000,1.677,1.659,1.0064999999999997,10.062,0.5031000000000043,2.162,0.1896420634920629,0.039450443239786755,1.3340126984126943
ema_fixed_high,homo,10,20,456,1000,1.637,1.659,0.957333333333333,9.822,0.49110000000000453,1.993,0.21245476190476148,0.037236784652285464,3.5421964285714376
ema_adaptive,homo,10,20,456,1000,1.677,1.659,0.971333333333333,10.062,0.5031000000000053,2.203,0.18773253968253942,0.038263434502816475,1.907154365079357
ema_ad_low,homo,10,20,456,1000,1.697,1.659,0.994166666666666,10.182,0.5091000000000052,1.678,0.2442968253968249,0.024951089450532992,1.3265825396825377
