c_coll,c_idle,N,W_eff,seed,efficiency
-1.0,-1.0,10,20,42,1.0
1.0,1.2,10,20,42,0.964666666666664
1.0,1.5,10,20,42,0.9590333333333315
1.0,2.0,10,20,42,0.9368666666666646
1.0,3.0,10,20,42,0.8488499999999989
1.0,5.0,10,20,42,0.7496333333333327
1.2,1.2,10,20,42,0.9469499999999971
1.2,1.5,10,20,42,0.9791166666666646
1.2,2.0,10,20,42,0.9569833333333309
1.2,3.0,10,20,42,0.9054999999999983
1.2,5.0,10,20,42,0.8113833333333321
1.5,1.2,10,20,42,0.9269499999999978
1.5,1.5,10,20,42,0.9682999999999977
1.5,2.0,10,20,42,0.9615666666666646
1.5,3.0,10,20,42,0.9344666666666642
1.5,5.0,10,20,42,0.8638666666666656
2.0,1.2,10,20,42,0.9242499999999974
2.0,1.5,10,20,42,0.9593833333333305
2.0,2.0,10,20,42,0.9628999999999972
2.0,3.0,10,20,42,0.9480499999999974
2.0,5.0,10,20,42,0.8792666666666644
3.0,1.2,10,20,42,0.9177499999999976
3.0,1.5,10,20,42,0.9506166666666643
3.0,2.0,10,20,42,0.9597666666666638
3.0,3.0,10,20,42,0.933033333333331
3.0,5.0,10,20,42,0.9090166666666648
-1.0,-1.0,10,20,123,1.0
1.0,1.2,10,20,123,0.9714999999999973
1.0,1.5,10,20,123,0.9859166666666641
1.0,2.0,10,20,123,0.9254166666666651
1.0,3.0,10,20,123,0.8648333333333329
1.0,5.0,10,20,123,0.7278333333333333
1.2,1.2,10,20,123,0.9624166666666638
1.2,1.5,10,20,123,0.9619166666666648
1.2,2.0,10,20,123,0.9499166666666655
1.2,3.0,10,20,123,0.9159166666666649
1.2,5.0,10,20,123,0.8254999999999997
1.5,1.2,10,20,123,0.9364999999999978
1.5,1.5,10,20,123,0.9738333333333308
1.5,2.0,10,20,123,0.9829999999999973
1.5,3.0,10,20,123,0.9118333333333307
1.5,5.0,10,20,123,0.849416666666666
2.0,1.2,10,20,123,0.9334999999999973
2.0,1.5,10,20,123,0.9748333333333312
2.0,2.0,10,20,123,0.9687499999999978
2.0,3.0,10,20,123,0.9479999999999984
2.0,5.0,10,20,123,0.8788333333333316
3.0,1.2,10,20,123,0.9087499999999978
3.0,1.5,10,20,123,0.9566666666666642
3.0,2.0,10,20,123,0.974916666666663
3.0,3.0,10,20,123,0.9598333333333312
3.0,5.0,10,20,123,0.9163333333333317
-1.0,-1.0,10,20,456,1.0
1.0,1.2,10,20,456,0.9531865198531837
1.0,1.5,10,20,456,0.9461127794461102
1.0,2.0,10,20,456,0.9335335335335314
1.0,3.0,10,20,456,0.8432265598932265
1.0,5.0,10,20,456,0.7212045378712051
1.2,1.2,10,20,456,0.9318818818818806
1.2,1.5,10,20,456,0.9445445445445417
1.2,2.0,10,20,456,0.9438438438438419
1.2,3.0,10,20,456,0.8855689022355671
1.2,5.0,10,20,456,0.7868034701368029
1.5,1.2,10,20,456,0.9202369035702347
1.5,1.5,10,20,456,0.9587253920587233
1.5,2.0,10,20,456,0.9595261928595242
1.5,3.0,10,20,456,0.8995995995995985
1.5,5.0,10,20,456,0.8301468134801465
2.0,1.2,10,20,456,0.9152318985652292
2.0,1.5,10,20,456,0.9378712045378681
2.0,2.0,10,20,456,0.9308641975308616
2.0,3.0,10,20,456,0.9332832832832809
2.0,5.0,10,20,456,0.8593760427093736
3.0,1.2,10,20,456,0.88173173173173
3.0,1.5,10,20,456,0.9478812145478785
3.0,2.0,10,20,456,0.9450450450450429
3.0,3.0,10,20,456,0.9329996663329976
3.0,5.0,10,20,456,0.8690523857190512
-1.0,-1.0,10,20,789,1.0
1.0,1.2,10,20,789,0.9398166666666645
1.0,1.5,10,20,789,0.9672666666666642
1.0,2.0,10,20,789,0.9273166666666649
1.0,3.0,10,20,789,0.8388999999999995
1.0,5.0,10,20,789,0.7120333333333333
1.2,1.2,10,20,789,0.9275499999999973
1.2,1.5,10,20,789,0.9509333333333303
1.2,2.0,10,20,789,0.9235999999999978
1.2,3.0,10,20,789,0.8905666666666653
1.2,5.0,10,20,789,0.8014833333333328
1.5,1.2,10,20,789,0.9271333333333309
1.5,1.5,10,20,789,0.9514333333333301
1.5,2.0,10,20,789,0.9480999999999975
1.5,3.0,10,20,789,0.9054833333333321
1.5,5.0,10,20,789,0.8362833333333316
2.0,1.2,10,20,789,0.9043833333333304
2.0,1.5,10,20,789,0.9438833333333306
2.0,2.0,10,20,789,0.9535999999999974
2.0,3.0,10,20,789,0.9161833333333316
2.0,5.0,10,20,789,0.8757833333333317
3.0,1.2,10,20,789,0.8906499999999973
3.0,1.5,10,20,789,0.9607333333333302
3.0,2.0,10,20,789,0.9560166666666631
3.0,3.0,10,20,789,0.9315166666666651
3.0,5.0,10,20,789,0.8843999999999986
-1.0,-1.0,10,20,1234,1.0
1.0,1.2,10,20,1234,0.946133333333331
1.0,1.5,10,20,1234,0.9453499999999974
1.0,2.0,10,20,1234,0.9136333333333317
1.0,3.0,10,20,1234,0.8368499999999989
1.0,5.0,10,20,1234,0.6998333333333336
1.2,1.2,10,20,1234,0.9277333333333306
1.2,1.5,10,20,1234,0.9320999999999976
1.2,2.0,10,20,1234,0.9365499999999982
1.2,3.0,10,20,1234,0.8672833333333321
1.2,5.0,10,20,1234,0.7784499999999996
1.5,1.2,10,20,1234,0.9246499999999981
1.5,1.5,10,20,1234,0.9281333333333315
1.5,2.0,10,20,1234,0.9537999999999971
1.5,3.0,10,20,1234,0.8998999999999985
1.5,5.0,10,20,1234,0.833949999999999
2.0,1.2,10,20,1234,0.9063499999999972
2.0,1.5,10,20,1234,0.9347333333333309
2.0,2.0,10,20,1234,0.9267333333333309
2.0,3.0,10,20,1234,0.9152833333333311
2.0,5.0,10,20,1234,0.8600666666666646
3.0,1.2,10,20,1234,0.876316666666665
3.0,1.5,10,20,1234,0.931849999999998
3.0,2.0,10,20,1234,0.9412333333333308
3.0,3.0,10,20,1234,0.9105166666666644
3.0,5.0,10,20,1234,0.8767833333333317
-1.0,-1.0,10,50,42,1.0
1.0,1.2,10,50,42,0.9707821428571443
1.0,1.5,10,50,42,0.9068742063492067
1.0,2.0,10,50,42,0.7762551587301592
1.0,3.0,10,50,42,0.6554952380952378
1.0,5.0,10,50,42,0.4371380952380951
1.2,1.2,10,50,42,0.9638091269841276
1.2,1.5,10,50,42,0.9643928571428585
1.2,2.0,10,50,42,0.8978623015873008
1.2,3.0,10,50,42,0.7791785714285719
1.2,5.0,10,50,42,0.628344444444444
1.5,1.2,10,50,42,0.9594551587301584
1.5,1.5,10,50,42,0.9655686507936512
1.5,2.0,10,50,42,0.9245607142857152
1.5,3.0,10,50,42,0.8012531746031749
1.5,5.0,10,50,42,0.6528591269841271
2.0,1.2,10,50,42,0.9409015873015879
2.0,1.5,10,50,42,0.9607154761904763
2.0,2.0,10,50,42,0.9121817460317472
2.0,3.0,10,50,42,0.8036317460317467
2.0,5.0,10,50,42,0.6560615079365075
3.0,1.2,10,50,42,0.9305833333333339
3.0,1.5,10,50,42,0.9492043650793662
3.0,2.0,10,50,42,0.8848039682539679
3.0,3.0,10,50,42,0.7599023809523804
3.0,5.0,10,50,42,0.6869297619047618
-1.0,-1.0,10,50,123,1.0
1.0,1.2,10,50,123,0.9552384920634945
1.0,1.5,10,50,123,0.9167789682539689
1.0,2.0,10,50,123,0.7674884920634921
1.0,3.0,10,50,123,0.666985317460318
1.0,5.0,10,50,123,0.4376130952380943
1.2,1.2,10,50,123,0.965405555555557
1.2,1.5,10,50,123,0.9503349206349218
1.2,2.0,10,50,123,0.8848960317460322
1.2,3.0,10,50,123,0.7662682539682527
1.2,5.0,10,50,123,0.6401825396825406
1.5,1.2,10,50,123,0.9501424603174606
1.5,1.5,10,50,123,0.9656408730158746
1.5,2.0,10,50,123,0.9127087301587306
1.5,3.0,10,50,123,0.7993646825396816
1.5,5.0,10,50,123,0.6327650793650788
2.0,1.2,10,50,123,0.9395603174603177
2.0,1.5,10,50,123,0.9514845238095254
2.0,2.0,10,50,123,0.9052349206349205
2.0,3.0,10,50,123,0.7761654761904772
2.0,5.0,10,50,123,0.6285638888888893
3.0,1.2,10,50,123,0.9198325396825404
3.0,1.5,10,50,123,0.9365388888888886
3.0,2.0,10,50,123,0.8921083333333338
3.0,3.0,10,50,123,0.7679404761904759
3.0,5.0,10,50,123,0.6698365079365083
-1.0,-1.0,10,50,456,1.0
1.0,1.2,10,50,456,0.9647738095238104
1.0,1.5,10,50,456,0.8963511904761907
1.0,2.0,10,50,456,0.7789841269841273
1.0,3.0,10,50,456,0.65981111111111
1.0,5.0,10,50,456,0.4313853174603174
1.2,1.2,10,50,456,0.9604765873015869
1.2,1.5,10,50,456,0.9507472222222239
1.2,2.0,10,50,456,0.8914952380952372
1.2,3.0,10,50,456,0.7703861111111108
1.2,5.0,10,50,456,0.6267321428571425
1.5,1.2,10,50,456,0.9578734126984142
1.5,1.5,10,50,456,0.9522892857142857
1.5,2.0,10,50,456,0.9136365079365084
1.5,3.0,10,50,456,0.78698888888889
1.5,5.0,10,50,456,0.6358313492063494
2.0,1.2,10,50,456,0.9421095238095236
2.0,1.5,10,50,456,0.9490857142857158
2.0,2.0,10,50,456,0.8994615079365069
2.0,3.0,10,50,456,0.7859166666666666
2.0,5.0,10,50,456,0.6350265873015878
3.0,1.2,10,50,456,0.9241198412698417
3.0,1.5,10,50,456,0.9381797619047632
3.0,2.0,10,50,456,0.8925317460317449
3.0,3.0,10,50,456,0.768876984126984
3.0,5.0,10,50,456,0.6676226190476185
-1.0,-1.0,10,50,789,1.0
1.0,1.2,10,50,789,0.9528190476190492
1.0,1.5,10,50,789,0.9139920634920647
1.0,2.0,10,50,789,0.7723619047619045
1.0,3.0,10,50,789,0.6518892857142857
1.0,5.0,10,50,789,0.4341611111111112
1.2,1.2,10,50,789,0.9542753968253979
1.2,1.5,10,50,789,0.9485765873015891
1.2,2.0,10,50,789,0.8865496031746032
1.2,3.0,10,50,789,0.7745373015873015
1.2,5.0,10,50,789,0.6231630952380948
1.5,1.2,10,50,789,0.9493976190476189
1.5,1.5,10,50,789,0.960074603174604
1.5,2.0,10,50,789,0.9132337301587303
1.5,3.0,10,50,789,0.7978837301587288
1.5,5.0,10,50,789,0.6267710317460319
2.0,1.2,10,50,789,0.939619841269842
2.0,1.5,10,50,789,0.9552543650793648
2.0,2.0,10,50,789,0.9098869047619049
2.0,3.0,10,50,789,0.7813559523809522
2.0,5.0,10,50,789,0.6480281746031745
3.0,1.2,10,50,789,0.919140476190476
3.0,1.5,10,50,789,0.9408940476190464
3.0,2.0,10,50,789,0.8958742063492068
3.0,3.0,10,50,789,0.7794265873015868
3.0,5.0,10,50,789,0.6757519841269836
-1.0,-1.0,10,50,1234,1.0
1.0,1.2,10,50,1234,0.9656535714285731
1.0,1.5,10,50,1234,0.8997992063492061
1.0,2.0,10,50,1234,0.7746547619047618
1.0,3.0,10,50,1234,0.6503896825396831
1.0,5.0,10,50,1234,0.4294130952380951
1.2,1.2,10,50,1234,0.9629400793650805
1.2,1.5,10,50,1234,0.95164126984127
1.2,2.0,10,50,1234,0.8834460317460309
1.2,3.0,10,50,1234,0.7710984126984116
1.2,5.0,10,50,1234,0.6246214285714282
1.5,1.2,10,50,1234,0.9497849206349207
1.5,1.5,10,50,1234,0.9512353174603181
1.5,2.0,10,50,1234,0.9190900793650794
1.5,3.0,10,50,1234,0.7934253968253971
1.5,5.0,10,50,1234,0.6392726190476188
2.0,1.2,10,50,1234,0.9377511904761889
2.0,1.5,10,50,1234,0.9487003968253976
2.0,2.0,10,50,1234,0.9096432539682535
2.0,3.0,10,50,1234,0.7844666666666676
2.0,5.0,10,50,1234,0.6313670634920636
3.0,1.2,10,50,1234,0.9191424603174605
3.0,1.5,10,50,1234,0.9316710317460319
3.0,2.0,10,50,1234,0.8987710317460315
3.0,3.0,10,50,1234,0.7693218253968258
3.0,5.0,10,50,1234,0.676595634920634
-1.0,-1.0,10,100,42,1.0
1.0,1.2,10,100,42,0.9877555555555536
1.0,1.5,10,100,42,0.8743722222222206
1.0,2.0,10,100,42,0.6697055555555557
1.0,3.0,10,100,42,0.4597305555555557
1.0,5.0,10,100,42,0.36044444444444457
1.2,1.2,10,100,42,0.9936638888888863
1.2,1.5,10,100,42,0.9708777777777751
1.2,2.0,10,100,42,0.8718055555555524
1.2,3.0,10,100,42,0.6846222222222224
1.2,5.0,10,100,42,0.44559166666666655
1.5,1.2,10,100,42,0.991863888888887
1.5,1.5,10,100,42,0.9696583333333311
1.5,2.0,10,100,42,0.8679499999999981
1.5,3.0,10,100,42,0.6640888888888874
1.5,5.0,10,100,42,0.43938055555555533
2.0,1.2,10,100,42,0.9831416666666646
2.0,1.5,10,100,42,0.966916666666664
2.0,2.0,10,100,42,0.8651999999999972
2.0,3.0,10,100,42,0.6378749999999996
2.0,5.0,10,100,42,0.4433111111111113
3.0,1.2,10,100,42,0.9789999999999971
3.0,1.5,10,100,42,0.9391916666666641
3.0,2.0,10,100,42,0.7866722222222208
3.0,3.0,10,100,42,0.6743916666666676
3.0,5.0,10,100,42,0.5059722222222219
-1.0,-1.0,10,100,123,1.0
1.0,1.2,10,100,123,0.9847539682539659
1.0,1.5,10,100,123,0.8791289682539665
1.0,2.0,10,100,123,0.6659527777777784
1.0,3.0,10,100,123,0.4813912698412697
1.0,5.0,10,100,123,0.3607273809523806
1.2,1.2,10,100,123,0.9914845238095219
1.2,1.5,10,100,123,0.972340079365076
1.2,2.0,10,100,123,0.8654289682539656
1.2,3.0,10,100,123,0.6747349206349198
1.2,5.0,10,100,123,0.4456150793650799
1.5,1.2,10,100,123,0.9873956349206324
1.5,1.5,10,100,123,0.973719444444442
1.5,2.0,10,100,123,0.8591607142857117
1.5,3.0,10,100,123,0.677178174603174
1.5,5.0,10,100,123,0.4399257936507936
2.0,1.2,10,100,123,0.9827984126984096
2.0,1.5,10,100,123,0.9596539682539654
2.0,2.0,10,100,123,0.8673888888888864
2.0,3.0,10,100,123,0.6270817460317454
2.0,5.0,10,100,123,0.4311646825396828
3.0,1.2,10,100,123,0.9760706349206316
3.0,1.5,10,100,123,0.9304317460317441
3.0,2.0,10,100,123,0.7887011904761886
3.0,3.0,10,100,123,0.6797238095238101
3.0,5.0,10,100,123,0.4852361111111111
-1.0,-1.0,10,100,456,1.0
1.0,1.2,10,100,456,0.9859563492063471
1.0,1.5,10,100,456,0.8641007936507924
1.0,2.0,10,100,456,0.6696880952380948
1.0,3.0,10,100,456,0.47745952380952367
1.0,5.0,10,100,456,0.3538825396825399
1.2,1.2,10,100,456,0.9893507936507917
1.2,1.5,10,100,456,0.9731269841269813
1.2,2.0,10,100,456,0.8637496031746001
1.2,3.0,10,100,456,0.6714825396825389
1.2,5.0,10,100,456,0.4448912698412696
1.5,1.2,10,100,456,0.9888896825396805
1.5,1.5,10,100,456,0.9724019841269818
1.5,2.0,10,100,456,0.8552757936507913
1.5,3.0,10,100,456,0.6621436507936502
1.5,5.0,10,100,456,0.4329789682539678
2.0,1.2,10,100,456,0.9834285714285693
2.0,1.5,10,100,456,0.9575869047619023
2.0,2.0,10,100,456,0.8640749999999978
2.0,3.0,10,100,456,0.6364178571428579
2.0,5.0,10,100,456,0.43304642857142905
3.0,1.2,10,100,456,0.9756134920634892
3.0,1.5,10,100,456,0.9390841269841252
3.0,2.0,10,100,456,0.78950357142857
3.0,3.0,10,100,456,0.688883730158731
3.0,5.0,10,100,456,0.4996269841269837
-1.0,-1.0,10,100,789,1.0
1.0,1.2,10,100,789,0.9863694444444425
1.0,1.5,10,100,789,0.8760638888888871
1.0,2.0,10,100,789,0.6660805555555545
1.0,3.0,10,100,789,0.4570861111111115
1.0,5.0,10,100,789,0.35746666666666693
1.2,1.2,10,100,789,0.9930583333333312
1.2,1.5,10,100,789,0.9725138888888862
1.2,2.0,10,100,789,0.860488888888887
1.2,3.0,10,100,789,0.6777500000000001
1.2,5.0,10,100,789,0.4381194444444436
1.5,1.2,10,100,789,0.9893055555555533
1.5,1.5,10,100,789,0.9749833333333308
1.5,2.0,10,100,789,0.860363888888887
1.5,3.0,10,100,789,0.6616833333333321
1.5,5.0,10,100,789,0.42326666666666624
2.0,1.2,10,100,789,0.9847527777777751
2.0,1.5,10,100,789,0.9620722222222192
2.0,2.0,10,100,789,0.8711555555555531
2.0,3.0,10,100,789,0.640219444444444
2.0,5.0,10,100,789,0.45110833333333306
3.0,1.2,10,100,789,0.9738416666666634
3.0,1.5,10,100,789,0.9353666666666636
3.0,2.0,10,100,789,0.7981194444444427
3.0,3.0,10,100,789,0.6913138888888896
3.0,5.0,10,100,789,0.5023555555555554
-1.0,-1.0,10,100,1234,1.0
1.0,1.2,10,100,1234,0.9837583333333316
1.0,1.5,10,100,1234,0.8773361111111088
1.0,2.0,10,100,1234,0.6756249999999981
1.0,3.0,10,100,1234,0.46652222222222295
1.0,5.0,10,100,1234,0.34904166666666675
1.2,1.2,10,100,1234,0.9897694444444424
1.2,1.5,10,100,1234,0.9672277777777747
1.2,2.0,10,100,1234,0.8659222222222188
1.2,3.0,10,100,1234,0.6790472222222212
1.2,5.0,10,100,1234,0.4417305555555558
1.5,1.2,10,100,1234,0.9859333333333309
1.5,1.5,10,100,1234,0.9716333333333304
1.5,2.0,10,100,1234,0.8553527777777752
