method,ppdu_dist,N,W_eff,seed,visit,successes,oracle_successes,efficiency,useful_slots,W_eff_utilization,viable_slots_wasted,collision_rate,tau_rmse,false_trigger_rate
dcf_self_excl,homo,10,20,42,1000,1.89,2.226,0.9086666666666645,11.34,0.5670000000000078,3.712,0.16026130813630837,0.0,0.0
ema_ad_low,homo,10,20,42,1000,2.231,2.226,1.0716666666666648,13.386,0.6693000000000041,2.348,0.19473962981462958,0.028767706037334022,1.4973133338883315
consec_L2,homo,10,20,42,1000,2.162,2.226,1.0393333333333312,12.972,0.6486000000000043,2.889,0.15367932067932083,0.04382732055549253,1.57845056332556
and,homo,10,20,42,1000,1.273,2.226,0.6190000000000003,7.638,0.3819000000000051,0.395,0.8215461982461931,0.0,0.0
pnd,homo,10,20,42,1000,2.234,2.226,1.0753333333333313,13.404,0.6702000000000045,2.069,0.23428585858585807,0.0,0.0
oracle,homo,10,20,42,1000,2.257,2.226,1.083666666666665,13.542,0.6771000000000036,1.98,0.23099712509712478,0.0,0.0
dcf_self_excl,homo,10,20,123,1000,1.894,2.226,0.9158333333333311,11.364,0.5682000000000081,3.795,0.16556984126984164,0.0,0.0
ema_ad_low,homo,10,20,123,1000,2.225,2.226,1.072499999999998,13.35,0.6675000000000044,2.337,0.1920439033189033,0.028540326080692267,1.4401642857142833
consec_L2,homo,10,20,123,1000,2.096,2.226,1.0114999999999974,12.576,0.6288000000000032,3.12,0.16138707403707384,0.04477398127313518,1.612787259962257
and,homo,10,20,123,1000,1.291,2.226,0.6225000000000006,7.746,0.3873000000000056,0.379,0.8185117299367238,0.0,0.0
pnd,homo,10,20,123,1000,2.213,2.226,1.0693333333333312,13.278,0.663900000000005,2.05,0.2414210567210562,0.0,0.0
oracle,homo,10,20,123,1000,2.247,2.226,1.0813333333333315,13.482,0.6741000000000036,1.987,0.24236950549450528,0.0,0.0
dcf_self_excl,homo,10,20,456,1000,1.876,2.248,0.8871666666666647,11.256,0.5628000000000078,3.759,0.16300419857919857,0.0,0.0
ema_ad_low,homo,10,20,456,1000,2.211,2.248,1.0463333333333307,13.266,0.6633000000000047,2.35,0.19560664058164015,0.02874327738513901,1.4593462121212102
consec_L2,homo,10,20,456,1000,2.152,2.248,1.0183333333333313,12.912,0.645600000000003,2.926,0.15624754412254394,0.04486010703183026,1.5659403846153814
and,homo,10,20,456,1000,1.281,2.248,0.6036666666666665,7.686,0.3843000000000058,0.378,0.8218860500610436,0.0,0.0
