obss_rate,baseline,seed,aggregate_throughput,mean_access_delay,packet_delivery_ratio
0.1,Legacy EDCA,42,1440,132.9638888888889,1.0
0.1,Legacy EDCA,123,1415,130.260777385159,1.0
0.1,Legacy EDCA,456,1465,126.52969283276451,1.0
0.1,ARQ-only NPCA,42,1654,104.9117291414752,0.9993957703927493
0.1,ARQ-only NPCA,123,1642,107.82764920828258,1.0
0.1,ARQ-only NPCA,456,1630,110.68220858895705,1.0
0.1,HARQ-only,42,1481,108.33490884537474,0.9979784366576819
0.1,HARQ-only,123,1481,104.01823092505064,0.9986513823331086
0.1,HARQ-only,456,1486,117.70794078061911,1.0
0.1,Fixed-CW NPCA-HARQ,42,1674,104.28733572281959,0.9994029850746269
0.1,Fixed-CW NPCA-HARQ,123,1727,95.64331210191082,0.9988432620011567
0.1,Fixed-CW NPCA-HARQ,456,1697,103.29522687094874,1.0
0.2,Legacy EDCA,42,1375,130.92727272727274,1.0
0.2,Legacy EDCA,123,1305,140.66973180076627,1.0
0.2,Legacy EDCA,456,1337,137.962602842184,1.0
0.2,ARQ-only NPCA,42,1641,110.46374162096282,1.0
0.2,ARQ-only NPCA,123,1638,103.88522588522588,0.998780487804878
0.2,ARQ-only NPCA,456,1659,104.7335744424352,1.0
0.2,HARQ-only,42,1364,115.13489736070382,0.9985358711566618
0.2,HARQ-only,123,1318,138.08270106221548,1.0
0.2,HARQ-only,456,1321,124.54655563966692,1.0
0.2,Fixed-CW NPCA-HARQ,42,1764,97.29591836734694,0.9994334277620397
0.2,Fixed-CW NPCA-HARQ,123,1716,100.58974358974359,1.0
0.2,Fixed-CW NPCA-HARQ,456,1664,104.74639423076923,1.0
0.3,Legacy EDCA,42,1167,150.8586118251928,0.9991438356164384
0.3,Legacy EDCA,123,1100,168.13272727272727,1.0
0.3,Legacy EDCA,456,1168,154.33818493150685,1.0
0.3,ARQ-only NPCA,42,1661,105.26008428657435,0.9987973541791942
0.3,ARQ-only NPCA,123,1662,104.14981949458483,0.9987980769230769
0.3,ARQ-only NPCA,456,1657,107.87024743512372,0.9987944544906571
0.3,HARQ-only,42,1144,142.368006993007,0.9982547993019197
0.3,HARQ-only,123,1192,149.748322147651,1.0
0.3,HARQ-only,456,1237,136.83751010509297,1.0
0.3,Fixed-CW NPCA-HARQ,42,1788,95.38031319910515,0.9994410285075461
0.3,Fixed-CW NPCA-HARQ,123,1771,97.79107848673065,1.0
0.3,Fixed-CW NPCA-HARQ,456,1721,100.90644973852412,0.9994192799070848
0.5,Legacy EDCA,42,884,193.5995475113122,1.0
0.5,Legacy EDCA,123,832,202.62139423076923,1.0
0.5,Legacy EDCA,456,842,195.7897862232779,0.9988137603795967
0.5,ARQ-only NPCA,42,1742,100.88404133180252,0.9982808022922636
0.5,ARQ-only NPCA,123,1779,100.72456436200112,1.0
0.5,ARQ-only NPCA,456,1712,103.43049065420561,0.9988331388564761
0.5,HARQ-only,42,879,181.26848691695108,0.9988636363636364
0.5,HARQ-only,123,862,173.55452436194895,0.9988412514484357
0.5,HARQ-only,456,885,185.8553672316384,1.0
0.5,Fixed-CW NPCA-HARQ,42,1778,100.47075365579303,0.998876404494382
0.5,Fixed-CW NPCA-HARQ,123,1800,100.50555555555556,1.0
0.5,Fixed-CW NPCA-HARQ,456,1769,99.80271339739966,1.0
