method,ppdu_dist,N,W_eff,seed,W_eff_utilization,mean_jain,p_success_small,p_success_large,class_gap,p_cond_small,p_cond_large
oracle,bimodal,10,20,42,0.7444000000000001,0.22800000000000006,0.31198719231538924,0.14411353188087148,0.16787366043451776,0.060881790135509824,0.04218347765036274
pnd,bimodal,10,20,42,0.7046,0.21650000000000003,0.29737842705623374,0.1357185688586848,0.16165985819754894,0.053459006367593626,0.03873801916932907
ema_ad_low,bimodal,10,20,42,0.6926,0.2083,0.27876726035621374,0.13791724965020988,0.14085001070600386,0.049523606370875994,0.03997219325686479
consec_L2,bimodal,10,20,42,0.6742,0.20450000000000002,0.27056233740244146,0.13451928842694383,0.13604304897549763,0.04601300071469898,0.03796254512635379
dcf_self_excl,bimodal,10,20,42,0.6374,0.20010000000000003,0.2697618571142686,0.12252648410953428,0.14723537300473433,0.04118797360058665,0.030743768493906413
and,bimodal,10,20,42,0.4864,0.1836,0.28677206323794274,0.06656006396162302,0.22021199927631974,0.029047493564145703,0.008914707929539006
oracle,bimodal,10,20,123,0.7336,0.22960000000000003,0.31810929397686477,0.1385880465302848,0.17952124744657996,0.06063025050366822,0.039884559884559884
pnd,bimodal,10,20,123,0.7054000000000001,0.21370000000000006,0.2846031112883925,0.14039310068190936,0.14421001060648314,0.05189279610167642,0.04141276696444418
ema_ad_low,bimodal,10,20,123,0.6966,0.21090000000000003,0.2836059034702832,0.13778580024067388,0.1458201032296093,0.05089477451682176,0.03978226880537379
consec_L2,bimodal,10,20,123,0.6636,0.20340000000000003,0.262664539289988,0.13377456879261934,0.12888997049736867,0.0432896164086382,0.035450438479936223
dcf_self_excl,bimodal,10,20,123,0.6325999999999999,0.19850000000000004,0.2634623055444755,0.12314480545527477,0.1403175000892007,0.039868413110400194,0.030223972434161948
and,bimodal,10,20,123,0.48679999999999995,0.1836,0.2706422018348624,0.07200160449257922,0.19864059734228315,0.02745851881829219,0.009715832205683356
oracle,bimodal,10,20,456,0.732,0.2348,0.3334647221127316,0.13317092976045472,0.20029379235227687,0.06301910685686618,0.03774236234969219
pnd,bimodal,10,20,456,0.6958,0.21670000000000006,0.2948364209696492,0.134185952090946,0.16065046887870318,0.05193362493924877,0.037008006270645544
ema_ad_low,bimodal,10,20,456,0.6954,0.2111,0.28143476547102875,0.13865205034510758,0.14278271512592117,0.05084745762711865,0.04015993414476392
consec_L2,bimodal,10,20,456,0.671,0.21030000000000001,0.27631060307449745,0.13215590742996347,0.14415469564453398,0.04576614219494679,0.03671535728385314
dcf_self_excl,bimodal,10,20,456,0.6332000000000001,0.19320000000000004,0.25029562475364603,0.12829882257409664,0.12199680217954939,0.03736173217227583,0.031974096934129316
and,bimodal,10,20,456,0.48419999999999996,0.18250000000000002,0.2684272763106031,0.07166057653268372,0.19676669977791938,0.02712336951110226,0.009656417551154393
oracle,bimodal,10,20,789,0.7328000000000001,0.229,0.3141905135241082,0.1402613311555737,0.1739291823685345,0.059902840059790734,0.04055011214732617
pnd,bimodal,10,20,789,0.7058,0.21890000000000004,0.2977263818110545,0.13679052674561046,0.16093585506544403,0.05372236958443855,0.038860854938808656
ema_ad_low,bimodal,10,20,789,0.6888000000000001,0.21500000000000002,0.2945903567228538,0.13209473254389548,0.1624956241789583,0.05164238592633315,0.03783404479270218
consec_L2,bimodal,10,20,789,0.6668000000000001,0.20580000000000004,0.27538220305762445,0.13127807268272765,0.1441041303748968,0.04500752794951469,0.035389949914689856
dcf_self_excl,bimodal,10,20,789,0.6252000000000001,0.19640000000000005,0.25637005096040766,0.12372396896692528,0.13264608199348238,0.037887784954957565,0.030238012075245745
and,bimodal,10,20,789,0.4776,0.18940000000000004,0.2875343002744022,0.06267864434463045,0.22485565592977175,0.028811595341438026,0.008339898399934802
oracle,bimodal,10,20,1234,0.741,0.23130000000000003,0.3252212389380531,0.13842482100238662,0.18679641793566648,0.06275712178840333,0.04069937430559616
pnd,bimodal,10,20,1234,0.7116,0.21480000000000002,0.2902252614641995,0.14021479713603818,0.15001046432816134,0.053667063373995835,0.04049862132352941
ema_ad_low,bimodal,10,20,1234,0.6888000000000001,0.20940000000000003,0.27936444086886564,0.1362370723945903,0.14312736847427535,0.050465048684784186,0.04039153251960611
consec_L2,bimodal,10,20,1234,0.6656,0.20020000000000004,0.26930812550281574,0.1318615751789976,0.13744655032381814,0.044462892246388844,0.036414565826330535
dcf_self_excl,bimodal,10,20,1234,0.6316,0.19200000000000003,0.25563153660498794,0.12509944311853619,0.13053209348645176,0.038425492033739454,0.030494012701798613
and,bimodal,10,20,1234,0.4772,0.18200000000000002,0.2910297666934835,0.06225139220365951,0.22877837448982402,0.02909185950662458,0.008390970993512412
oracle,bimodal,10,50,42,0.8032800000000002,0.5510999999999999,0.6495897538523114,0.4527283629822107,0.19686139087010074,0.06254576284249874,0.04935285658255981
pnd,bimodal,10,50,42,0.7800000000000002,0.5254000000000001,0.6015609365619372,0.4493304017589446,0.1522305348029926,0.0553448466325441,0.0479931682322801
