method,ppdu_dist,N,W_eff,seed,W_eff_utilization,mean_jain,p_success_small,p_success_large,class_gap,p_cond_small,p_cond_large
oracle,bimodal,10,20,42,0.716,0.226,0.3076923076923077,0.1375,0.1701923076923077,0.05747126436781609,0.03832752613240418
pnd,bimodal,10,20,42,0.6919999999999998,0.23,0.33076923076923076,0.12083333333333333,0.2099358974358974,0.055916775032509754,0.037467700258397935
ema_ad_low,bimodal,10,20,42,0.696,0.21999999999999997,0.3,0.13333333333333333,0.16666666666666666,0.051451187335092345,0.03411513859275053
consec_L2,bimodal,10,20,42,0.7039999999999997,0.19599999999999998,0.22692307692307692,0.1625,0.06442307692307692,0.04232424677187949,0.048327137546468404
dcf_self_excl,bimodal,10,20,42,0.6280000000000001,0.20199999999999996,0.28076923076923077,0.11666666666666667,0.1641025641025641,0.04164289788933257,0.029914529914529916
and,bimodal,10,20,42,0.4799999999999999,0.192,0.2653846153846154,0.07083333333333333,0.19455128205128205,0.026869158878504672,0.009849362688296639
oracle,bimodal,10,50,42,0.8048000000000002,0.5660000000000001,0.6653846153846154,0.4583333333333333,0.20705128205128204,0.06560485400075844,0.04759844223279965
pnd,bimodal,10,50,42,0.7744,0.544,0.6384615384615384,0.44166666666666665,0.19679487179487176,0.05718222528418877,0.04809437386569873
ema_ad_low,bimodal,10,50,42,0.736,0.504,0.5692307692307692,0.43333333333333335,0.13589743589743586,0.04879657105176393,0.04297520661157025
consec_L2,bimodal,10,50,42,0.7311999999999999,0.5059999999999999,0.5807692307692308,0.425,0.15576923076923083,0.04502087060226595,0.040865384615384616
dcf_self_excl,bimodal,10,50,42,0.6671999999999998,0.446,0.4846153846153846,0.4041666666666667,0.08044871794871794,0.03369884995988232,0.031381429957942415
and,bimodal,10,50,42,0.6384000000000001,0.46199999999999997,0.5653846153846154,0.35,0.2153846153846154,0.03131657435023434,0.02174475796013461
oracle,bimodal,20,20,42,0.7279999999999999,0.11600000000000002,0.162109375,0.06762295081967214,0.09448642418032786,0.02748344370860927,0.018102029621503018
pnd,bimodal,20,20,42,0.66,0.10499999999999998,0.146484375,0.06147540983606557,0.08500896516393443,0.023048555623847573,0.014734774066797643
ema_ad_low,bimodal,20,20,42,0.704,0.096,0.109375,0.08196721311475409,0.027407786885245908,0.020158387329013677,0.026936026936026935
consec_L2,bimodal,20,20,42,0.6559999999999999,0.11000000000000001,0.162109375,0.055327868852459015,0.10678150614754098,0.025166767738023045,0.01509223029625489
dcf_self_excl,bimodal,20,20,42,0.5800000000000001,0.08899999999999998,0.119140625,0.05737704918032787,0.06176357581967213,0.015407931295781763,0.013164080865068171
and,bimodal,20,20,42,0.21999999999999997,0.32900000000000007,0.08984375,0.006147540983606557,0.08369620901639344,0.006281578588010379,0.0006891798759476223
oracle,bimodal,20,50,42,0.7823999999999998,0.273,0.322265625,0.22131147540983606,0.10095414959016394,0.02577319587628866,0.021686746987951807
pnd,bimodal,20,50,42,0.7696,0.261,0.294921875,0.22540983606557377,0.06951203893442623,0.022420193021529325,0.019534718522464925
ema_ad_low,bimodal,20,50,42,0.7680000000000001,0.262,0.298828125,0.22336065573770492,0.07546746926229508,0.022633136094674555,0.02115272656704832
consec_L2,bimodal,20,50,42,0.7455999999999999,0.258,0.30078125,0.21311475409836064,0.08766649590163936,0.022416302765647742,0.018074383037886686
dcf_self_excl,bimodal,20,50,42,0.6703999999999999,0.23299999999999998,0.2734375,0.19057377049180327,0.08286372950819673,0.01596351197263398,0.013501742160278746
and,bimodal,20,50,42,0.39520000000000005,0.14700000000000002,0.189453125,0.10245901639344263,0.08699410860655737,0.006269795100510633,0.003632401017072285
