method,N_visitor,N_native,W_eff,seed,weff_util_visitor,weff_util_native,weff_util_total,proportionality,visitor_share,ideal_share,native_preservation
oracle,10,0,50,42,0.8032800000000002,0.0,0.8032800000000002,1.0,1.0,1.0,nan
pnd,10,0,50,42,0.7800000000000002,0.0,0.7800000000000002,1.0,1.0,1.0,nan
pnd_cd,10,0,50,42,0.7709600000000003,0.0,0.7709600000000003,1.0,1.0,1.0,nan
ema_ad_low,10,0,50,42,0.7553600000000001,0.0,0.7553600000000001,1.0,1.0,1.0,nan
consec_L2,10,0,50,42,0.7338400000000002,0.0,0.7338400000000002,1.0,1.0,1.0,nan
dcf_self_excl,10,0,50,42,0.6731200000000002,0.0,0.6731200000000002,1.0,1.0,1.0,nan
and,10,0,50,42,0.63176,0.0,0.63176,1.0,1.0,1.0,nan
oracle,10,0,50,123,0.8004000000000001,0.0,0.8004000000000001,1.0,1.0,1.0,nan
pnd,10,0,50,123,0.7728800000000001,0.0,0.7728800000000001,1.0,1.0,1.0,nan
pnd_cd,10,0,50,123,0.7733600000000002,0.0,0.7733600000000002,1.0,1.0,1.0,nan
ema_ad_low,10,0,50,123,0.7504800000000001,0.0,0.7504800000000001,1.0,1.0,1.0,nan
consec_L2,10,0,50,123,0.7284,0.0,0.7284,1.0,1.0,1.0,nan
dcf_self_excl,10,0,50,123,0.66568,0.0,0.66568,1.0,1.0,1.0,nan
and,10,0,50,123,0.6256000000000002,0.0,0.6256000000000002,1.0,1.0,1.0,nan
oracle,10,0,50,456,0.7975200000000002,0.0,0.7975200000000002,1.0,1.0,1.0,nan
pnd,10,0,50,456,0.7726400000000001,0.0,0.7726400000000001,1.0,1.0,1.0,nan
pnd_cd,10,0,50,456,0.7752800000000002,0.0,0.7752800000000002,1.0,1.0,1.0,nan
ema_ad_low,10,0,50,456,0.7560000000000002,0.0,0.7560000000000002,1.0,1.0,1.0,nan
consec_L2,10,0,50,456,0.7336000000000001,0.0,0.7336000000000001,1.0,1.0,1.0,nan
dcf_self_excl,10,0,50,456,0.6666400000000001,0.0,0.6666400000000001,1.0,1.0,1.0,nan
and,10,0,50,456,0.63144,0.0,0.63144,1.0,1.0,1.0,nan
oracle,10,0,50,789,0.7961600000000002,0.0,0.7961600000000002,1.0,1.0,1.0,nan
pnd,10,0,50,789,0.7727200000000002,0.0,0.7727200000000002,1.0,1.0,1.0,nan
pnd_cd,10,0,50,789,0.7774400000000001,0.0,0.7774400000000001,1.0,1.0,1.0,nan
ema_ad_low,10,0,50,789,0.7536800000000001,0.0,0.7536800000000001,1.0,1.0,1.0,nan
consec_L2,10,0,50,789,0.7243200000000002,0.0,0.7243200000000002,1.0,1.0,1.0,nan
dcf_self_excl,10,0,50,789,0.6649600000000001,0.0,0.6649600000000001,1.0,1.0,1.0,nan
and,10,0,50,789,0.6265600000000002,0.0,0.6265600000000002,1.0,1.0,1.0,nan
oracle,10,0,50,1234,0.7960800000000001,0.0,0.7960800000000001,1.0,1.0,1.0,nan
pnd,10,0,50,1234,0.7776000000000002,0.0,0.7776000000000002,1.0,1.0,1.0,nan
