init,N,W_eff,seed,efficiency,W_eff_utilization,collision_rate,oracle_successes
oracle,10,20,42,1.0921166666666668,0.7743,nan,2.426
optimal,10,20,42,0.9542999999999999,0.7155,0.17186603674103673,2.426
rand_u01,10,20,42,0.5955166666666667,0.37604999999999994,0.8425884882274588,2.426
rand_u2N,10,20,42,0.9568166666666666,0.7106500000000001,0.20485212842712844,2.426
high,10,20,42,0.6892999999999999,0.47170000000000006,0.7560968616350969,2.426
low,10,20,42,0.8913333333333334,0.6728,0.07492539405039404,2.426
oracle,10,20,123,1.0961666666666667,0.76495,nan,2.411
optimal,10,20,123,0.9664166666666665,0.71145,0.17378990453990453,2.411
rand_u01,10,20,123,0.6046666666666668,0.37275,0.8495824402721461,2.411
rand_u2N,10,20,123,0.9599166666666666,0.7167,0.20828846431346432,2.411
high,10,20,123,0.6895,0.4824,0.7546877204494852,2.411
low,10,20,123,0.8814166666666666,0.663,0.08182721861471862,2.411
oracle,10,20,456,1.0596833333333333,0.7739,nan,2.469
optimal,10,20,456,0.9302333333333334,0.7115,0.1788509546009546,2.469
rand_u01,10,20,456,0.5794833333333334,0.37255,0.8444601991146109,2.469
rand_u2N,10,20,456,0.9422666666666667,0.7158500000000001,0.20670185925185924,2.469
high,10,20,456,0.6935333333333333,0.4765,0.7518665428525723,2.469
low,10,20,456,0.8783833333333332,0.6677000000000001,0.07855711788211789,2.469
oracle,10,20,789,1.07035,0.7706499999999998,nan,2.453
optimal,10,20,789,0.9455999999999999,0.71885,0.1742392107892108,2.453
rand_u01,10,20,789,0.5833166666666666,0.37505,0.8446180878761761,2.453
rand_u2N,10,20,789,0.9551333333333333,0.715,0.207969005994006,2.453
high,10,20,789,0.68245,0.47864999999999996,0.7530584458841812,2.453
low,10,20,789,0.8712666666666666,0.6695999999999999,0.07731346570096571,2.453
oracle,10,20,1234,1.0495166666666664,0.777,nan,2.454
optimal,10,20,1234,0.9033999999999999,0.7095999999999999,0.1774788086913087,2.454
rand_u01,10,20,1234,0.5727000000000001,0.37885,0.8486466095179331,2.454
rand_u2N,10,20,1234,0.9376833333333333,0.72375,0.20865816128316128,2.454
high,10,20,1234,0.6659333333333334,0.47655000000000003,0.7564828218350278,2.454
low,10,20,1234,0.8607666666666667,0.6663,0.07685765068265069,2.454
oracle,10,50,42,1.021920634920635,0.8013399999999999,nan,5.648
