method,cd,N,W_eff,seed,W_eff_utilization,efficiency,collision_rate,successes
oracle,1,10,50,42,0.8032800000000002,1.043920634920635,0.23751674827424762,5.511
pnd,1,10,50,42,0.7800000000000002,0.9948789682539682,0.2091263160511111,5.254
dcf_self_excl,1,10,50,42,0.6731200000000002,0.8473123015873016,0.1481256229641632,4.478
and,1,10,50,42,0.63176,0.8245150793650794,0.6384754460167777,4.363
oracle,0,10,50,42,0.51392,1.2669690476190476,0.26837946293902176,3.574
pnd,0,10,50,42,0.49160000000000004,1.2174095238095237,0.23166590321013697,3.431
dcf_self_excl,0,10,50,42,0.43648000000000003,1.062402380952381,0.17159569663484386,3.034
and,0,10,50,42,0.019440000000000006,0.07199047619047619,0.9571474025974026,0.201
oracle,1,10,50,123,0.8004000000000001,1.0349178571428572,0.244889430125582,5.561
pnd,1,10,50,123,0.7728800000000001,0.9753912698412698,0.21573782248885356,5.241
dcf_self_excl,1,10,50,123,0.66568,0.846670634920635,0.14468493527664536,4.541
and,1,10,50,123,0.6256000000000002,0.8144702380952381,0.6405641356064444,4.368
oracle,0,10,50,123,0.49544000000000005,1.2565587301587302,0.27984777984743153,3.529
pnd,0,10,50,123,0.48000000000000004,1.192979761904762,0.24384394380129676,3.344
dcf_self_excl,0,10,50,123,0.43224000000000007,1.078172619047619,0.17242927966687893,3.021
and,0,10,50,123,0.01912,0.07223214285714286,0.9532579975579974,0.201
oracle,1,10,50,456,0.7975200000000002,1.026198015873016,0.24504960143292692,5.543
pnd,1,10,50,456,0.7726400000000001,0.9800654761904761,0.21595543240729387,5.308
dcf_self_excl,1,10,50,456,0.6666400000000001,0.8414825396825397,0.1461926178633515,4.541
and,1,10,50,456,0.63144,0.8074857142857143,0.6464097677152726,4.363
oracle,0,10,50,456,0.4861600000000001,1.192611507936508,0.28246436904169103,3.497
pnd,0,10,50,456,0.4736,1.1436428571428572,0.2473700431104843,3.348
dcf_self_excl,0,10,50,456,0.43752,1.0524873015873015,0.17217397089475936,3.039
and,0,10,50,456,0.0216,0.06484206349206349,0.9556666666666668,0.204
oracle,1,10,50,789,0.7961600000000002,1.0266146825396825,0.2428191756047854,5.546
pnd,1,10,50,789,0.7727200000000002,0.9782980158730159,0.21987337117912398,5.289
dcf_self_excl,1,10,50,789,0.6649600000000001,0.8379142857142857,0.14678624311886637,4.524
and,1,10,50,789,0.6265600000000002,0.8221523809523809,0.643541249854602,4.432
oracle,0,10,50,789,0.49368000000000006,1.2207281746031744,0.27784578893328893,3.507
pnd,0,10,50,789,0.4696,1.1501849206349206,0.24667740278297554,3.35
dcf_self_excl,0,10,50,789,0.4364,1.073667857142857,0.1708727396440699,3.057
and,0,10,50,789,0.02208,0.08446071428571429,0.9505099206349207,0.238
oracle,1,10,50,1234,0.7960800000000001,1.0212904761904762,0.2472940871557213,5.485
pnd,1,10,50,1234,0.7776000000000002,0.9737690476190476,0.2094970321907245,5.25
dcf_self_excl,1,10,50,1234,0.66696,0.8285781746031746,0.147690827769699,4.447
and,1,10,50,1234,0.6266400000000001,0.8057285714285713,0.6481302329242816,4.333
oracle,0,10,50,1234,0.49160000000000004,1.1946083333333333,0.28418344800624207,3.415
