method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
oracle,0.0,10,0,50,42,0,0.90625,0.4069999999999999,0.0,0.28788295038295036,nan
oracle,0.0,10,0,50,42,1,0.735632183908046,0.43,0.0,0.30581168831168826,nan
oracle,0.0,10,0,50,42,2,1.0416666666666667,0.48500000000000004,0.0,0.28512806637806637,nan
oracle,0.0,10,0,50,42,3,0.8717948717948718,0.446,0.0,0.28056457431457427,nan
oracle,0.0,10,0,50,42,4,1.1964285714285714,0.485,0.0,0.28071608946608945,nan
oracle,0.0,10,0,50,42,5,0.6962025316455697,0.383,0.0,0.35596486846486847,nan
oracle,0.0,10,0,50,42,6,1.1126760563380282,0.5860000000000001,0.0,0.23126623376623381,nan
oracle,0.0,10,0,50,42,7,0.958904109589041,0.4990000000000001,0.0,0.2842929292929293,nan
oracle,0.0,10,0,50,42,8,1.0303030303030303,0.5250000000000001,0.0,0.297550505050505,nan
oracle,0.0,10,0,50,42,9,0.9868421052631579,0.5119999999999999,0.0,0.27605033855033856,nan
oracle,0.0,10,0,50,42,10,1.171875,0.542,0.0,0.26871572871572874,nan
oracle,0.0,10,0,50,42,11,0.9315068493150684,0.49300000000000005,0.0,0.26248556998557,nan
oracle,0.0,10,0,50,42,12,0.958904109589041,0.4820000000000001,0.0,0.30504329004329006,nan
oracle,0.0,10,0,50,42,13,0.8148148148148148,0.496,0.0,0.2663582251082251,nan
oracle,0.0,10,0,50,42,14,1.0289855072463767,0.49800000000000005,0.0,0.28492604617604617,nan
oracle,0.0,10,0,50,42,15,0.9594594594594594,0.47400000000000003,0.0,0.2977687590187591,nan
oracle,0.0,10,0,50,42,16,1.0649350649350648,0.543,0.0,0.21999916749916748,nan
oracle,0.0,10,0,50,42,17,0.8414634146341463,0.48599999999999993,0.0,0.29473665223665224,nan
oracle,0.0,10,0,50,42,18,1.056338028169014,0.53,0.0,0.26288281163281163,nan
oracle,0.0,10,0,50,42,19,1.0684931506849316,0.5490000000000002,0.0,0.2257148407148407,nan
oracle,0.0,10,0,50,42,20,0.961038961038961,0.544,0.0,0.2608176545676545,nan
oracle,0.0,10,0,50,42,21,0.9846153846153847,0.45599999999999996,0.0,0.3006619769119769,nan
oracle,0.0,10,0,50,42,22,0.9733333333333334,0.492,0.0,0.2836482961482962,nan
oracle,0.0,10,0,50,42,23,0.7875,0.42900000000000016,0.0,0.3345472582972583,nan
oracle,0.0,10,0,50,42,24,1.0547945205479452,0.5100000000000001,0.0,0.2585515873015873,nan
oracle,0.0,10,0,50,42,25,0.8382352941176471,0.403,0.0,0.3947077922077922,nan
oracle,0.0,10,0,50,42,26,0.9710144927536232,0.484,0.0,0.2746103896103896,nan
oracle,0.0,10,0,50,42,27,0.8533333333333334,0.43900000000000006,0.0,0.3042904317904318,nan
oracle,0.0,10,0,50,42,28,0.8850574712643678,0.544,0.0,0.2631318681318681,nan
oracle,0.0,10,0,50,42,29,0.9024390243902439,0.533,0.0,0.2765583028083028,nan
oracle,0.0,10,0,50,42,30,0.7875,0.4760000000000001,0.0,0.32315767565767567,nan
oracle,0.0,10,0,50,42,31,0.8947368421052632,0.49399999999999994,0.0,0.29505328005328,nan
oracle,0.0,10,0,50,42,32,0.9882352941176471,0.5760000000000001,0.0,0.2361417748917749,nan
oracle,0.0,10,0,50,42,33,1.1690140845070423,0.518,0.0,0.2671542346542346,nan
oracle,0.0,10,0,50,42,34,0.9054054054054054,0.43,0.0,0.2993791625041625,nan
oracle,0.0,10,0,50,42,35,1.0147058823529411,0.47999999999999987,0.0,0.27626463813963814,nan
oracle,0.0,10,0,50,42,36,1.1369863013698631,0.5609999999999999,0.0,0.26305735930735935,nan
oracle,0.0,10,0,50,42,37,0.9090909090909091,0.47400000000000003,0.0,0.2893939393939394,nan
oracle,0.0,10,0,50,42,38,1.0422535211267605,0.537,0.0,0.26544913419913424,nan
oracle,0.0,10,0,50,42,39,1.2131147540983607,0.47199999999999986,0.0,0.2902383727383727,nan
oracle,0.0,10,0,50,42,40,1.1764705882352942,0.52,0.0,0.2889423076923077,nan
oracle,0.0,10,0,50,42,41,0.9178082191780822,0.46399999999999997,0.0,0.3194437017231134,nan
oracle,0.0,10,0,50,42,42,1.0263157894736843,0.5160000000000001,0.0,0.2549962537462538,nan
oracle,0.0,10,0,50,42,43,1.0136986301369864,0.518,0.0,0.3145849983349983,nan
oracle,0.0,10,0,50,42,44,0.9240506329113924,0.483,0.0,0.2586742424242424,nan
oracle,0.0,10,0,50,42,45,0.9259259259259259,0.5469999999999999,0.0,0.2426699689199689,nan
oracle,0.0,10,0,50,42,46,1.0142857142857142,0.5199999999999999,0.0,0.2784630647130647,nan
oracle,0.0,10,0,50,42,47,0.9487179487179487,0.51,0.0,0.2732310744810745,nan
oracle,0.0,10,0,50,42,48,1.359375,0.5930000000000001,0.0,0.21819805194805192,nan
oracle,0.0,10,0,50,42,49,1.056338028169014,0.5349999999999999,0.0,0.27909493284493286,nan
cold_genie,0.0,10,0,50,42,0,0.96875,0.42699999999999994,0.0,0.29198523698523704,0.10000000000000002
cold_genie,0.0,10,0,50,42,1,0.7816091954022989,0.43400000000000005,0.0,0.25752206127206123,0.10000000000000002
cold_genie,0.0,10,0,50,42,2,1.0416666666666667,0.511,0.0,0.21809704184704182,0.10000000000000002
cold_genie,0.0,10,0,50,42,3,0.9743589743589743,0.5359999999999999,0.0,0.2124819624819625,0.10000000000000002
cold_genie,0.0,10,0,50,42,4,0.9464285714285714,0.4170000000000001,0.0,0.27268620268620275,0.10000000000000002
cold_genie,0.0,10,0,50,42,5,0.9493670886075949,0.5159999999999999,0.0,0.2159186646686646,0.10000000000000002
cold_genie,0.0,10,0,50,42,6,1.0845070422535212,0.562,0.0,0.17149225774225776,0.10000000000000002
cold_genie,0.0,10,0,50,42,7,0.7671232876712328,0.43,0.0,0.28806748806748805,0.10000000000000002
cold_genie,0.0,10,0,50,42,8,1.0757575757575757,0.477,0.0,0.23483585858585862,0.10000000000000002
cold_genie,0.0,10,0,50,42,9,0.8552631578947368,0.462,0.0,0.2584555722055722,0.10000000000000002
cold_genie,0.0,10,0,50,42,10,1.109375,0.4810000000000002,0.0,0.22267940392940394,0.10000000000000002
