method,churn,N_visitor,N_native,W_eff,seed,visit,efficiency,util_v,util_n,collision_rate,tau0_mean
oracle,0.0,10,0,50,42,0,1.0588235294117647,0.5,0.0,0.20967032967032967,nan
oracle,0.0,10,0,50,42,1,0.8823529411764706,0.44399999999999995,0.0,0.2973015873015873,nan
oracle,0.0,10,0,50,42,2,1.3333333333333333,0.5359999999999999,0.0,0.25555555555555554,nan
oracle,0.0,10,0,50,42,3,0.631578947368421,0.292,0.0,0.37777777777777777,nan
oracle,0.0,10,0,50,42,4,1.4285714285714286,0.56,0.0,0.2334199134199134,nan
oracle,0.0,10,0,50,42,5,0.5714285714285714,0.336,0.0,0.38139194139194144,nan
oracle,0.0,10,0,50,42,6,0.9523809523809523,0.588,0.0,0.25262626262626264,nan
oracle,0.0,10,0,50,42,7,0.7142857142857143,0.43200000000000005,0.0,0.4247619047619048,nan
oracle,0.0,10,0,50,42,8,1.1333333333333333,0.488,0.0,0.3307359307359307,nan
oracle,0.0,10,0,50,42,9,1.0,0.572,0.0,0.23047619047619045,nan
oracle,0.0,10,0,50,42,10,1.7272727272727273,0.6279999999999999,0.0,0.21000000000000002,nan
oracle,0.0,10,0,50,42,11,0.6818181818181818,0.44399999999999995,0.0,0.3716666666666667,nan
oracle,0.0,10,0,50,42,12,0.9473684210526315,0.592,0.0,0.2587301587301587,nan
oracle,0.0,10,0,50,42,13,0.7222222222222222,0.42399999999999993,0.0,0.3115079365079365,nan
oracle,0.0,10,0,50,42,14,1.3076923076923077,0.524,0.0,0.2595454545454546,nan
oracle,0.0,10,0,50,42,15,1.1111111111111112,0.556,0.0,0.20555555555555555,nan
oracle,0.0,10,0,50,42,16,1.0476190476190477,0.508,0.0,0.23504273504273504,nan
oracle,0.0,10,0,50,42,17,1.3157894736842106,0.656,0.0,0.15493506493506493,nan
oracle,0.0,10,0,50,42,18,1.3157894736842106,0.64,0.0,0.19095959595959594,nan
oracle,0.0,10,0,50,42,19,0.8695652173913043,0.572,0.0,0.24126984126984125,nan
oracle,0.0,10,0,50,42,20,1.0526315789473684,0.532,0.0,0.2514957264957265,nan
oracle,0.0,10,0,50,42,21,0.7777777777777778,0.376,0.0,0.3277777777777778,nan
