access,N_native,method,seed,succ_v,succ_n,useful
basic,0,dcf_excl,42,0.5963047619047619,0.0,0.5963047619047619
basic,0,dcf_excl,123,0.5980714285714286,0.0,0.5980714285714286
basic,0,dcf_excl,456,0.6045619047619047,0.0,0.6045619047619047
basic,0,dcf_excl,789,0.5939809523809524,0.0,0.5939809523809524
basic,0,dcf_excl,1234,0.6173666666666666,0.0,0.6173666666666666
basic,0,pace,42,0.5762285714285714,0.0,0.5762285714285714
basic,0,pace,123,0.5709952380952381,0.0,0.5709952380952381
basic,0,pace,456,0.5766476190476191,0.0,0.5766476190476191
basic,0,pace,789,0.5586571428571429,0.0,0.5586571428571429
basic,0,pace,1234,0.5741285714285714,0.0,0.5741285714285714
basic,0,oracle,42,0.5259095238095238,0.0,0.5259095238095238
basic,0,oracle,123,0.5308571428571428,0.0,0.5308571428571428
basic,0,oracle,456,0.5175,0.0,0.5175
basic,0,oracle,789,0.5297,0.0,0.5297
basic,0,oracle,1234,0.5260095238095238,0.0,0.5260095238095238
basic,5,dcf_excl,42,0.34446190476190475,0.16767619047619048,0.5121380952380953
basic,5,dcf_excl,123,0.34112380952380955,0.17590952380952382,0.5170333333333333
basic,5,dcf_excl,456,0.34685238095238097,0.1783952380952381,0.5252476190476191
basic,5,dcf_excl,789,0.34406190476190474,0.18725714285714284,0.5313190476190476
basic,5,dcf_excl,1234,0.34796666666666665,0.17476666666666665,0.5227333333333334
basic,5,pace,42,0.30923333333333336,0.3443333333333333,0.6535666666666666
basic,5,pace,123,0.29965238095238095,0.3435714285714286,0.6432238095238095
basic,5,pace,456,0.3001142857142857,0.3482047619047619,0.6483190476190476
basic,5,pace,789,0.3204714285714286,0.3278857142857143,0.6483571428571429
basic,5,pace,1234,0.2941190476190476,0.33567142857142857,0.6297904761904762
basic,5,oracle,42,0.47300476190476193,0.11946666666666667,0.5924714285714285
basic,5,oracle,123,0.4621571428571429,0.12312380952380952,0.5852809523809523
basic,5,oracle,456,0.4792238095238095,0.12009047619047619,0.5993142857142857
basic,5,oracle,789,0.4709238095238095,0.12893333333333334,0.5998571428571429
basic,5,oracle,1234,0.4881142857142857,0.11988571428571429,0.608
