access,N_visitor,method,seed,succ_v,succ_n,useful
basic,5,dcf_conv,42,0.18193333333333334,0.33121428571428574,0.5131476190476191
basic,5,dcf_conv,123,0.1757857142857143,0.3333809523809524,0.5091666666666667
basic,5,dcf_conv,456,0.1688952380952381,0.3279190476190476,0.4968142857142857
basic,5,dcf_conv,789,0.17056666666666667,0.33422857142857143,0.5047952380952381
basic,5,dcf_conv,1234,0.17461904761904762,0.3285666666666667,0.5031857142857142
basic,5,pace,42,0.05093333333333333,0.6075047619047619,0.6584380952380953
basic,5,pace,123,0.051571428571428574,0.6032190476190477,0.6547904761904761
basic,5,pace,456,0.0557,0.5987523809523809,0.654452380952381
basic,5,pace,789,0.050166666666666665,0.5891095238095239,0.6392761904761904
basic,5,pace,1234,0.05278571428571428,0.6088809523809524,0.6616666666666666
basic,5,oracle,42,0.32899047619047617,0.2978190476190476,0.6268095238095238
basic,5,oracle,123,0.31551904761904764,0.3032761904761905,0.6187952380952381
basic,5,oracle,456,0.31797619047619047,0.2976714285714286,0.615647619047619
basic,5,oracle,789,0.31042380952380955,0.2968571428571429,0.6072809523809524
basic,5,oracle,1234,0.3265857142857143,0.28655238095238095,0.6131380952380953
basic,10,dcf_conv,42,0.26352380952380955,0.18607619047619048,0.4496
basic,10,dcf_conv,123,0.25535238095238094,0.18908095238095238,0.44443333333333335
basic,10,dcf_conv,456,0.2577380952380952,0.17857619047619047,0.4363142857142857
basic,10,dcf_conv,789,0.2705666666666667,0.1821047619047619,0.45267142857142856
basic,10,dcf_conv,1234,0.2665666666666667,0.18830952380952382,0.4548761904761905
basic,10,pace,42,0.14548571428571427,0.5522761904761905,0.6977619047619048
basic,10,pace,123,0.14347142857142858,0.5557809523809524,0.699252380952381
basic,10,pace,456,0.14534761904761906,0.5575285714285714,0.7028761904761904
basic,10,pace,789,0.15271428571428572,0.5441619047619047,0.6968761904761904
basic,10,pace,1234,0.14933333333333335,0.5550190476190476,0.704352380952381
basic,10,oracle,42,0.4139333333333333,0.1861857142857143,0.6001190476190477
basic,10,oracle,123,0.4250952380952381,0.19973333333333335,0.6248285714285714
basic,10,oracle,456,0.41565714285714284,0.1991857142857143,0.6148428571428571
basic,10,oracle,789,0.40335714285714286,0.20911428571428572,0.6124714285714286
basic,10,oracle,1234,0.41683333333333333,0.1976190476190476,0.614452380952381
basic,20,dcf_conv,42,0.2559904761904762,0.06058095238095238,0.31657142857142856
basic,20,dcf_conv,123,0.27637142857142855,0.05079047619047619,0.32716190476190476
basic,20,dcf_conv,456,0.2604761904761905,0.05500952380952381,0.31548571428571426
basic,20,dcf_conv,789,0.27318095238095236,0.06290476190476191,0.33608571428571427
basic,20,dcf_conv,1234,0.2601809523809524,0.05557142857142857,0.31575238095238095
basic,20,pace,42,0.3145380952380952,0.4006952380952381,0.7152333333333334
basic,20,pace,123,0.3180047619047619,0.4048761904761905,0.7228809523809524
basic,20,pace,456,0.31974285714285716,0.40112380952380955,0.7208666666666667
basic,20,pace,789,0.30606666666666665,0.41335714285714287,0.7194238095238096
basic,20,pace,1234,0.3148666666666667,0.4006047619047619,0.7154714285714285
basic,20,oracle,42,0.4727095238095238,0.12372380952380953,0.5964333333333334
basic,20,oracle,123,0.47494761904761906,0.12593809523809524,0.6008857142857142
basic,20,oracle,456,0.4776142857142857,0.12202380952380952,0.5996380952380952
basic,20,oracle,789,0.47190952380952383,0.1252095238095238,0.5971190476190477
basic,20,oracle,1234,0.47168571428571426,0.12410952380952381,0.595795238095238
basic,50,dcf_conv,42,0.1080904761904762,0.0035714285714285713,0.11166190476190477
basic,50,dcf_conv,123,0.1102047619047619,0.0038095238095238095,0.11401428571428572
basic,50,dcf_conv,456,0.11944285714285714,0.0029047619047619048,0.12234761904761905
basic,50,dcf_conv,789,0.12378571428571429,0.005557142857142857,0.12934285714285715
basic,50,dcf_conv,1234,0.116,0.0028142857142857145,0.11881428571428572
basic,50,pace,42,0.5073714285714286,0.18533333333333332,0.6927047619047619
basic,50,pace,123,0.5005333333333334,0.19318095238095237,0.6937142857142857
basic,50,pace,456,0.5372714285714286,0.17614285714285716,0.7134142857142857
basic,50,pace,789,0.5070571428571429,0.17737142857142857,0.6844285714285714
basic,50,pace,1234,0.5177619047619048,0.1889142857142857,0.7066761904761905
basic,50,oracle,42,0.5157,0.057,0.5727
basic,50,oracle,123,0.5011523809523809,0.0567,0.557852380952381
basic,50,oracle,456,0.4928,0.060809523809523806,0.5536095238095238
basic,50,oracle,789,0.5109476190476191,0.0538,0.564747619047619
basic,50,oracle,1234,0.5039238095238096,0.05644285714285714,0.5603666666666667
rts,5,dcf_conv,42,0.22691904761904763,0.45394761904761904,0.6808666666666666
rts,5,dcf_conv,123,0.2277952380952381,0.4475190476190476,0.6753142857142858
rts,5,dcf_conv,456,0.22223809523809523,0.4524095238095238,0.674647619047619
rts,5,dcf_conv,789,0.24008095238095237,0.43523809523809526,0.6753190476190476
rts,5,dcf_conv,1234,0.2317142857142857,0.4477190476190476,0.6794333333333333
rts,5,pace,42,0.07945714285714285,0.6477619047619048,0.7272190476190477
rts,5,pace,123,0.07391904761904762,0.6553238095238095,0.7292428571428572
rts,5,pace,456,0.07914761904761905,0.6464619047619048,0.7256095238095238
rts,5,pace,789,0.07387142857142857,0.6539428571428572,0.7278142857142857
rts,5,pace,1234,0.0751095238095238,0.6511857142857143,0.7262952380952381
rts,5,oracle,42,0.3852,0.3514952380952381,0.7366952380952381
rts,5,oracle,123,0.3862333333333333,0.3535238095238095,0.7397571428571429
rts,5,oracle,456,0.37507619047619045,0.36188095238095236,0.7369571428571429
rts,5,oracle,789,0.3798047619047619,0.3560952380952381,0.7359
rts,5,oracle,1234,0.39580952380952383,0.34385714285714286,0.7396666666666667
rts,10,dcf_conv,42,0.38884761904761905,0.2713952380952381,0.6602428571428571
rts,10,dcf_conv,123,0.37806190476190477,0.27531904761904763,0.6533809523809524
rts,10,dcf_conv,456,0.3814,0.27372380952380954,0.6551238095238096
rts,10,dcf_conv,789,0.3894047619047619,0.2687333333333333,0.6581380952380952
rts,10,dcf_conv,1234,0.3904666666666667,0.2681428571428571,0.6586095238095238
rts,10,pace,42,0.16264761904761904,0.5789,0.741547619047619
rts,10,pace,123,0.16812380952380954,0.5725761904761905,0.7407
rts,10,pace,456,0.16757142857142857,0.5743095238095238,0.7418809523809524
rts,10,pace,789,0.1665761904761905,0.5780333333333333,0.7446095238095238
rts,10,pace,1234,0.16997142857142858,0.5738952380952381,0.7438666666666667
rts,10,oracle,42,0.5051142857142857,0.23763333333333334,0.7427476190476191
rts,10,oracle,123,0.5130333333333333,0.23832380952380952,0.7513571428571428
rts,10,oracle,456,0.5170904761904762,0.23364761904761905,0.7507380952380952
rts,10,oracle,789,0.5145952380952381,0.23196190476190476,0.7465571428571428
rts,10,oracle,1234,0.5117857142857143,0.23537142857142856,0.7471571428571429
rts,20,dcf_conv,42,0.4814809523809524,0.10538571428571429,0.5868666666666666
rts,20,dcf_conv,123,0.4913190476190476,0.10053333333333334,0.5918523809523809
rts,20,dcf_conv,456,0.47972857142857145,0.1018952380952381,0.5816238095238095
rts,20,dcf_conv,789,0.48437619047619046,0.10081428571428572,0.5851904761904761
rts,20,dcf_conv,1234,0.47913809523809525,0.10246666666666666,0.581604761904762
rts,20,pace,42,0.34546190476190475,0.40827619047619046,0.7537380952380952
rts,20,pace,123,0.3460761904761905,0.41003809523809526,0.7561142857142857
rts,20,pace,456,0.3379714285714286,0.42114285714285715,0.7591142857142857
rts,20,pace,789,0.34127142857142856,0.414852380952381,0.7561238095238095
rts,20,pace,1234,0.36533809523809524,0.39327142857142855,0.7586095238095238
rts,20,oracle,42,0.6186333333333334,0.13585238095238095,0.7544857142857143
rts,20,oracle,123,0.6055857142857143,0.14113333333333333,0.7467190476190476
rts,20,oracle,456,0.6001190476190477,0.15033333333333335,0.750452380952381
rts,20,oracle,789,0.6003380952380952,0.15178571428571427,0.7521238095238095
rts,20,oracle,1234,0.6017285714285714,0.14486190476190478,0.7465904761904761
rts,50,dcf_conv,42,0.38302857142857144,0.012014285714285713,0.39504285714285714
rts,50,dcf_conv,123,0.3866142857142857,0.012595238095238095,0.3992095238095238
rts,50,dcf_conv,456,0.38412380952380953,0.012247619047619047,0.3963714285714286
rts,50,dcf_conv,789,0.37614285714285717,0.01562857142857143,0.39177142857142855
rts,50,dcf_conv,1234,0.38139047619047617,0.012933333333333333,0.3943238095238095
rts,50,pace,42,0.5809619047619048,0.17909523809523809,0.7600571428571429
rts,50,pace,123,0.587,0.1730809523809524,0.7600809523809524
rts,50,pace,456,0.5752809523809523,0.18335714285714286,0.7586380952380952
rts,50,pace,789,0.584704761904762,0.17566190476190477,0.7603666666666666
rts,50,pace,1234,0.5730333333333333,0.1892952380952381,0.7623285714285715
rts,50,oracle,42,0.685952380952381,0.06506190476190477,0.7510142857142857
rts,50,oracle,123,0.6696285714285715,0.06997619047619047,0.7396047619047619
rts,50,oracle,456,0.669852380952381,0.06998095238095238,0.7398333333333333
rts,50,oracle,789,0.6765142857142857,0.06685714285714285,0.7433714285714286
rts,50,oracle,1234,0.6836,0.06501428571428572,0.7486142857142857
