access,N_visitor,method,seed,succ_v,succ_n,useful
basic,5,dcf_conv,42,0.16742857142857143,0.33136507936507936,0.4987936507936508
basic,5,pace,42,0.06453968253968254,0.5792380952380952,0.6437777777777778
basic,5,oracle,42,0.35558730158730156,0.28555555555555556,0.6411428571428571
basic,10,dcf_conv,42,0.2695873015873016,0.18663492063492063,0.4562222222222222
basic,10,pace,42,0.13193650793650794,0.5902857142857143,0.7222222222222222
basic,10,oracle,42,0.4307936507936508,0.1993968253968254,0.6301904761904762
basic,20,dcf_conv,42,0.27434920634920634,0.07187301587301587,0.3462222222222222
basic,20,pace,42,0.3236825396825397,0.4076190476190476,0.7313015873015873
basic,20,oracle,42,0.4654285714285714,0.11082539682539683,0.5762539682539682
rts,5,dcf_conv,42,0.21793650793650793,0.46644444444444444,0.6843809523809524
rts,5,pace,42,0.07415873015873016,0.6492063492063492,0.7233650793650793
rts,5,oracle,42,0.3802857142857143,0.3540952380952381,0.7343809523809524
rts,10,dcf_conv,42,0.40155555555555555,0.26095238095238094,0.6625079365079365
rts,10,pace,42,0.15031746031746032,0.5936825396825397,0.744
rts,10,oracle,42,0.5003492063492063,0.2537142857142857,0.7540634920634921
rts,20,dcf_conv,42,0.47704761904761905,0.10946031746031747,0.5865079365079365
rts,20,pace,42,0.32612698412698415,0.4253650793650794,0.7514920634920635
rts,20,oracle,42,0.6040952380952381,0.1371111111111111,0.7412063492063492
