access,W_eff,N,method,seed,succ_v,succ_n,useful
basic,100,20,dcf_excl,42,0.16572,0.19354,0.35926
basic,100,20,dcf_excl,123,0.18634,0.2038,0.39014
basic,100,20,dcf_excl,456,0.18072,0.19682,0.37754
basic,100,20,dcf_excl,789,0.19528,0.182,0.37728
basic,100,20,dcf_excl,1234,0.15696,0.20294,0.3599
basic,100,20,pace,42,0.10964,0.50552,0.61516
basic,100,20,pace,123,0.12462,0.5016,0.62622
basic,100,20,pace,456,0.1235,0.50564,0.62914
basic,100,20,pace,789,0.14604,0.48434,0.63038
basic,100,20,pace,1234,0.13814,0.4822,0.62034
basic,100,20,oracle,42,0.23824,0.2484,0.48664
basic,100,20,oracle,123,0.24192,0.27706,0.51898
basic,100,20,oracle,456,0.243,0.23474,0.47774
basic,100,20,oracle,789,0.2491,0.26888,0.51798
basic,100,20,oracle,1234,0.24526,0.26288,0.50814
basic,200,20,dcf_excl,42,0.18977,0.14894,0.33871
basic,200,20,dcf_excl,123,0.19849,0.14686,0.34535
basic,200,20,dcf_excl,456,0.19795,0.14289,0.34084
basic,200,20,dcf_excl,789,0.21376,0.16456,0.37832
basic,200,20,dcf_excl,1234,0.20646,0.15174,0.3582
basic,200,20,pace,42,0.15977,0.48877,0.64854
basic,200,20,pace,123,0.13078,0.47756,0.60834
basic,200,20,pace,456,0.15672,0.49123,0.64795
basic,200,20,pace,789,0.14576,0.48298,0.62874
basic,200,20,pace,1234,0.15657,0.49174,0.64831
basic,200,20,oracle,42,0.3396,0.18059,0.52019
basic,200,20,oracle,123,0.34096,0.18161,0.52257
basic,200,20,oracle,456,0.34678,0.18055,0.52733
basic,200,20,oracle,789,0.32853,0.18882,0.51735
basic,200,20,oracle,1234,0.33685,0.19534,0.53219
basic,420,20,dcf_excl,42,0.19185238095238094,0.10968571428571429,0.3015380952380952
basic,420,20,dcf_excl,123,0.18934761904761904,0.11195238095238096,0.3013
basic,420,20,dcf_excl,456,0.19321904761904762,0.11339523809523809,0.30661428571428573
basic,420,20,dcf_excl,789,0.2004190476190476,0.10437619047619047,0.3047952380952381
basic,420,20,dcf_excl,1234,0.20248095238095237,0.11395714285714285,0.31643809523809524
