num_stas,baseline,seed,mean_access_delay,per_sta_throughput
2,Legacy EDCA,42,58.96456692913386,508.0
2,Legacy EDCA,123,59.31948565776459,505.5
2,Legacy EDCA,456,69.58280922431865,477.0
2,ARQ-only NPCA,42,45.035333333333334,750.0
2,ARQ-only NPCA,123,47.55398110661269,741.0
2,ARQ-only NPCA,456,46.10280373831776,749.0
5,Legacy EDCA,42,150.8586118251928,233.4
5,Legacy EDCA,123,168.13272727272727,220.0
5,Legacy EDCA,456,154.33818493150685,233.6
5,ARQ-only NPCA,42,105.26008428657435,332.2
5,ARQ-only NPCA,123,104.14981949458483,332.4
5,ARQ-only NPCA,456,107.87024743512372,331.4
10,Legacy EDCA,42,323.8480801335559,119.8
10,Legacy EDCA,123,280.9022369511185,120.7
10,Legacy EDCA,456,302.95193929173695,118.6
10,ARQ-only NPCA,42,215.77902843601896,168.8
10,ARQ-only NPCA,123,209.71842410196987,172.6
10,ARQ-only NPCA,456,206.8206896551724,174.0
15,Legacy EDCA,42,444.94147157190633,79.73333333333333
15,Legacy EDCA,123,494.20165975103737,80.33333333333333
15,Legacy EDCA,456,404.71840873634943,85.46666666666667
15,ARQ-only NPCA,42,303.78235635519445,114.86666666666666
15,ARQ-only NPCA,123,311.45439283715723,119.13333333333334
15,ARQ-only NPCA,456,293.95441595441594,117.0
20,Legacy EDCA,42,500.4831460674157,62.3
20,Legacy EDCA,123,562.1721798134012,58.95
20,Legacy EDCA,456,576.0522088353414,62.25
20,ARQ-only NPCA,42,339.93367346938777,88.2
20,ARQ-only NPCA,123,342.03125,88.0
20,ARQ-only NPCA,456,342.89235127478753,88.25
