num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
2,0,15,42,0.12037037037037036,1212,61.4529702970297,92
2,0,15,123,0.08695652173913043,1188,63.81649831649832,133
2,0,15,456,0.11067193675889328,1208,61.484271523178805,104
2,1,31,42,0.04395604395604396,1171,64.15627668659266,106
2,1,31,123,0.02643171806167401,1148,65.58449477351917,113
2,1,31,456,0.10300429184549356,1138,67.26274165202109,127
2,2,63,42,0.015873015873015872,1138,66.73198594024605,101
2,2,63,123,0.0125,1110,67.41891891891892,103
2,2,63,456,0.06779661016949153,1063,73.10912511759172,125
2,3,127,42,0.0,1084,70.71863468634686,97
2,3,127,123,0.03418803418803419,1059,70.01322001888575,113
2,3,127,456,0.0,1033,75.35527589545015,110
2,4,255,42,0.0,1078,72.75324675324676,50
2,4,255,123,0.05128205128205128,1000,78.229,67
2,4,255,456,0.0,1030,77.39320388349515,48
2,5,511,42,0.0,1027,78.84907497565726,6
2,5,511,123,0.0,1006,80.64910536779324,4
2,5,511,456,0.0,1006,75.41749502982107,6
5,0,15,42,0.2708333333333333,1266,152.5347551342812,210
5,0,15,123,0.3123209169054441,1258,142.61764705882354,220
5,0,15,456,0.36042402826855124,1278,147.67683881064164,215
5,1,31,42,0.23711340206185566,1232,145.58928571428572,194
5,1,31,123,0.1918819188191882,1220,147.4262295081967,263
5,1,31,456,0.17699115044247787,1236,146.13754045307442,234
5,2,63,42,0.06976744186046512,1227,156.23064384678077,206
5,2,63,123,0.12345679012345678,1230,156.23089430894308,180
5,2,63,456,0.13812154696132597,1181,155.64860287891617,219
5,3,127,42,0.016129032258064516,1185,157.79746835443038,193
5,3,127,123,0.034482758620689655,1174,164.40119250425894,170
5,3,127,456,0.07092198581560284,1138,162.58699472759227,219
5,4,255,42,0.0,1149,171.63707571801567,115
5,4,255,123,0.03508771929824561,1165,171.16223175965666,123
5,4,255,456,0.0,1150,165.41130434782607,125
5,5,511,42,0.0,1092,156.96703296703296,45
5,5,511,123,0.0,1080,186.11296296296297,62
5,5,511,456,0.0,1085,180.39907834101382,42
10,0,15,42,0.5417789757412399,1243,284.91713596138374,350
10,0,15,123,0.5190217391304348,1254,299.7631578947368,370
10,0,15,456,0.5570469798657718,1255,289.64462151394423,439
10,1,31,42,0.33650793650793653,1219,286.1173092698934,430
10,1,31,123,0.299625468164794,1206,305.21973466003317,400
10,1,31,456,0.31699346405228757,1252,272.29872204472844,439
10,2,63,42,0.1595744680851064,1270,309.0425196850394,368
10,2,63,123,0.16521739130434782,1240,280.73225806451615,412
10,2,63,456,0.1542056074766355,1223,304.01062959934586,419
10,3,127,42,0.08695652173913043,1247,301.9446672012831,303
10,3,127,123,0.17088607594936708,1237,316.30153597413096,344
10,3,127,456,0.07526881720430108,1211,316.81915772089184,442
10,4,255,42,0.025,1210,302.59256198347106,241
10,4,255,123,0.02247191011235955,1189,322.55845248107653,263
10,4,255,456,0.03076923076923077,1192,318.38758389261744,234
10,5,511,42,0.0,1138,298.1370826010545,98
10,5,511,123,0.0,1160,350.52241379310345,112
10,5,511,456,0.0,1128,333.95212765957444,133
15,0,15,42,0.6441441441441441,1260,411.7968253968254,480
15,0,15,123,0.6688851913477537,1270,361.18503937007875,600
15,0,15,456,0.6512396694214876,1245,373.2530120481928,614
15,1,31,42,0.42024539877300615,1243,413.9758648431215,540
15,1,31,123,0.3988439306358382,1257,420.5282418456643,585
15,1,31,456,0.4393939393939394,1248,401.7668269230769,465
15,2,63,42,0.1676300578034682,1235,422.3400809716599,425
15,2,63,123,0.2736318407960199,1236,466.9482200647249,506
15,2,63,456,0.2708333333333333,1249,403.7093674939952,402
15,3,127,42,0.0880503144654088,1212,465.3721122112211,501
15,3,127,123,0.12269938650306748,1224,448.7238562091503,507
15,3,127,456,0.1724137931034483,1228,422.5684039087948,430
15,4,255,42,0.0594059405940594,1170,475.4025641025641,392
15,4,255,123,0.03333333333333333,1203,458.50374064837905,447
15,4,255,456,0.025,1183,456.94505494505495,332
15,5,511,42,0.0,1147,504.1918047079337,152
15,5,511,123,0.0,1158,461.8557858376511,226
15,5,511,456,0.05263157894736842,1159,417.80500431406386,204
20,0,15,42,0.7450592885375494,1232,489.06006493506493,640
20,0,15,123,0.7629310344827587,1212,472.1732673267327,740
20,0,15,456,0.724950884086444,1233,508.92051905920516,580
20,1,31,42,0.5,1247,562.8676824378508,640
20,1,31,123,0.5483193277310925,1229,518.6078112286411,800
20,1,31,456,0.5016501650165016,1253,541.024740622506,720
20,2,63,42,0.2893401015228426,1219,589.5947497949138,577
20,2,63,123,0.30701754385964913,1232,547.2402597402597,662
20,2,63,456,0.2233502538071066,1232,577.172077922078,682
20,3,127,42,0.1342281879194631,1230,600.930894308943,546
20,3,127,123,0.10695187165775401,1224,598.3570261437909,760
20,3,127,456,0.1,1237,562.7291835084883,495
20,4,255,42,0.12,1233,590.7485806974859,413
20,4,255,123,0.1044776119402985,1208,608.3733443708609,564
20,4,255,456,0.06299212598425197,1146,615.5794066317627,587
20,5,511,42,0.0,1173,584.1057118499574,197
20,5,511,123,0.07272727272727272,1175,632.4374468085107,247
20,5,511,456,0.0,1129,589.977856510186,268
