num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
5,0,15,42,0.25608011444921314,1315,146.11939163498099,470
5,0,15,123,0.29117094552285533,1308,141.75152905198777,534
5,0,15,456,0.27712609970674484,1299,147.89068514241725,510
5,1,31,42,0.16412556053811658,1217,153.19309778142974,460
5,1,31,123,0.17193523515805706,1236,147.4368932038835,509
5,1,31,456,0.1643835616438356,1263,149.32145684877275,524
5,2,63,42,0.07755946225439504,1131,164.1290893015031,516
5,2,63,123,0.09710743801652892,1154,155.842287694974,488
5,2,63,456,0.09339407744874716,1121,163.61909009812666,490
5,3,127,42,0.036923076923076927,1045,173.13971291866028,424
5,3,127,123,0.06240713224368499,1003,186.6729810568295,483
5,3,127,456,0.03945371775417299,983,186.16378433367242,470
5,4,255,42,0.019184652278177457,844,233.9537914691943,418
5,4,255,123,0.024640657084188913,851,223.83901292596946,461
5,4,255,456,0.03740648379052369,866,225.53695150115473,431
5,5,511,42,0.0,753,262.27091633466136,288
5,5,511,123,0.018779342723004695,741,275.9230769230769,308
5,5,511,456,0.023668639053254437,724,280.9088397790055,281
10,0,15,42,0.4807520143240824,1284,281.1978193146417,1010
10,0,15,123,0.47585290208241027,1349,281.6908821349148,1010
10,0,15,456,0.4728317659352142,1296,292.2276234567901,950
10,1,31,42,0.31680099194048356,1283,298.97038191738113,989
10,1,31,123,0.3202179176755448,1295,273.7521235521236,1059
10,1,31,456,0.31846259437199725,1297,295.6291441788743,1050
10,2,63,42,0.1602112676056338,1183,316.8114961961116,985
10,2,63,123,0.18715305313243458,1230,307.269918699187,1019
10,2,63,456,0.1644678979771328,1218,309.4310344827586,985
10,3,127,42,0.08442982456140351,1065,355.275117370892,908
10,3,127,123,0.07492195629552549,1080,343.2824074074074,972
10,3,127,456,0.12327188940092165,1097,350.232452142206,942
10,4,255,42,0.04090909090909091,951,408.0262881177708,899
10,4,255,123,0.056962025316455694,972,406.5154320987654,899
10,4,255,456,0.04241435562805873,986,400.1815415821501,905
10,5,511,42,0.011661807580174927,786,532.6984732824427,683
10,5,511,123,0.02247191011235955,815,505.1153374233129,659
10,5,511,456,0.019417475728155338,833,500.5882352941176,608
20,0,15,42,0.7146042363433668,1260,433.0238095238095,1860
20,0,15,123,0.724601593625498,1234,430.7722852512156,2020
20,0,15,456,0.7257534246575342,1202,425.13477537437603,1820
20,1,31,42,0.5397440868553703,1268,507.7973186119874,2019
20,1,31,123,0.5337078651685393,1225,545.8767346938776,1980
20,1,31,456,0.5373503920759389,1259,535.7974583002383,1959
20,2,63,42,0.31413612565445026,1226,574.4690048939641,1885
20,2,63,123,0.331974373907979,1230,600.2593495934959,2126
20,2,63,456,0.3159851301115242,1211,621.0710156895128,2131
20,3,127,42,0.1721311475409836,1159,672.8817946505608,1840
20,3,127,123,0.18131433095803642,1148,680.5409407665505,2025
20,3,127,456,0.16771866546438233,1125,705.0542222222223,1879
20,4,255,42,0.08478513356562137,1068,761.8071161048689,1766
20,4,255,123,0.11764705882352941,1054,764.7248576850095,1693
20,4,255,456,0.09457900807381776,1098,750.1129326047359,1872
20,5,511,42,0.033271719038817,890,923.608988764045,1389
20,5,511,123,0.04886561954624782,864,923.324074074074,1527
20,5,511,456,0.043137254901960784,907,892.7706725468578,1358
30,0,15,42,0.8272451746690063,1235,461.6599190283401,2940
30,0,15,123,0.833616823875058,1201,443.7035803497086,3090
30,0,15,456,0.8350757029560202,1187,460.0926705981466,2730
30,1,31,42,0.6743913171017893,1257,686.7454256165473,3059
30,1,31,123,0.6677553444180523,1218,684.051724137931,2849
30,1,31,456,0.6640938561284347,1268,727.0433753943217,3060
30,2,63,42,0.4481389578163772,1210,878.9190082644628,3019
30,2,63,123,0.45490004875670403,1237,836.1592562651576,2908
30,2,63,456,0.4167556029882604,1218,901.6050903119868,3049
30,3,127,42,0.24059040590405903,1167,957.1139674378749,2778
30,3,127,123,0.25557955363570917,1160,989.3551724137931,2728
30,3,127,456,0.2457002457002457,1158,1031.2806563039724,2905
30,4,255,42,0.10760118460019744,1085,1099.1400921658985,2739
30,4,255,123,0.12893982808022922,1086,1109.8959484346224,2710
30,4,255,456,0.11147902869757174,1067,1158.1930646672915,2737
30,5,511,42,0.059805285118219746,955,1301.0303664921466,2291
30,5,511,123,0.0637329286798179,996,1201.3112449799196,2145
30,5,511,456,0.056074766355140186,931,1291.0848549946295,2151
50,0,15,42,0.9196850393700787,1138,450.39894551845344,5300
50,0,15,123,0.9245649359988494,1099,425.44676979071886,5550
50,0,15,456,0.9223666210670315,1170,473.6128205128205,4649
50,1,31,42,0.8265195087828385,1231,758.9935012185215,4799
50,1,31,123,0.8286941307459837,1205,781.463070539419,4749
50,1,31,456,0.8339461685541991,1179,754.2765055131467,5200
50,2,63,42,0.613384188626907,1177,1207.5607476635514,4645
50,2,63,123,0.6254901960784314,1216,1246.2417763157894,4785
50,2,63,456,0.6093996840442338,1184,1179.2423986486488,4336
50,3,127,42,0.3772594752186589,1178,1514.4006791171478,4885
50,3,127,123,0.37136066547831253,1162,1591.7796901893287,4882
50,3,127,456,0.36028537455410226,1200,1467.0541666666666,4527
50,4,255,42,0.18557607739665788,1144,1649.3522727272727,4513
50,4,255,123,0.1875,1114,1746.0789946140035,4583
50,4,255,456,0.20202874049027894,1105,1721.2009049773756,4066
50,5,511,42,0.08408071748878924,993,1990.8590130916416,3731
50,5,511,123,0.09474885844748858,999,1940.6716716716717,3843
50,5,511,456,0.10817941952506596,1007,1880.201588877855,3464
