num_stas,method,seed,aggregate_throughput,collision_probability_npca,npca_transition_count,mean_qsrc
5,fixed_q0,42,5222,0.2596685082872928,1908,0.0
5,fixed_q0,123,5274,0.27419626325534424,2008,0.0
5,fixed_q0,456,5203,0.2714747406021432,1984,0.0
5,fixed_q1,42,4997,0.15386313465783663,1901,1.0
5,fixed_q1,123,4928,0.15858089335328063,1974,1.0
5,fixed_q1,456,5045,0.17011995637949837,1936,1.0
5,fixed_q2,42,4621,0.0854978354978355,1888,2.0
5,fixed_q2,123,4600,0.08516559977734484,1849,2.0
5,fixed_q2,456,4556,0.08526490066225166,1907,2.0
5,oracle,42,5222,0.2596685082872928,1908,0.0
5,oracle,123,5274,0.27419626325534424,2008,0.0
5,oracle,456,5203,0.2714747406021432,1984,0.0
5,adaptive,42,5255,0.2625835973248856,1948,0.017967145790554414
5,adaptive,123,5183,0.27522004062288424,1934,0.020682523267838676
5,adaptive,456,5203,0.2714747406021432,1984,0.0
10,fixed_q0,42,5211,0.47617383199347546,3850,0.0
10,fixed_q0,123,5284,0.47333007095669194,3680,0.0
10,fixed_q0,456,5203,0.47751734034919874,3880,0.0
10,fixed_q1,42,5109,0.31211788681611535,3907,1.0
10,fixed_q1,123,5087,0.32102855339958986,3899,1.0
10,fixed_q1,456,5081,0.31854150504266876,3930,1.0
10,fixed_q2,42,4799,0.17187827911857292,3848,2.0
10,fixed_q2,123,4792,0.17881338534181893,3989,2.0
10,fixed_q2,456,4790,0.18592057761732853,3912,2.0
10,oracle,42,5211,0.47617383199347546,3850,0.0
10,oracle,123,5284,0.47333007095669194,3680,0.0
10,oracle,456,5203,0.47751734034919874,3880,0.0
10,adaptive,42,5174,0.4446321809201976,3815,0.26290956749672345
10,adaptive,123,5191,0.4456635318704284,3711,0.30261385071409325
10,adaptive,456,5124,0.4507829977628635,3877,0.23007480010317255
20,fixed_q0,42,4980,0.714343163538874,7479,0.0
20,fixed_q0,123,5041,0.7169872001029137,7700,0.0
20,fixed_q0,456,4959,0.7190729922321372,7500,0.0
20,fixed_q1,42,5068,0.5337359433569346,7557,1.0
20,fixed_q1,123,4939,0.5238245503313348,7917,1.0
20,fixed_q1,456,4971,0.5307227660903978,7656,1.0
20,fixed_q2,42,4904,0.32879127925617185,7688,2.0
20,fixed_q2,123,4909,0.33615553465036063,7694,2.0
20,fixed_q2,456,4932,0.32748719540586685,7740,2.0
20,oracle,42,4980,0.714343163538874,7479,0.0
20,oracle,123,5041,0.7169872001029137,7700,0.0
20,oracle,456,4959,0.7190729922321372,7500,0.0
20,adaptive,42,5063,0.5622079439252337,7575,1.0638943894389439
20,adaptive,123,5025,0.5682512409316534,7666,0.9754761283589878
20,adaptive,456,5027,0.5637477762403638,7825,0.9919488817891374
30,fixed_q0,42,4829,0.8299360273373863,11579,0.0
30,fixed_q0,123,4841,0.8297661906080627,11370,0.0
30,fixed_q0,456,4869,0.8305930377593832,11879,0.0
30,fixed_q1,42,4942,0.6739976925295644,11847,1.0
30,fixed_q1,123,4952,0.6731259561448241,11219,1.0
30,fixed_q1,456,4956,0.6731412774625346,11759,1.0
30,fixed_q2,42,4931,0.4412242348532167,11996,2.0
30,fixed_q2,123,4829,0.4574259848299486,11267,2.0
30,fixed_q2,456,4836,0.4322556296389483,12061,2.0
30,oracle,42,4942,0.6739976925295644,11847,1.0
30,oracle,123,4952,0.6731259561448241,11219,1.0
30,oracle,456,4956,0.6731412774625346,11759,1.0
30,adaptive,42,4962,0.6267745130406075,11643,1.4604483380572018
30,adaptive,123,4894,0.6216741278824225,11152,1.4994619799139168
30,adaptive,456,4959,0.6219809812336952,11371,1.5268665904493888
50,fixed_q0,42,4515,0.9208752583093532,19549,0.0
50,fixed_q0,123,4514,0.919282862287638,19050,0.0
50,fixed_q0,456,4557,0.9187451248977417,19549,0.0
50,fixed_q1,42,4815,0.8326123899273907,20295,1.0
50,fixed_q1,123,4780,0.8294320948864975,18849,1.0
50,fixed_q1,456,4754,0.8311296510112108,19399,1.0
50,fixed_q2,42,4795,0.6033781952849788,19335,2.0
50,fixed_q2,123,4742,0.6122974015950604,18360,2.0
50,fixed_q2,456,4802,0.6199433135789745,18355,2.0
50,oracle,42,4795,0.6033781952849788,19335,2.0
50,oracle,123,4742,0.6122974015950604,18360,2.0
50,oracle,456,4802,0.6199433135789745,18355,2.0
50,adaptive,42,4832,0.694977103606182,18966,2.108615417062111
50,adaptive,123,4871,0.6889895470383275,18815,2.0528301886792453
50,adaptive,456,4749,0.6855583543240974,18729,2.1437343157669924
70,fixed_q0,42,4399,0.9548993192575019,27789,0.0
70,fixed_q0,123,4413,0.9535074307381811,26880,0.0
70,fixed_q0,456,4431,0.9533418006662033,26949,0.0
70,fixed_q1,42,4586,0.9025846377866764,27159,1.0
70,fixed_q1,123,4602,0.9024910701860185,26880,1.0
70,fixed_q1,456,4653,0.9014423622941511,27646,1.0
70,fixed_q2,42,4723,0.7388365169933019,26155,2.0
70,fixed_q2,123,4767,0.7298975286317059,27132,2.0
70,fixed_q2,456,4720,0.7371968431361253,27555,2.0
70,oracle,42,4723,0.7388365169933019,26155,2.0
70,oracle,123,4767,0.7298975286317059,27132,2.0
70,oracle,456,4720,0.7371968431361253,27555,2.0
70,adaptive,42,4778,0.7298993487270574,26618,2.4292959651363737
70,adaptive,123,4761,0.7348940779971113,25415,2.459177650993508
70,adaptive,456,4764,0.7283514878597943,25878,2.4393693484813355
100,fixed_q0,42,4152,0.9747393800869663,40799,0.0
100,fixed_q0,123,4159,0.9742430629242554,38500,0.0
100,fixed_q0,456,4185,0.974511869644613,40300,0.0
100,fixed_q1,42,4414,0.9498767568701489,39396,1.0
100,fixed_q1,123,4388,0.9490531165456835,38596,1.0
100,fixed_q1,456,4290,0.9487552030157858,37900,1.0
100,fixed_q2,42,4669,0.8552353474016171,39029,2.0
100,fixed_q2,123,4603,0.8491496536969213,37253,2.0
100,fixed_q2,456,4589,0.8508461363562543,38863,2.0
100,oracle,42,4731,0.5873415361670395,38461,3.0
100,oracle,123,4621,0.585232452142206,39135,3.0
100,oracle,456,4702,0.5787790424231023,38739,3.0
100,adaptive,42,4666,0.7843547680475101,40033,2.7468838208478004
100,adaptive,123,4666,0.7840630114566285,35173,2.7451169931481534
100,adaptive,456,4643,0.7788584713194477,37895,2.7870167568280775
150,fixed_q0,42,3946,0.9875543245533315,54750,0.0
150,fixed_q0,123,3868,0.9873859654390036,58050,0.0
150,fixed_q0,456,3863,0.9864144020380571,55500,0.0
150,fixed_q1,42,4052,0.9762449025667076,56547,1.0
150,fixed_q1,123,4113,0.9770052890753237,57148,1.0
150,fixed_q1,456,4053,0.9760001665209608,57900,1.0
150,fixed_q2,42,4359,0.9368565856903146,61261,2.0
150,fixed_q2,123,4364,0.9368574408555866,55254,2.0
150,fixed_q2,456,4341,0.9359694275464047,60512,2.0
150,oracle,42,4602,0.7215166346570845,57150,3.0
150,oracle,123,4648,0.7225943780128967,56958,3.0
150,oracle,456,4738,0.7319520689451626,57208,3.0
150,adaptive,42,4624,0.8350392946137627,56143,3.091320378319648
150,adaptive,123,4582,0.8362211221122112,57942,3.06582444513479
150,adaptive,456,4641,0.827522529177131,56129,3.1236259331183525
200,fixed_q0,42,3576,0.9931226341438666,80200,0.0
200,fixed_q0,123,3588,0.9927072069954398,74400,0.0
200,fixed_q0,456,3481,0.9925648629254671,76200,0.0
200,fixed_q1,42,3817,0.9870154704326777,76794,1.0
200,fixed_q1,123,3749,0.9861572410543152,77599,1.0
200,fixed_q1,456,3736,0.986304710041858,78996,1.0
200,fixed_q2,42,4177,0.9654945306683466,77623,2.0
200,fixed_q2,123,4160,0.9654428500742207,72664,2.0
200,fixed_q2,456,4117,0.9661396296011681,77244,2.0
200,oracle,42,4642,0.561623246492986,71953,4.0
200,oracle,123,4637,0.5512994468218348,71683,4.0
200,oracle,456,4569,0.5529509867506718,75484,4.0
200,adaptive,42,4537,0.8679011617621042,73951,3.325066598152831
200,adaptive,123,4463,0.8735063507218702,74302,3.2936394713466663
200,adaptive,456,4505,0.866214587100663,73571,3.3069687784589035
