method,seed,tp_short,tp_long,tp_agg,jain_fairness,mean_qsrc_short,mean_qsrc_long,col_prob_npca
fixed_q0,42,494,475,969,0.9207937395192846,0.0,0.0,0.49290176036342986
fixed_q0,123,409,471,880,0.9438377535101404,0.0,0.0,0.5020689655172413
fixed_q0,456,445,462,907,0.9330365547981717,0.0,0.0,0.5097056981840952
fixed_q1,42,316,502,818,0.9101498952637449,1.0,1.0,0.3135089209855565
fixed_q1,123,533,447,980,0.8870252696911483,1.0,1.0,0.3294216261525566
fixed_q1,456,347,500,847,0.9123278438354422,1.0,1.0,0.32068965517241377
fixed_hetero,42,685,416,1101,0.9086487215813264,0.0,1.0,0.39651022864019253
fixed_hetero,123,618,416,1034,0.9200681560015146,0.0,1.0,0.41036088474970894
fixed_hetero,456,506,452,958,0.9681463352884088,0.0,1.0,0.3935483870967742
oracle_hetero,42,685,416,1101,0.9086487215813264,0.0,1.0,0.39651022864019253
oracle_hetero,123,618,416,1034,0.9200681560015146,0.0,1.0,0.41036088474970894
oracle_hetero,456,506,452,958,0.9681463352884088,0.0,1.0,0.3935483870967742
per_sta_adaptive,42,444,480,924,0.9067674922469093,0.14629629629629629,0.46567717996289426,0.468557336621455
per_sta_adaptive,123,446,484,930,0.9505231229119043,0.16842105263157894,0.2536997885835095,0.4529968454258675
per_sta_adaptive,456,383,477,860,0.9346881002931958,0.3889908256880734,0.18450184501845018,0.46
