ppdu_type,ppdu,qsrc,seed,aggregate_throughput
short,10,0,42,2299
short,10,0,123,2304
short,10,0,456,2286
short,10,1,42,2220
short,10,1,123,2219
short,10,1,456,2178
short,10,2,42,2020
short,10,2,123,2048
short,10,2,456,2024
short,10,3,42,1883
short,10,3,123,1835
short,10,3,456,1851
long,50,0,42,552
long,50,0,123,572
long,50,0,456,557
long,50,1,42,573
long,50,1,123,563
long,50,1,456,560
long,50,2,42,549
long,50,2,123,555
long,50,2,456,539
long,50,3,42,536
long,50,3,123,518
long,50,3,456,516
