method,snr_db,seed,aggregate_throughput,harq_success_rate,harq_tx_success,harq_tx_fail
arq_only_npca,6,42,1677,0.0,0,0
arq_only_npca,6,123,1625,0.0,0,0
arq_only_npca,6,456,1657,0.0,0,0
fixed_cw_npca_harq,6,42,1796,0.7067307692296366,441,183
fixed_cw_npca_harq,6,123,1779,0.6651162790687363,429,216
fixed_cw_npca_harq,6,456,1800,0.7147651006699417,426,170
arq_only_npca,8,42,1133,0.0,0,0
arq_only_npca,8,123,1159,0.0,0,0
arq_only_npca,8,456,1116,0.0,0,0
fixed_cw_npca_harq,8,42,1458,0.683999999999316,684,316
fixed_cw_npca_harq,8,123,1449,0.6757301107747475,671,322
fixed_cw_npca_harq,8,456,1421,0.6570862239834915,663,346
arq_only_npca,10,42,2044,0.0,0,0
arq_only_npca,10,123,2036,0.0,0,0
arq_only_npca,10,456,2026,0.0,0,0
fixed_cw_npca_harq,10,42,2070,0.7535714285687373,211,69
fixed_cw_npca_harq,10,123,2066,0.6477611940279171,217,118
fixed_cw_npca_harq,10,456,2097,0.7406143344684621,217,76
arq_only_npca,12,42,1677,0.0,0,0
arq_only_npca,12,123,1625,0.0,0,0
arq_only_npca,12,456,1657,0.0,0,0
fixed_cw_npca_harq,12,42,1796,0.7067307692296366,441,183
fixed_cw_npca_harq,12,123,1779,0.6651162790687363,429,216
fixed_cw_npca_harq,12,456,1800,0.7147651006699417,426,170
arq_only_npca,14,42,1133,0.0,0,0
arq_only_npca,14,123,1159,0.0,0,0
arq_only_npca,14,456,1116,0.0,0,0
fixed_cw_npca_harq,14,42,1458,0.683999999999316,684,316
fixed_cw_npca_harq,14,123,1449,0.6757301107747475,671,322
fixed_cw_npca_harq,14,456,1421,0.6570862239834915,663,346
arq_only_npca,16,42,2044,0.0,0,0
arq_only_npca,16,123,2036,0.0,0,0
arq_only_npca,16,456,2026,0.0,0,0
fixed_cw_npca_harq,16,42,2070,0.7535714285687373,211,69
fixed_cw_npca_harq,16,123,2066,0.6477611940279171,217,118
fixed_cw_npca_harq,16,456,2097,0.7406143344684621,217,76
arq_only_npca,18,42,1677,0.0,0,0
arq_only_npca,18,123,1625,0.0,0,0
arq_only_npca,18,456,1657,0.0,0,0
fixed_cw_npca_harq,18,42,1796,0.7067307692296366,441,183
fixed_cw_npca_harq,18,123,1779,0.6651162790687363,429,216
fixed_cw_npca_harq,18,456,1800,0.7147651006699417,426,170
arq_only_npca,20,42,1133,0.0,0,0
arq_only_npca,20,123,1159,0.0,0,0
arq_only_npca,20,456,1116,0.0,0,0
fixed_cw_npca_harq,20,42,1458,0.683999999999316,684,316
fixed_cw_npca_harq,20,123,1449,0.6757301107747475,671,322
fixed_cw_npca_harq,20,456,1421,0.6570862239834915,663,346
arq_only_npca,25,42,2044,0.0,0,0
arq_only_npca,25,123,2036,0.0,0,0
arq_only_npca,25,456,2026,0.0,0,0
fixed_cw_npca_harq,25,42,2070,0.7535714285687373,211,69
fixed_cw_npca_harq,25,123,2066,0.6477611940279171,217,118
fixed_cw_npca_harq,25,456,2097,0.7406143344684621,217,76
arq_only_npca,30,42,2293,0.0,0,0
arq_only_npca,30,123,2286,0.0,0,0
arq_only_npca,30,456,2297,0.0,0,0
fixed_cw_npca_harq,30,42,2317,0.7499999999812501,30,10
fixed_cw_npca_harq,30,123,2286,0.6666666666527779,32,16
fixed_cw_npca_harq,30,456,2301,0.779661016935938,46,13
