method,num_stas,seed,aggregate_throughput,collision_prob_npca,npca_transitions,npca_tx_truncated,truncated_frac
no_trunc_q0,5,42,1825,0.301056338028169,1404,0,0.0
no_trunc_q0,5,123,1828,0.29372117772259665,1430,0,0.0
no_trunc_q0,5,456,1835,0.3043782837127846,1434,0,0.0
no_trunc_qstar,5,42,1825,0.301056338028169,1404,0,0.0
no_trunc_qstar,5,123,1828,0.29372117772259665,1430,0,0.0
no_trunc_qstar,5,456,1835,0.3043782837127846,1434,0,0.0
trunc_q0,5,42,1955,0.2892009361417586,942,178,0.0595118689401538
trunc_q0,5,123,1915,0.2996688741721854,989,179,0.05927152317880795
trunc_q0,5,456,1924,0.30066006600660067,997,162,0.053465346534653464
trunc_qstar,5,42,1955,0.2892009361417586,942,178,0.0595118689401538
trunc_qstar,5,123,1915,0.2996688741721854,989,179,0.05927152317880795
trunc_qstar,5,456,1924,0.30066006600660067,997,162,0.053465346534653464
no_trunc_q0,10,42,1868,0.5039922574401161,2956,0,0.0
no_trunc_q0,10,123,1862,0.5151658767772512,2771,0,0.0
no_trunc_q0,10,456,1890,0.5166548547129696,2658,0,0.0
no_trunc_qstar,10,42,1868,0.5039922574401161,2956,0,0.0
no_trunc_qstar,10,123,1862,0.5151658767772512,2771,0,0.0
no_trunc_qstar,10,456,1890,0.5166548547129696,2658,0,0.0
trunc_q0,10,42,1997,0.49539806718821905,2045,237,0.05453290381960423
trunc_q0,10,123,1974,0.5114761476147615,1900,235,0.05288028802880288
trunc_q0,10,456,1976,0.5100292990759522,1825,239,0.053865224250619785
trunc_qstar,10,42,1997,0.49539806718821905,2045,237,0.05453290381960423
trunc_qstar,10,123,1974,0.5114761476147615,1900,235,0.05288028802880288
trunc_qstar,10,456,1976,0.5100292990759522,1825,239,0.053865224250619785
no_trunc_q0,20,42,1861,0.7273573613512435,5265,0,0.0
no_trunc_q0,20,123,1855,0.7297796543079562,5636,0,0.0
no_trunc_q0,20,456,1870,0.7318318711535944,5176,0,0.0
no_trunc_qstar,20,42,1861,0.7273573613512435,5265,0,0.0
no_trunc_qstar,20,123,1855,0.7297796543079562,5636,0,0.0
no_trunc_qstar,20,456,1870,0.7318318711535944,5176,0,0.0
trunc_q0,20,42,1986,0.7233961303462322,3892,390,0.049643584521384926
trunc_q0,20,123,1948,0.7201640815280093,3523,382,0.048968081015254454
trunc_q0,20,456,1980,0.7274102079395085,3644,367,0.04625078764965344
trunc_qstar,20,42,1986,0.7233961303462322,3892,390,0.049643584521384926
trunc_qstar,20,123,1948,0.7201640815280093,3523,382,0.048968081015254454
trunc_qstar,20,456,1980,0.7274102079395085,3644,367,0.04625078764965344
no_trunc_q0,30,42,1805,0.8336237656626007,8011,0,0.0
no_trunc_q0,30,123,1798,0.8411920636195679,8560,0,0.0
no_trunc_q0,30,456,1802,0.839406099518459,7399,0,0.0
no_trunc_qstar,30,42,1897,0.6817200986436498,6647,0,0.0
no_trunc_qstar,30,123,1841,0.6910730663405686,7290,0,0.0
no_trunc_qstar,30,456,1873,0.6838077747168656,6719,0,0.0
trunc_q0,30,42,1913,0.832701721143218,5859,545,0.04302858045160272
trunc_q0,30,123,1916,0.837037037037037,5892,604,0.04660493827160494
trunc_q0,30,456,1912,0.8403997577225923,5813,642,0.04860690490611751
trunc_qstar,30,42,1994,0.6836660352615475,5567,379,0.05522366312108407
trunc_qstar,30,123,1973,0.6851878717539532,5527,358,0.05193674742492384
trunc_qstar,30,456,1992,0.685166351881447,5282,335,0.04867063780328345
no_trunc_q0,50,42,1722,0.9237391374969545,12756,0,0.0
no_trunc_q0,50,123,1681,0.9248643216080402,12424,0,0.0
no_trunc_q0,50,456,1687,0.9264241754773552,13457,0,0.0
no_trunc_qstar,50,42,1860,0.6176525125162248,10395,0,0.0
no_trunc_qstar,50,123,1851,0.6003875968992248,10539,0,0.0
no_trunc_qstar,50,456,1859,0.619934282584885,9938,0,0.0
trunc_q0,50,42,1822,0.9235339210425451,9938,1283,0.049175929474894596
trunc_q0,50,123,1777,0.9211137804733961,9380,1175,0.046276239612461106
trunc_q0,50,456,1799,0.9235776742036131,9384,1029,0.03963637764338816
trunc_qstar,50,42,1970,0.6147368421052631,8746,329,0.05771929824561404
trunc_qstar,50,123,1985,0.6019927536231884,9168,324,0.058695652173913045
trunc_qstar,50,456,1974,0.6250429996560027,9731,351,0.06037151702786378
