method,num_stas,seed,aggregate_throughput,collision_prob_npca,npca_transitions,npca_tx_truncated,truncated_frac
no_trunc_q0,5,42,1848,0.3029045643153527,1308,0,0.0
no_trunc_q0,5,123,1826,0.30787836903939186,1451,0,0.0
no_trunc_q0,5,456,1838,0.30500863557858376,1348,0,0.0
no_trunc_qstar,5,42,1848,0.3029045643153527,1308,0,0.0
no_trunc_qstar,5,123,1826,0.30787836903939186,1451,0,0.0
no_trunc_qstar,5,456,1838,0.30500863557858376,1348,0,0.0
trunc_q0,5,42,1955,0.30386378519973806,953,171,0.055992141453831044
trunc_q0,5,123,1923,0.29260237780713344,933,180,0.059445178335535004
trunc_q0,5,456,1946,0.2975721784776903,875,169,0.055446194225721786
trunc_qstar,5,42,1955,0.30386378519973806,953,171,0.055992141453831044
trunc_qstar,5,123,1923,0.29260237780713344,933,180,0.059445178335535004
trunc_qstar,5,456,1946,0.2975721784776903,875,169,0.055446194225721786
no_trunc_q0,10,42,1883,0.5032211882605584,2691,0,0.0
no_trunc_q0,10,123,1895,0.4935507422730591,3000,0,0.0
no_trunc_q0,10,456,1931,0.4986851541955534,2562,0,0.0
no_trunc_qstar,10,42,1883,0.5032211882605584,2691,0,0.0
no_trunc_qstar,10,123,1895,0.4935507422730591,3000,0,0.0
no_trunc_qstar,10,456,1931,0.4986851541955534,2562,0,0.0
trunc_q0,10,42,1997,0.4972665148063781,1960,256,0.05831435079726652
trunc_q0,10,123,1996,0.5095768374164811,1854,243,0.054120267260579065
trunc_q0,10,456,2016,0.5059270856631626,1896,260,0.05815253858197271
trunc_qstar,10,42,1997,0.4972665148063781,1960,256,0.05831435079726652
trunc_qstar,10,123,1996,0.5095768374164811,1854,243,0.054120267260579065
trunc_qstar,10,456,2016,0.5059270856631626,1896,260,0.05815253858197271
no_trunc_q0,20,42,1885,0.728319162851537,5362,0,0.0
no_trunc_q0,20,123,1907,0.7199570815450643,5121,0,0.0
no_trunc_q0,20,456,1872,0.7322601416613007,4837,0,0.0
no_trunc_qstar,20,42,1885,0.728319162851537,5362,0,0.0
no_trunc_qstar,20,123,1907,0.7199570815450643,5121,0,0.0
no_trunc_qstar,20,456,1872,0.7322601416613007,4837,0,0.0
trunc_q0,20,42,1992,0.7306516689081795,3952,446,0.05452989363002812
trunc_q0,20,123,1998,0.7303301828894071,3943,411,0.05044801767521787
trunc_q0,20,456,2000,0.725764192139738,3801,421,0.05252651278852152
trunc_qstar,20,42,1992,0.7306516689081795,3952,446,0.05452989363002812
trunc_qstar,20,123,1998,0.7303301828894071,3943,411,0.05044801767521787
trunc_qstar,20,456,2000,0.725764192139738,3801,421,0.05252651278852152
no_trunc_q0,30,42,1874,0.831672568558017,7019,0,0.0
no_trunc_q0,30,123,1835,0.8382719023528467,8119,0,0.0
no_trunc_q0,30,456,1830,0.8390372621141852,8029,0,0.0
no_trunc_qstar,30,42,1924,0.684138766853507,6640,0,0.0
no_trunc_qstar,30,123,1886,0.6813590449954087,6735,0,0.0
no_trunc_qstar,30,456,1881,0.6792133968351514,6497,0,0.0
trunc_q0,30,42,1966,0.8337328899543732,5723,845,0.06534684092490914
trunc_q0,30,123,1927,0.8357235984354628,5814,557,0.042717999846614
trunc_q0,30,456,1950,0.8316924519456165,5881,489,0.038209095171120484
trunc_qstar,30,42,1979,0.6844438089791249,5758,398,0.05690591935945096
trunc_qstar,30,123,2007,0.6838097974428962,5936,380,0.054589857779054736
trunc_qstar,30,456,2022,0.6729550478997789,5668,390,0.05747973470891673
no_trunc_q0,50,42,1698,0.9227771010962241,12467,0,0.0
no_trunc_q0,50,123,1703,0.9250009910017045,12639,0,0.0
no_trunc_q0,50,456,1715,0.9242649123510771,12937,0,0.0
no_trunc_qstar,50,42,1880,0.6134923592992918,11510,0,0.0
no_trunc_qstar,50,123,1864,0.6184042358955633,9930,0,0.0
no_trunc_qstar,50,456,1887,0.612759643916914,10321,0,0.0
trunc_q0,50,42,1805,0.9233020409714568,10060,1087,0.041313519060469005
trunc_q0,50,123,1807,0.9234860572904795,9757,1185,0.04501937542739913
trunc_q0,50,456,1808,0.9222825877547876,9683,1118,0.04307787153700921
trunc_qstar,50,42,1993,0.6129201680672269,9909,380,0.0665266106442577
trunc_qstar,50,123,1986,0.6075612353567625,9459,296,0.05253816116435925
trunc_qstar,50,456,1969,0.6180747922437673,9616,331,0.057306094182825486
no_trunc_q0,70,42,1602,0.9543670642554829,16864,0,0.0
no_trunc_q0,70,123,1604,0.9562966650074664,18077,0,0.0
no_trunc_q0,70,456,1587,0.9581296136516154,18732,0,0.0
no_trunc_qstar,70,42,1859,0.7389168765743073,14825,0,0.0
no_trunc_qstar,70,123,1881,0.7400703871292107,14651,0,0.0
no_trunc_qstar,70,456,1843,0.7472351929220938,14341,0,0.0
trunc_q0,70,42,1687,0.9563177817514689,14000,1914,0.044448572954645736
trunc_q0,70,123,1672,0.9557394831163931,13717,1509,0.03558290888511602
trunc_q0,70,456,1714,0.9550620947093872,13688,1643,0.039314684980019624
trunc_qstar,70,42,1998,0.7302228753367622,14083,545,0.06674014205241244
trunc_qstar,70,123,1950,0.7402105761268188,13547,539,0.0637643440198746
trunc_qstar,70,456,1964,0.742018779342723,13070,571,0.067018779342723
no_trunc_q0,100,42,1448,0.9753586497890295,23757,0,0.0
no_trunc_q0,100,123,1426,0.974963822801749,22294,0,0.0
no_trunc_q0,100,456,1449,0.9756041812696188,24023,0,0.0
no_trunc_qstar,100,42,1896,0.5663329161451814,18947,0,0.0
no_trunc_qstar,100,123,1857,0.5802419354838709,19113,0,0.0
no_trunc_qstar,100,456,1890,0.5755176613885505,17946,0,0.0
trunc_q0,100,42,1505,0.9750581829359329,19314,2141,0.031338280712539704
trunc_q0,100,123,1499,0.9751326696197535,19461,2353,0.034399076063915325
trunc_q0,100,456,1548,0.9759763162740627,19935,2899,0.04106406787823845
trunc_qstar,100,42,1955,0.5850622406639004,17472,267,0.05035835533760845
trunc_qstar,100,123,1977,0.5817116946911014,18187,285,0.05384470054789344
trunc_qstar,100,456,2006,0.5809325246398787,18844,294,0.055724033358605006
no_trunc_q0,150,42,1257,0.9872321189700822,33548,0,0.0
no_trunc_q0,150,123,1246,0.9876187215023339,35698,0,0.0
no_trunc_q0,150,456,1200,0.988742355393078,39380,0,0.0
no_trunc_qstar,150,42,1841,0.7238387613454351,30542,0,0.0
no_trunc_qstar,150,123,1871,0.71894893674658,28671,0,0.0
no_trunc_qstar,150,456,1853,0.7354979466119097,28618,0,0.0
trunc_q0,150,42,1316,0.9869410716962499,28135,4126,0.03638159228985354
trunc_q0,150,123,1315,0.9871821811304896,28193,3921,0.03432969111157806
trunc_q0,150,456,1323,0.9869290256663202,27935,3624,0.03191995349410749
trunc_qstar,150,42,1946,0.7227809906965049,27121,555,0.06977621322604978
trunc_qstar,150,123,1954,0.7249624436654982,28185,561,0.07023034551827742
trunc_qstar,150,456,1953,0.7335430784123911,28766,511,0.06183446272991287
no_trunc_q0,200,42,1014,0.9933758295078848,50682,0,0.0
no_trunc_q0,200,123,994,0.993101680015628,48699,0,0.0
no_trunc_q0,200,456,1027,0.9930280229289669,48510,0,0.0
no_trunc_qstar,200,42,1856,0.565373260227752,34716,0,0.0
no_trunc_qstar,200,123,1822,0.5622609434764131,35516,0,0.0
no_trunc_qstar,200,456,1851,0.5618426588136306,34157,0,0.0
trunc_q0,200,42,1094,0.9927148290786822,37645,6280,0.037439339922975115
trunc_q0,200,123,1106,0.9928781428876734,40025,5868,0.03389380173165674
trunc_q0,200,456,1062,0.9928673992673993,37847,5826,0.034145054945054945
trunc_qstar,200,42,1918,0.5682406853954971,32099,267,0.05319784817692767
trunc_qstar,200,123,1920,0.551575046324892,32970,234,0.04817788758492897
trunc_qstar,200,456,1942,0.5611856599238935,35272,290,0.05808131383937513
