method,num_stas,snr_db_mean,seed,aggregate_throughput,packet_delivery_ratio,collision_prob_npca,npca_transition_count,phy_error_count,phy_error_rate,harq_success_count,harq_fail_count,total_tx
no_harq,20,20,42,1088,0.9251700680272109,0.7262012692656392,520,1019,0.2784913910904619,0,0,3659
no_harq,20,20,123,1082,0.9138513513513513,0.725228390723823,660,1043,0.26992753623188404,0,0,3864
no_harq,20,20,456,1050,0.9138381201044387,0.7158424140821459,520,1065,0.2909041245561322,0,0,3661
same_ch_harq,20,20,42,1242,0.9303370786516854,0.7295774647887324,540,902,0.23110427875992826,309,181,3903
same_ch_harq,20,20,123,1204,0.9183829138062548,0.7233902759526938,700,929,0.23341708542713568,324,183,3980
same_ch_harq,20,20,456,1221,0.9435857805255023,0.7038539553752535,540,931,0.2504708097928437,329,183,3717
cross_ch_harq,20,20,42,1276,0.9494047619047619,0.7095744680851064,460,874,0.23164590511529287,339,242,3773
cross_ch_harq,20,20,123,1238,0.9407294832826748,0.7327852004110997,460,895,0.23847588595790034,333,288,3753
cross_ch_harq,20,20,456,1261,0.952416918429003,0.7272727272727273,520,879,0.23743922204213938,360,248,3702
no_harq,5,20,42,918,0.9881593110871906,0.23480662983425415,280,912,0.4293785310734463,0,0,2124
no_harq,5,20,123,946,0.9895397489539749,0.23933649289099526,280,918,0.4165154264972777,0,0,2204
no_harq,5,20,456,936,0.9883843717001056,0.261455525606469,265,933,0.42159963849977405,0,0,2213
same_ch_harq,5,20,42,1204,0.9966887417218543,0.2597809076682316,215,779,0.324448146605581,451,140,2401
same_ch_harq,5,20,123,1255,0.9984089101034208,0.26204238921001927,170,766,0.3174471612101119,494,108,2413
same_ch_harq,5,20,456,1195,0.9958333333333333,0.2897350993377483,230,778,0.3202964182791272,484,131,2429
cross_ch_harq,5,20,42,1293,0.9976851851851852,0.24107142857142858,165,749,0.3053403995108031,548,147,2453
cross_ch_harq,5,20,123,1282,0.993798449612403,0.293591654247392,225,713,0.28703703703703703,510,143,2484
cross_ch_harq,5,20,456,1264,0.9968454258675079,0.288,245,727,0.29468990676935547,546,170,2467
no_harq,10,20,42,1046,0.9703153988868275,0.47474747474747475,380,973,0.3619791666666667,0,0,2688
no_harq,10,20,123,1045,0.9739049394221808,0.4689403166869671,390,985,0.3649499814746202,0,0,2699
no_harq,10,20,456,952,0.9684638860630722,0.4659248956884562,400,1038,0.3934799090219864,0,0,2638
same_ch_harq,10,20,42,1203,0.9812398042414355,0.46381578947368424,350,847,0.30423850574712646,407,142,2784
same_ch_harq,10,20,123,1227,0.9823859087269816,0.48056155507559395,400,850,0.28803795323619114,397,166,2951
same_ch_harq,10,20,456,1216,0.9782783588093322,0.476905311778291,410,883,0.2910349373764008,405,171,3034
cross_ch_harq,10,20,42,1285,0.9861857252494244,0.4947994056463596,360,794,0.26970108695652173,450,207,2944
cross_ch_harq,10,20,123,1255,0.9812353401094606,0.49746192893401014,350,845,0.2816666666666667,455,209,3000
cross_ch_harq,10,20,456,1279,0.9884080370942813,0.47853535353535354,369,819,0.2764090448869389,472,192,2963
no_harq,30,20,42,1041,0.8408723747980614,0.8177200902934537,1020,1092,0.23488922348892236,0,0,4649
no_harq,30,20,123,1105,0.8308270676691729,0.8286088094199738,1080,1063,0.209251968503937,0,0,5080
no_harq,30,20,456,1032,0.8315874294923449,0.828838174273859,990,1112,0.23430257058575643,0,0,4746
same_ch_harq,30,20,42,1264,0.8851540616246498,0.8296488946684005,840,919,0.1967458788268037,274,172,4671
same_ch_harq,30,20,123,1191,0.8881431767337807,0.8203636363636364,600,974,0.21091381550454744,239,219,4618
same_ch_harq,30,20,456,1197,0.8556111508220158,0.8338999514327343,1109,966,0.19000786782061369,231,180,5084
cross_ch_harq,30,20,42,1195,0.8812684365781711,0.8256599140577041,780,973,0.21083423618634886,281,286,4615
cross_ch_harq,30,20,123,1224,0.8895348837209303,0.8289817232375979,720,950,0.2025586353944563,250,274,4690
cross_ch_harq,30,20,456,1234,0.8653576437587658,0.8249088066701407,959,927,0.18338278931750743,281,287,5055
no_harq,50,20,42,1081,0.7107166337935569,0.9267332727823191,1300,1086,0.15445882520267387,0,0,7031
no_harq,50,20,123,1048,0.7038280725319006,0.9238501370697533,1250,1114,0.16100592571180805,0,0,6919
no_harq,50,20,456,1083,0.7453544390915348,0.9224047535826634,1200,1072,0.16479631053036126,0,0,6505
same_ch_harq,50,20,42,1142,0.7339331619537275,0.9227748691099477,1300,1035,0.1493722037812094,183,201,6929
same_ch_harq,50,20,123,1164,0.697841726618705,0.9242312423124232,1600,1009,0.13000901945625565,167,195,7761
same_ch_harq,50,20,456,1186,0.7612323491655969,0.9184021850460908,1100,992,0.14828101644245142,206,199,6690
cross_ch_harq,50,20,42,1185,0.7689811810512654,0.9313253012048193,1100,991,0.15392979186082634,216,355,6438
cross_ch_harq,50,20,123,1186,0.6988803771361226,0.9212800747488904,1550,979,0.12353312302839117,195,368,7925
cross_ch_harq,50,20,456,1190,0.7652733118971061,0.9240552325581395,1050,990,0.1504102096627165,215,330,6582
