method,num_stas,snr_db_mean,seed,aggregate_throughput,packet_delivery_ratio,collision_prob_npca,npca_transition_count,phy_error_count,phy_error_rate,harq_success_count,harq_fail_count,total_tx
no_harq,20,20,42,97,1.0,0.0,0,110,0.3151862464183381,0,0,349
no_harq,20,20,123,115,0.9126984126984127,0.6887417218543046,60,101,0.21814254859611232,0,0,463
no_harq,20,20,456,106,1.0,0.0,0,108,0.3185840707964602,0,0,339
same_ch_harq,20,20,42,130,0.9701492537313433,0.696969696969697,40,86,0.19815668202764977,29,17,434
same_ch_harq,20,20,123,121,0.952755905511811,0.6821192052980133,60,97,0.21603563474387527,23,19,449
same_ch_harq,20,20,456,126,0.9473684210526315,0.7767857142857143,80,91,0.19696969696969696,19,19,462
cross_ch_harq,20,20,42,130,0.9558823529411765,0.7222222222222222,40,86,0.20046620046620048,30,26,429
cross_ch_harq,20,20,123,127,0.9621212121212122,0.6752136752136753,60,89,0.2,27,32,445
cross_ch_harq,20,20,456,131,0.9849624060150376,0.7352941176470589,40,84,0.21428571428571427,33,21,392
no_harq,5,20,42,85,0.9883720930232558,0.22916666666666666,10,98,0.45161290322580644,0,0,217
no_harq,5,20,123,98,0.98989898989899,0.16923076923076924,25,95,0.42035398230088494,0,0,226
no_harq,5,20,456,92,0.9787234042553191,0.30952380952380953,40,99,0.4248927038626609,0,0,233
same_ch_harq,5,20,42,112,0.9911504424778761,0.2261904761904762,20,90,0.35714285714285715,47,16,252
same_ch_harq,5,20,123,130,1.0,0.2857142857142857,10,73,0.2979591836734694,44,12,245
same_ch_harq,5,20,456,127,0.9921875,0.3670886075949367,35,82,0.31417624521072796,40,14,261
cross_ch_harq,5,20,42,127,1.0,0.24,15,76,0.29457364341085274,51,24,258
cross_ch_harq,5,20,123,113,0.9826086956521739,0.22,20,79,0.3237704918032787,51,20,244
cross_ch_harq,5,20,456,123,1.0,0.38571428571428573,30,82,0.3166023166023166,62,16,259
no_harq,10,20,42,96,0.9696969696969697,0.4946236559139785,30,113,0.386986301369863,0,0,292
no_harq,10,20,123,102,0.9807692307692307,0.4444444444444444,10,106,0.3719298245614035,0,0,285
no_harq,10,20,456,94,0.9894736842105263,0.4857142857142857,40,112,0.4,0,0,280
same_ch_harq,10,20,42,132,0.9924812030075187,0.5681818181818182,30,82,0.26198083067092653,35,16,313
same_ch_harq,10,20,123,117,0.9915254237288136,0.45569620253164556,40,96,0.3028391167192429,34,19,317
same_ch_harq,10,20,456,117,1.0,0.559322033898305,50,90,0.27522935779816515,40,11,327
cross_ch_harq,10,20,42,120,0.9836065573770492,0.6296296296296297,20,90,0.2702702702702703,42,25,333
cross_ch_harq,10,20,123,126,0.9921259842519685,0.4482758620689655,30,87,0.27531645569620256,50,21,316
cross_ch_harq,10,20,456,129,0.9923076923076923,0.5098039215686274,40,86,0.26299694189602446,45,21,327
no_harq,30,20,42,119,0.9224806201550387,0.8071428571428572,60,102,0.18647166361974407,0,0,547
no_harq,30,20,123,114,0.8571428571428571,0.8174603174603174,90,105,0.1693548387096774,0,0,620
no_harq,30,20,456,115,0.8518518518518519,0.8564356435643564,150,108,0.18305084745762712,0,0,590
same_ch_harq,30,20,42,125,0.9259259259259259,0.8014705882352942,60,95,0.1721014492753623,21,17,552
same_ch_harq,30,20,123,119,0.952,0.8292682926829268,30,101,0.20739219712525667,21,22,487
same_ch_harq,30,20,456,133,0.8926174496644296,0.8453038674033149,150,88,0.1456953642384106,15,19,604
cross_ch_harq,30,20,42,131,0.8791946308724832,0.8112449799196787,90,89,0.14858096828046743,17,25,599
cross_ch_harq,30,20,123,119,0.952,0.8292682926829268,30,101,0.20739219712525667,21,24,487
cross_ch_harq,30,20,456,129,0.8775510204081632,0.8488372093023255,150,91,0.14653784219001612,26,34,621
no_harq,50,20,42,122,0.8026315789473685,0.8888888888888888,100,95,0.10907003444316878,0,0,871
no_harq,50,20,123,111,0.8951612903225806,0.9397590361445783,50,108,0.1619190404797601,0,0,667
no_harq,50,20,456,110,0.6962025316455697,0.9421686746987952,200,104,0.10754912099276112,0,0,967
same_ch_harq,50,20,42,114,0.8382352941176471,0.9193548387096774,50,104,0.1440443213296399,20,19,722
same_ch_harq,50,20,123,111,0.9024390243902439,0.9382716049382716,50,108,0.16289592760180996,13,16,663
same_ch_harq,50,20,456,104,0.6666666666666666,0.9476082004555809,200,108,0.1134453781512605,10,18,952
cross_ch_harq,50,20,42,120,0.8571428571428571,0.9193548387096774,50,98,0.14040114613180515,19,29,698
cross_ch_harq,50,20,123,117,0.9285714285714286,0.9342105263157895,50,100,0.15060240963855423,17,14,664
cross_ch_harq,50,20,456,104,0.6666666666666666,0.9476082004555809,200,108,0.1134453781512605,11,45,952
