method,num_stas,snr_db_mean,seed,aggregate_throughput,packet_delivery_ratio,collision_prob_npca,npca_transition_count,phy_error_count,phy_error_rate,harq_success_count,harq_fail_count,total_tx
no_harq,20,20,42,1068,0.7970149253731343,0.716296826533047,2000,1123,0.1998220640569395,0,0,5620
no_harq,20,20,123,1057,0.8155864197530864,0.711051930758988,1860,1136,0.21313320825515947,0,0,5330
no_harq,20,20,456,1072,0.8048048048048048,0.7252969421278747,2159,1129,0.20415913200723326,0,0,5530
same_ch_harq,20,20,42,1198,0.8424753867791842,0.7085858585858585,1920,997,0.18100944081336237,188,214,5508
same_ch_harq,20,20,123,1200,0.8391608391608392,0.7209242618741977,1960,1018,0.18227394807520142,194,208,5585
same_ch_harq,20,20,456,1172,0.8230337078651685,0.7141855573732181,2280,1042,0.17977915804002761,199,218,5796
cross_ch_harq,20,20,42,1260,0.8707671043538355,0.7146042363433668,1860,955,0.17797241893402907,319,415,5366
cross_ch_harq,20,20,123,1234,0.849862258953168,0.724601593625498,2020,964,0.1690931415541133,288,496,5701
cross_ch_harq,20,20,456,1202,0.8494699646643109,0.7257534246575342,1820,998,0.18332108743570905,310,480,5444
no_harq,5,20,42,944,0.980269989615784,0.26249067859806113,465,992,0.4124740124740125,0,0,2405
no_harq,5,20,123,991,0.9802176063303659,0.26820728291316526,499,981,0.3966841892438334,0,0,2473
no_harq,5,20,456,983,0.9879396984924623,0.26339969372128635,500,962,0.40033291718684977,0,0,2403
same_ch_harq,5,20,42,1218,0.9926650366748166,0.258037922506183,440,813,0.3208366219415943,427,117,2534
same_ch_harq,5,20,123,1193,0.9949958298582152,0.2751358695652174,470,864,0.3293938238658025,407,133,2623
same_ch_harq,5,20,456,1232,0.9951534733441034,0.2814070351758794,485,836,0.31124348473566643,412,135,2686
cross_ch_harq,5,20,42,1315,0.9992401215805471,0.25608011444921314,470,753,0.2866387514274838,560,160,2627
cross_ch_harq,5,20,123,1308,0.9931662870159453,0.29117094552285533,534,747,0.2773858150761233,556,192,2693
cross_ch_harq,5,20,456,1299,0.9969301611665388,0.27712609970674484,510,775,0.2920120572720422,571,193,2654
no_harq,10,20,42,1090,0.9527972027972028,0.4845122515025428,970,1041,0.3055474024068095,0,0,3407
no_harq,10,20,123,1099,0.9573170731707317,0.4645406949071871,1010,1043,0.31078665077473183,0,0,3356
no_harq,10,20,456,1089,0.946133796698523,0.4698397737983035,1040,1054,0.31,0,0,3400
same_ch_harq,10,20,42,1222,0.9652448657187994,0.4601320467242255,960,940,0.27199074074074076,297,169,3456
same_ch_harq,10,20,123,1256,0.9691358024691358,0.4691597863040311,970,915,0.26848591549295775,285,146,3408
same_ch_harq,10,20,456,1235,0.9678683385579937,0.45818728092138206,990,951,0.27541268462206775,303,165,3453
cross_ch_harq,10,20,42,1284,0.9727272727272728,0.4807520143240824,1010,899,0.25139821029082776,451,324,3576
cross_ch_harq,10,20,123,1349,0.9825200291332847,0.47585290208241027,1010,835,0.23239632618981354,452,270,3593
cross_ch_harq,10,20,456,1296,0.9818181818181818,0.4728317659352142,950,894,0.25674899483055713,463,256,3482
no_harq,30,20,42,1104,0.6835913312693499,0.8260309278350515,2970,1100,0.1374656335916021,0,0,8002
no_harq,30,20,123,1105,0.6593078758949881,0.8333833683578505,3060,1088,0.12819606456934135,0,0,8487
no_harq,30,20,456,1094,0.6782393056416615,0.8291128900506454,2940,1122,0.14016239850093692,0,0,8005
same_ch_harq,30,20,42,1199,0.7111506524317912,0.8205086403651777,2730,1011,0.1253720238095238,151,189,8064
same_ch_harq,30,20,123,1192,0.7107930828861061,0.8297977306364085,2820,1019,0.1263484190948543,155,230,8065
same_ch_harq,30,20,456,1152,0.6812536960378475,0.8316927545586574,3060,1062,0.12893043583829064,149,230,8237
cross_ch_harq,30,20,42,1235,0.7109959700633276,0.8272451746690063,2940,968,0.11726226529376135,203,574,8255
cross_ch_harq,30,20,123,1201,0.6906267970097757,0.833616823875058,3090,1002,0.11893175074183976,201,601,8425
cross_ch_harq,30,20,456,1187,0.7154912597950572,0.8350757029560202,2730,1010,0.13123700623700624,228,530,7696
no_harq,50,20,42,1088,0.4336388999601435,0.9203413940256046,5350,1072,0.06849840255591054,0,0,15650
no_harq,50,20,123,1112,0.42687140115163147,0.9228408279800143,5450,1039,0.06401330786766064,0,0,16231
no_harq,50,20,456,1056,0.4304932735426009,0.923297213622291,5099,1088,0.07133490689745607,0,0,15252
same_ch_harq,50,20,42,1132,0.4520766773162939,0.9226125986689367,4950,1020,0.06653620352250489,88,201,15330
same_ch_harq,50,20,123,1123,0.455762987012987,0.9183898105196949,4900,1032,0.06856231730002657,110,231,15052
same_ch_harq,50,20,456,1097,0.46189473684210525,0.9236339142881199,4450,1051,0.07244778382849659,110,255,14507
cross_ch_harq,50,20,42,1138,0.43685220729366603,0.9196850393700787,5300,1010,0.0624729387022948,131,810,16167
cross_ch_harq,50,20,123,1099,0.42448821938972575,0.9245649359988494,5550,1051,0.06494469505036149,138,840,16183
cross_ch_harq,50,20,456,1170,0.483271375464684,0.9223666210670315,4649,999,0.0697138869504536,147,734,14330
