access,w_eff,n_nat,n_vis,c,tau_nat,epochs,idle_frac
rts,210,2,0,1.05,0.09494,11275,0.8211
rts,210,2,0,1.2,0.09359,11401,0.823
rts,210,2,0,1.6,0.09194,10850,0.8139
rts,210,2,5,1.05,0.08963,10599,0.8125
rts,210,2,5,1.2,0.08666,9710,0.792
rts,210,2,5,1.6,0.07482,8093,0.7294
rts,210,2,20,1.05,0.08427,8775,0.7789
rts,210,2,20,1.2,0.07845,8260,0.7454
rts,210,2,20,1.6,0.06511,7418,0.6864
rts,210,2,50,1.05,0.07495,7605,0.7315
rts,210,2,50,1.2,0.07038,7062,0.6954
rts,210,2,50,1.6,0.06344,6865,0.6414
rts,210,5,0,1.05,0.07222,7566,0.6971
rts,210,5,0,1.2,0.07221,7558,0.6969
rts,210,5,0,1.6,0.07141,7730,0.7013
rts,210,5,5,1.05,0.07023,7424,0.6928
rts,210,5,5,1.2,0.06886,7171,0.6833
rts,210,5,5,1.6,0.06082,6886,0.6574
rts,210,5,20,1.05,0.06539,6763,0.6726
rts,210,5,20,1.2,0.0614,6795,0.6625
rts,210,5,20,1.6,0.05526,6153,0.614
rts,210,5,50,1.05,0.05945,6069,0.6304
rts,210,5,50,1.2,0.05673,6138,0.6123
rts,210,5,50,1.6,0.05222,5787,0.5706
rts,210,10,0,1.05,0.05507,6490,0.6076
rts,210,10,0,1.2,0.05507,6490,0.6076
rts,210,10,0,1.6,0.05511,6498,0.6073
rts,210,10,5,1.05,0.05334,6318,0.6005
rts,210,10,5,1.2,0.05356,6288,0.5961
rts,210,10,5,1.6,0.05224,6305,0.5864
rts,210,10,20,1.05,0.05239,5967,0.5773
rts,210,10,20,1.2,0.05205,5941,0.5681
rts,210,10,20,1.6,0.04759,5833,0.5507
rts,210,10,50,1.05,0.04872,5741,0.5501
rts,210,10,50,1.2,0.04704,5549,0.5387
rts,210,10,50,1.6,0.04536,5796,0.5159
rts,210,20,0,1.05,0.0438,6849,0.5207
rts,210,20,0,1.2,0.0438,6849,0.5207
