access,n_vis,w_eff,c,T,rho,T_oracle,rho_oracle,T_ratio
basic,5,420,1.05,0.62421,0.10911,0.61013,1.61969,1.02309
basic,5,420,1.1,0.63033,0.12453,0.61013,1.61969,1.03311
basic,5,420,1.15,0.63121,0.16736,0.61013,1.61969,1.03456
basic,5,420,1.2,0.63557,0.21512,0.61013,1.61969,1.04169
basic,5,420,1.3,0.62461,0.29639,0.61013,1.61969,1.02374
basic,5,420,1.4,0.62154,0.42236,0.61013,1.61969,1.01871
basic,5,420,1.5,0.60695,0.5619,0.61013,1.61969,0.99479
basic,5,420,1.6,0.60889,0.7138,0.61013,1.61969,0.99797
basic,5,420,1.75,0.59388,0.89234,0.61013,1.61969,0.97338
basic,5,420,1.9,0.57573,1.04531,0.61013,1.61969,0.94362
basic,5,420,2.1,0.54866,1.17441,0.61013,1.61969,0.89926
basic,10,420,1.05,0.62834,0.14804,0.56185,1.32506,1.11833
basic,10,420,1.1,0.63975,0.18103,0.56185,1.32506,1.13864
basic,10,420,1.15,0.63514,0.22199,0.56185,1.32506,1.13044
basic,10,420,1.2,0.62379,0.25907,0.56185,1.32506,1.11024
basic,10,420,1.3,0.61484,0.35394,0.56185,1.32506,1.09432
basic,10,420,1.4,0.61492,0.48488,0.56185,1.32506,1.09445
basic,10,420,1.5,0.60802,0.58396,0.56185,1.32506,1.08217
basic,10,420,1.6,0.58691,0.65136,0.56185,1.32506,1.04461
basic,10,420,1.75,0.57562,0.74286,0.56185,1.32506,1.0245
basic,10,420,1.9,0.54868,0.82483,0.56185,1.32506,0.97656
basic,10,420,2.1,0.53325,0.87564,0.56185,1.32506,0.9491
basic,20,420,1.05,0.62372,0.19876,0.53336,1.09842,1.16941
basic,20,420,1.1,0.62271,0.24246,0.53336,1.09842,1.16753
basic,20,420,1.15,0.62901,0.27237,0.53336,1.09842,1.17932
basic,20,420,1.2,0.61054,0.31284,0.53336,1.09842,1.14471
basic,20,420,1.3,0.60492,0.40308,0.53336,1.09842,1.13417
basic,20,420,1.4,0.59581,0.48824,0.53336,1.09842,1.11708
basic,20,420,1.5,0.59363,0.55261,0.53336,1.09842,1.113
basic,20,420,1.6,0.57466,0.60926,0.53336,1.09842,1.07743
basic,20,420,1.75,0.55352,0.67461,0.53336,1.09842,1.0378
basic,20,420,1.9,0.52887,0.73301,0.53336,1.09842,0.99157
basic,20,420,2.1,0.51542,0.78174,0.53336,1.09842,0.96636
basic,50,420,1.05,0.62028,0.3425,0.49058,0.9462,1.26438
basic,50,420,1.1,0.61234,0.38474,0.49058,0.9462,1.24819
basic,50,420,1.15,0.61413,0.43463,0.49058,0.9462,1.25184
basic,50,420,1.2,0.5961,0.46417,0.49058,0.9462,1.2151
basic,50,420,1.3,0.59124,0.52405,0.49058,0.9462,1.20519
basic,50,420,1.4,0.57427,0.58266,0.49058,0.9462,1.1706
basic,50,420,1.5,0.56026,0.62246,0.49058,0.9462,1.14205
basic,50,420,1.6,0.5614,0.65447,0.49058,0.9462,1.14437
basic,50,420,1.75,0.52444,0.67509,0.49058,0.9462,1.06902
basic,50,420,1.9,0.51751,0.70118,0.49058,0.9462,1.0549
basic,50,420,2.1,0.48789,0.72171,0.49058,0.9462,0.99452
basic,20,100,1.05,0.62566,0.32835,0.50933,0.72959,1.22841
basic,20,100,1.1,0.63705,0.32884,0.50933,0.72959,1.25077
basic,20,100,1.15,0.6309,0.33066,0.50933,0.72959,1.2387
basic,20,100,1.2,0.63539,0.34961,0.50933,0.72959,1.24752
basic,20,100,1.3,0.63643,0.34503,0.50933,0.72959,1.24955
basic,20,100,1.4,0.6294,0.3358,0.50933,0.72959,1.23575
basic,20,100,1.5,0.62498,0.36653,0.50933,0.72959,1.22708
basic,20,100,1.6,0.6029,0.38472,0.50933,0.72959,1.18372
basic,20,100,1.75,0.59596,0.40124,0.50933,0.72959,1.17009
basic,20,100,1.9,0.57439,0.39912,0.50933,0.72959,1.12775
basic,20,100,2.1,0.5603,0.42408,0.50933,0.72959,1.10008
basic,20,200,1.05,0.65383,0.27125,0.51943,0.96659,1.25875
basic,20,200,1.1,0.65545,0.31024,0.51943,0.96659,1.26186
basic,20,200,1.15,0.64795,0.32858,0.51943,0.96659,1.24743
basic,20,200,1.2,0.64318,0.36676,0.51943,0.96659,1.23824
basic,20,200,1.3,0.63889,0.38979,0.51943,0.96659,1.22999
basic,20,200,1.4,0.62225,0.44797,0.51943,0.96659,1.19794
basic,20,200,1.5,0.61347,0.45955,0.51943,0.96659,1.18104
basic,20,200,1.6,0.59505,0.48858,0.51943,0.96659,1.14559
basic,20,200,1.75,0.59392,0.52848,0.51943,0.96659,1.1434
basic,20,200,1.9,0.60285,0.55993,0.51943,0.96659,1.16061
basic,20,200,2.1,0.5781,0.56844,0.51943,0.96659,1.11296
basic,20,840,1.05,0.64096,0.1461,0.52788,1.1596,1.21421
basic,20,840,1.1,0.63889,0.22584,0.52788,1.1596,1.21029
basic,20,840,1.15,0.62625,0.3193,0.52788,1.1596,1.18635
basic,20,840,1.2,0.61467,0.40164,0.52788,1.1596,1.16442
basic,20,840,1.3,0.58219,0.53514,0.52788,1.1596,1.10289
basic,20,840,1.4,0.56053,0.64049,0.52788,1.1596,1.06185
basic,20,840,1.5,0.53635,0.73622,0.52788,1.1596,1.01605
basic,20,840,1.6,0.52355,0.79348,0.52788,1.1596,0.99179
basic,20,840,1.75,0.4982,0.85802,0.52788,1.1596,0.94377
basic,20,840,1.9,0.48242,0.89035,0.52788,1.1596,0.91389
basic,20,840,2.1,0.46023,0.94054,0.52788,1.1596,0.87184
basic,20,1680,1.05,0.66735,0.15623,0.52195,1.18434,1.27855
basic,20,1680,1.1,0.64575,0.36522,0.52195,1.18434,1.23718
basic,20,1680,1.15,0.61727,0.53418,0.52195,1.18434,1.18261
basic,20,1680,1.2,0.58999,0.65243,0.52195,1.18434,1.13035
basic,20,1680,1.3,0.55269,0.80851,0.52195,1.18434,1.05889
basic,20,1680,1.4,0.5178,0.88116,0.52195,1.18434,0.99204
basic,20,1680,1.5,0.50142,0.93409,0.52195,1.18434,0.96066
basic,20,1680,1.6,0.47571,0.97216,0.52195,1.18434,0.9114
basic,20,1680,1.75,0.45694,1.01181,0.52195,1.18434,0.87545
basic,20,1680,1.9,0.43509,1.06736,0.52195,1.18434,0.83358
basic,20,1680,2.1,0.40383,1.07461,0.52195,1.18434,0.77369
rts,5,420,1.05,0.71827,0.11425,0.73496,1.60258,0.97729
rts,5,420,1.1,0.71746,0.15567,0.73496,1.60258,0.97618
rts,5,420,1.15,0.718,0.20025,0.73496,1.60258,0.97692
rts,5,420,1.2,0.71859,0.23803,0.73496,1.60258,0.97773
rts,5,420,1.3,0.71819,0.38255,0.73496,1.60258,0.97718
rts,5,420,1.4,0.71769,0.55856,0.73496,1.60258,0.9765
rts,5,420,1.5,0.71523,0.70464,0.73496,1.60258,0.97315
rts,5,420,1.6,0.71636,0.896,0.73496,1.60258,0.97469
rts,5,420,1.75,0.7116,1.14216,0.73496,1.60258,0.96821
rts,5,420,1.9,0.70497,1.28717,0.73496,1.60258,0.95919
rts,5,420,2.1,0.69072,1.48858,0.73496,1.60258,0.93981
rts,10,420,1.05,0.71854,0.14259,0.7319,1.34556,0.98175
