obss_duration,weff,num_stas,npca_qsrc,seed,aggregate_throughput,collision_probability_npca,npca_transition_count
40,20,5,0,42,147,0.19148936170212766,190
40,20,5,0,123,154,0.3211009174311927,194
40,20,5,0,456,142,0.25,190
40,20,5,1,42,125,0.1951219512195122,200
40,20,5,1,123,141,0.14634146341463414,210
40,20,5,1,456,140,0.16,200
40,20,5,2,42,129,0.10714285714285714,198
40,20,5,2,123,120,0.1509433962264151,182
40,20,5,2,456,128,0.03389830508474576,207
40,20,5,3,42,101,0.0,65
40,20,5,3,123,96,0.0,63
40,20,5,3,456,105,0.0,78
40,20,5,4,42,91,0.0,49
40,20,5,4,123,83,0.0,63
40,20,5,4,456,93,0.0,67
40,20,5,5,42,98,0.0,1
40,20,5,5,123,99,0.0,0
40,20,5,5,456,92,0.0,4
40,20,10,0,42,147,0.48554913294797686,459
40,20,10,0,123,147,0.4306569343065693,399
40,20,10,0,456,140,0.49122807017543857,449
40,20,10,1,42,143,0.3217391304347826,420
40,20,10,1,123,151,0.2672413793103448,440
40,20,10,1,456,124,0.24324324324324326,460
40,20,10,2,42,139,0.1038961038961039,419
40,20,10,2,123,134,0.15853658536585366,394
40,20,10,2,456,125,0.08571428571428572,388
40,20,10,3,42,109,0.0,169
40,20,10,3,123,114,0.0,168
40,20,10,3,456,111,0.1,225
40,20,10,4,42,92,0.0,92
40,20,10,4,123,93,0.0,77
40,20,10,4,456,88,0.0,146
40,20,10,5,42,94,0.0,30
40,20,10,5,123,99,0.0,39
40,20,10,5,456,85,0.0,48
40,20,20,0,42,125,0.768976897689769,720
40,20,20,0,123,131,0.7710843373493976,760
40,20,20,0,456,129,0.7360703812316716,920
40,20,20,1,42,142,0.4840764331210191,840
40,20,20,1,123,123,0.4383561643835616,840
40,20,20,1,456,131,0.417910447761194,780
40,20,20,2,42,136,0.3153153153153153,791
40,20,20,2,123,136,0.2807017543859649,831
40,20,20,2,456,142,0.21428571428571427,892
40,20,20,3,42,125,0.1509433962264151,487
40,20,20,3,123,101,0.125,460
40,20,20,3,456,123,0.044444444444444446,363
40,20,20,4,42,102,0.0,261
40,20,20,4,123,106,0.0,233
40,20,20,4,456,103,0.07407407407407407,338
40,20,20,5,42,94,0.0,63
40,20,20,5,123,102,0.0,38
40,20,20,5,456,91,0.0,78
40,20,30,0,42,138,0.8739054290718039,1170
40,20,30,0,123,128,0.8876560332871013,1260
40,20,30,0,456,129,0.8775834658187599,1230
40,20,30,1,42,144,0.576530612244898,1260
40,20,30,1,123,130,0.5384615384615384,1170
40,20,30,1,456,128,0.6218487394957983,1350
40,20,30,2,42,130,0.35454545454545455,1101
40,20,30,2,123,144,0.3790322580645161,1191
40,20,30,2,456,135,0.32592592592592595,1375
40,20,30,3,42,111,0.29411764705882354,804
40,20,30,3,123,113,0.1643835616438356,757
40,20,30,3,456,114,0.1728395061728395,833
40,20,30,4,42,94,0.25,473
40,20,30,4,123,101,0.06666666666666667,446
40,20,30,4,456,108,0.0,342
40,20,30,5,42,97,0.0,201
40,20,30,5,123,87,0.18181818181818182,143
40,20,30,5,456,94,0.0,171
40,20,50,0,42,111,0.9614105123087159,1850
40,20,50,0,123,114,0.9772631578947368,2100
40,20,50,0,456,114,0.9746317512274959,2300
40,20,50,1,42,120,0.7268722466960352,1550
40,20,50,1,123,136,0.7791878172588832,2200
40,20,50,1,456,122,0.8045454545454546,2150
40,20,50,2,42,124,0.4666666666666667,1789
40,20,50,2,123,131,0.5568862275449101,1842
40,20,50,2,456,137,0.5301204819277109,1947
40,20,50,3,42,123,0.24742268041237114,1531
40,20,50,3,123,137,0.31932773109243695,1452
40,20,50,3,456,119,0.22988505747126436,1230
40,20,50,4,42,104,0.15789473684210525,663
40,20,50,4,123,103,0.045454545454545456,751
40,20,50,4,456,106,0.0,938
40,20,50,5,42,98,0.0,324
40,20,50,5,123,99,0.0,252
40,20,50,5,456,88,0.0,260
80,60,5,0,42,139,0.297029702970297,100
80,60,5,0,123,133,0.29473684210526313,90
80,60,5,0,456,149,0.3025210084033613,115
80,60,5,1,42,122,0.16417910447761194,90
80,60,5,1,123,131,0.1935483870967742,120
80,60,5,1,456,130,0.1891891891891892,100
80,60,5,2,42,119,0.044444444444444446,85
80,60,5,2,123,122,0.11940298507462686,110
80,60,5,2,456,121,0.037037037037037035,100
80,60,5,3,42,119,0.05714285714285714,90
80,60,5,3,123,121,0.044444444444444446,109
80,60,5,3,456,109,0.0,89
80,60,5,4,42,94,0.0,29
80,60,5,4,123,92,0.0,18
80,60,5,4,456,90,0.0,18
80,60,5,5,42,94,0.0,1
80,60,5,5,123,78,0.0,1
80,60,5,5,456,90,0.0,3
80,60,10,0,42,132,0.5087719298245614,220
80,60,10,0,123,134,0.4726027397260274,200
80,60,10,0,456,128,0.4935064935064935,200
80,60,10,1,42,136,0.24509803921568626,220
80,60,10,1,123,126,0.24271844660194175,219
80,60,10,1,456,139,0.25274725274725274,200
80,60,10,2,42,121,0.24691358024691357,210
80,60,10,2,123,117,0.05194805194805195,240
80,60,10,2,456,120,0.125,200
80,60,10,3,42,126,0.047619047619047616,150
80,60,10,3,123,118,0.08163265306122448,190
80,60,10,3,456,114,0.06779661016949153,229
80,60,10,4,42,99,0.0,77
80,60,10,4,123,92,0.0,59
80,60,10,4,456,97,0.0,44
80,60,10,5,42,90,0.0,26
80,60,10,5,123,83,0.0,29
80,60,10,5,456,91,0.0,22
80,60,20,0,42,134,0.7899686520376176,360
80,60,20,0,123,121,0.8106235565819861,460
80,60,20,0,456,133,0.7815699658703071,340
80,60,20,1,42,126,0.4574468085106383,260
80,60,20,1,123,127,0.5058823529411764,440
80,60,20,1,456,138,0.4523809523809524,480
80,60,20,2,42,128,0.38271604938271603,300
80,60,20,2,123,132,0.2692307692307692,420
80,60,20,2,456,130,0.21052631578947367,459
80,60,20,3,42,133,0.27692307692307694,319
80,60,20,3,123,117,0.1956521739130435,480
80,60,20,3,456,121,0.08823529411764706,418
80,60,20,4,42,102,0.0,185
80,60,20,4,123,107,0.07142857142857142,135
80,60,20,4,456,96,0.0,154
80,60,20,5,42,86,0.0,49
80,60,20,5,123,88,0.2,57
80,60,20,5,456,88,0.0,70
80,60,30,0,42,112,0.8919803600654664,570
80,60,30,0,123,129,0.9092088197146563,630
80,60,30,0,456,125,0.8983739837398373,689
80,60,30,1,42,140,0.6256410256410256,599
80,60,30,1,123,119,0.6380597014925373,750
80,60,30,1,456,119,0.6122448979591837,629
80,60,30,2,42,133,0.36363636363636365,479
80,60,30,2,123,129,0.38509316770186336,780
80,60,30,2,456,122,0.34545454545454546,570
80,60,30,3,42,122,0.21153846153846154,420
80,60,30,3,123,120,0.336734693877551,600
80,60,30,3,456,138,0.18,748
80,60,30,4,42,107,0.05263157894736842,254
80,60,30,4,123,100,0.16071428571428573,334
80,60,30,4,456,93,0.0,233
80,60,30,5,42,87,0.0,79
80,60,30,5,123,84,0.11764705882352941,124
80,60,30,5,456,95,0.0,119
80,60,50,0,42,110,0.9602494154325799,850
80,60,50,0,123,114,0.9611206403659234,1150
80,60,50,0,456,117,0.9615197272284461,1350
80,60,50,1,42,130,0.8174807197943444,1000
80,60,50,1,123,125,0.811214953271028,1400
80,60,50,1,456,126,0.826302729528536,950
80,60,50,2,42,121,0.5469613259668509,1050
80,60,50,2,123,133,0.5740740740740741,1200
80,60,50,2,456,122,0.6308411214953271,1100
80,60,50,3,42,117,0.33695652173913043,849
80,60,50,3,123,115,0.38461538461538464,1048
80,60,50,3,456,121,0.4375,1050
80,60,50,4,42,112,0.17391304347826086,451
80,60,50,4,123,101,0.17567567567567569,613
80,60,50,4,456,111,0.0851063829787234,474
80,60,50,5,42,84,0.0,309
80,60,50,5,123,95,0.0,191
80,60,50,5,456,85,0.0,227
150,130,5,0,42,129,0.24390243902439024,50
150,130,5,0,123,127,0.3132530120481928,45
150,130,5,0,456,117,0.37606837606837606,60
150,130,5,1,42,124,0.04878048780487805,35
150,130,5,1,123,130,0.19047619047619047,45
150,130,5,1,456,126,0.12195121951219512,60
150,130,5,2,42,123,0.0,50
150,130,5,2,123,128,0.14814814814814814,45
150,130,5,2,456,113,0.11940298507462686,65
150,130,5,3,42,106,0.06451612903225806,40
150,130,5,3,123,116,0.0,50
150,130,5,3,456,103,0.047619047619047616,60
150,130,5,4,42,107,0.0,50
150,130,5,4,123,97,0.0,60
150,130,5,4,456,97,0.07142857142857142,60
150,130,5,5,42,97,0.0,16
150,130,5,5,123,95,0.0,1
150,130,5,5,456,86,0.0,9
150,130,10,0,42,122,0.5759493670886076,100
150,130,10,0,123,123,0.5482233502538071,130
150,130,10,0,456,133,0.4962962962962963,100
150,130,10,1,42,126,0.35964912280701755,120
150,130,10,1,123,120,0.4,130
150,130,10,1,456,123,0.36538461538461536,100
150,130,10,2,42,118,0.2413793103448276,90
150,130,10,2,123,115,0.2261904761904762,110
150,130,10,2,456,121,0.23595505617977527,120
150,130,10,3,42,108,0.14285714285714285,100
150,130,10,3,123,122,0.1111111111111111,100
150,130,10,3,456,122,0.09090909090909091,120
150,130,10,4,42,104,0.16216216216216217,100
150,130,10,4,123,103,0.06896551724137931,90
150,130,10,4,456,103,0.044444444444444446,130
150,130,10,5,42,86,0.0,24
150,130,10,5,123,89,0.0,28
150,130,10,5,456,92,0.0,23
150,130,20,0,42,124,0.7136929460580913,220
150,130,20,0,123,128,0.7805486284289277,260
150,130,20,0,456,122,0.7699386503067485,220
150,130,20,1,42,128,0.5108695652173914,280
150,130,20,1,123,120,0.5,220
150,130,20,1,456,116,0.5,220
150,130,20,2,42,124,0.21686746987951808,200
150,130,20,2,123,113,0.28846153846153844,240
150,130,20,2,456,124,0.26851851851851855,240
150,130,20,3,42,130,0.15942028985507245,200
150,130,20,3,123,108,0.21686746987951808,220
150,130,20,3,456,129,0.14285714285714285,220
150,130,20,4,42,121,0.22448979591836735,180
150,130,20,4,123,107,0.14285714285714285,200
150,130,20,4,456,106,0.1016949152542373,220
150,130,20,5,42,81,0.0,30
150,130,20,5,123,83,0.0,27
150,130,20,5,456,92,0.0,65
150,130,30,0,42,123,0.8671209540034072,360
150,130,30,0,123,126,0.8645833333333334,270
150,130,30,0,456,121,0.8795669824086604,420
150,130,30,1,42,128,0.6758893280632411,360
150,130,30,1,123,124,0.7068965517241379,300
150,130,30,1,456,126,0.6832740213523132,390
150,130,30,2,42,112,0.44954128440366975,270
150,130,30,2,123,124,0.39285714285714285,300
150,130,30,2,456,121,0.24742268041237114,330
150,130,30,3,42,114,0.234375,240
150,130,30,3,123,124,0.2972972972972973,390
150,130,30,3,456,109,0.2807017543859649,420
150,130,30,4,42,126,0.2028985507246377,330
150,130,30,4,123,120,0.20588235294117646,330
150,130,30,4,456,114,0.04878048780487805,450
150,130,30,5,42,81,0.0,60
150,130,30,5,123,95,0.23076923076923078,116
150,130,30,5,456,93,0.0,100
150,130,50,0,42,126,0.945852534562212,400
150,130,50,0,123,120,0.945,550
150,130,50,0,456,112,0.945,750
150,130,50,1,42,118,0.8627906976744186,450
150,130,50,1,123,114,0.8469387755102041,700
150,130,50,1,456,121,0.8559322033898306,550
150,130,50,2,42,122,0.6083333333333333,399
150,130,50,2,123,127,0.5813953488372093,550
150,130,50,2,456,120,0.6036866359447005,650
150,130,50,3,42,120,0.25,450
150,130,50,3,123,117,0.3933333333333333,700
150,130,50,3,456,111,0.41496598639455784,700
150,130,50,4,42,124,0.2,350
150,130,50,4,123,105,0.2077922077922078,500
150,130,50,4,456,107,0.2549019607843137,650
150,130,50,5,42,101,0.0,157
150,130,50,5,123,103,0.18181818181818182,105
150,130,50,5,456,84,0.0,157
300,280,5,0,42,125,0.23809523809523808,30
300,280,5,0,123,118,0.30158730158730157,35
300,280,5,0,456,128,0.30158730158730157,35
300,280,5,1,42,124,0.22857142857142856,25
300,280,5,1,123,119,0.24242424242424243,25
300,280,5,1,456,118,0.12631578947368421,35
300,280,5,2,42,124,0.1111111111111111,25
300,280,5,2,123,111,0.07547169811320754,25
300,280,5,2,456,118,0.11764705882352941,30
300,280,5,3,42,113,0.11764705882352941,20
300,280,5,3,123,115,0.09523809523809523,15
300,280,5,3,456,114,0.06451612903225806,40
300,280,5,4,42,94,0.0,30
300,280,5,4,123,114,0.0,20
300,280,5,4,456,99,0.0,30
300,280,5,5,42,101,0.0,20
300,280,5,5,123,95,0.0,25
300,280,5,5,456,79,0.0,30
300,280,10,0,42,121,0.5037593984962406,50
300,280,10,0,123,126,0.4807692307692308,40
300,280,10,0,456,119,0.5265700483091788,80
300,280,10,1,42,125,0.36363636363636365,60
300,280,10,1,123,117,0.273972602739726,40
300,280,10,1,456,128,0.358974358974359,60
300,280,10,2,42,125,0.2,40
300,280,10,2,123,121,0.2857142857142857,30
300,280,10,2,456,122,0.20454545454545456,60
300,280,10,3,42,115,0.10714285714285714,50
300,280,10,3,123,114,0.09230769230769231,60
300,280,10,3,456,120,0.14285714285714285,80
