obss_duration,weff,num_stas,npca_qsrc,seed,aggregate_throughput,collision_probability_npca,npca_transition_count
40,20,5,0,42,853,0.23233908948194662,1240
40,20,5,0,123,896,0.2706043956043956,1355
40,20,5,0,456,835,0.31457431457431456,1240
40,20,5,1,42,818,0.11177644710578842,1305
40,20,5,1,123,832,0.1478743068391867,1330
40,20,5,1,456,811,0.12601626016260162,1270
40,20,5,2,42,718,0.0676056338028169,1298
40,20,5,2,123,737,0.08130081300813008,1272
40,20,5,2,456,739,0.12146892655367232,1187
40,20,5,3,42,619,0.0,540
40,20,5,3,123,590,0.0,569
40,20,5,3,456,635,0.0,523
40,20,5,4,42,541,0.0,310
40,20,5,4,123,532,0.0,298
40,20,5,4,456,564,0.0,376
40,20,5,5,42,573,0.0,145
40,20,5,5,123,509,0.0,197
40,20,5,5,456,549,0.0,119
40,20,10,0,42,868,0.4745098039215686,2710
40,20,10,0,123,888,0.46713147410358563,2690
40,20,10,0,456,860,0.47126436781609193,2559
40,20,10,1,42,838,0.2847124824684432,2630
40,20,10,1,123,886,0.3038961038961039,2790
40,20,10,1,456,847,0.2676470588235294,2590
40,20,10,2,42,804,0.13814432989690723,2518
40,20,10,2,123,803,0.12219959266802444,2598
40,20,10,2,456,787,0.15644820295983086,2378
40,20,10,3,42,674,0.014598540145985401,1573
40,20,10,3,123,664,0.022388059701492536,1561
40,20,10,3,456,688,0.05,1359
40,20,10,4,42,596,0.015873015873015872,1067
40,20,10,4,123,573,0.0,1149
40,20,10,4,456,585,0.0,829
40,20,10,5,42,546,0.0,416
40,20,10,5,123,549,0.0,714
40,20,10,5,456,567,0.0,516
40,20,20,0,42,803,0.7503751875937968,5060
40,20,20,0,123,854,0.7464929859719439,5100
40,20,20,0,456,835,0.7502596053997923,4900
40,20,20,1,42,852,0.4742268041237113,5680
40,20,20,1,123,791,0.46981891348088534,5300
40,20,20,1,456,804,0.4678492239467849,4879
40,20,20,2,42,831,0.272863568215892,4991
40,20,20,2,123,826,0.2713068181818182,5247
40,20,20,2,456,825,0.24883359253499224,5005
40,20,20,3,42,728,0.1325,3683
40,20,20,3,123,684,0.09859154929577464,3817
40,20,20,3,456,736,0.08136482939632546,3369
40,20,20,4,42,639,0.05405405405405406,2493
40,20,20,4,123,635,0.02553191489361702,2732
40,20,20,4,456,664,0.021739130434782608,2249
40,20,20,5,42,565,0.0,1506
40,20,20,5,123,555,0.0,1255
40,20,20,5,456,559,0.037037037037037035,1406
40,20,30,0,42,807,0.8809288537549407,7710
40,20,30,0,123,814,0.8758137205808713,7680
40,20,30,0,456,816,0.8803926633944718,7320
40,20,30,1,42,835,0.6185495118549512,8250
40,20,30,1,123,820,0.5861526357199056,7890
40,20,30,1,456,843,0.6304832713754647,7500
40,20,30,2,42,833,0.3848797250859107,8182
40,20,30,2,123,817,0.3997524752475248,7323
40,20,30,2,456,817,0.3491847826086957,7275
40,20,30,3,42,757,0.16923076923076924,5808
40,20,30,3,123,750,0.19324577861163228,5731
40,20,30,3,456,767,0.14940239043824702,5327
40,20,30,4,42,683,0.05947955390334572,3904
40,20,30,4,123,674,0.056782334384858045,4376
40,20,30,4,456,661,0.0812720848056537,3865
40,20,30,5,42,608,0.0,2707
40,20,30,5,123,583,0.027777777777777776,2700
40,20,30,5,456,611,0.0,2014
40,20,50,0,42,701,0.9729304375196727,12700
40,20,50,0,123,669,0.9763095938787522,12599
40,20,50,0,456,696,0.9750038693700666,12350
40,20,50,1,42,767,0.7942252948352989,12849
40,20,50,1,123,799,0.8164035689773507,13700
40,20,50,1,456,803,0.8117154811715481,12700
40,20,50,2,42,790,0.5374211000901713,12852
40,20,50,2,123,797,0.5406574394463668,13247
40,20,50,2,456,805,0.5413891531874405,12007
40,20,50,3,42,790,0.2600896860986547,10456
40,20,50,3,123,765,0.2794759825327511,10035
40,20,50,3,456,760,0.28858024691358025,9402
40,20,50,4,42,710,0.12412177985948478,7855
40,20,50,4,123,696,0.10723192019950124,7319
40,20,50,4,456,690,0.10952380952380952,7645
40,20,50,5,42,620,0.05660377358490566,4679
40,20,50,5,123,622,0.03669724770642202,5032
40,20,50,5,456,641,0.0660377358490566,4242
